Project,Dependency,#MajorLag,#MajorMinor,#MajorMicro,#MajorMinorMicro,#MinorLag,#MinorMicro,#MicroLag,#NoLag,MAJOR DESCRIPTION,0%,10%,25%,50%,75%,90%,95%,99%,100%,Avg,MAJOR TIME DESCRIPTION,0%,10%,25%,50%,75%,90%,95%,99%,100%,Avg,MINOR DESCRIPTION,0%,10%,25%,50%,75%,90%,95%,99%,100%,Avg,MINOR TIME DESCRIPTION,0%,10%,25%,50%,75%,90%,95%,99%,100%,Avg,MICRO DESCRIPTION,0%,10%,25%,50%,75%,90%,95%,99%,100%,Avg,MICRO TIME DESCRIPTION,0%,10%,25%,50%,75%,90%,95%,99%,100%,Avg,FORWARDS_MAJOR,FORWARDS_MINOR,FORWARDS_MICRO,NO_CHANGE,BACKWARD_MICRO,BACKWARD_MINOR,BACKWARD_MAJOR,missingDepsEnd,missingDepsTotal
2427516,245694,0,0,0,0,34,0,0,0,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,,1,2,3,4,4,4,6,10,10,3.6579,,109,117,201,212,219,250,322,462,462,205.7632,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,34,0,0,0,0,3
229144,236630,3,1,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1.0000,,778,778,815,1020,1562,1977,1977,1977,1977,1230.4000,,0,0,0,0,0,1,1,1,1,0.2000,,0,0,0,0,0,353,353,353,353,70.6000,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,0,1,2,1,0,0,0,0,0
229045,239884,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,1,1,1,1,1,1,0.6667,,0,0,0,163,440,440,440,440,440,201.0000,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,1,0,0,0,0,11
263381,223861,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1.0000,,119,119,119,119,119,119,119,119,119,119.0000,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,,1,1,1,1,1,1,1,1,1,1.0000,,91,91,91,91,91,91,91,91,91,91.0000,0,0,0,0,0,0,0,0,0
229043,239833,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,1,0,0,0,0,0
1142021,249668,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,1,0,0,0,0,0
1717359,239884,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,2,2,2.0000,,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440.0000,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,,4,4,4,4,4,4,4,4,4,4.0000,,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887.0000,0,0,0,0,0,0,0,0,0
770753,224097,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,3,3,3,3,3,1.5000,,0,0,0,0,393,393,393,393,393,196.5000,,1,1,1,1,1,1,1,1,1,1.0000,,2,2,2,2,423,423,423,423,423,212.5000,0,0,0,1,0,0,0,0,0
262720,244599,10,0,0,0,0,0,0,19,,0,0,0,0,1,1,1,1,1,0.3333,,0,0,0,0,146,294,307,329,329,68.9667,,0,0,0,0,0,0,0,3,3,0.0000,,0,0,0,0,0,0,0,453,453,0.0000,,0,0,0,0,0,0,0,3,3,0.0000,,0,0,0,0,0,0,0,938,938,0.0000,0,1,0,28,0,0,0,0,0
1616946,206797,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,0.0000,,110,110,110,110,110,110,110,110,110,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,76,76
