
Project information
net.achalaggarwal.workerbee:workerbee-core (2239755)	org.apache.hadoop:hadoop-mapreduce-client-common (374644)	Package Manager: Maven
RepoID: null
Tag information:

Project A:
ProjectVersionFixed(version=1.1, dependency=2.5.0-cdh5.3.3, time=2016-05-08 17:43:52 UTC),	Latest, "DependencyVersion(version=2.7.2, time=2016-01-14 23:28:55 UTC)"

ProjectVersionFixed(version=2.2, dependency=2.5.0-cdh5.3.3, time=2016-06-09 19:08:34 UTC),	Latest, "DependencyVersion(version=2.7.2, time=2016-01-14 23:28:55 UTC)"

ProjectVersionFixed(version=3.0, dependency=2.5.0-cdh5.3.3, time=2016-06-23 17:46:09 UTC),	Latest, "DependencyVersion(version=2.7.2, time=2016-01-14 23:28:55 UTC)"

ProjectVersionFixed(version=3.0-hive0.13.1-hadoop2.5.0, dependency=2.5.0-cdh5.3.3, time=2016-12-24 16:18:55 UTC),	Latest, "DependencyVersion(version=3.0.0-alpha1, time=2016-08-30 15:17:40 UTC)"

ProjectVersionFixed(version=3.1-hive0.13.1-hadoop2.5.0, dependency=2.5.0-cdh5.3.3, time=2017-03-18 17:40:09 UTC),	Latest, "DependencyVersion(version=3.0.0-alpha2, time=2017-01-20 20:54:51 UTC)"

ProjectVersionFixed(version=3.1-hive1.2.1-hadoop2.7.1, dependency=2.7.1, time=2017-03-18 17:55:15 UTC),	Latest, "DependencyVersion(version=3.0.0-alpha2, time=2017-01-20 20:54:51 UTC)"

ProjectVersionFixed(version=3.2.0-hive0.13.1-hadoop2.5.0, dependency=2.5.0, time=2017-03-19 18:31:59 UTC),	Latest, "DependencyVersion(version=3.0.0-alpha2, time=2017-01-20 20:54:51 UTC)"

ProjectVersionFixed(version=3.2.0-hive1.2.1-hadoop2.7.1, dependency=2.7.1, time=2017-03-19 19:58:56 UTC),	Latest, "DependencyVersion(version=3.0.0-alpha2, time=2017-01-20 20:54:51 UTC)"

ProjectVersionFixed(version=3.2.1-hive0.13.1-hadoop2.5.0, dependency=2.5.0, time=2017-03-19 19:06:23 UTC),	Latest, "DependencyVersion(version=3.0.0-alpha2, time=2017-01-20 20:54:51 UTC)"

ProjectVersionFixed(version=3.3.0-hive0.13.1-hadoop2.5.0, dependency=2.5.0, time=2017-03-24 19:20:29 UTC),	Latest, "DependencyVersion(version=3.0.0-alpha2, time=2017-01-20 20:54:51 UTC)"

ProjectVersionFixed(version=3.3.0-hive1.2.1-hadoop2.7.1, dependency=2.7.1, time=2017-03-24 19:34:55 UTC),	Latest, "DependencyVersion(version=3.0.0-alpha2, time=2017-01-20 20:54:51 UTC)"


Project B:
DependencyVersion(version=0.23.0-cdh4b1, time=2012-02-11 00:56:30 UTC)
DependencyVersion(version=0.23.1, time=2012-02-18 06:56:25 UTC)
DependencyVersion(version=0.23.10, time=2013-12-03 05:56:09 UTC)
DependencyVersion(version=0.23.11, time=2014-06-19 14:24:17 UTC)
DependencyVersion(version=0.23.1-cdh4.0.0b2, time=2012-04-23 00:09:36 UTC)
DependencyVersion(version=0.23.3, time=2012-09-07 19:36:17 UTC)
DependencyVersion(version=0.23.4, time=2012-10-08 14:34:29 UTC)
DependencyVersion(version=0.23.5, time=2012-11-20 18:32:40 UTC)
DependencyVersion(version=0.23.6, time=2013-01-29 03:57:20 UTC)
DependencyVersion(version=0.23.7, time=2013-04-11 18:31:02 UTC)
DependencyVersion(version=0.23.8, time=2013-05-28 15:32:34 UTC)
DependencyVersion(version=0.23.9, time=2013-07-01 14:49:52 UTC)
DependencyVersion(version=2.0.0-alpha, time=2012-05-16 01:36:04 UTC)
DependencyVersion(version=2.0.0-cdh4.0.0, time=2012-06-04 23:36:28 UTC)
DependencyVersion(version=2.0.0-cdh4.0.1, time=2012-06-29 00:22:42 UTC)
DependencyVersion(version=2.0.0-cdh4.1.0, time=2012-09-29 18:11:20 UTC)
DependencyVersion(version=2.0.0-cdh4.1.1, time=2012-10-16 17:51:54 UTC)
DependencyVersion(version=2.0.0-cdh4.1.2, time=2012-11-02 00:18:13 UTC)
DependencyVersion(version=2.0.0-cdh4.1.3, time=2013-01-27 00:30:21 UTC)
DependencyVersion(version=2.0.0-cdh4.1.4, time=2013-04-04 22:38:52 UTC)
DependencyVersion(version=2.0.0-cdh4.1.5, time=2013-06-21 00:13:03 UTC)
DependencyVersion(version=2.0.0-cdh4.2.0, time=2013-01-31 01:52:50 UTC)
DependencyVersion(version=2.0.0-cdh4.2.1, time=2013-04-22 04:43:09 UTC)
DependencyVersion(version=2.0.0-cdh4.2.2, time=2013-06-21 01:04:54 UTC)
DependencyVersion(version=2.0.0-cdh4.3.0, time=2013-05-17 01:59:06 UTC)
DependencyVersion(version=2.0.0-cdh4.3.1, time=2013-06-20 23:30:43 UTC)
DependencyVersion(version=2.0.0-cdh4.3.2, time=2013-09-04 04:01:31 UTC)
DependencyVersion(version=2.0.0-cdh4.4.0, time=2013-08-22 03:41:25 UTC)
DependencyVersion(version=2.0.0-cdh4.4.0.1, time=2015-03-03 20:33:48 UTC)
DependencyVersion(version=2.0.0-cdh4.4.1, time=2013-09-12 19:57:34 UTC)
DependencyVersion(version=2.0.0-cdh4.5.0, time=2013-11-11 19:21:17 UTC)
DependencyVersion(version=2.0.0-cdh4.5.0.1, time=2014-03-10 23:48:42 UTC)
DependencyVersion(version=2.0.0-cdh4.5.0.2, time=2014-05-01 22:45:42 UTC)
