
Project information
com.twitter:summingbird-storm_2.10 (2264453)	com.twitter:chill-bijection_2.10 (400590)	Package Manager: Maven
RepoID: null
Tag information:

Project A:
ProjectVersionFixed(version=0.1.0, dependency=null, time=2013-09-10 05:45:46 UTC)
ProjectVersionFixed(version=0.1.1, dependency=null, time=2013-09-11 00:28:05 UTC)
ProjectVersionFixed(version=0.1.2, dependency=null, time=2013-09-13 00:12:05 UTC)
ProjectVersionFixed(version=0.1.3, dependency=null, time=2013-09-17 19:09:54 UTC)
ProjectVersionFixed(version=0.1.4, dependency=null, time=2013-09-19 00:16:14 UTC)
ProjectVersionFixed(version=0.1.5, dependency=null, time=2013-09-26 22:29:39 UTC)
ProjectVersionFixed(version=0.2.0, dependency=0.3.3, time=2013-10-04 04:51:57 UTC),	Latest, "null"

ProjectVersionFixed(version=0.2.1, dependency=0.3.3, time=2013-10-08 00:45:32 UTC),	Latest, "DependencyVersion(version=0.3.4, time=2013-10-05 00:57:12 UTC)"

ProjectVersionFixed(version=0.2.2, dependency=0.3.3, time=2013-10-11 22:33:44 UTC),	Latest, "DependencyVersion(version=0.3.4, time=2013-10-05 00:57:12 UTC)"

ProjectVersionFixed(version=0.2.3, dependency=0.3.3, time=2013-10-17 00:14:08 UTC),	Latest, "DependencyVersion(version=0.3.4, time=2013-10-05 00:57:12 UTC)"

ProjectVersionFixed(version=0.2.4, dependency=0.3.3, time=2013-10-17 20:00:29 UTC),	Latest, "DependencyVersion(version=0.3.4, time=2013-10-05 00:57:12 UTC)"

ProjectVersionFixed(version=0.2.5, dependency=0.3.3, time=2013-11-06 18:47:36 UTC),	Latest, "DependencyVersion(version=0.3.5, time=2013-11-06 00:49:07 UTC)"

ProjectVersionFixed(version=0.3.0, dependency=0.3.3, time=2013-12-07 01:05:37 UTC),	Latest, "DependencyVersion(version=0.3.5, time=2013-11-06 00:49:07 UTC)"

ProjectVersionFixed(version=0.3.1, dependency=0.3.3, time=2013-12-19 21:57:55 UTC),	Latest, "DependencyVersion(version=0.3.5, time=2013-11-06 00:49:07 UTC)"

ProjectVersionFixed(version=0.3.2, dependency=0.3.5, time=2014-01-24 01:35:15 UTC),	Latest, "null"

ProjectVersionFixed(version=0.3.3, dependency=0.3.5, time=2014-01-24 20:11:36 UTC),	Latest, "null"

ProjectVersionFixed(version=0.3.4rc1, dependency=0.3.6rc2, time=2014-03-04 22:23:34 UTC),	Latest, "null"

ProjectVersionFixed(version=0.4.0rc1, dependency=0.3.6, time=2014-03-07 23:02:28 UTC),	Latest, "DependencyVersion(version=0.3.6rc3, time=2014-03-06 18:54:25 UTC)"

ProjectVersionFixed(version=0.4.0, dependency=0.3.5, time=2014-03-20 04:27:13 UTC),	Latest, "DependencyVersion(version=0.3.6rc3, time=2014-03-06 18:54:25 UTC)"

ProjectVersionFixed(version=0.4.1, dependency=0.3.6, time=2014-03-20 18:53:47 UTC),	Latest, "DependencyVersion(version=0.3.6rc3, time=2014-03-06 18:54:25 UTC)"

ProjectVersionFixed(version=0.4.2, dependency=0.3.6, time=2014-03-28 22:08:45 UTC),	Latest, "DependencyVersion(version=0.3.6rc3, time=2014-03-06 18:54:25 UTC)"

ProjectVersionFixed(version=0.5.0, dependency=null, time=2014-07-14 00:37:01 UTC)
ProjectVersionFixed(version=0.5.1, dependency=null, time=2014-07-14 05:39:21 UTC)
ProjectVersionFixed(version=0.5.2rc2, dependency=null, time=2014-09-07 00:32:53 UTC)
ProjectVersionFixed(version=0.5.2rc3, dependency=null, time=2014-09-07 00:56:28 UTC)
ProjectVersionFixed(version=0.5.2rc4, dependency=null, time=2014-10-22 01:42:27 UTC)
ProjectVersionFixed(version=0.5.2rc5, dependency=null, time=2014-10-22 19:03:24 UTC)
ProjectVersionFixed(version=0.5.2rc6, dependency=null, time=2014-10-23 17:07:52 UTC)
ProjectVersionFixed(version=0.6.0, dependency=null, time=2015-02-11 06:04:17 UTC)
ProjectVersionFixed(version=0.7.0, dependency=null, time=2015-05-15 21:37:47 UTC)
ProjectVersionFixed(version=0.8.0, dependency=null, time=2015-05-28 18:07:43 UTC)
ProjectVersionFixed(version=0.9.0, dependency=null, time=2015-10-22 20:11:42 UTC)
ProjectVersionFixed(version=0.9.1, dependency=null, time=2015-11-16 17:18:24 UTC)
ProjectVersionFixed(version=0.10.0-RC1, dependency=0.7.3, time=2016-02-05 23:06:11 UTC),	Latest, "null"

ProjectVersionFixed(version=0.10.0-RC2, dependency=0.7.3, time=2016-02-06 01:30:18 UTC),	Latest, "null"

ProjectVersionFixed(version=0.11.0-RC1, dependency=0.7.3, time=2016-06-23 17:15:20 UTC),	Latest, "DependencyVersion(version=0.8.0, time=2016-02-11 19:29:38 UTC)"


Project B:
DependencyVersion(version=0.3.0, time=2013-07-24 23:49:31 UTC)
DependencyVersion(version=0.3.1, time=2013-08-08 16:41:14 UTC)
DependencyVersion(version=0.3.2, time=2013-09-11 23:07:11 UTC)
DependencyVersion(version=0.3.3, time=2013-09-26 00:36:03 UTC)
DependencyVersion(version=0.3.4, time=2013-10-05 00:57:12 UTC)
DependencyVersion(version=0.3.5, time=2013-11-06 00:49:07 UTC)
DependencyVersion(version=0.3.6, time=2014-03-06 19:52:57 UTC)
DependencyVersion(version=0.3.6rc2, time=2014-03-04 18:57:38 UTC)
DependencyVersion(version=0.3.6rc3, time=2014-03-06 18:54:25 UTC)
DependencyVersion(version=0.4.0, time=2014-07-03 19:32:42 UTC)
DependencyVersion(version=0.4.1, time=2014-12-05 16:14:34 UTC)
DependencyVersion(version=0.4.2, time=2015-01-07 01:06:23 UTC)
DependencyVersion(version=0.5.0, time=2014-09-10 02:38:14 UTC)
DependencyVersion(version=0.5.1, time=2014-11-26 23:37:19 UTC)
DependencyVersion(version=0.5.2, time=2015-01-21 23:51:36 UTC)
DependencyVersion(version=0.6.0, time=2015-05-12 17:01:44 UTC)
DependencyVersion(version=0.7.0, time=2015-07-29 16:12:13 UTC)
DependencyVersion(version=0.7.1, time=2015-09-21 23:41:51 UTC)
DependencyVersion(version=0.7.2, time=2015-10-22 20:43:39 UTC)
DependencyVersion(version=0.7.3, time=2016-02-02 18:58:18 UTC)
DependencyVersion(version=0.7.4, time=2016-02-11 18:39:48 UTC)
DependencyVersion(version=0.7.6, time=2017-01-14 01:00:05 UTC)
DependencyVersion(version=0.7.7, time=2017-02-23 22:55:12 UTC)
DependencyVersion(version=0.8.0, time=2016-02-11 19:29:38 UTC)
DependencyVersion(version=0.8.1, time=2016-10-11 01:17:39 UTC)
DependencyVersion(version=0.8.3, time=2017-01-14 01:13:32 UTC)
DependencyVersion(version=0.8.4, time=2017-02-23 19:51:45 UTC)
DependencyVersion(version=0.9.0, time=2017-01-03 19:43:21 UTC)
DependencyVersion(version=0.9.1, time=2017-01-09 18:25:29 UTC)
DependencyVersion(version=0.9.2, time=2017-02-23 19:12:09 UTC)
