
Project information
org.apache.flink:flink-runtime_2.11 (2272707)	io.netty:netty-all (638602)	Package Manager: Maven
RepoID: null
Tag information:

Project A:
ProjectVersionFixed(version=0.10.0, dependency=4.0.31.Final, time=2015-11-10 16:36:13 UTC),	Latest, "DependencyVersion(version=5.0.0.Alpha2, time=2015-03-03 16:18:59 UTC)"

ProjectVersionFixed(version=0.10.1, dependency=4.0.31.Final, time=2015-11-23 10:09:50 UTC),	Latest, "DependencyVersion(version=5.0.0.Alpha2, time=2015-03-03 16:18:59 UTC)"

ProjectVersionFixed(version=0.10.2, dependency=4.0.27.Final, time=2016-02-08 16:02:41 UTC),	Latest, "DependencyVersion(version=5.0.0.Alpha2, time=2015-03-03 16:18:59 UTC)"

ProjectVersionFixed(version=1.0.0, dependency=4.0.27.Final, time=2016-03-03 10:45:29 UTC),	Latest, "DependencyVersion(version=5.0.0.Alpha2, time=2015-03-03 16:18:59 UTC)"

ProjectVersionFixed(version=1.0.1, dependency=4.0.27.Final, time=2016-03-31 15:06:31 UTC),	Latest, "DependencyVersion(version=5.0.0.Alpha2, time=2015-03-03 16:18:59 UTC)"

ProjectVersionFixed(version=1.0.2, dependency=4.0.27.Final, time=2016-04-18 14:04:26 UTC),	Latest, "DependencyVersion(version=5.0.0.Alpha2, time=2015-03-03 16:18:59 UTC)"

ProjectVersionFixed(version=1.0.3, dependency=4.0.27.Final, time=2016-05-06 14:21:07 UTC),	Latest, "DependencyVersion(version=5.0.0.Alpha2, time=2015-03-03 16:18:59 UTC)"

ProjectVersionFixed(version=1.1.0, dependency=4.0.27.Final, time=2016-08-02 20:14:47 UTC),	Latest, "DependencyVersion(version=5.0.0.Alpha2, time=2015-03-03 16:18:59 UTC)"

ProjectVersionFixed(version=1.1.1, dependency=4.0.27.Final, time=2016-08-09 13:49:13 UTC),	Latest, "DependencyVersion(version=5.0.0.Alpha2, time=2015-03-03 16:18:59 UTC)"

ProjectVersionFixed(version=1.1.2, dependency=4.0.27.Final, time=2016-08-30 17:43:20 UTC),	Latest, "DependencyVersion(version=5.0.0.Alpha2, time=2015-03-03 16:18:59 UTC)"

ProjectVersionFixed(version=1.1.3, dependency=4.0.27.Final, time=2016-10-10 15:16:03 UTC),	Latest, "DependencyVersion(version=5.0.0.Alpha2, time=2015-03-03 16:18:59 UTC)"

ProjectVersionFixed(version=1.1.4, dependency=4.0.27.Final, time=2016-12-19 13:26:44 UTC),	Latest, "DependencyVersion(version=5.0.0.Alpha2, time=2015-03-03 16:18:59 UTC)"

ProjectVersionFixed(version=1.1.5, dependency=4.0.27.Final, time=2017-03-17 14:09:00 UTC),	Latest, "DependencyVersion(version=5.0.0.Alpha2, time=2015-03-03 16:18:59 UTC)"

ProjectVersionFixed(version=1.2.0, dependency=4.0.27.Final, time=2017-01-29 23:08:22 UTC),	Latest, "DependencyVersion(version=5.0.0.Alpha2, time=2015-03-03 16:18:59 UTC)"

ProjectVersionFixed(version=1.2.1, dependency=4.0.27.Final, time=2017-04-11 01:50:16 UTC),	Latest, "DependencyVersion(version=5.0.0.Alpha2, time=2015-03-03 16:18:59 UTC)"

ProjectVersionFixed(version=1.3.0, dependency=4.0.27.Final, time=2017-05-26 15:45:02 UTC),	Latest, "DependencyVersion(version=5.0.0.Alpha2, time=2015-03-03 16:18:59 UTC)"

ProjectVersionFixed(version=1.3.1, dependency=4.0.27.Final, time=2017-06-20 18:45:40 UTC),	Latest, "DependencyVersion(version=5.0.0.Alpha2, time=2015-03-03 16:18:59 UTC)"

ProjectVersionFixed(version=1.3.2, dependency=4.0.27.Final, time=2017-08-03 19:23:35 UTC),	Latest, "DependencyVersion(version=5.0.0.Alpha2, time=2015-03-03 16:18:59 UTC)"

ProjectVersionFixed(version=1.3.3, dependency=4.0.27.Final, time=2018-03-14 05:31:45 UTC),	Latest, "DependencyVersion(version=5.0.0.Alpha2, time=2015-03-03 16:18:59 UTC)"

ProjectVersionFixed(version=1.4.0, dependency=null, time=2017-12-06 12:26:33 UTC)
ProjectVersionFixed(version=1.4.1, dependency=null, time=2018-02-10 12:56:43 UTC)
ProjectVersionFixed(version=1.4.2, dependency=null, time=2018-02-28 13:11:41 UTC)
ProjectVersionFixed(version=1.5.0, dependency=null, time=2018-05-24 15:11:47 UTC)
ProjectVersionFixed(version=1.5.1, dependency=null, time=2018-07-10 17:37:40 UTC)
ProjectVersionFixed(version=1.5.2, dependency=null, time=2018-07-25 17:38:11 UTC)
ProjectVersionFixed(version=1.5.3, dependency=null, time=2018-08-16 08:27:59 UTC)
ProjectVersionFixed(version=1.5.4, dependency=null, time=2018-09-15 07:28:40 UTC)
ProjectVersionFixed(version=1.5.5, dependency=null, time=2018-10-17 15:46:55 UTC)
ProjectVersionFixed(version=1.6.0, dependency=null, time=2018-08-07 13:46:06 UTC)
ProjectVersionFixed(version=1.6.1, dependency=null, time=2018-09-14 20:27:20 UTC)
ProjectVersionFixed(version=1.6.2, dependency=null, time=2018-10-18 08:49:45 UTC)

Project B:
DependencyVersion(version=4.0.0.Beta1, time=2013-02-14 21:06:10 UTC)
DependencyVersion(version=4.0.0.Beta2, time=2013-02-27 01:12:55 UTC)
DependencyVersion(version=4.0.0.Beta3, time=2013-03-16 09:56:56 UTC)
DependencyVersion(version=4.0.0.CR1, time=2013-03-22 14:42:16 UTC)
DependencyVersion(version=4.0.0.CR2, time=2013-05-08 17:23:09 UTC)
DependencyVersion(version=4.0.0.CR3, time=2013-05-18 08:14:36 UTC)
DependencyVersion(version=4.0.0.CR4, time=2013-06-13 08:17:56 UTC)
DependencyVersion(version=4.0.0.CR5, time=2013-06-14 04:51:51 UTC)
DependencyVersion(version=4.0.0.CR6, time=2013-06-21 00:21:34 UTC)
DependencyVersion(version=4.0.0.CR7, time=2013-06-28 13:42:02 UTC)
DependencyVersion(version=4.0.0.CR8, time=2013-07-02 02:33:11 UTC)
DependencyVersion(version=4.0.0.CR9, time=2013-07-02 10:03:25 UTC)
DependencyVersion(version=4.0.0.Final, time=2013-07-15 14:16:02 UTC)
DependencyVersion(version=4.0.10.Final, time=2013-10-03 11:37:04 UTC)
DependencyVersion(version=4.0.11.Final, time=2013-10-21 05:57:41 UTC)
DependencyVersion(version=4.0.12.Final, time=2013-11-07 17:29:29 UTC)
DependencyVersion(version=4.0.13.Final, time=2013-11-28 14:19:55 UTC)
DependencyVersion(version=4.0.14.Beta1, time=2013-11-29 18:49:21 UTC)
DependencyVersion(version=4.0.14.Final, time=2013-12-22 13:19:39 UTC)
DependencyVersion(version=4.0.15.Final, time=2014-01-21 07:35:59 UTC)
DependencyVersion(version=4.0.16.Final, time=2014-02-20 17:59:01 UTC)
DependencyVersion(version=4.0.17.Final, time=2014-02-24 15:22:05 UTC)
DependencyVersion(version=4.0.18.Final, time=2014-04-01 05:52:35 UTC)
DependencyVersion(version=4.0.19.Final, time=2014-04-30 14:11:24 UTC)
DependencyVersion(version=4.0.1.Final, time=2013-07-16 08:41:40 UTC)
DependencyVersion(version=4.0.20.Final, time=2014-06-12 14:51:04 UTC)
DependencyVersion(version=4.0.21.Final, time=2014-07-01 11:36:19 UTC)
DependencyVersion(version=4.0.22.Final, time=2014-08-14 00:46:06 UTC)
DependencyVersion(version=4.0.23.Final, time=2014-08-15 18:06:39 UTC)
DependencyVersion(version=4.0.24.Final, time=2014-10-29 11:46:00 UTC)
DependencyVersion(version=4.0.25.Final, time=2014-12-31 12:44:13 UTC)
DependencyVersion(version=4.0.26.Final, time=2015-03-02 11:39:00 UTC)
DependencyVersion(version=4.0.27.Final, time=2015-04-02 19:32:11 UTC)
DependencyVersion(version=4.0.28.Final, time=2015-05-07 16:06:40 UTC)
DependencyVersion(version=4.0.29.Final, time=2015-06-23 09:44:00 UTC)
DependencyVersion(version=4.0.2.Final, time=2013-07-17 14:27:34 UTC)
DependencyVersion(version=4.0.30.Final, time=2015-07-24 08:52:07 UTC)
DependencyVersion(version=4.0.31.Final, time=2015-09-02 07:55:54 UTC)
DependencyVersion(version=4.0.32.Final, time=2015-09-30 09:30:51 UTC)
DependencyVersion(version=4.0.33.Final, time=2015-11-03 14:13:48 UTC)
DependencyVersion(version=4.0.34.Final, time=2016-01-29 09:38:05 UTC)
DependencyVersion(version=4.0.35.Final, time=2016-03-21 10:08:08 UTC)
DependencyVersion(version=4.0.36.Final, time=2016-04-04 15:28:31 UTC)
DependencyVersion(version=4.0.37.Final, time=2016-06-07 18:39:21 UTC)
DependencyVersion(version=4.0.38.Final, time=2016-07-01 06:31:07 UTC)
DependencyVersion(version=4.0.39.Final, time=2016-07-15 06:02:45 UTC)
DependencyVersion(version=4.0.3.Final, time=2013-07-18 03:07:53 UTC)
DependencyVersion(version=4.0.40.Final, time=2016-07-27 09:17:12 UTC)
DependencyVersion(version=4.0.41.Final, time=2016-08-29 17:27:06 UTC)
DependencyVersion(version=4.0.42.Final, time=2016-10-14 13:05:44 UTC)
DependencyVersion(version=4.0.43.Final, time=2017-01-12 13:02:33 UTC)
DependencyVersion(version=4.0.44.Final, time=2017-01-30 17:12:23 UTC)
DependencyVersion(version=4.0.45.Final, time=2017-03-10 09:27:53 UTC)
DependencyVersion(version=4.0.46.Final, time=2017-04-29 13:45:23 UTC)
DependencyVersion(version=4.0.47.Final, time=2017-05-11 18:17:25 UTC)
DependencyVersion(version=4.0.48.Final, time=2017-06-09 09:55:07 UTC)
DependencyVersion(version=4.0.49.Final, time=2017-07-06 06:11:41 UTC)
DependencyVersion(version=4.0.4.Final, time=2013-07-23 08:48:27 UTC)
DependencyVersion(version=4.0.50.Final, time=2017-08-02 19:06:24 UTC)
DependencyVersion(version=4.0.51.Final, time=2017-08-24 13:25:46 UTC)
DependencyVersion(version=4.0.52.Final, time=2017-09-21 20:26:08 UTC)
DependencyVersion(version=4.0.53.Final, time=2017-11-09 00:33:38 UTC)
DependencyVersion(version=4.0.54.Final, time=2017-12-08 15:42:20 UTC)
DependencyVersion(version=4.0.55.Final, time=2018-01-21 18:38:27 UTC)
DependencyVersion(version=4.0.56.Final, time=2018-02-05 15:21:01 UTC)
DependencyVersion(version=4.0.5.Final, time=2013-07-31 18:25:42 UTC)
