
Project information
com.uber.jaeger:jaeger-thrift (2327381)	org.apache.thrift:libthrift (410324)	Package Manager: Maven
RepoID: null
Tag information:

Project A:
ProjectVersionFixed(version=0.0.55, dependency=0.9.2, time=2017-09-22 12:09:57 UTC),	Latest, "DependencyVersion(version=0.10.0, time=2017-01-18 05:01:20 UTC)"

ProjectVersionFixed(version=0.12.0, dependency=0.9.3, time=2016-09-27 21:19:42 UTC),	Latest, "null"

ProjectVersionFixed(version=0.13.0, dependency=0.9.3, time=2016-09-29 19:08:16 UTC),	Latest, "null"

ProjectVersionFixed(version=0.14.0, dependency=0.9.3, time=2016-10-06 21:43:41 UTC),	Latest, "null"

ProjectVersionFixed(version=0.15.0, dependency=0.9.2, time=2016-10-26 20:34:49 UTC),	Latest, "DependencyVersion(version=0.9.3, time=2015-10-12 02:09:23 UTC)"

ProjectVersionFixed(version=0.16.0, dependency=0.9.2, time=2016-11-28 16:37:18 UTC),	Latest, "DependencyVersion(version=0.9.3, time=2015-10-12 02:09:23 UTC)"

ProjectVersionFixed(version=0.17.0, dependency=0.9.2, time=2016-12-02 16:16:17 UTC),	Latest, "DependencyVersion(version=0.9.3, time=2015-10-12 02:09:23 UTC)"

ProjectVersionFixed(version=0.18.0, dependency=0.9.2, time=2017-04-13 18:45:05 UTC),	Latest, "DependencyVersion(version=0.10.0, time=2017-01-18 05:01:20 UTC)"

ProjectVersionFixed(version=0.19.0, dependency=0.9.2, time=2017-05-30 03:35:52 UTC),	Latest, "DependencyVersion(version=0.10.0, time=2017-01-18 05:01:20 UTC)"

ProjectVersionFixed(version=0.20.0, dependency=0.9.2, time=2017-06-23 22:29:41 UTC),	Latest, "DependencyVersion(version=0.10.0, time=2017-01-18 05:01:20 UTC)"

ProjectVersionFixed(version=v0.20.4, dependency=0.9.2, time=2017-06-30 14:37:24 UTC),	Latest, "DependencyVersion(version=0.10.0, time=2017-01-18 05:01:20 UTC)"

ProjectVersionFixed(version=0.20.5, dependency=0.9.2, time=2017-06-30 15:40:04 UTC),	Latest, "DependencyVersion(version=0.10.0, time=2017-01-18 05:01:20 UTC)"

ProjectVersionFixed(version=0.20.6, dependency=0.9.2, time=2017-08-01 08:01:16 UTC),	Latest, "DependencyVersion(version=0.10.0, time=2017-01-18 05:01:20 UTC)"

ProjectVersionFixed(version=0.21.0, dependency=0.9.2, time=2017-09-15 15:10:17 UTC),	Latest, "DependencyVersion(version=0.10.0, time=2017-01-18 05:01:20 UTC)"

ProjectVersionFixed(version=0.22.0-RC1, dependency=0.9.2, time=2017-10-05 08:37:57 UTC),	Latest, "DependencyVersion(version=0.10.0, time=2017-01-18 05:01:20 UTC)"

ProjectVersionFixed(version=0.22.0-RC2, dependency=0.9.2, time=2017-10-26 22:56:54 UTC),	Latest, "DependencyVersion(version=0.10.0, time=2017-01-18 05:01:20 UTC)"

ProjectVersionFixed(version=0.22.0-RC3, dependency=0.9.2, time=2017-12-10 04:00:03 UTC),	Latest, "DependencyVersion(version=0.10.0, time=2017-01-18 05:01:20 UTC)"

ProjectVersionFixed(version=0.23.0, dependency=0.9.2, time=2018-01-13 16:30:11 UTC),	Latest, "DependencyVersion(version=0.10.0, time=2017-01-18 05:01:20 UTC)"

ProjectVersionFixed(version=0.24.0, dependency=0.9.2, time=2018-02-01 05:52:28 UTC),	Latest, "DependencyVersion(version=0.11.0, time=2018-01-15 20:35:01 UTC)"

ProjectVersionFixed(version=0.25.0, dependency=0.9.2, time=2018-03-07 10:09:02 UTC),	Latest, "DependencyVersion(version=0.11.0, time=2018-01-15 20:35:01 UTC)"

ProjectVersionFixed(version=0.26.0, dependency=0.9.2, time=2018-03-19 16:42:39 UTC),	Latest, "DependencyVersion(version=0.11.0, time=2018-01-15 20:35:01 UTC)"

ProjectVersionFixed(version=0.27.0, dependency=0.9.2, time=2018-04-18 15:37:24 UTC),	Latest, "DependencyVersion(version=0.11.0, time=2018-01-15 20:35:01 UTC)"


Project B:
DependencyVersion(version=0.10.0, time=2017-01-18 05:01:20 UTC)
DependencyVersion(version=0.11.0, time=2018-01-15 20:35:01 UTC)
DependencyVersion(version=0.4.0, time=2011-01-11 21:19:37 UTC)
DependencyVersion(version=0.5.0, time=2013-07-30 19:29:15 UTC)
DependencyVersion(version=0.5.0-cdh, time=2010-12-14 23:02:29 UTC)
DependencyVersion(version=0.6.0-cdh, time=2011-04-15 17:18:41 UTC)
DependencyVersion(version=0.6.1, time=2011-04-20 20:40:08 UTC)
DependencyVersion(version=0.7.0, time=2011-08-11 16:57:39 UTC)
DependencyVersion(version=0.7.0-cdh, time=2012-10-25 22:02:27 UTC)
DependencyVersion(version=0.8.0, time=2011-11-26 22:07:59 UTC)
DependencyVersion(version=0.8.0-cdh, time=2012-10-22 17:30:27 UTC)
DependencyVersion(version=0.8.0.cloudera.1, time=2013-03-01 21:29:02 UTC)
DependencyVersion(version=0.9.0, time=2012-10-16 02:43:37 UTC)
DependencyVersion(version=0.9.0-cdh4-1, time=2013-06-14 20:33:48 UTC)
DependencyVersion(version=0.9.0-cdh5-1, time=2014-06-26 23:29:45 UTC)
DependencyVersion(version=0.9.0-cdh5-2, time=2014-09-03 18:43:07 UTC)
DependencyVersion(version=0.9.0-cdh5-3, time=2015-08-07 15:06:06 UTC)
DependencyVersion(version=0.9.0-cdh5-ph410, time=2014-08-28 15:15:51 UTC)
DependencyVersion(version=0.9.0.cloudera.2, time=2013-09-16 22:26:51 UTC)
DependencyVersion(version=0.9.1, time=2013-08-23 15:21:27 UTC)
DependencyVersion(version=0.9.2, time=2014-11-18 17:40:41 UTC)
DependencyVersion(version=0.9.3, time=2015-10-12 02:09:23 UTC)
