
Project information
io.zbus:zbus (2548325)	com.alibaba:fastjson (411895)	Package Manager: Maven
RepoID: null
Tag information:

Project A:
ProjectVersionFixed(version=0.8.1, dependency=1.2.32, time=2017-07-11 09:05:55 UTC),	Latest, "DependencyVersion(version=1.2.34, time=2017-07-02 14:17:58 UTC)"

ProjectVersionFixed(version=0.8.2, dependency=1.2.32, time=2017-07-21 11:28:51 UTC),	Latest, "DependencyVersion(version=1.2.35, time=2017-07-16 04:53:45 UTC)"

ProjectVersionFixed(version=0.8.3, dependency=1.2.32, time=2017-08-01 09:46:55 UTC),	Latest, "DependencyVersion(version=1.2.35, time=2017-07-16 04:53:45 UTC)"

ProjectVersionFixed(version=0.8.4, dependency=1.2.24, time=2017-08-07 12:07:34 UTC),	Latest, "DependencyVersion(version=1.2.35, time=2017-07-16 04:53:45 UTC)"

ProjectVersionFixed(version=0.9.0, dependency=1.2.24, time=2017-09-17 08:08:52 UTC),	Latest, "DependencyVersion(version=1.2.38, time=2017-09-01 12:40:56 UTC)"

ProjectVersionFixed(version=0.9.1, dependency=1.2.24, time=2017-09-20 21:12:56 UTC),	Latest, "DependencyVersion(version=1.2.38, time=2017-09-01 12:40:56 UTC)"

ProjectVersionFixed(version=0.9.2, dependency=1.2.24, time=2017-09-20 23:47:44 UTC),	Latest, "DependencyVersion(version=1.2.38, time=2017-09-01 12:40:56 UTC)"

ProjectVersionFixed(version=0.9.3, dependency=1.2.24, time=2017-09-25 21:06:19 UTC),	Latest, "DependencyVersion(version=1.2.38, time=2017-09-01 12:40:56 UTC)"

ProjectVersionFixed(version=0.9.4, dependency=1.2.24, time=2017-10-18 07:58:40 UTC),	Latest, "DependencyVersion(version=1.2.39, time=2017-10-01 14:35:15 UTC)"

ProjectVersionFixed(version=0.10.0, dependency=1.2.24, time=2017-11-02 05:40:02 UTC),	Latest, "DependencyVersion(version=1.2.39, time=2017-10-01 14:35:15 UTC)"

ProjectVersionFixed(version=0.10.1, dependency=1.2.24, time=2017-11-06 06:48:52 UTC),	Latest, "DependencyVersion(version=1.2.40, time=2017-11-04 10:23:27 UTC)"

ProjectVersionFixed(version=0.10.2, dependency=1.2.24, time=2017-11-08 03:03:47 UTC),	Latest, "DependencyVersion(version=1.2.40, time=2017-11-04 10:23:27 UTC)"

ProjectVersionFixed(version=0.11.0, dependency=1.2.24, time=2017-11-16 03:26:18 UTC),	Latest, "DependencyVersion(version=1.2.40, time=2017-11-04 10:23:27 UTC)"

ProjectVersionFixed(version=0.11.1, dependency=1.2.24, time=2017-11-17 13:14:42 UTC),	Latest, "DependencyVersion(version=1.2.41, time=2017-11-17 13:08:24 UTC)"

ProjectVersionFixed(version=0.11.2, dependency=1.2.24, time=2017-11-24 12:03:30 UTC),	Latest, "DependencyVersion(version=1.2.41, time=2017-11-17 13:08:24 UTC)"

ProjectVersionFixed(version=0.11.3, dependency=1.2.24, time=2017-11-28 03:22:27 UTC),	Latest, "DependencyVersion(version=1.2.41, time=2017-11-17 13:08:24 UTC)"

ProjectVersionFixed(version=0.11.4, dependency=1.2.24, time=2017-12-07 09:07:54 UTC),	Latest, "DependencyVersion(version=1.2.41, time=2017-11-17 13:08:24 UTC)"


Project B:
DependencyVersion(version=1.1.15, time=2012-02-07 07:40:16 UTC)
DependencyVersion(version=1.1.16, time=2012-03-14 12:15:30 UTC)
DependencyVersion(version=1.1.17, time=2012-03-14 13:46:23 UTC)
DependencyVersion(version=1.1.18, time=2012-04-11 01:57:42 UTC)
DependencyVersion(version=1.1.19, time=2012-05-10 06:14:53 UTC)
DependencyVersion(version=1.1.20, time=2012-06-06 02:59:06 UTC)
DependencyVersion(version=1.1.21, time=2012-06-19 01:50:38 UTC)
DependencyVersion(version=1.1.22, time=2012-07-11 08:20:24 UTC)
DependencyVersion(version=1.1.23, time=2012-08-02 02:17:24 UTC)
DependencyVersion(version=1.1.24, time=2012-10-11 05:25:18 UTC)
DependencyVersion(version=1.1.25, time=2012-11-19 07:02:44 UTC)
DependencyVersion(version=1.1.26, time=2012-11-30 15:39:41 UTC)
DependencyVersion(version=1.1.27, time=2013-01-11 13:23:00 UTC)
DependencyVersion(version=1.1.28, time=2013-03-15 14:50:29 UTC)
DependencyVersion(version=1.1.29, time=2013-04-08 14:33:27 UTC)
DependencyVersion(version=1.1.30, time=2013-05-01 09:23:49 UTC)
DependencyVersion(version=1.1.31, time=2013-05-12 05:38:53 UTC)
DependencyVersion(version=1.1.31.sec01, time=2017-03-10 04:21:10 UTC)
DependencyVersion(version=1.1.32, time=2013-06-23 15:29:02 UTC)
DependencyVersion(version=1.1.33, time=2013-07-12 06:41:25 UTC)
DependencyVersion(version=1.1.33.android, time=2013-07-14 02:39:22 UTC)
DependencyVersion(version=1.1.33.sec01, time=2017-03-10 04:17:51 UTC)
DependencyVersion(version=1.1.34, time=2013-07-18 12:53:27 UTC)
DependencyVersion(version=1.1.34.android, time=2013-07-19 16:30:02 UTC)
DependencyVersion(version=1.1.34.sec01, time=2017-03-10 04:22:08 UTC)
DependencyVersion(version=1.1.35, time=2013-07-28 04:20:37 UTC)
DependencyVersion(version=1.1.36, time=2013-08-28 09:49:48 UTC)
DependencyVersion(version=1.1.37, time=2013-10-20 16:32:59 UTC)
DependencyVersion(version=1.1.38, time=2014-01-03 07:59:17 UTC)
DependencyVersion(version=1.1.39, time=2014-02-24 09:15:14 UTC)
DependencyVersion(version=1.1.40, time=2014-05-05 04:50:20 UTC)
DependencyVersion(version=1.1.41, time=2014-05-20 07:54:57 UTC)
DependencyVersion(version=1.1.41.sec01, time=2017-03-10 04:11:38 UTC)
DependencyVersion(version=1.1.42, time=2014-10-11 08:36:41 UTC)
DependencyVersion(version=1.1.42.android, time=2014-10-11 09:45:35 UTC)
DependencyVersion(version=1.1.43, time=2014-10-13 09:23:00 UTC)
DependencyVersion(version=1.1.43.android, time=2014-10-13 08:35:00 UTC)
DependencyVersion(version=1.1.44, time=2014-10-28 12:01:17 UTC)
DependencyVersion(version=1.1.44.android, time=2014-10-28 12:19:44 UTC)
DependencyVersion(version=1.1.45, time=2014-11-05 02:37:57 UTC)
DependencyVersion(version=1.1.45.android, time=2014-11-05 02:40:32 UTC)
DependencyVersion(version=1.1.46, time=2014-11-20 10:23:44 UTC)
DependencyVersion(version=1.1.46.android, time=2015-10-27 07:01:57 UTC)
DependencyVersion(version=1.1.46.sec01, time=2017-03-10 04:19:56 UTC)
DependencyVersion(version=1.1.47.android, time=2016-04-04 04:08:35 UTC)
DependencyVersion(version=1.1.48.android, time=2016-04-10 16:27:48 UTC)
DependencyVersion(version=1.1.49.android, time=2016-04-17 13:01:23 UTC)
DependencyVersion(version=1.1.50.android, time=2016-04-23 09:27:56 UTC)
DependencyVersion(version=1.1.51.android, time=2016-05-01 14:48:59 UTC)
DependencyVersion(version=1.1.52.android, time=2016-05-21 12:44:58 UTC)
DependencyVersion(version=1.1.53.android, time=2016-08-14 15:24:53 UTC)
DependencyVersion(version=1.1.54.android, time=2016-08-28 12:43:39 UTC)
DependencyVersion(version=1.1.55.android, time=2016-11-20 08:07:11 UTC)
DependencyVersion(version=1.1.56.android, time=2017-01-15 04:43:25 UTC)
DependencyVersion(version=1.1.57.android, time=2017-05-02 14:30:14 UTC)
DependencyVersion(version=1.1.58.android, time=2017-05-30 16:45:48 UTC)
DependencyVersion(version=1.1.59.android, time=2017-07-02 04:37:20 UTC)
DependencyVersion(version=1.1.60.android, time=2017-07-22 22:10:32 UTC)
DependencyVersion(version=1.1.61.android, time=2017-08-08 14:04:28 UTC)
DependencyVersion(version=1.1.62.android, time=2017-08-16 14:18:11 UTC)
DependencyVersion(version=1.1.63.android, time=2017-09-03 15:31:33 UTC)
DependencyVersion(version=1.1.64.android, time=2017-10-08 05:54:17 UTC)
DependencyVersion(version=1.1.65.android, time=2017-11-03 10:54:07 UTC)
DependencyVersion(version=1.1.66.android, time=2017-11-17 06:41:13 UTC)
DependencyVersion(version=1.1.67.android, time=2017-11-17 12:42:21 UTC)
DependencyVersion(version=1.1.68.android, time=2018-01-01 15:37:30 UTC)
DependencyVersion(version=1.1.69.android, time=2018-08-05 18:27:02 UTC)
DependencyVersion(version=1.1.70.android, time=2018-08-05 17:08:16 UTC)
DependencyVersion(version=1.2.0, time=2014-10-28 13:04:38 UTC)
DependencyVersion(version=1.2.1, time=2014-11-05 02:44:07 UTC)
DependencyVersion(version=1.2.10, time=2016-04-23 15:11:12 UTC)
DependencyVersion(version=1.2.11, time=2016-05-02 05:53:22 UTC)
DependencyVersion(version=1.2.12, time=2016-05-21 16:57:21 UTC)
DependencyVersion(version=1.2.13, time=2016-06-27 15:39:57 UTC)
DependencyVersion(version=1.2.13.sec01, time=2017-03-10 04:15:41 UTC)
DependencyVersion(version=1.2.14, time=2016-07-17 11:48:04 UTC)
DependencyVersion(version=1.2.14.sec01, time=2017-03-10 04:14:41 UTC)
DependencyVersion(version=1.2.15, time=2016-07-31 08:26:37 UTC)
DependencyVersion(version=1.2.16, time=2016-08-14 11:48:14 UTC)
DependencyVersion(version=1.2.16.sec01, time=2017-03-10 04:12:48 UTC)
DependencyVersion(version=1.2.17, time=2016-09-06 03:41:01 UTC)
DependencyVersion(version=1.2.18, time=2016-10-15 05:47:37 UTC)
DependencyVersion(version=1.2.19, time=2016-10-20 03:39:32 UTC)
DependencyVersion(version=1.2.2, time=2014-11-20 10:22:35 UTC)
DependencyVersion(version=1.2.20, time=2016-10-22 04:03:26 UTC)
DependencyVersion(version=1.2.21, time=2016-11-12 21:42:29 UTC)
DependencyVersion(version=1.2.22, time=2016-12-10 06:36:31 UTC)
DependencyVersion(version=1.2.23, time=2016-12-20 13:26:12 UTC)
DependencyVersion(version=1.2.24, time=2017-01-19 09:04:43 UTC)
DependencyVersion(version=1.2.25, time=2017-03-10 04:02:46 UTC)
DependencyVersion(version=1.2.26, time=2017-03-10 04:04:31 UTC)
DependencyVersion(version=1.2.27, time=2017-03-10 04:05:49 UTC)
DependencyVersion(version=1.2.28, time=2017-03-10 04:06:48 UTC)
DependencyVersion(version=1.2.28.odps, time=2017-03-10 04:07:45 UTC)
DependencyVersion(version=1.2.29, time=2017-03-16 11:37:51 UTC)
DependencyVersion(version=1.2.2.sec01, time=2017-03-10 04:13:43 UTC)
DependencyVersion(version=1.2.3, time=2014-12-02 10:47:52 UTC)
DependencyVersion(version=1.2.30, time=2017-03-26 14:25:43 UTC)
DependencyVersion(version=1.2.31, time=2017-04-03 07:50:52 UTC)
DependencyVersion(version=1.2.32, time=2017-05-09 18:24:38 UTC)
DependencyVersion(version=1.2.33, time=2017-06-11 17:27:34 UTC)
DependencyVersion(version=1.2.34, time=2017-07-02 14:17:58 UTC)
DependencyVersion(version=1.2.35, time=2017-07-16 04:53:45 UTC)
DependencyVersion(version=1.2.36, time=2017-08-08 16:19:20 UTC)
DependencyVersion(version=1.2.37, time=2017-08-16 13:56:12 UTC)
DependencyVersion(version=1.2.38, time=2017-09-01 12:40:56 UTC)
DependencyVersion(version=1.2.39, time=2017-10-01 14:35:15 UTC)
DependencyVersion(version=1.2.4, time=2015-01-14 11:08:00 UTC)
DependencyVersion(version=1.2.40, time=2017-11-04 10:23:27 UTC)
DependencyVersion(version=1.2.41, time=2017-11-17 13:08:24 UTC)
DependencyVersion(version=1.2.42, time=2017-12-12 12:07:54 UTC)
DependencyVersion(version=1.2.43, time=2017-12-16 04:39:59 UTC)
DependencyVersion(version=1.2.44, time=2017-12-21 01:54:12 UTC)
DependencyVersion(version=1.2.45, time=2018-01-21 07:05:52 UTC)
DependencyVersion(version=1.2.46, time=2018-02-05 06:58:53 UTC)
DependencyVersion(version=1.2.47, time=2018-03-15 09:25:19 UTC)
DependencyVersion(version=1.2.48, time=2018-08-04 22:36:07 UTC)
DependencyVersion(version=1.2.49, time=2018-08-04 22:23:27 UTC)
DependencyVersion(version=1.2.4.sec01, time=2017-03-10 04:16:48 UTC)
DependencyVersion(version=1.2.5, time=2015-03-23 15:38:08 UTC)
DependencyVersion(version=1.2.50, time=2018-09-30 18:00:26 UTC)
DependencyVersion(version=1.2.51, time=2018-09-30 17:04:43 UTC)
DependencyVersion(version=1.2.52, time=2018-11-18 08:29:05 UTC)
DependencyVersion(version=1.2.53, time=2018-11-21 07:11:59 UTC)
DependencyVersion(version=1.2.54, time=2018-11-29 11:58:14 UTC)
DependencyVersion(version=1.2.6, time=2015-05-21 09:15:00 UTC)
DependencyVersion(version=1.2.7, time=2015-09-01 07:22:01 UTC)
DependencyVersion(version=1.2.7.sec01, time=2017-03-10 04:18:47 UTC)
DependencyVersion(version=1.2.8, time=2016-02-28 08:54:24 UTC)
DependencyVersion(version=1.2.8.sec01, time=2017-03-10 04:23:14 UTC)
DependencyVersion(version=1.2.9, time=2016-04-18 12:25:19 UTC)
