
Project information
com.landoop:json-sql_2.11 (2577645)	com.fasterxml.jackson.module:jackson-module-scala_2.11 (414424)	Package Manager: Maven
RepoID: 9634864
Tag information:
CommitInfo{repo='GitHub', hash='4ff972b27473d59267f02bdd9580063c455de839', version='0.1'}
CommitInfo{repo='GitHub', hash='452713a292570d65aeac5a32a7b7ab997e15747e', version='0.2'}
CommitInfo{repo='GitHub', hash='eaf038f0ad3ad8ef68cdf219fd336f531f50f9e3', version='0.2.1'}
CommitInfo{repo='GitHub', hash='0c8069a183266142f435d30167f2dc0353e2ad20', version='0.2.2'}
CommitInfo{repo='GitHub', hash='15a336f2580567f8535f77249f3de62b530c9e0e', version='0.2.2.1'}
CommitInfo{repo='GitHub', hash='ddcca8bfdd9937eeed576f4d7723be6d5731e003', version='0.3'}
CommitInfo{repo='GitHub', hash='06f325ff94c0f44470f20ae471c027c6d81dee15', version='0.3.1'}
CommitInfo{repo='GitHub', hash='30d35c28d1c5ed2efe358e743cb4bf7e60753b31', version='0.3.2'}
CommitInfo{repo='GitHub', hash='e2011b9bef04e539c1f314fb4ab861d4d8f63840', version='0.3.3'}
CommitInfo{repo='GitHub', hash='5f5da8da146186b1d9594d15ac1cc6e7adbd37e5', version='0.3.4'}
CommitInfo{repo='GitHub', hash='ed28a60deadbc53414f16996d1b070d6870d3bb5', version='0.3.5'}
CommitInfo{repo='GitHub', hash='8aaf9474b69349e4de3fec2c8a958247ee123c3e', version='0.3.7'}
CommitInfo{repo='GitHub', hash='b698352e70ac327499cced903c342b1655f5be79', version='0.3.8'}
CommitInfo{repo='GitHub', hash='7daac6edd93a2cbdc54ef728a58c67f4514490f0', version='1.0.5'}
CommitInfo{repo='GitHub', hash='b870122ccb451469d0e6187dfc1ac6502daca68e', version='v0.4.1'}
CommitInfo{repo='GitHub', hash='b870122ccb451469d0e6187dfc1ac6502daca68e', version='v0.4.2'}
CommitInfo{repo='GitHub', hash='20c830633ef8d2edaac6d5802783b6b90fd9d387', version='v0.5'}
CommitInfo{repo='GitHub', hash='d725a41c1675cb5ef6afebac3a4702046d45994f', version='v0.6.2'}
CommitInfo{repo='GitHub', hash='d725a41c1675cb5ef6afebac3a4702046d45994f', version='v0.6.2'}
CommitInfo{repo='GitHub', hash='f3c41c56f200854b6906e81dd0baf757fd6e64e7', version='y'}

Project A:
ProjectVersionFixed(version=0.1, dependency=2.8.4, time=2017-04-17 16:42:28 UTC),	Latest, "DependencyVersion(version=2.9.0.pr2, time=2017-03-25 19:15:01 UTC)"

ProjectVersionFixed(version=0.1.1, dependency=2.7.2, time=2017-04-17 23:44:15 UTC),	Latest, "DependencyVersion(version=2.9.0.pr2, time=2017-03-25 19:15:01 UTC)"

ProjectVersionFixed(version=0.1.2, dependency=2.7.2, time=2017-04-17 23:50:39 UTC),	Latest, "DependencyVersion(version=2.9.0.pr2, time=2017-03-25 19:15:01 UTC)"

ProjectVersionFixed(version=0.1.3, dependency=2.8.5, time=2017-04-18 20:19:26 UTC),	Latest, "DependencyVersion(version=2.9.0.pr2, time=2017-03-25 19:15:01 UTC)"

ProjectVersionFixed(version=0.2, dependency=2.8.5, time=2017-04-18 20:57:44 UTC),	Latest, "DependencyVersion(version=2.9.0.pr2, time=2017-03-25 19:15:01 UTC)"

ProjectVersionFixed(version=0.3, dependency=2.8.5, time=2017-04-19 20:50:58 UTC),	Latest, "DependencyVersion(version=2.9.0.pr2, time=2017-03-25 19:15:01 UTC)"

ProjectVersionFixed(version=0.4, dependency=2.8.5, time=2017-04-21 23:07:50 UTC),	Latest, "DependencyVersion(version=2.9.0.pr2, time=2017-03-25 19:15:01 UTC)"

ProjectVersionFixed(version=1.0, dependency=2.9.1, time=2018-01-10 16:02:23 UTC),	Latest, "DependencyVersion(version=2.9.2, time=2017-11-12 21:23:52 UTC)"

ProjectVersionFixed(version=1.0.1, dependency=2.9.1, time=2018-01-12 17:24:33 UTC),	Latest, "DependencyVersion(version=2.9.2, time=2017-11-12 21:23:52 UTC)"


Project B:
DependencyVersion(version=2.4.0, time=2014-06-26 03:27:39 UTC)
DependencyVersion(version=2.4.0-rc1, time=2014-05-01 05:32:51 UTC)
DependencyVersion(version=2.4.0-rc2, time=2014-05-10 03:30:36 UTC)
DependencyVersion(version=2.4.1, time=2014-06-26 04:10:20 UTC)
DependencyVersion(version=2.4.2, time=2014-08-17 21:00:59 UTC)
DependencyVersion(version=2.4.3, time=2014-10-14 04:07:00 UTC)
DependencyVersion(version=2.4.4, time=2014-12-02 04:41:18 UTC)
DependencyVersion(version=2.4.5, time=2015-01-21 05:38:24 UTC)
DependencyVersion(version=2.4.5-1, time=2015-02-12 06:14:16 UTC)
DependencyVersion(version=2.5.0, time=2015-01-21 05:42:45 UTC)
DependencyVersion(version=2.5.1, time=2015-02-12 06:03:12 UTC)
DependencyVersion(version=2.5.2, time=2015-04-13 12:08:08 UTC)
DependencyVersion(version=2.5.3, time=2015-06-22 05:49:54 UTC)
DependencyVersion(version=2.6.0, time=2015-07-20 09:31:42 UTC)
DependencyVersion(version=2.6.0-1, time=2015-07-19 21:49:14 UTC)
DependencyVersion(version=2.6.0-rc2, time=2015-06-22 05:41:00 UTC)
DependencyVersion(version=2.6.0-rc4, time=2015-07-19 18:59:17 UTC)
DependencyVersion(version=2.6.1, time=2015-08-11 03:46:27 UTC)
DependencyVersion(version=2.6.2, time=2015-10-27 03:02:52 UTC)
DependencyVersion(version=2.6.3, time=2015-10-27 03:11:59 UTC)
DependencyVersion(version=2.6.4, time=2016-02-29 04:14:47 UTC)
DependencyVersion(version=2.6.5, time=2016-03-01 06:19:58 UTC)
DependencyVersion(version=2.6.6, time=2016-04-18 13:22:08 UTC)
DependencyVersion(version=2.6.7, time=2016-06-06 11:05:39 UTC)
DependencyVersion(version=2.6.7.1, time=2017-03-08 17:39:32 UTC)
DependencyVersion(version=2.7.2, time=2016-03-01 06:33:32 UTC)
DependencyVersion(version=2.7.3, time=2016-04-18 10:58:48 UTC)
DependencyVersion(version=2.7.4, time=2016-06-02 15:52:56 UTC)
DependencyVersion(version=2.7.5, time=2016-07-15 05:59:43 UTC)
DependencyVersion(version=2.7.6, time=2016-08-30 15:14:05 UTC)
DependencyVersion(version=2.7.7, time=2016-08-30 15:30:10 UTC)
DependencyVersion(version=2.7.8, time=2016-09-27 20:13:29 UTC)
DependencyVersion(version=2.7.9, time=2017-02-21 19:23:00 UTC)
DependencyVersion(version=2.8.0.rc1, time=2016-07-15 08:16:30 UTC)
DependencyVersion(version=2.8.0.rc2, time=2016-07-15 08:26:37 UTC)
DependencyVersion(version=2.8.1, time=2016-08-30 13:44:53 UTC)
DependencyVersion(version=2.8.10, time=2017-09-11 09:18:02 UTC)
DependencyVersion(version=2.8.11, time=2018-01-28 23:08:24 UTC)
DependencyVersion(version=2.8.2, time=2016-08-30 15:35:55 UTC)
DependencyVersion(version=2.8.3, time=2016-09-27 20:05:23 UTC)
DependencyVersion(version=2.8.4, time=2016-11-10 04:41:35 UTC)
DependencyVersion(version=2.8.5, time=2017-01-17 10:08:28 UTC)
DependencyVersion(version=2.8.6, time=2017-01-17 10:19:13 UTC)
DependencyVersion(version=2.8.7, time=2017-02-21 18:42:01 UTC)
DependencyVersion(version=2.8.8, time=2017-04-05 18:50:28 UTC)
DependencyVersion(version=2.8.9, time=2017-06-12 21:52:08 UTC)
DependencyVersion(version=2.9.0, time=2017-07-30 17:10:42 UTC)
DependencyVersion(version=2.9.0.pr1, time=2017-03-08 16:27:50 UTC)
DependencyVersion(version=2.9.0.pr2, time=2017-03-25 19:15:01 UTC)
DependencyVersion(version=2.9.0.pr3, time=2017-04-25 19:46:31 UTC)
DependencyVersion(version=2.9.1, time=2017-09-11 08:56:39 UTC)
DependencyVersion(version=2.9.2, time=2017-11-12 21:23:52 UTC)
DependencyVersion(version=2.9.4, time=2018-01-28 22:57:09 UTC)
DependencyVersion(version=2.9.5, time=2018-03-28 19:22:01 UTC)
DependencyVersion(version=2.9.6, time=2018-06-14 20:28:39 UTC)
