
Project information
org.vivoweb:orcid-api-client (2601027)	org.apache.httpcomponents:fluent-hc (640631)	Package Manager: Maven
RepoID: null
Repo Owner/Name: null
Repository type: null

 

Tag information:

Project A:
ProjectVersionFixed(version=0.3, dependency=4.5.2, time=2017-07-27 16:26:48 UTC),	Latest, "DependencyVersion(version=4.5.3, time=2017-01-21 16:00:58 UTC)"

ProjectVersionFixed(version=0.4, dependency=4.5.2, time=2017-08-17 22:33:16 UTC),	Latest, "DependencyVersion(version=4.5.3, time=2017-01-21 16:00:58 UTC)"

ProjectVersionFixed(version=0.5, dependency=4.5.2, time=2017-08-31 14:55:11 UTC),	Latest, "DependencyVersion(version=4.5.3, time=2017-01-21 16:00:58 UTC)"

ProjectVersionFixed(version=0.5.1, dependency=4.5.2, time=2017-09-18 13:15:45 UTC),	Latest, "DependencyVersion(version=4.5.3, time=2017-01-21 16:00:58 UTC)"

ProjectVersionFixed(version=0.6.0, dependency=4.5.2, time=2017-09-27 21:58:37 UTC),	Latest, "DependencyVersion(version=4.5.3, time=2017-01-21 16:00:58 UTC)"

ProjectVersionFixed(version=0.6.0-hc425, dependency=4.2.5, time=2017-10-16 15:52:09 UTC),	Latest, "DependencyVersion(version=4.5.3, time=2017-01-21 16:00:58 UTC)"

ProjectVersionFixed(version=0.6.1, dependency=4.5.2, time=2017-11-05 16:29:50 UTC),	Latest, "DependencyVersion(version=4.5.3, time=2017-01-21 16:00:58 UTC)"

ProjectVersionFixed(version=0.6.2, dependency=4.5.2, time=2017-11-20 15:09:16 UTC),	Latest, "DependencyVersion(version=4.5.3, time=2017-01-21 16:00:58 UTC)"


Project B:
DependencyVersion(version=4.2, time=2012-05-17 12:27:12 UTC)
DependencyVersion(version=4.2.1, time=2012-06-29 20:54:57 UTC)
DependencyVersion(version=4.2.2, time=2012-10-21 10:20:47 UTC)
DependencyVersion(version=4.2.3, time=2013-01-10 22:20:25 UTC)
DependencyVersion(version=4.2.4, time=2013-04-05 14:56:35 UTC)
DependencyVersion(version=4.2.5, time=2013-04-19 16:30:52 UTC)
DependencyVersion(version=4.2.6, time=2013-09-04 18:18:12 UTC)
DependencyVersion(version=4.2-alpha1, time=2011-10-30 16:05:21 UTC)
DependencyVersion(version=4.2-beta1, time=2012-02-06 17:53:37 UTC)
DependencyVersion(version=4.3, time=2013-09-04 18:23:46 UTC)
DependencyVersion(version=4.3.1, time=2013-10-03 19:44:12 UTC)
DependencyVersion(version=4.3.2, time=2014-01-15 18:45:12 UTC)
DependencyVersion(version=4.3.3, time=2014-02-22 14:06:53 UTC)
DependencyVersion(version=4.3.4, time=2014-05-31 15:21:00 UTC)
DependencyVersion(version=4.3.5, time=2014-07-30 18:25:03 UTC)
DependencyVersion(version=4.3.6, time=2014-11-02 13:47:00 UTC)
DependencyVersion(version=4.3-alpha1, time=2013-01-16 17:33:28 UTC)
DependencyVersion(version=4.3-beta1, time=2013-04-05 15:03:24 UTC)
DependencyVersion(version=4.3-beta2, time=2013-06-08 15:20:14 UTC)
DependencyVersion(version=4.4, time=2015-01-27 20:58:22 UTC)
DependencyVersion(version=4.4.1, time=2015-03-24 15:44:39 UTC)
DependencyVersion(version=4.4-alpha1, time=2014-06-25 14:27:06 UTC)
DependencyVersion(version=4.4-beta1, time=2014-09-22 17:13:55 UTC)
DependencyVersion(version=4.5, time=2015-05-31 11:16:37 UTC)
DependencyVersion(version=4.5.1, time=2015-09-11 12:57:59 UTC)
DependencyVersion(version=4.5.2, time=2016-02-21 16:07:13 UTC)
DependencyVersion(version=4.5.3, time=2017-01-21 16:00:58 UTC)
DependencyVersion(version=4.5.4, time=2017-11-27 09:43:10 UTC)
DependencyVersion(version=4.5.5, time=2018-01-18 11:54:53 UTC)
DependencyVersion(version=4.5.6, time=2018-07-05 11:43:23 UTC)
