
Project information
io.joshworks.unirest:unirest-java (2656500)	org.apache.httpcomponents:httpmime (411409)	Package Manager: Maven
RepoID: 22212930
Tag information:
CommitInfo{repo='GitHub', hash='10b8ec31945e861514e3e9aa1b441f0a7318c897', version='0.2'}

Project A:
ProjectVersionFixed(version=0.1, dependency=4.5.2, time=2017-06-13 21:25:12 UTC),	Latest, "DependencyVersion(version=4.5.3, time=2017-01-21 16:00:42 UTC)"

ProjectVersionFixed(version=0.2, dependency=4.5.2, time=2017-06-14 23:37:43 UTC),	Latest, "DependencyVersion(version=4.5.3, time=2017-01-21 16:00:42 UTC)"

ProjectVersionFixed(version=0.2.1, dependency=4.3.6, time=2017-07-09 18:57:03 UTC),	Latest, "DependencyVersion(version=4.5.3, time=2017-01-21 16:00:42 UTC)"

ProjectVersionFixed(version=1.4.10, dependency=4.5.2, time=2017-05-13 15:34:08 UTC),	Latest, "DependencyVersion(version=4.5.3, time=2017-01-21 16:00:42 UTC)"

ProjectVersionFixed(version=1.5.0, dependency=4.3.6, time=2017-11-14 01:23:00 UTC),	Latest, "DependencyVersion(version=4.5.3, time=2017-01-21 16:00:42 UTC)"

ProjectVersionFixed(version=1.6.0, dependency=4.5.3, time=2018-03-23 01:25:11 UTC),	Latest, "DependencyVersion(version=4.5.5, time=2018-01-18 11:54:34 UTC)"


Project B:
DependencyVersion(version=4.0, time=2009-08-11 18:53:30 UTC)
DependencyVersion(version=4.0.1, time=2009-12-09 19:22:02 UTC)
DependencyVersion(version=4.0.2, time=2010-09-02 20:47:11 UTC)
DependencyVersion(version=4.0.3, time=2010-09-15 19:22:49 UTC)
DependencyVersion(version=4.0-alpha3, time=2008-02-25 08:53:18 UTC)
DependencyVersion(version=4.0-alpha4, time=2008-05-07 21:46:25 UTC)
DependencyVersion(version=4.0-beta1, time=2008-08-28 21:08:00 UTC)
DependencyVersion(version=4.0-beta2, time=2008-12-17 19:25:56 UTC)
DependencyVersion(version=4.1, time=2011-01-17 20:18:38 UTC)
DependencyVersion(version=4.1.1, time=2011-03-14 21:07:44 UTC)
DependencyVersion(version=4.1.2, time=2011-07-29 22:02:17 UTC)
DependencyVersion(version=4.1.3, time=2012-02-02 12:15:32 UTC)
DependencyVersion(version=4.1-alpha1, time=2009-12-09 19:28:26 UTC)
DependencyVersion(version=4.1-alpha2, time=2010-05-17 19:19:07 UTC)
DependencyVersion(version=4.1-beta1, time=2010-11-17 20:13:40 UTC)
DependencyVersion(version=4.2, time=2012-05-17 12:26:49 UTC)
DependencyVersion(version=4.2.1, time=2012-06-29 20:54:37 UTC)
DependencyVersion(version=4.2.2, time=2012-10-21 10:20:26 UTC)
DependencyVersion(version=4.2.3, time=2013-01-10 22:20:04 UTC)
DependencyVersion(version=4.2.4, time=2013-04-05 14:56:04 UTC)
DependencyVersion(version=4.2.5, time=2013-04-19 16:30:20 UTC)
DependencyVersion(version=4.2.6, time=2013-09-04 18:16:56 UTC)
DependencyVersion(version=4.2-alpha1, time=2011-10-30 16:04:57 UTC)
DependencyVersion(version=4.2-beta1, time=2012-02-06 17:53:10 UTC)
DependencyVersion(version=4.3, time=2013-09-04 18:23:10 UTC)
DependencyVersion(version=4.3.1, time=2013-10-03 19:43:47 UTC)
DependencyVersion(version=4.3.2, time=2014-01-15 18:44:49 UTC)
DependencyVersion(version=4.3.3, time=2014-02-22 14:06:34 UTC)
DependencyVersion(version=4.3.4, time=2014-05-31 15:21:08 UTC)
DependencyVersion(version=4.3.5, time=2014-07-30 18:24:00 UTC)
DependencyVersion(version=4.3.6, time=2014-11-02 13:46:00 UTC)
DependencyVersion(version=4.3-alpha1, time=2013-01-16 17:33:06 UTC)
DependencyVersion(version=4.3-beta1, time=2013-04-05 15:02:50 UTC)
DependencyVersion(version=4.3-beta2, time=2013-06-08 15:18:06 UTC)
DependencyVersion(version=4.4, time=2015-01-27 20:57:00 UTC)
DependencyVersion(version=4.4.1, time=2015-03-24 15:44:00 UTC)
DependencyVersion(version=4.4-alpha1, time=2014-06-25 14:26:37 UTC)
DependencyVersion(version=4.4-beta1, time=2014-09-22 17:13:32 UTC)
DependencyVersion(version=4.5, time=2015-05-31 11:15:00 UTC)
DependencyVersion(version=4.5.1, time=2015-09-11 12:57:32 UTC)
DependencyVersion(version=4.5.2, time=2016-02-21 16:06:47 UTC)
DependencyVersion(version=4.5.3, time=2017-01-21 16:00:42 UTC)
DependencyVersion(version=4.5.4, time=2017-11-27 09:42:53 UTC)
DependencyVersion(version=4.5.5, time=2018-01-18 11:54:34 UTC)
DependencyVersion(version=4.5.6, time=2018-07-05 11:43:05 UTC)
