
Project information
io.mockk:mockk-agent-api (3055558)	org.jetbrains.kotlin:kotlin-test-junit (2237813)	Package Manager: Maven
RepoID: null
Repo Owner/Name: null
Repository type: null

 

Tag information:

Project A:
ProjectVersionFixed(version=1.8, dependency=null, time=2018-05-15 17:57:25 UTC)
ProjectVersionFixed(version=1.8.1, dependency=null, time=2018-06-04 17:18:17 UTC)
ProjectVersionFixed(version=1.8.2, dependency=null, time=2018-06-06 18:53:13 UTC)
ProjectVersionFixed(version=1.8.3, dependency=null, time=2018-06-07 19:10:54 UTC)
ProjectVersionFixed(version=1.8.4, dependency=null, time=2018-06-23 15:57:11 UTC)
ProjectVersionFixed(version=1.8.5, dependency=null, time=2018-07-01 21:01:59 UTC)
ProjectVersionFixed(version=1.8.6, dependency=null, time=2018-08-04 06:56:15 UTC)
ProjectVersionFixed(version=1.8.7, dependency=null, time=2018-09-02 21:10:06 UTC)
ProjectVersionFixed(version=1.8.8, dependency=null, time=2018-09-27 06:28:38 UTC)
ProjectVersionFixed(version=1.8.8.kotlin13, dependency=null, time=2018-09-28 17:02:28 UTC)
ProjectVersionFixed(version=1.8.9, dependency=1.2.71, time=2018-09-30 20:03:57 UTC),	Latest, "null"

ProjectVersionFixed(version=1.8.9.kotlin13, dependency=1.3.0-rc-80, time=2018-09-30 20:19:34 UTC),	Latest, "null"

ProjectVersionFixed(version=1.8.10, dependency=1.2.71, time=2018-10-30 22:21:33 UTC),	Latest, "DependencyVersion(version=1.3.0, time=2018-10-29 08:18:32 UTC)"

ProjectVersionFixed(version=1.8.10.kotlin13, dependency=1.3.0, time=2018-10-30 22:41:20 UTC),	Latest, "DependencyVersion(version=1.3.0-rc-198, time=2018-10-22 11:35:37 UTC)"

ProjectVersionFixed(version=1.8.11, dependency=1.2.71, time=2018-11-03 19:01:47 UTC),	Latest, "DependencyVersion(version=1.3.0, time=2018-10-29 08:18:32 UTC)"

ProjectVersionFixed(version=1.8.11.kotlin13, dependency=1.3.0, time=2018-11-03 19:25:14 UTC),	Latest, "DependencyVersion(version=1.3.0-rc-198, time=2018-10-22 11:35:37 UTC)"

ProjectVersionFixed(version=1.8.12, dependency=1.2.71, time=2018-11-04 18:03:15 UTC),	Latest, "DependencyVersion(version=1.3.0, time=2018-10-29 08:18:32 UTC)"

ProjectVersionFixed(version=1.8.12.kotlin13, dependency=1.3.0, time=2018-11-04 18:26:25 UTC),	Latest, "DependencyVersion(version=1.3.0-rc-198, time=2018-10-22 11:35:37 UTC)"


Project B:
DependencyVersion(version=1.0.0, time=2016-02-14 13:01:23 UTC)
DependencyVersion(version=1.0.0-beta-4583, time=2015-12-22 16:09:26 UTC)
DependencyVersion(version=1.0.0-beta-4584, time=2015-12-23 15:47:46 UTC)
DependencyVersion(version=1.0.0-beta-4589, time=2016-01-19 13:33:42 UTC)
DependencyVersion(version=1.0.0-rc-1036, time=2016-02-04 11:30:14 UTC)
DependencyVersion(version=1.0.1, time=2016-03-16 14:52:39 UTC)
DependencyVersion(version=1.0.1-1, time=2016-03-22 13:22:05 UTC)
DependencyVersion(version=1.0.1-2, time=2016-03-28 13:47:52 UTC)
DependencyVersion(version=1.0.2, time=2016-05-13 05:44:31 UTC)
DependencyVersion(version=1.0.2-1, time=2016-06-15 11:08:57 UTC)
DependencyVersion(version=1.0.3, time=2016-06-28 23:46:31 UTC)
DependencyVersion(version=1.0.4, time=2016-09-22 15:15:10 UTC)
DependencyVersion(version=1.0.5, time=2016-11-08 14:46:04 UTC)
DependencyVersion(version=1.0.5-2, time=2016-11-15 13:34:47 UTC)
DependencyVersion(version=1.0.5-3, time=2016-12-15 15:07:02 UTC)
DependencyVersion(version=1.0.6, time=2016-12-27 14:25:34 UTC)
DependencyVersion(version=1.0.7, time=2017-03-15 16:30:54 UTC)
DependencyVersion(version=1.1.0, time=2017-03-01 09:12:20 UTC)
DependencyVersion(version=1.1.1, time=2017-03-14 11:42:28 UTC)
DependencyVersion(version=1.1.2, time=2017-04-25 15:47:19 UTC)
DependencyVersion(version=1.1.2-2, time=2017-04-28 11:54:56 UTC)
DependencyVersion(version=1.1.2-3, time=2017-05-04 11:09:35 UTC)
DependencyVersion(version=1.1.2-4, time=2017-05-17 19:57:34 UTC)
DependencyVersion(version=1.1.2-5, time=2017-06-09 06:46:37 UTC)
DependencyVersion(version=1.1.3, time=2017-06-23 14:55:13 UTC)
DependencyVersion(version=1.1.3-2, time=2017-07-04 14:38:51 UTC)
DependencyVersion(version=1.1.4, time=2017-08-14 16:42:52 UTC)
DependencyVersion(version=1.1.4-2, time=2017-08-18 15:52:13 UTC)
DependencyVersion(version=1.1.4-3, time=2017-08-29 14:36:03 UTC)
DependencyVersion(version=1.1.50, time=2017-09-21 19:03:28 UTC)
DependencyVersion(version=1.1.51, time=2017-09-28 16:50:32 UTC)
DependencyVersion(version=1.1.60, time=2017-11-13 02:32:01 UTC)
DependencyVersion(version=1.1.61, time=2017-11-24 14:28:43 UTC)
DependencyVersion(version=1.2.0, time=2017-11-27 19:02:23 UTC)
DependencyVersion(version=1.2.10, time=2017-12-13 14:56:02 UTC)
DependencyVersion(version=1.2.20, time=2018-01-16 18:21:11 UTC)
DependencyVersion(version=1.2.21, time=2018-01-23 12:59:36 UTC)
DependencyVersion(version=1.2.30, time=2018-02-28 17:13:15 UTC)
DependencyVersion(version=1.2.31, time=2018-03-22 17:13:47 UTC)
DependencyVersion(version=1.2.40, time=2018-04-19 13:13:34 UTC)
DependencyVersion(version=1.2.41, time=2018-04-27 01:56:51 UTC)
DependencyVersion(version=1.2.50, time=2018-06-13 13:46:15 UTC)
DependencyVersion(version=1.2.51, time=2018-07-03 07:27:12 UTC)
DependencyVersion(version=1.2.60, time=2018-08-01 14:32:20 UTC)
DependencyVersion(version=1.2.61, time=2018-08-17 14:48:10 UTC)
DependencyVersion(version=1.2.70, time=2018-09-12 11:08:31 UTC)
DependencyVersion(version=1.2.71, time=2018-09-24 10:10:20 UTC)
DependencyVersion(version=1.3.0, time=2018-10-29 08:18:32 UTC)
DependencyVersion(version=1.3.0-rc-190, time=2018-10-19 15:15:22 UTC)
DependencyVersion(version=1.3.0-rc-198, time=2018-10-22 11:35:37 UTC)
DependencyVersion(version=1.3.10, time=2018-11-13 13:48:32 UTC)
