
Project information
com.wix:http-testkit-core_2.11 (3121304)	com.typesafe.akka:akka-http_2.11 (2259070)	Package Manager: Maven
RepoID: 16599583
Tag information:

Project A:
ProjectVersionFixed(version=0.0.18, dependency=10.0.11, time=2018-01-29 12:30:03 UTC),	Latest, "DependencyVersion(version=10.1.0-RC1, time=2017-12-22 18:26:43 UTC)"

ProjectVersionFixed(version=0.1.0, dependency=10.0.9, time=2017-09-14 10:15:26 UTC),	Latest, "DependencyVersion(version=10.0.10, time=2017-08-31 14:37:55 UTC)"

ProjectVersionFixed(version=0.1.1, dependency=10.0.10, time=2017-10-24 09:31:18 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.2, dependency=10.0.10, time=2017-11-02 14:57:39 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.3, dependency=10.0.10, time=2017-11-06 16:33:25 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.4, dependency=10.0.10, time=2017-11-08 18:40:28 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.5, dependency=10.0.10, time=2017-11-12 17:53:16 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.6, dependency=10.0.10, time=2017-11-15 12:12:43 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.7, dependency=10.0.10, time=2017-11-16 11:09:09 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.8, dependency=10.0.10, time=2017-11-16 14:23:58 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.9, dependency=10.0.10, time=2017-11-21 16:10:16 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.10, dependency=10.0.10, time=2017-11-27 16:21:34 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.11, dependency=10.0.10, time=2017-11-29 09:59:55 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.12, dependency=10.0.10, time=2017-11-29 14:25:09 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.13, dependency=10.0.11, time=2017-12-03 10:55:31 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.14, dependency=10.0.11, time=2017-12-03 16:25:14 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.15, dependency=10.0.10, time=2017-12-04 09:32:05 UTC),	Latest, "DependencyVersion(version=10.0.11, time=2017-12-01 09:05:21 UTC)"

ProjectVersionFixed(version=0.1.16, dependency=10.0.10, time=2017-12-10 14:30:34 UTC),	Latest, "DependencyVersion(version=10.0.11, time=2017-12-01 09:05:21 UTC)"

ProjectVersionFixed(version=0.1.17, dependency=10.1.0-RC1, time=2017-12-28 08:54:18 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.18, dependency=10.1.0, time=2018-03-21 15:10:33 UTC),	Latest, "DependencyVersion(version=10.1.0-RC2, time=2018-02-12 16:31:00 UTC)"

ProjectVersionFixed(version=0.1.19, dependency=10.1.0, time=2018-04-12 13:13:21 UTC),	Latest, "DependencyVersion(version=10.1.1, time=2018-04-02 07:20:11 UTC)"


Project B:
DependencyVersion(version=10.0.0, time=2016-11-22 15:51:06 UTC)
DependencyVersion(version=10.0.0-RC2, time=2016-11-09 10:38:25 UTC)
DependencyVersion(version=10.0.1, time=2016-12-22 17:02:47 UTC)
DependencyVersion(version=10.0.10, time=2017-08-31 14:37:55 UTC)
DependencyVersion(version=10.0.11, time=2017-12-01 09:05:21 UTC)
DependencyVersion(version=10.0.12, time=2018-03-22 13:14:46 UTC)
DependencyVersion(version=10.0.13, time=2018-03-23 05:32:38 UTC)
DependencyVersion(version=10.0.14, time=2018-09-06 11:01:42 UTC)
DependencyVersion(version=10.0.2, time=2017-01-23 17:41:59 UTC)
DependencyVersion(version=10.0.3, time=2017-01-26 17:39:32 UTC)
DependencyVersion(version=10.0.4, time=2017-02-23 17:01:06 UTC)
DependencyVersion(version=10.0.5, time=2017-03-17 16:08:29 UTC)
DependencyVersion(version=10.0.6, time=2017-05-03 13:27:25 UTC)
DependencyVersion(version=10.0.7, time=2017-05-25 15:58:14 UTC)
DependencyVersion(version=10.0.8, time=2017-06-20 16:37:42 UTC)
DependencyVersion(version=10.0.9, time=2017-06-26 14:50:34 UTC)
DependencyVersion(version=10.1.0, time=2018-03-08 16:59:53 UTC)
DependencyVersion(version=10.1.0-RC1, time=2017-12-22 18:26:43 UTC)
DependencyVersion(version=10.1.0-RC2, time=2018-02-12 16:31:00 UTC)
DependencyVersion(version=10.1.1, time=2018-04-02 07:20:11 UTC)
DependencyVersion(version=10.1.2, time=2018-06-08 15:59:19 UTC)
DependencyVersion(version=10.1.3, time=2018-06-15 13:58:25 UTC)
DependencyVersion(version=10.1.4, time=2018-08-17 13:35:57 UTC)
DependencyVersion(version=10.1.5, time=2018-09-05 15:25:10 UTC)
DependencyVersion(version=3.0.0-RC1, time=2016-10-19 08:24:55 UTC)
