
Project information
com.graphhopper:directions-api-java-client-route-opt (3122976)	io.swagger:swagger-annotations (2235329)	Package Manager: Maven
RepoID: null
Repo Owner/Name: null
Repository type: null

 

Tag information:

Project A:
ProjectVersionFixed(version=0.7.0-RC1, dependency=1.5.8, time=2016-05-31 08:45:48 UTC),	Latest, "DependencyVersion(version=1.5.9, time=2016-05-15 04:05:46 UTC)"

ProjectVersionFixed(version=0.7.0-RC2, dependency=1.5.0, time=2016-06-07 22:16:18 UTC),	Latest, "DependencyVersion(version=1.5.9, time=2016-05-15 04:05:46 UTC)"

ProjectVersionFixed(version=0.7.0-RC3, dependency=1.5.0, time=2016-06-13 12:40:50 UTC),	Latest, "DependencyVersion(version=1.5.9, time=2016-05-15 04:05:46 UTC)"

ProjectVersionFixed(version=0.7.0-RC4, dependency=1.5.0, time=2016-06-13 13:42:00 UTC),	Latest, "DependencyVersion(version=1.5.9, time=2016-05-15 04:05:46 UTC)"

ProjectVersionFixed(version=0.7.0, dependency=1.5.0, time=2016-06-15 09:06:35 UTC),	Latest, "DependencyVersion(version=1.5.9, time=2016-05-15 04:05:46 UTC)"

ProjectVersionFixed(version=0.7.0.1, dependency=1.5.0, time=2016-06-22 18:59:00 UTC),	Latest, "DependencyVersion(version=1.5.9, time=2016-05-15 04:05:46 UTC)"

ProjectVersionFixed(version=0.7.0.2, dependency=1.5.0, time=2016-08-09 11:32:35 UTC),	Latest, "DependencyVersion(version=1.5.9, time=2016-05-15 04:05:46 UTC)"

ProjectVersionFixed(version=0.7.0.4, dependency=1.5.9, time=2016-09-06 07:28:40 UTC),	Latest, "DependencyVersion(version=1.5.10, time=2016-08-19 20:09:25 UTC)"

ProjectVersionFixed(version=0.7.0.5, dependency=1.5.9, time=2016-09-06 08:27:55 UTC),	Latest, "DependencyVersion(version=1.5.10, time=2016-08-19 20:09:25 UTC)"

ProjectVersionFixed(version=0.7.0.6, dependency=1.5.9, time=2016-09-06 12:31:08 UTC),	Latest, "DependencyVersion(version=1.5.10, time=2016-08-19 20:09:25 UTC)"

ProjectVersionFixed(version=0.7.0.7, dependency=1.5.9, time=2016-09-22 07:59:49 UTC),	Latest, "DependencyVersion(version=1.5.10, time=2016-08-19 20:09:25 UTC)"

ProjectVersionFixed(version=0.8.0-RC1, dependency=1.5.9, time=2016-10-13 08:54:56 UTC),	Latest, "DependencyVersion(version=1.5.10, time=2016-08-19 20:09:25 UTC)"

ProjectVersionFixed(version=0.8.0-RC2, dependency=1.5.9, time=2016-10-13 09:43:14 UTC),	Latest, "DependencyVersion(version=1.5.10, time=2016-08-19 20:09:25 UTC)"

ProjectVersionFixed(version=0.8.0, dependency=1.5.9, time=2016-10-18 09:14:58 UTC),	Latest, "DependencyVersion(version=1.5.10, time=2016-08-19 20:09:25 UTC)"

ProjectVersionFixed(version=0.8.1, dependency=1.5.9, time=2016-10-19 14:41:49 UTC),	Latest, "DependencyVersion(version=1.5.10, time=2016-08-19 20:09:25 UTC)"

ProjectVersionFixed(version=0.8.2, dependency=1.5.9, time=2016-10-19 17:58:35 UTC),	Latest, "DependencyVersion(version=1.5.10, time=2016-08-19 20:09:25 UTC)"

ProjectVersionFixed(version=0.8.2.1, dependency=1.5.9, time=2016-11-07 13:48:28 UTC),	Latest, "DependencyVersion(version=1.5.10, time=2016-08-19 20:09:25 UTC)"

ProjectVersionFixed(version=0.8.2-2, dependency=1.5.9, time=2017-03-29 19:30:43 UTC),	Latest, "DependencyVersion(version=1.5.13, time=2017-03-17 05:54:41 UTC)"

ProjectVersionFixed(version=0.8.2-3, dependency=1.5.9, time=2017-03-30 14:17:51 UTC),	Latest, "DependencyVersion(version=1.5.13, time=2017-03-17 05:54:41 UTC)"


Project B:
DependencyVersion(version=1.5.0, time=2015-06-06 23:45:45 UTC)
DependencyVersion(version=1.5.1, time=2015-08-03 15:02:10 UTC)
DependencyVersion(version=1.5.10, time=2016-08-19 20:09:25 UTC)
DependencyVersion(version=1.5.11, time=2016-12-25 07:08:49 UTC)
DependencyVersion(version=1.5.12, time=2016-12-27 17:16:26 UTC)
DependencyVersion(version=1.5.13, time=2017-03-17 05:54:41 UTC)
DependencyVersion(version=1.5.14, time=2017-06-13 20:31:03 UTC)
DependencyVersion(version=1.5.15, time=2017-06-16 16:46:06 UTC)
DependencyVersion(version=1.5.16, time=2017-07-15 18:58:47 UTC)
DependencyVersion(version=1.5.17, time=2017-11-21 17:59:12 UTC)
DependencyVersion(version=1.5.18, time=2018-01-22 16:26:42 UTC)
DependencyVersion(version=1.5.19, time=2018-04-16 13:03:27 UTC)
DependencyVersion(version=1.5.2, time=2015-08-05 09:47:32 UTC)
DependencyVersion(version=1.5.20, time=2018-05-24 14:59:12 UTC)
DependencyVersion(version=1.5.21, time=2018-08-09 15:31:30 UTC)
DependencyVersion(version=1.5.3, time=2015-08-12 05:29:51 UTC)
DependencyVersion(version=1.5.4, time=2015-10-19 22:42:08 UTC)
DependencyVersion(version=1.5.5, time=2015-12-23 20:25:47 UTC)
DependencyVersion(version=1.5.6, time=2016-01-06 16:07:58 UTC)
DependencyVersion(version=1.5.7, time=2016-02-05 01:32:01 UTC)
DependencyVersion(version=1.5.8, time=2016-03-11 17:43:23 UTC)
DependencyVersion(version=1.5.9, time=2016-05-15 04:05:46 UTC)
DependencyVersion(version=2.0.0-rc0, time=2017-08-16 16:36:03 UTC)
DependencyVersion(version=2.0.0-rc1, time=2017-08-17 15:22:17 UTC)
DependencyVersion(version=2.0.0-rc2, time=2017-09-29 16:27:21 UTC)
