
Project information
com.wix:http-testkit-core_2.12 (3123022)	com.typesafe.akka:akka-http_2.12 (2273921)	Package Manager: Maven
RepoID: 16599583
Repo Owner/Name: null
Repository type: null

 

Tag information:

Project A:
ProjectVersionFixed(version=0.0.18, dependency=10.0.11, time=2018-01-29 12:26:00 UTC),	Latest, "DependencyVersion(version=10.1.0-RC1, time=2017-12-22 18:25:14 UTC)"

ProjectVersionFixed(version=0.1.0, dependency=10.0.9, time=2017-09-14 10:16:02 UTC),	Latest, "DependencyVersion(version=10.0.10, time=2017-08-31 14:40:18 UTC)"

ProjectVersionFixed(version=0.1.1, dependency=10.0.10, time=2017-10-24 09:29:22 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.2, dependency=10.0.10, time=2017-11-02 14:56:56 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.3, dependency=10.0.10, time=2017-11-06 16:04:59 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.4, dependency=10.0.10, time=2017-11-08 18:40:12 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.5, dependency=10.0.10, time=2017-11-12 17:52:34 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.6, dependency=10.0.10, time=2017-11-15 12:08:57 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.7, dependency=10.0.10, time=2017-11-16 11:07:45 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.8, dependency=10.0.10, time=2017-11-16 14:22:47 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.9, dependency=10.0.10, time=2017-11-21 16:02:18 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.10, dependency=10.0.10, time=2017-11-27 16:17:10 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.11, dependency=10.0.10, time=2017-11-29 09:57:49 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.12, dependency=10.0.10, time=2017-11-29 14:23:30 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.13, dependency=10.0.11, time=2017-12-03 10:53:31 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.14, dependency=10.0.11, time=2017-12-03 16:23:22 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.15, dependency=10.0.10, time=2017-12-04 09:30:47 UTC),	Latest, "DependencyVersion(version=10.0.11, time=2017-12-01 09:04:53 UTC)"

ProjectVersionFixed(version=0.1.16, dependency=10.0.10, time=2017-12-10 14:29:39 UTC),	Latest, "DependencyVersion(version=10.0.11, time=2017-12-01 09:04:53 UTC)"

ProjectVersionFixed(version=0.1.17, dependency=10.1.0-RC1, time=2017-12-28 08:52:55 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.18, dependency=10.1.0, time=2018-03-21 15:09:45 UTC),	Latest, "DependencyVersion(version=10.1.0-RC2, time=2018-02-12 16:28:49 UTC)"

ProjectVersionFixed(version=0.1.19, dependency=10.1.0, time=2018-04-12 13:17:24 UTC),	Latest, "DependencyVersion(version=10.1.1, time=2018-04-02 07:12:00 UTC)"


Project B:
DependencyVersion(version=10.0.0, time=2016-11-22 15:50:45 UTC)
DependencyVersion(version=10.0.0-RC2, time=2016-11-09 10:46:59 UTC)
DependencyVersion(version=10.0.1, time=2016-12-22 17:02:34 UTC)
DependencyVersion(version=10.0.10, time=2017-08-31 14:40:18 UTC)
DependencyVersion(version=10.0.11, time=2017-12-01 09:04:53 UTC)
DependencyVersion(version=10.0.12, time=2018-03-22 13:11:37 UTC)
DependencyVersion(version=10.0.13, time=2018-03-23 05:32:44 UTC)
DependencyVersion(version=10.0.14, time=2018-09-06 11:01:14 UTC)
DependencyVersion(version=10.0.2, time=2017-01-23 17:44:45 UTC)
DependencyVersion(version=10.0.3, time=2017-01-26 17:40:27 UTC)
DependencyVersion(version=10.0.4, time=2017-02-23 17:02:06 UTC)
DependencyVersion(version=10.0.5, time=2017-03-18 11:09:53 UTC)
DependencyVersion(version=10.0.6, time=2017-05-03 13:27:55 UTC)
DependencyVersion(version=10.0.7, time=2017-05-25 15:58:41 UTC)
DependencyVersion(version=10.0.8, time=2017-06-20 16:37:35 UTC)
DependencyVersion(version=10.0.9, time=2017-06-26 15:16:35 UTC)
DependencyVersion(version=10.1.0, time=2018-03-08 17:01:27 UTC)
DependencyVersion(version=10.1.0-RC1, time=2017-12-22 18:25:14 UTC)
DependencyVersion(version=10.1.0-RC2, time=2018-02-12 16:28:49 UTC)
DependencyVersion(version=10.1.1, time=2018-04-02 07:12:00 UTC)
DependencyVersion(version=10.1.2, time=2018-06-08 16:01:12 UTC)
DependencyVersion(version=10.1.3, time=2018-06-15 13:49:27 UTC)
DependencyVersion(version=10.1.4, time=2018-08-17 13:35:40 UTC)
DependencyVersion(version=10.1.5, time=2018-09-05 15:27:32 UTC)
