
Project information
com.mayreh:scalikejdbc-bigquery_2.11 (3123528)	com.google.cloud:google-cloud-bigquery (2111604)	Package Manager: Maven
RepoID: 18184480
Repo Owner/Name: ocadaruma/scalikejdbc-bigquery
Repository type: GitHub

 https://github.com/ocadaruma/scalikejdbc-bigquery/commit/

Tag information:
CommitInfo{repo='GitHub', hash='1b56197642681596ed0379719774611ca7c10403', version='0.0.1'} 	https://github.com/ocadaruma/scalikejdbc-bigquery/commit/1b56197642681596ed0379719774611ca7c10403
CommitInfo{repo='GitHub', hash='e877c465616e58ac17a6fc8110983fe581159822', version='0.0.2'} 	https://github.com/ocadaruma/scalikejdbc-bigquery/commit/e877c465616e58ac17a6fc8110983fe581159822
CommitInfo{repo='GitHub', hash='40af9c66f4f1cfb7477e010181cd4c453d2ba873', version='0.0.3'} 	https://github.com/ocadaruma/scalikejdbc-bigquery/commit/40af9c66f4f1cfb7477e010181cd4c453d2ba873
CommitInfo{repo='GitHub', hash='3253877496169802a47c420e00a176f9552be440', version='0.0.4'} 	https://github.com/ocadaruma/scalikejdbc-bigquery/commit/3253877496169802a47c420e00a176f9552be440
CommitInfo{repo='GitHub', hash='bdd8ff647b6827f1d814baaec10b5d3800e5f59f', version='0.0.5'} 	https://github.com/ocadaruma/scalikejdbc-bigquery/commit/bdd8ff647b6827f1d814baaec10b5d3800e5f59f

Project A:
ProjectVersionFixed(version=0.0.1, dependency=0.9.3-beta, time=2017-03-24 08:50:09 UTC),	Latest, "DependencyVersion(version=0.10.0-beta, time=2017-03-17 00:00:54 UTC)"

ProjectVersionFixed(version=0.0.2, dependency=0.9.3-beta, time=2017-04-05 15:06:28 UTC),	Latest, "DependencyVersion(version=0.11.1-beta, time=2017-04-03 23:37:24 UTC)"

ProjectVersionFixed(version=0.0.3, dependency=0.9.3-beta, time=2017-04-06 16:20:32 UTC),	Latest, "DependencyVersion(version=0.11.2-beta, time=2017-04-05 22:12:08 UTC)"

ProjectVersionFixed(version=0.0.4, dependency=0.9.3-beta, time=2017-04-12 02:35:17 UTC),	Latest, "DependencyVersion(version=0.12.0-beta, time=2017-04-07 17:43:51 UTC)"

ProjectVersionFixed(version=0.0.5, dependency=0.17.2-beta, time=2017-05-19 01:08:44 UTC),	Latest, "DependencyVersion(version=0.18.0-beta, time=2017-05-18 16:13:43 UTC)"

ProjectVersionFixed(version=0.0.6, dependency=0.13.0-beta, time=2017-06-01 09:51:40 UTC),	Latest, "DependencyVersion(version=0.18.0-beta, time=2017-05-18 16:13:43 UTC)"

ProjectVersionFixed(version=0.0.7, dependency=0.30.0-beta, time=2017-11-28 05:31:29 UTC),	Latest, "null"


Project B:
DependencyVersion(version=0.10.0-beta, time=2017-03-17 00:00:54 UTC)
DependencyVersion(version=0.11.0-beta, time=2017-03-31 18:29:44 UTC)
DependencyVersion(version=0.11.1-beta, time=2017-04-03 23:37:24 UTC)
DependencyVersion(version=0.11.2-beta, time=2017-04-05 22:12:08 UTC)
DependencyVersion(version=0.12.0-beta, time=2017-04-07 17:43:51 UTC)
DependencyVersion(version=0.13.0-beta, time=2017-04-13 22:53:02 UTC)
DependencyVersion(version=0.14.0-beta, time=2017-04-21 21:49:50 UTC)
DependencyVersion(version=0.15.0-beta, time=2017-04-22 01:53:17 UTC)
DependencyVersion(version=0.16.0-beta, time=2017-04-25 10:06:18 UTC)
DependencyVersion(version=0.17.0-beta, time=2017-04-25 21:13:14 UTC)
DependencyVersion(version=0.17.1-beta, time=2017-04-26 05:40:43 UTC)
DependencyVersion(version=0.17.2-beta, time=2017-05-04 22:40:13 UTC)
DependencyVersion(version=0.18.0-beta, time=2017-05-18 16:13:43 UTC)
DependencyVersion(version=0.19.0-beta, time=2017-06-05 21:57:54 UTC)
DependencyVersion(version=0.20.0-beta, time=2017-06-15 17:08:48 UTC)
DependencyVersion(version=0.20.1-beta, time=2017-06-27 02:08:12 UTC)
DependencyVersion(version=0.20.2-beta, time=2017-07-17 21:39:16 UTC)
DependencyVersion(version=0.20.3-beta, time=2017-07-19 21:41:29 UTC)
DependencyVersion(version=0.21.0-beta, time=2017-07-27 23:48:38 UTC)
DependencyVersion(version=0.21.1-beta, time=2017-07-31 20:18:38 UTC)
DependencyVersion(version=0.22.0-beta, time=2017-08-21 21:34:46 UTC)
DependencyVersion(version=0.23.0-beta, time=2017-09-11 23:16:41 UTC)
DependencyVersion(version=0.23.1-beta, time=2017-09-13 15:47:19 UTC)
DependencyVersion(version=0.24.0-beta, time=2017-09-18 22:13:08 UTC)
DependencyVersion(version=0.25.0-beta, time=2017-10-03 02:36:59 UTC)
DependencyVersion(version=0.26.0-beta, time=2017-10-14 03:07:30 UTC)
DependencyVersion(version=0.27.0-beta, time=2017-11-08 17:50:48 UTC)
DependencyVersion(version=0.28.0-beta, time=2017-11-09 00:41:53 UTC)
DependencyVersion(version=0.29.0-beta, time=2017-11-15 02:49:28 UTC)
DependencyVersion(version=0.3.0, time=2016-08-31 09:54:51 UTC)
DependencyVersion(version=0.30.0-beta, time=2017-11-16 02:58:26 UTC)
DependencyVersion(version=0.31.0-beta, time=2017-12-08 22:56:47 UTC)
DependencyVersion(version=0.32.0-beta, time=2017-12-12 00:11:20 UTC)
DependencyVersion(version=0.33.0-beta, time=2018-01-18 00:21:53 UTC)
DependencyVersion(version=0.34.0-beta, time=2018-02-05 19:46:06 UTC)
DependencyVersion(version=0.35.0-beta, time=2018-02-21 17:05:39 UTC)
DependencyVersion(version=0.36.0-beta, time=2018-02-27 16:53:30 UTC)
DependencyVersion(version=0.37.0-beta, time=2018-02-27 18:25:38 UTC)
DependencyVersion(version=0.38.0-beta, time=2018-03-06 20:47:54 UTC)
DependencyVersion(version=0.4.0, time=2016-09-29 13:14:23 UTC)
DependencyVersion(version=0.5.0, time=2016-10-29 17:19:09 UTC)
DependencyVersion(version=0.5.1, time=2016-11-04 14:35:49 UTC)
DependencyVersion(version=0.6.0, time=2016-11-15 01:47:54 UTC)
DependencyVersion(version=0.7.0, time=2016-11-24 19:56:57 UTC)
DependencyVersion(version=0.8.0-beta, time=2016-12-08 23:11:40 UTC)
DependencyVersion(version=0.8.1-beta, time=2017-01-09 21:47:36 UTC)
DependencyVersion(version=0.8.2-beta, time=2017-02-01 18:46:21 UTC)
DependencyVersion(version=0.8.3-beta, time=2017-02-03 21:08:18 UTC)
DependencyVersion(version=0.9.0-beta, time=2017-02-12 05:16:13 UTC)
DependencyVersion(version=0.9.1-beta, time=2017-02-14 17:27:13 UTC)
DependencyVersion(version=0.9.2-beta, time=2017-02-14 18:12:00 UTC)
DependencyVersion(version=0.9.3-beta, time=2017-02-22 19:10:22 UTC)
DependencyVersion(version=0.9.4-beta, time=2017-03-04 01:45:09 UTC)
DependencyVersion(version=1.21.0, time=2018-03-14 21:24:21 UTC)
DependencyVersion(version=1.22.0, time=2018-03-16 23:52:35 UTC)
DependencyVersion(version=1.23.0, time=2018-03-22 22:18:28 UTC)
DependencyVersion(version=1.24.0, time=2018-03-27 22:46:11 UTC)
DependencyVersion(version=1.24.1, time=2018-04-02 17:52:05 UTC)
DependencyVersion(version=1.25.0, time=2018-04-05 00:05:39 UTC)
DependencyVersion(version=1.26.0, time=2018-04-16 05:10:54 UTC)
DependencyVersion(version=1.27.0, time=2018-04-19 22:50:40 UTC)
DependencyVersion(version=1.28.0, time=2018-04-27 21:05:04 UTC)
DependencyVersion(version=1.29.0, time=2018-05-07 23:41:37 UTC)
DependencyVersion(version=1.30.0, time=2018-05-18 19:59:13 UTC)
DependencyVersion(version=1.31.0, time=2018-05-24 18:03:47 UTC)
DependencyVersion(version=1.32.0, time=2018-06-01 21:40:29 UTC)
DependencyVersion(version=1.33.0, time=2018-06-07 22:25:50 UTC)
DependencyVersion(version=1.34.0, time=2018-06-14 18:55:13 UTC)
DependencyVersion(version=1.35.0, time=2018-06-22 06:57:06 UTC)
DependencyVersion(version=1.36.0, time=2018-07-12 18:50:35 UTC)
DependencyVersion(version=1.37.0, time=2018-07-20 02:17:17 UTC)
DependencyVersion(version=1.37.1, time=2018-07-20 20:00:48 UTC)
DependencyVersion(version=1.38.0, time=2018-08-01 22:09:55 UTC)
DependencyVersion(version=1.39.0, time=2018-08-10 06:03:29 UTC)
DependencyVersion(version=1.40.0, time=2018-08-15 23:20:44 UTC)
DependencyVersion(version=1.41.0, time=2018-08-23 00:50:18 UTC)
DependencyVersion(version=1.42.0, time=2018-08-30 23:28:18 UTC)
DependencyVersion(version=1.43.0, time=2018-09-07 01:07:31 UTC)
DependencyVersion(version=1.44.0, time=2018-09-13 17:24:15 UTC)
DependencyVersion(version=1.45.0, time=2018-09-20 23:51:22 UTC)
