
Project information
org.hspconsortium.client:hspc-java-client (3131865)	org.springframework.security.oauth:spring-security-oauth2 (341880)	Package Manager: Maven
RepoID: 36247490
Tag information:
CommitInfo{repo='Bitbucket', hash='9ac796f3eb3a350ae53e3ab4624306d4a3902559', version='2.2.0'}
CommitInfo{repo='Bitbucket', hash='5283d329b235fec02e3279164b25bae15ec097df', version='2.2.1'}
CommitInfo{repo='Bitbucket', hash='8e82ea73011d7ab41e6ac5acd5e56bca812b263b', version='hspc-java-client-0.12'}
CommitInfo{repo='Bitbucket', hash='161108f9e3816e1f648637a47f4416cce8358bbf', version='hspc-java-client-0.13'}
CommitInfo{repo='Bitbucket', hash='e4f71ae7931196457ca8e0ec980e0acfda7bb498', version='hspc-java-client-1.0'}
CommitInfo{repo='Bitbucket', hash='8425983b0f9af44c00eec42d0b9798ccb0b40d2d', version='hspc-java-client-1.0.1'}
CommitInfo{repo='Bitbucket', hash='efed144371440a205f69ab91d7057fc30b2f6786', version='hspc-java-client-1.0.2'}
CommitInfo{repo='Bitbucket', hash='39974a87eb3f591d7fcf3735c67f043f3100cfce', version='hspc-java-client-1.0.3'}
CommitInfo{repo='Bitbucket', hash='16dfb6759099fe37078074d82cd1856c881d1bd5', version='hspc-java-client-1.1'}
CommitInfo{repo='Bitbucket', hash='eae1dd908fdab328f02e74d26577c6ec89f25e3b', version='hspc-java-client-1.2'}
CommitInfo{repo='Bitbucket', hash='57a7a30c110f6969d3bc71388647bd07ef1ea34e', version='hspc-java-client-1.3'}
CommitInfo{repo='Bitbucket', hash='978ee08c2d908a043b5da2a706886b356533b03f', version='hspc-java-client-1.4'}
CommitInfo{repo='Bitbucket', hash='169e4360f7574ba03cd6f1fa0663a2bd01ae404c', version='hsp-java-client-0.10'}
CommitInfo{repo='Bitbucket', hash='22cd87221e4bc4dca789c958060babffd15f5abd', version='hsp-java-client-0.10.1'}
CommitInfo{repo='Bitbucket', hash='61618a84a2196cc9774802a9c1a75ea89265ac27', version='hsp-java-client-0.10.2'}
CommitInfo{repo='Bitbucket', hash='c9c2eb8598bf0be0586e29352a1fb8ae47e1cbcf', version='hsp-java-client-0.9'}

Project A:
ProjectVersionFixed(version=1.0.1, dependency=2.0.6.RELEASE, time=2016-02-12 18:09:14 UTC),	Latest, "DependencyVersion(version=2.0.8.RELEASE, time=2015-10-22 15:44:06 UTC)"

ProjectVersionFixed(version=1.1, dependency=2.0.6.RELEASE, time=2016-03-02 18:44:28 UTC),	Latest, "DependencyVersion(version=2.0.9.RELEASE, time=2016-02-20 16:26:15 UTC)"

ProjectVersionFixed(version=1.2, dependency=2.0.6.RELEASE, time=2016-03-08 01:22:32 UTC),	Latest, "DependencyVersion(version=2.0.9.RELEASE, time=2016-02-20 16:26:15 UTC)"

ProjectVersionFixed(version=1.3, dependency=2.0.6.RELEASE, time=2016-06-13 22:44:02 UTC),	Latest, "DependencyVersion(version=2.0.10.RELEASE, time=2016-06-03 11:14:08 UTC)"

ProjectVersionFixed(version=1.4, dependency=2.0.6.RELEASE, time=2016-10-10 21:16:09 UTC),	Latest, "DependencyVersion(version=2.0.11.RELEASE, time=2016-08-25 15:31:32 UTC)"

ProjectVersionFixed(version=1.6.0, dependency=2.0.3.RELEASE, time=2017-06-12 22:39:37 UTC),	Latest, "DependencyVersion(version=2.1.1.RELEASE, time=2017-05-29 18:34:23 UTC)"

ProjectVersionFixed(version=2.1.0, dependency=2.0.3.RELEASE, time=2017-07-07 01:06:23 UTC),	Latest, "DependencyVersion(version=2.1.1.RELEASE, time=2017-05-29 18:34:23 UTC)"

ProjectVersionFixed(version=2.1.1, dependency=2.0.3.RELEASE, time=2017-07-28 21:53:11 UTC),	Latest, "DependencyVersion(version=2.2.0.RELEASE, time=2017-07-28 15:04:18 UTC)"

ProjectVersionFixed(version=2.2.0, dependency=2.0.3.RELEASE, time=2017-12-12 19:44:32 UTC),	Latest, "DependencyVersion(version=2.2.1.RELEASE, time=2017-11-21 18:42:24 UTC)"

ProjectVersionFixed(version=2.2.1, dependency=2.0.3.RELEASE, time=2018-01-25 19:52:15 UTC),	Latest, "DependencyVersion(version=2.2.1.RELEASE, time=2017-11-21 18:42:24 UTC)"


Project B:
DependencyVersion(version=1.0.0.RELEASE, time=2012-11-07 16:50:40 UTC)
DependencyVersion(version=1.0.1.RELEASE, time=2013-01-10 17:47:35 UTC)
DependencyVersion(version=1.0.2.RELEASE, time=2013-02-22 17:04:16 UTC)
DependencyVersion(version=1.0.3.RELEASE, time=2013-04-17 07:54:42 UTC)
DependencyVersion(version=1.0.4.RELEASE, time=2013-04-23 12:30:31 UTC)
DependencyVersion(version=1.0.5.RELEASE, time=2013-07-17 16:19:14 UTC)
DependencyVersion(version=2.0.0.M4, time=2014-03-15 12:56:00 UTC)
DependencyVersion(version=2.0.0.RC1, time=2014-04-18 11:57:44 UTC)
DependencyVersion(version=2.0.0.RC2, time=2014-04-25 13:04:29 UTC)
DependencyVersion(version=2.0.0.RELEASE, time=2014-05-14 14:09:30 UTC)
DependencyVersion(version=2.0.10.RELEASE, time=2016-06-03 11:14:08 UTC)
DependencyVersion(version=2.0.11.RELEASE, time=2016-08-25 15:31:32 UTC)
DependencyVersion(version=2.0.12.RELEASE, time=2016-11-07 19:35:20 UTC)
DependencyVersion(version=2.0.13.RELEASE, time=2017-03-02 22:16:17 UTC)
DependencyVersion(version=2.0.14.RELEASE, time=2017-05-29 14:34:47 UTC)
DependencyVersion(version=2.0.15.RELEASE, time=2018-05-08 13:31:59 UTC)
DependencyVersion(version=2.0.1.RELEASE, time=2014-05-19 11:25:46 UTC)
DependencyVersion(version=2.0.2.RELEASE, time=2014-06-11 08:08:37 UTC)
DependencyVersion(version=2.0.3.RELEASE, time=2014-08-28 11:04:17 UTC)
DependencyVersion(version=2.0.4.RELEASE, time=2014-11-11 11:21:17 UTC)
DependencyVersion(version=2.0.5.RELEASE, time=2014-12-17 14:41:19 UTC)
DependencyVersion(version=2.0.6.RELEASE, time=2015-01-29 10:21:30 UTC)
DependencyVersion(version=2.0.7.RELEASE, time=2015-03-19 10:27:56 UTC)
DependencyVersion(version=2.0.8.RELEASE, time=2015-10-22 15:44:06 UTC)
DependencyVersion(version=2.0.9.RELEASE, time=2016-02-20 16:26:15 UTC)
DependencyVersion(version=2.1.0.RELEASE, time=2017-03-02 12:55:48 UTC)
DependencyVersion(version=2.1.1.RELEASE, time=2017-05-29 18:34:23 UTC)
DependencyVersion(version=2.1.2.RELEASE, time=2018-05-08 15:39:06 UTC)
DependencyVersion(version=2.2.0.RELEASE, time=2017-07-28 15:04:18 UTC)
DependencyVersion(version=2.2.1.RELEASE, time=2017-11-21 18:42:24 UTC)
DependencyVersion(version=2.2.2.RELEASE, time=2018-05-08 18:38:49 UTC)
DependencyVersion(version=2.3.0.RELEASE, time=2018-03-16 02:11:47 UTC)
DependencyVersion(version=2.3.1.RELEASE, time=2018-04-10 18:08:48 UTC)
DependencyVersion(version=2.3.2.RELEASE, time=2018-04-12 01:07:08 UTC)
DependencyVersion(version=2.3.3.RELEASE, time=2018-05-08 19:12:12 UTC)
