
Project information
com.github.jcustenborder.kafka.connect:kafka-connect-parent (3133155)	org.reflections:reflections (641299)	Package Manager: Maven
RepoID: 28327635
Tag information:

Project A:
ProjectVersionFixed(version=0.10.1.0-cp1, dependency=null, time=2017-01-28 07:35:35 UTC)
ProjectVersionFixed(version=0.10.2.0-cp1, dependency=null, time=2017-03-29 01:26:00 UTC)
ProjectVersionFixed(version=0.10.2.1-cp1, dependency=null, time=2017-06-30 17:38:44 UTC)
ProjectVersionFixed(version=0.10.2.1-cp2, dependency=0.9.11, time=2017-07-18 21:15:04 UTC),	Latest, "null"

ProjectVersionFixed(version=0.11.0.0-cp1, dependency=0.9.11, time=2017-09-08 16:08:38 UTC),	Latest, "null"

ProjectVersionFixed(version=0.11.0.0-cp2, dependency=0.9.11, time=2017-09-11 18:18:44 UTC),	Latest, "null"

ProjectVersionFixed(version=0.11.0.0-cp3, dependency=0.9.10, time=2017-09-22 11:19:08 UTC),	Latest, "DependencyVersion(version=0.9.11, time=2017-03-09 10:05:45 UTC)"

ProjectVersionFixed(version=0.11.0.0-cp4, dependency=0.9.10, time=2017-09-23 23:00:56 UTC),	Latest, "DependencyVersion(version=0.9.11, time=2017-03-09 10:05:45 UTC)"

ProjectVersionFixed(version=0.11.0.0-cp5, dependency=0.9.10, time=2017-09-24 17:59:54 UTC),	Latest, "DependencyVersion(version=0.9.11, time=2017-03-09 10:05:45 UTC)"

ProjectVersionFixed(version=1.0.0, dependency=0.9.10, time=2017-11-01 22:21:11 UTC),	Latest, "DependencyVersion(version=0.9.11, time=2017-03-09 10:05:45 UTC)"

ProjectVersionFixed(version=1.1.0, dependency=0.9.10, time=2018-04-02 18:57:04 UTC),	Latest, "DependencyVersion(version=0.9.11, time=2017-03-09 10:05:45 UTC)"

ProjectVersionFixed(version=1.1.0-cp1, dependency=0.9.10, time=2018-04-02 22:47:23 UTC),	Latest, "DependencyVersion(version=0.9.11, time=2017-03-09 10:05:45 UTC)"

ProjectVersionFixed(version=1.1.0-cp2, dependency=0.9.10, time=2018-06-06 19:10:54 UTC),	Latest, "DependencyVersion(version=0.9.11, time=2017-03-09 10:05:45 UTC)"

ProjectVersionFixed(version=1.1.0-cp3, dependency=0.9.10, time=2018-06-06 19:35:16 UTC),	Latest, "DependencyVersion(version=0.9.11, time=2017-03-09 10:05:45 UTC)"

ProjectVersionFixed(version=2.0.0, dependency=0.9.10, time=2018-07-31 19:29:28 UTC),	Latest, "DependencyVersion(version=0.9.11, time=2017-03-09 10:05:45 UTC)"

ProjectVersionFixed(version=2.0.0-cp1, dependency=0.9.10, time=2018-07-31 23:21:55 UTC),	Latest, "DependencyVersion(version=0.9.11, time=2017-03-09 10:05:45 UTC)"


Project B:
DependencyVersion(version=0.9.10, time=2015-05-16 09:46:33 UTC)
DependencyVersion(version=0.9.11, time=2017-03-09 10:05:45 UTC)
DependencyVersion(version=0.9.5, time=2011-08-17 10:15:32 UTC)
DependencyVersion(version=0.9.5-RC2, time=2011-08-15 16:57:13 UTC)
DependencyVersion(version=0.9.5-RC2_jboss, time=2010-08-10 12:46:31 UTC)
DependencyVersion(version=0.9.5-RC2_jboss-SP1, time=2010-08-11 08:40:56 UTC)
DependencyVersion(version=0.9.6, time=2011-10-25 07:49:49 UTC)
DependencyVersion(version=0.9.6_jboss_errai, time=2011-07-24 20:24:10 UTC)
DependencyVersion(version=0.9.6_jboss_errai_r1, time=2011-07-25 18:39:48 UTC)
DependencyVersion(version=0.9.6_jboss_errai_r2, time=2011-07-28 17:09:20 UTC)
DependencyVersion(version=0.9.6_jboss_errai_r3, time=2012-02-14 21:53:03 UTC)
DependencyVersion(version=0.9.7, time=2012-05-21 17:44:53 UTC)
DependencyVersion(version=0.9.7.RC1, time=2012-05-02 08:06:12 UTC)
DependencyVersion(version=0.9.8, time=2012-05-24 19:21:41 UTC)
DependencyVersion(version=0.9.9, time=2014-09-25 07:53:41 UTC)
DependencyVersion(version=0.9.9-RC1, time=2013-03-23 13:59:48 UTC)
DependencyVersion(version=0.9.9-RC2, time=2014-06-13 09:30:25 UTC)
