
Project information
ru.pavkin:dtc-laws_2.11 (3136211)	org.typelevel:cats-kernel-laws_2.11 (2261984)	Package Manager: Maven
RepoID: 14262064
Repo Owner/Name: vpavkin/dtc
Repository type: GitHub

 https://github.com/vpavkin/dtc/commit/

Tag information:
CommitInfo{repo='GitHub', hash='8b8f4e3d363ce9ce5b3188a27c7cb64905a0542a', version='v0.1.0'} 	https://github.com/vpavkin/dtc/commit/8b8f4e3d363ce9ce5b3188a27c7cb64905a0542a
CommitInfo{repo='GitHub', hash='bb4aca453559133e3bd2725da520d0215e95e5d6', version='v0.2.0'} 	https://github.com/vpavkin/dtc/commit/bb4aca453559133e3bd2725da520d0215e95e5d6
CommitInfo{repo='GitHub', hash='48f92c3469529d457de6a27f1827d2976735b8cb', version='v0.3.0'} 	https://github.com/vpavkin/dtc/commit/48f92c3469529d457de6a27f1827d2976735b8cb
CommitInfo{repo='GitHub', hash='abed7886bad30ec56bcd4d9926d7784b2280d57a', version='v0.4.0'} 	https://github.com/vpavkin/dtc/commit/abed7886bad30ec56bcd4d9926d7784b2280d57a
CommitInfo{repo='GitHub', hash='65e5505ed8cd0e2393cba4246674ce1fad2ff99a', version='v0.5.0'} 	https://github.com/vpavkin/dtc/commit/65e5505ed8cd0e2393cba4246674ce1fad2ff99a
CommitInfo{repo='GitHub', hash='ae7d95e9c8be5d2b2ed4163f981fa677a35d98b5', version='v0.6.0'} 	https://github.com/vpavkin/dtc/commit/ae7d95e9c8be5d2b2ed4163f981fa677a35d98b5
CommitInfo{repo='GitHub', hash='11b16a892d109bec629eca170204c52bf11a3836', version='v0.7.0'} 	https://github.com/vpavkin/dtc/commit/11b16a892d109bec629eca170204c52bf11a3836
CommitInfo{repo='GitHub', hash='1a6c2bd61919e0403b285cabb27c548f9666c80d', version='v0.8.0'} 	https://github.com/vpavkin/dtc/commit/1a6c2bd61919e0403b285cabb27c548f9666c80d
CommitInfo{repo='GitHub', hash='525125273fdc74865ddf41d8ace5f953cb9cd53a', version='v1.0.0'} 	https://github.com/vpavkin/dtc/commit/525125273fdc74865ddf41d8ace5f953cb9cd53a
CommitInfo{repo='GitHub', hash='b2fadf37712b524b1bb6faa32af0f0bc46075043', version='v1.1.0'} 	https://github.com/vpavkin/dtc/commit/b2fadf37712b524b1bb6faa32af0f0bc46075043
CommitInfo{repo='GitHub', hash='1119528b5187e24f48369f8b45c9cce85f39c6e3', version='v1.2.0'} 	https://github.com/vpavkin/dtc/commit/1119528b5187e24f48369f8b45c9cce85f39c6e3
CommitInfo{repo='GitHub', hash='b380fadf857a111673c391045c4eb1ebc026d841', version='v2.0.0'} 	https://github.com/vpavkin/dtc/commit/b380fadf857a111673c391045c4eb1ebc026d841
CommitInfo{repo='GitHub', hash='de53c58e15619520a8a13452002eee328184292a', version='v2.0.0-M1'} 	https://github.com/vpavkin/dtc/commit/de53c58e15619520a8a13452002eee328184292a
CommitInfo{repo='GitHub', hash='55a6e87f3ae6cec6110a149610e3bb002d584f67', version='v2.0.0-M2'} 	https://github.com/vpavkin/dtc/commit/55a6e87f3ae6cec6110a149610e3bb002d584f67
CommitInfo{repo='GitHub', hash='8963bd5d261a70905b4c85abaa7defdf5cdc05c4', version='v2.0.0-M3'} 	https://github.com/vpavkin/dtc/commit/8963bd5d261a70905b4c85abaa7defdf5cdc05c4
CommitInfo{repo='GitHub', hash='5c905be6c6f71669c8886d8e651bb50d0b4ee9a6', version='v2.0.0-M3-cats0.9'} 	https://github.com/vpavkin/dtc/commit/5c905be6c6f71669c8886d8e651bb50d0b4ee9a6

Project A:
ProjectVersionFixed(version=0.1.0, dependency=null, time=2016-10-09 12:28:58 UTC)
ProjectVersionFixed(version=0.2.0, dependency=null, time=2016-10-10 20:27:54 UTC)
ProjectVersionFixed(version=0.3.0, dependency=null, time=2016-10-18 19:50:34 UTC)
ProjectVersionFixed(version=0.4.0, dependency=null, time=2016-10-20 20:59:16 UTC)
ProjectVersionFixed(version=0.5.0, dependency=0.8.0, time=2016-11-02 08:13:39 UTC),	Latest, "null"

ProjectVersionFixed(version=0.6.0, dependency=0.8.0, time=2016-11-13 21:44:18 UTC),	Latest, "DependencyVersion(version=0.8.1, time=2016-11-09 00:33:18 UTC)"

ProjectVersionFixed(version=0.7.0, dependency=0.8.0, time=2016-12-19 06:50:10 UTC),	Latest, "DependencyVersion(version=0.8.1, time=2016-11-09 00:33:18 UTC)"

ProjectVersionFixed(version=0.8.0, dependency=0.9.0, time=2017-02-17 14:25:20 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.0, dependency=0.9.0, time=2017-04-22 12:40:45 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0, dependency=0.9.0, time=2017-07-09 20:50:21 UTC),	Latest, "null"

ProjectVersionFixed(version=1.2.0, dependency=0.9.0, time=2017-08-15 12:44:16 UTC),	Latest, "DependencyVersion(version=1.0.0-MF, time=2017-07-27 18:03:03 UTC)"

ProjectVersionFixed(version=2.0.0-M1, dependency=0.9.0, time=2017-12-05 11:09:51 UTC),	Latest, "DependencyVersion(version=1.0.0-RC1, time=2017-10-31 15:13:16 UTC)"

ProjectVersionFixed(version=2.0.0-M2, dependency=1.0.1, time=2018-01-04 14:25:21 UTC),	Latest, "null"

ProjectVersionFixed(version=2.0.0-M3, dependency=1.0.1, time=2018-01-18 14:10:21 UTC),	Latest, "null"

ProjectVersionFixed(version=2.0.0-M3-cats0.9, dependency=0.9.0, time=2018-01-18 14:32:51 UTC),	Latest, "DependencyVersion(version=1.0.1, time=2017-12-31 12:45:29 UTC)"

ProjectVersionFixed(version=2.0.0, dependency=1.0.1, time=2018-02-22 13:25:35 UTC),	Latest, "null"

ProjectVersionFixed(version=2.1.0, dependency=null, time=2018-08-08 13:16:20 UTC)

Project B:
DependencyVersion(version=0.6.0, time=2016-05-20 02:46:05 UTC)
DependencyVersion(version=0.6.0-M2, time=2016-05-17 12:30:22 UTC)
DependencyVersion(version=0.6.1, time=2016-07-14 18:25:18 UTC)
DependencyVersion(version=0.7.0, time=2016-08-21 05:07:09 UTC)
DependencyVersion(version=0.7.1, time=2016-09-02 02:20:19 UTC)
DependencyVersion(version=0.7.2, time=2016-09-02 03:28:58 UTC)
DependencyVersion(version=0.8.0, time=2016-10-26 16:26:08 UTC)
DependencyVersion(version=0.8.1, time=2016-11-09 00:33:18 UTC)
DependencyVersion(version=0.9.0, time=2017-01-15 23:27:18 UTC)
DependencyVersion(version=1.0.0, time=2017-12-26 01:34:26 UTC)
DependencyVersion(version=1.0.0-MF, time=2017-07-27 18:03:03 UTC)
DependencyVersion(version=1.0.0-RC1, time=2017-10-31 15:13:16 UTC)
DependencyVersion(version=1.0.0-RC2, time=2017-12-19 01:24:30 UTC)
DependencyVersion(version=1.0.1, time=2017-12-31 12:45:29 UTC)
DependencyVersion(version=1.1.0, time=2018-03-16 21:34:28 UTC)
DependencyVersion(version=1.2.0, time=2018-07-23 20:35:37 UTC)
DependencyVersion(version=1.3.0, time=2018-09-04 21:37:45 UTC)
DependencyVersion(version=1.3.1, time=2018-09-05 19:09:54 UTC)
DependencyVersion(version=1.4.0, time=2018-09-12 17:50:44 UTC)
DependencyVersion(version=1.5.0, time=2018-12-01 00:58:38 UTC)
DependencyVersion(version=1.5.0-RC0, time=2018-11-09 18:08:35 UTC)
DependencyVersion(version=1.5.0-RC1, time=2018-11-19 16:26:50 UTC)
