
Project information
com.github.thanhtien522:es-http-client_2.11 (3137622)	com.fasterxml.jackson.module:jackson-module-scala_2.11 (414424)	Package Manager: Maven
RepoID: 25135775
Tag information:
CommitInfo{repo='GitHub', hash='fd698a2dc43b7ba4809a4b8265014ffdf2fedc02', version='v0.2.1'}
CommitInfo{repo='GitHub', hash='f7b34881016b48687729c4d3b042c509568ac8be', version='v0.2.1_jackson-2.8'}

Project A:
ProjectVersionFixed(version=0.1-beta, dependency=2.8.8, time=2017-08-01 10:58:29 UTC),	Latest, "DependencyVersion(version=2.9.0, time=2017-07-30 17:10:42 UTC)"

ProjectVersionFixed(version=0.1-jackson_2.6, dependency=2.6.5, time=2017-08-05 11:16:56 UTC),	Latest, "DependencyVersion(version=2.9.0, time=2017-07-30 17:10:42 UTC)"

ProjectVersionFixed(version=0.2, dependency=2.6.5, time=2017-08-07 07:57:56 UTC),	Latest, "DependencyVersion(version=2.9.0, time=2017-07-30 17:10:42 UTC)"

ProjectVersionFixed(version=0.2.1, dependency=2.6.5, time=2017-08-07 10:25:13 UTC),	Latest, "DependencyVersion(version=2.9.0, time=2017-07-30 17:10:42 UTC)"

ProjectVersionFixed(version=0.2.1_jackson-2.8, dependency=2.8.4, time=2017-08-08 11:43:09 UTC),	Latest, "DependencyVersion(version=2.9.0, time=2017-07-30 17:10:42 UTC)"


Project B:
DependencyVersion(version=2.4.0, time=2014-06-26 03:27:39 UTC)
DependencyVersion(version=2.4.0-rc1, time=2014-05-01 05:32:51 UTC)
DependencyVersion(version=2.4.0-rc2, time=2014-05-10 03:30:36 UTC)
DependencyVersion(version=2.4.1, time=2014-06-26 04:10:20 UTC)
DependencyVersion(version=2.4.2, time=2014-08-17 21:00:59 UTC)
DependencyVersion(version=2.4.3, time=2014-10-14 04:07:00 UTC)
DependencyVersion(version=2.4.4, time=2014-12-02 04:41:18 UTC)
DependencyVersion(version=2.4.5, time=2015-01-21 05:38:24 UTC)
DependencyVersion(version=2.4.5-1, time=2015-02-12 06:14:16 UTC)
DependencyVersion(version=2.5.0, time=2015-01-21 05:42:45 UTC)
DependencyVersion(version=2.5.1, time=2015-02-12 06:03:12 UTC)
DependencyVersion(version=2.5.2, time=2015-04-13 12:08:08 UTC)
DependencyVersion(version=2.5.3, time=2015-06-22 05:49:54 UTC)
DependencyVersion(version=2.6.0, time=2015-07-20 09:31:42 UTC)
DependencyVersion(version=2.6.0-1, time=2015-07-19 21:49:14 UTC)
DependencyVersion(version=2.6.0-rc2, time=2015-06-22 05:41:00 UTC)
DependencyVersion(version=2.6.0-rc4, time=2015-07-19 18:59:17 UTC)
DependencyVersion(version=2.6.1, time=2015-08-11 03:46:27 UTC)
DependencyVersion(version=2.6.2, time=2015-10-27 03:02:52 UTC)
DependencyVersion(version=2.6.3, time=2015-10-27 03:11:59 UTC)
DependencyVersion(version=2.6.4, time=2016-02-29 04:14:47 UTC)
DependencyVersion(version=2.6.5, time=2016-03-01 06:19:58 UTC)
DependencyVersion(version=2.6.6, time=2016-04-18 13:22:08 UTC)
DependencyVersion(version=2.6.7, time=2016-06-06 11:05:39 UTC)
DependencyVersion(version=2.6.7.1, time=2017-03-08 17:39:32 UTC)
DependencyVersion(version=2.7.2, time=2016-03-01 06:33:32 UTC)
DependencyVersion(version=2.7.3, time=2016-04-18 10:58:48 UTC)
DependencyVersion(version=2.7.4, time=2016-06-02 15:52:56 UTC)
DependencyVersion(version=2.7.5, time=2016-07-15 05:59:43 UTC)
DependencyVersion(version=2.7.6, time=2016-08-30 15:14:05 UTC)
DependencyVersion(version=2.7.7, time=2016-08-30 15:30:10 UTC)
DependencyVersion(version=2.7.8, time=2016-09-27 20:13:29 UTC)
DependencyVersion(version=2.7.9, time=2017-02-21 19:23:00 UTC)
DependencyVersion(version=2.8.0.rc1, time=2016-07-15 08:16:30 UTC)
DependencyVersion(version=2.8.0.rc2, time=2016-07-15 08:26:37 UTC)
DependencyVersion(version=2.8.1, time=2016-08-30 13:44:53 UTC)
DependencyVersion(version=2.8.10, time=2017-09-11 09:18:02 UTC)
DependencyVersion(version=2.8.11, time=2018-01-28 23:08:24 UTC)
DependencyVersion(version=2.8.2, time=2016-08-30 15:35:55 UTC)
DependencyVersion(version=2.8.3, time=2016-09-27 20:05:23 UTC)
DependencyVersion(version=2.8.4, time=2016-11-10 04:41:35 UTC)
DependencyVersion(version=2.8.5, time=2017-01-17 10:08:28 UTC)
DependencyVersion(version=2.8.6, time=2017-01-17 10:19:13 UTC)
DependencyVersion(version=2.8.7, time=2017-02-21 18:42:01 UTC)
DependencyVersion(version=2.8.8, time=2017-04-05 18:50:28 UTC)
DependencyVersion(version=2.8.9, time=2017-06-12 21:52:08 UTC)
DependencyVersion(version=2.9.0, time=2017-07-30 17:10:42 UTC)
DependencyVersion(version=2.9.0.pr1, time=2017-03-08 16:27:50 UTC)
DependencyVersion(version=2.9.0.pr2, time=2017-03-25 19:15:01 UTC)
DependencyVersion(version=2.9.0.pr3, time=2017-04-25 19:46:31 UTC)
DependencyVersion(version=2.9.1, time=2017-09-11 08:56:39 UTC)
DependencyVersion(version=2.9.2, time=2017-11-12 21:23:52 UTC)
DependencyVersion(version=2.9.4, time=2018-01-28 22:57:09 UTC)
DependencyVersion(version=2.9.5, time=2018-03-28 19:22:01 UTC)
DependencyVersion(version=2.9.6, time=2018-06-14 20:28:39 UTC)
