
Project information
de.otto:jsonhome-spring (340701)	org.freemarker:freemarker (407096)	Package Manager: Maven
RepoID: 707278
Repo Owner/Name: otto-de/jsonhome
Repository type: GitHub

 https://github.com/otto-de/jsonhome/commit/

Tag information:
CommitInfo{repo='GitHub', hash='3a26539429cfaa190792ecefd0a5a0e6a26d1e17', version='0.1.0'} 	https://github.com/otto-de/jsonhome/commit/3a26539429cfaa190792ecefd0a5a0e6a26d1e17
CommitInfo{repo='GitHub', hash='40435524712762a483acacb433a206b452643730', version='v0.1.0'} 	https://github.com/otto-de/jsonhome/commit/40435524712762a483acacb433a206b452643730

Project A:
ProjectVersionFixed(version=0.1.0, dependency=null, time=2012-10-24 21:04:26 UTC)
ProjectVersionFixed(version=0.2.0, dependency=2.3.19, time=2012-12-12 16:31:58 UTC),	Latest, "null"

ProjectVersionFixed(version=0.3.0, dependency=2.3.18, time=2013-01-03 14:49:03 UTC),	Latest, "DependencyVersion(version=2.3.19, time=2012-03-01 01:41:10 UTC)"

ProjectVersionFixed(version=0.3.1, dependency=2.3.18, time=2013-03-10 19:58:34 UTC),	Latest, "DependencyVersion(version=2.3.19, time=2012-03-01 01:41:10 UTC)"

ProjectVersionFixed(version=0.3.2, dependency=2.3.18, time=2013-03-24 21:34:03 UTC),	Latest, "DependencyVersion(version=2.3.19, time=2012-03-01 01:41:10 UTC)"

ProjectVersionFixed(version=0.3.3, dependency=2.3.18, time=2013-03-31 14:09:58 UTC),	Latest, "DependencyVersion(version=2.3.19, time=2012-03-01 01:41:10 UTC)"

ProjectVersionFixed(version=0.3.4, dependency=2.3.18, time=2013-10-21 11:22:18 UTC),	Latest, "DependencyVersion(version=2.3.20, time=2013-06-28 23:40:00 UTC)"

ProjectVersionFixed(version=0.3.5, dependency=2.3.18, time=2013-10-28 16:44:01 UTC),	Latest, "DependencyVersion(version=2.3.20, time=2013-06-28 23:40:00 UTC)"

ProjectVersionFixed(version=0.3.6, dependency=2.3.18, time=2013-10-29 12:57:46 UTC),	Latest, "DependencyVersion(version=2.3.20, time=2013-06-28 23:40:00 UTC)"

ProjectVersionFixed(version=0.4.0, dependency=2.3.23, time=2015-08-18 12:17:10 UTC),	Latest, "null"


Project B:
DependencyVersion(version=2.3.10, time=2007-04-24 18:50:19 UTC)
DependencyVersion(version=2.3.11, time=2007-12-08 01:22:25 UTC)
DependencyVersion(version=2.3.12, time=2008-02-20 05:23:32 UTC)
DependencyVersion(version=2.3.13, time=2008-05-22 17:59:58 UTC)
DependencyVersion(version=2.3.14, time=2008-11-29 02:37:07 UTC)
DependencyVersion(version=2.3.15, time=2008-12-16 15:58:58 UTC)
DependencyVersion(version=2.3.16, time=2009-12-08 09:12:00 UTC)
DependencyVersion(version=2.3.16-atlassian-22, time=2013-08-20 11:17:36 UTC)
DependencyVersion(version=2.3.16-atlassian-23, time=2013-08-20 12:47:22 UTC)
DependencyVersion(version=2.3.16-atlassian-25, time=2014-11-11 09:17:00 UTC)
DependencyVersion(version=2.3.16-atlassian-26, time=2014-11-11 11:16:00 UTC)
DependencyVersion(version=2.3.16-atlassian-27, time=2014-11-12 23:32:00 UTC)
DependencyVersion(version=2.3.16-atlassian-28, time=2014-11-14 04:06:00 UTC)
DependencyVersion(version=2.3.16-atlassian-29, time=2014-11-14 04:31:00 UTC)
DependencyVersion(version=2.3.16-atlassian-30, time=2014-11-14 06:30:00 UTC)
DependencyVersion(version=2.3.16-atlassian-31, time=2014-11-15 00:10:00 UTC)
DependencyVersion(version=2.3.16-atlassian-32, time=2014-11-18 11:17:00 UTC)
DependencyVersion(version=2.3.16-atlassian-33, time=2014-11-19 07:02:00 UTC)
DependencyVersion(version=2.3.16-atlassian-34, time=2014-11-20 06:26:00 UTC)
DependencyVersion(version=2.3.17, time=2011-05-17 01:35:33 UTC)
DependencyVersion(version=2.3.18, time=2011-05-21 20:26:14 UTC)
DependencyVersion(version=2.3.19, time=2012-03-01 01:41:10 UTC)
DependencyVersion(version=2.3.20, time=2013-06-28 23:40:00 UTC)
DependencyVersion(version=2.3.21, time=2014-10-12 19:54:00 UTC)
DependencyVersion(version=2.3.22, time=2015-02-28 22:19:49 UTC)
DependencyVersion(version=2.3.23, time=2015-07-05 14:27:00 UTC)
DependencyVersion(version=2.3.24-atlassian-2, time=2016-06-08 14:02:43 UTC)
DependencyVersion(version=2.3.24-incubating, time=2016-03-20 21:54:43 UTC)
DependencyVersion(version=2.3.25-incubating, time=2016-06-14 20:18:00 UTC)
DependencyVersion(version=2.3.26-incubating, time=2017-03-15 20:56:59 UTC)
DependencyVersion(version=2.3.27-incubating, time=2017-10-16 01:36:44 UTC)
DependencyVersion(version=2.3.28, time=2018-03-30 21:22:11 UTC)
DependencyVersion(version=2.3.9, time=2007-03-15 16:52:15 UTC)
