
Project information
com.firebase:tubesock (349140)	org.apache.httpcomponents:httpclient (379242)	Package Manager: Maven
RepoID: 166428
Repo Owner/Name: FirebaseExtended/TubeSock
Repository type: GitHub

 https://github.com/FirebaseExtended/TubeSock/commit/

Tag information:
CommitInfo{repo='GitHub', hash='0753c17bfffeb40aed1ae396bce78eb30619e4b2', version='tubesock-0.0.1'} 	https://github.com/FirebaseExtended/TubeSock/commit/0753c17bfffeb40aed1ae396bce78eb30619e4b2
CommitInfo{repo='GitHub', hash='16591744b59b596eb3d0b29d0649dfd04ae69a6f', version='tubesock-0.0.10'} 	https://github.com/FirebaseExtended/TubeSock/commit/16591744b59b596eb3d0b29d0649dfd04ae69a6f
CommitInfo{repo='GitHub', hash='e27478984b3ec782bab77e078e9033c7ea714bc7', version='tubesock-0.0.11'} 	https://github.com/FirebaseExtended/TubeSock/commit/e27478984b3ec782bab77e078e9033c7ea714bc7
CommitInfo{repo='GitHub', hash='2dc1322b7edf318c064edd7ed2d445a088ac4f4c', version='tubesock-0.0.12'} 	https://github.com/FirebaseExtended/TubeSock/commit/2dc1322b7edf318c064edd7ed2d445a088ac4f4c
CommitInfo{repo='GitHub', hash='d4b0986622f74b1fc173e48c4c03d0154fbb2707', version='tubesock-0.0.2'} 	https://github.com/FirebaseExtended/TubeSock/commit/d4b0986622f74b1fc173e48c4c03d0154fbb2707
CommitInfo{repo='GitHub', hash='701be6ada57f80c80f649298a7a6cf4c9f9de4e7', version='tubesock-0.0.3'} 	https://github.com/FirebaseExtended/TubeSock/commit/701be6ada57f80c80f649298a7a6cf4c9f9de4e7
CommitInfo{repo='GitHub', hash='7bb99d33663dab5ae5c903b7826c4d6a82943570', version='tubesock-0.0.4'} 	https://github.com/FirebaseExtended/TubeSock/commit/7bb99d33663dab5ae5c903b7826c4d6a82943570
CommitInfo{repo='GitHub', hash='ec91b2fd89e5242c521c660868784dafac6f3d25', version='tubesock-0.0.5'} 	https://github.com/FirebaseExtended/TubeSock/commit/ec91b2fd89e5242c521c660868784dafac6f3d25
CommitInfo{repo='GitHub', hash='337ce79e42f4379b88412c9820ab3d64dcb9ffc8', version='tubesock-0.0.6'} 	https://github.com/FirebaseExtended/TubeSock/commit/337ce79e42f4379b88412c9820ab3d64dcb9ffc8
CommitInfo{repo='GitHub', hash='249eecc98d5adbfa4c54c59fbc04532914284e9c', version='tubesock-0.0.7'} 	https://github.com/FirebaseExtended/TubeSock/commit/249eecc98d5adbfa4c54c59fbc04532914284e9c
CommitInfo{repo='GitHub', hash='50f74885f2cd2308467c0f53e437cbadefa3c846', version='tubesock-0.0.8'} 	https://github.com/FirebaseExtended/TubeSock/commit/50f74885f2cd2308467c0f53e437cbadefa3c846
CommitInfo{repo='GitHub', hash='3541141d12944319cd5f69495165f676fc6d9ae4', version='tubesock-0.0.9'} 	https://github.com/FirebaseExtended/TubeSock/commit/3541141d12944319cd5f69495165f676fc6d9ae4

Project A:
ProjectVersionFixed(version=0.0.1, dependency=4.2.5, time=2013-07-29 20:37:52 UTC),	Latest, "DependencyVersion(version=4.3-beta2, time=2013-06-08 15:15:27 UTC)"

ProjectVersionFixed(version=0.0.2, dependency=4.2.5, time=2013-08-19 18:33:00 UTC),	Latest, "DependencyVersion(version=4.3-beta2, time=2013-06-08 15:15:27 UTC)"

ProjectVersionFixed(version=0.0.3, dependency=4.2.5, time=2013-08-29 21:41:35 UTC),	Latest, "DependencyVersion(version=4.3-beta2, time=2013-06-08 15:15:27 UTC)"

ProjectVersionFixed(version=0.0.4, dependency=4.0.1, time=2013-09-26 02:11:45 UTC),	Latest, "DependencyVersion(version=4.3, time=2013-09-04 18:22:09 UTC)"

ProjectVersionFixed(version=0.0.5, dependency=4.0.1, time=2013-10-01 20:52:56 UTC),	Latest, "DependencyVersion(version=4.3, time=2013-09-04 18:22:09 UTC)"

ProjectVersionFixed(version=0.0.6, dependency=4.0.1, time=2013-10-24 22:05:56 UTC),	Latest, "DependencyVersion(version=4.3.1, time=2013-10-03 19:42:57 UTC)"

ProjectVersionFixed(version=0.0.7, dependency=4.0.1, time=2014-04-28 17:41:30 UTC),	Latest, "DependencyVersion(version=4.3.3, time=2014-02-22 14:05:30 UTC)"

ProjectVersionFixed(version=0.0.8, dependency=4.0.1, time=2014-05-30 15:59:17 UTC),	Latest, "DependencyVersion(version=4.3.3, time=2014-02-22 14:05:30 UTC)"

ProjectVersionFixed(version=0.0.9, dependency=4.0.1, time=2014-09-12 15:22:04 UTC),	Latest, "DependencyVersion(version=4.4-alpha1, time=2014-06-25 14:25:00 UTC)"

ProjectVersionFixed(version=0.0.10, dependency=4.0.1, time=2014-11-11 21:45:00 UTC),	Latest, "DependencyVersion(version=4.4-beta1, time=2014-09-22 17:12:58 UTC)"

ProjectVersionFixed(version=0.0.11, dependency=4.0.1, time=2015-01-13 18:14:28 UTC),	Latest, "DependencyVersion(version=4.4-beta1, time=2014-09-22 17:12:58 UTC)"

ProjectVersionFixed(version=0.0.12, dependency=4.0.1, time=2015-09-08 21:26:06 UTC),	Latest, "DependencyVersion(version=4.5, time=2015-05-31 11:10:00 UTC)"


Project B:
DependencyVersion(version=4.0, time=2009-08-11 18:52:30 UTC)
DependencyVersion(version=4.0.1, time=2009-12-09 19:20:50 UTC)
DependencyVersion(version=4.0.2, time=2010-09-02 20:46:55 UTC)
DependencyVersion(version=4.0.3, time=2010-09-15 19:22:31 UTC)
DependencyVersion(version=4.0-alpha1, time=2007-07-18 19:26:38 UTC)
DependencyVersion(version=4.0-alpha2, time=2007-11-06 14:00:42 UTC)
DependencyVersion(version=4.0-alpha3, time=2008-02-25 08:52:39 UTC)
DependencyVersion(version=4.0-alpha4, time=2008-05-07 21:45:47 UTC)
DependencyVersion(version=4.0-beta1, time=2008-08-28 21:07:09 UTC)
DependencyVersion(version=4.0-beta2, time=2008-12-17 19:24:38 UTC)
DependencyVersion(version=4.1, time=2011-01-17 20:18:13 UTC)
DependencyVersion(version=4.1.1, time=2011-03-14 21:07:32 UTC)
DependencyVersion(version=4.1.2, time=2011-07-29 22:02:07 UTC)
DependencyVersion(version=4.1.3, time=2012-02-02 12:15:22 UTC)
DependencyVersion(version=4.1-alpha1, time=2009-12-09 19:27:19 UTC)
DependencyVersion(version=4.1-alpha2, time=2010-05-17 19:16:58 UTC)
DependencyVersion(version=4.1-beta1, time=2010-11-17 20:13:28 UTC)
DependencyVersion(version=4.2, time=2012-05-17 12:26:34 UTC)
DependencyVersion(version=4.2.1, time=2012-06-29 20:54:26 UTC)
DependencyVersion(version=4.2.1-atlassian-1, time=2012-10-12 21:30:49 UTC)
DependencyVersion(version=4.2.1-atlassian-2, time=2012-10-13 04:52:23 UTC)
DependencyVersion(version=4.2.1-atlassian-5, time=2013-01-08 21:27:34 UTC)
DependencyVersion(version=4.2.2, time=2012-10-21 10:20:16 UTC)
DependencyVersion(version=4.2.3, time=2013-01-10 22:19:52 UTC)
DependencyVersion(version=4.2.4, time=2013-04-05 14:55:42 UTC)
DependencyVersion(version=4.2.5, time=2013-04-19 16:29:57 UTC)
DependencyVersion(version=4.2.6, time=2013-09-04 18:16:03 UTC)
DependencyVersion(version=4.2-alpha1, time=2011-10-30 16:04:50 UTC)
DependencyVersion(version=4.2-beta1, time=2012-02-06 17:53:03 UTC)
DependencyVersion(version=4.3, time=2013-09-04 18:22:09 UTC)
DependencyVersion(version=4.3.1, time=2013-10-03 19:42:57 UTC)
DependencyVersion(version=4.3.2, time=2014-01-15 18:43:52 UTC)
DependencyVersion(version=4.3.3, time=2014-02-22 14:05:30 UTC)
DependencyVersion(version=4.3.4, time=2014-05-31 15:19:00 UTC)
DependencyVersion(version=4.3.5, time=2014-07-30 18:24:00 UTC)
DependencyVersion(version=4.3.6, time=2014-11-02 13:45:00 UTC)
DependencyVersion(version=4.3-alpha1, time=2013-01-16 17:32:52 UTC)
DependencyVersion(version=4.3-beta1, time=2013-04-05 15:02:26 UTC)
DependencyVersion(version=4.3-beta2, time=2013-06-08 15:15:27 UTC)
DependencyVersion(version=4.4, time=2015-01-27 20:57:00 UTC)
DependencyVersion(version=4.4.1, time=2015-03-24 15:43:00 UTC)
DependencyVersion(version=4.4-alpha1, time=2014-06-25 14:25:00 UTC)
DependencyVersion(version=4.4-beta1, time=2014-09-22 17:12:58 UTC)
DependencyVersion(version=4.5, time=2015-05-31 11:10:00 UTC)
DependencyVersion(version=4.5.1, time=2015-09-11 12:55:50 UTC)
DependencyVersion(version=4.5.2, time=2016-02-21 16:05:44 UTC)
DependencyVersion(version=4.5.3, time=2017-01-21 16:00:22 UTC)
DependencyVersion(version=4.5.4, time=2017-11-27 09:42:20 UTC)
DependencyVersion(version=4.5.5, time=2018-01-18 11:54:06 UTC)
DependencyVersion(version=4.5.6, time=2018-07-05 11:42:16 UTC)
