
Project information
net.sf.portletunit:portletunit2 (352940)	org.mortbay.jetty:jsp-2.1 (369265)	Package Manager: Maven
RepoID: null
Tag information:

Project A:
ProjectVersionFixed(version=1.0.2, dependency=6.1.14, time=2010-02-26 05:21:04 UTC),	Latest, "DependencyVersion(version=7.0.0pre2, time=2008-06-30 11:50:47 UTC)"

ProjectVersionFixed(version=1.0.7, dependency=6.1.8, time=2013-12-05 21:21:59 UTC),	Latest, "DependencyVersion(version=7.0.0pre2, time=2008-06-30 11:50:47 UTC)"


Project B:
DependencyVersion(version=6.0.0, time=2006-09-09 22:01:42 UTC)
DependencyVersion(version=6.0.0beta14, time=2006-04-09 22:18:29 UTC)
DependencyVersion(version=6.0.0beta15, time=2006-05-11 21:32:50 UTC)
DependencyVersion(version=6.0.0beta16, time=2006-05-15 03:50:05 UTC)
DependencyVersion(version=6.0.0beta17, time=2006-06-02 07:55:20 UTC)
DependencyVersion(version=6.0.0rc0, time=2006-07-07 00:07:33 UTC)
DependencyVersion(version=6.0.0rc1, time=2006-08-16 16:35:12 UTC)
DependencyVersion(version=6.0.0rc2, time=2006-08-25 13:59:01 UTC)
DependencyVersion(version=6.0.0rc3, time=2006-09-01 15:41:07 UTC)
DependencyVersion(version=6.0.0rc4, time=2006-09-05 15:16:28 UTC)
DependencyVersion(version=6.0.1, time=2006-09-24 21:51:14 UTC)
DependencyVersion(version=6.0.2, time=2006-11-23 10:14:29 UTC)
DependencyVersion(version=6.1.0, time=2007-01-05 18:56:07 UTC)
DependencyVersion(version=6.1.0pre0, time=2006-10-21 19:08:38 UTC)
DependencyVersion(version=6.1.0pre1, time=2006-11-18 11:35:06 UTC)
DependencyVersion(version=6.1.0pre2, time=2006-11-20 06:38:34 UTC)
DependencyVersion(version=6.1.0pre3, time=2006-11-23 12:00:14 UTC)
DependencyVersion(version=6.1.0rc0, time=2006-12-08 12:24:13 UTC)
DependencyVersion(version=6.1.0rc1, time=2006-12-13 21:57:23 UTC)
DependencyVersion(version=6.1.0rc2, time=2006-12-20 21:37:12 UTC)
DependencyVersion(version=6.1.0rc3, time=2007-01-02 18:09:35 UTC)
DependencyVersion(version=6.1.1, time=2007-01-15 15:56:56 UTC)
DependencyVersion(version=6.1.10, time=2008-05-21 16:08:41 UTC)
DependencyVersion(version=6.1.11, time=2008-06-09 14:40:35 UTC)
DependencyVersion(version=6.1.12, time=2008-11-05 00:36:19 UTC)
DependencyVersion(version=6.1.12rc1, time=2008-08-01 07:15:19 UTC)
DependencyVersion(version=6.1.12.rc2, time=2008-09-12 14:14:09 UTC)
DependencyVersion(version=6.1.12.rc3, time=2008-10-12 01:31:35 UTC)
DependencyVersion(version=6.1.12.rc4, time=2008-10-21 16:20:11 UTC)
DependencyVersion(version=6.1.12.rc5, time=2008-10-30 16:02:42 UTC)
DependencyVersion(version=6.1.14, time=2008-11-14 00:50:46 UTC)
DependencyVersion(version=6.1.1rc0, time=2007-01-09 15:09:08 UTC)
DependencyVersion(version=6.1.1rc1, time=2007-01-12 01:02:36 UTC)
DependencyVersion(version=6.1.2, time=2007-05-02 02:12:10 UTC)
DependencyVersion(version=6.1.2pre0, time=2007-02-01 16:54:58 UTC)
DependencyVersion(version=6.1.2pre1, time=2007-02-05 09:24:32 UTC)
DependencyVersion(version=6.1.2rc0, time=2007-02-15 13:07:46 UTC)
DependencyVersion(version=6.1.2rc1, time=2007-03-08 12:52:11 UTC)
DependencyVersion(version=6.1.2rc2, time=2007-03-27 22:27:06 UTC)
DependencyVersion(version=6.1.2rc4, time=2007-04-19 10:50:13 UTC)
DependencyVersion(version=6.1.2rc5, time=2007-04-24 13:16:40 UTC)
DependencyVersion(version=6.1.3, time=2007-05-04 17:24:53 UTC)
DependencyVersion(version=6.1.4, time=2007-06-15 23:25:05 UTC)
DependencyVersion(version=6.1.4rc0, time=2007-05-30 11:28:14 UTC)
DependencyVersion(version=6.1.4rc1, time=2007-06-10 05:28:14 UTC)
DependencyVersion(version=6.1.5, time=2007-07-23 06:06:53 UTC)
DependencyVersion(version=6.1.5rc0, time=2007-07-16 11:05:40 UTC)
DependencyVersion(version=6.1.6, time=2007-11-22 05:38:24 UTC)
DependencyVersion(version=6.1.6rc0, time=2007-10-04 05:07:07 UTC)
DependencyVersion(version=6.1.6rc1, time=2007-11-05 06:11:22 UTC)
DependencyVersion(version=6.1.7, time=2007-12-24 07:20:36 UTC)
DependencyVersion(version=6.1.8, time=2008-03-03 08:15:44 UTC)
DependencyVersion(version=6.1.9, time=2008-04-01 15:01:10 UTC)
DependencyVersion(version=6.1H.10, time=2008-06-28 02:19:09 UTC)
DependencyVersion(version=6.1H.14, time=2009-01-14 14:59:14 UTC)
DependencyVersion(version=6.1H.14.1, time=2009-01-14 15:41:12 UTC)
DependencyVersion(version=6.1H.4-beta, time=2007-07-05 04:28:59 UTC)
DependencyVersion(version=6.1H.4rc1, time=2007-06-13 08:42:02 UTC)
DependencyVersion(version=6.1H.5-beta, time=2007-08-13 02:00:11 UTC)
DependencyVersion(version=6.1H.6, time=2007-12-06 03:51:00 UTC)
DependencyVersion(version=6.1H.7, time=2007-12-24 08:26:03 UTC)
DependencyVersion(version=6.1H.8, time=2008-03-08 08:17:54 UTC)
DependencyVersion(version=7.0.0pre0, time=2008-04-22 16:07:12 UTC)
DependencyVersion(version=7.0.0pre1, time=2008-05-04 12:52:13 UTC)
DependencyVersion(version=7.0.0pre2, time=2008-06-30 11:50:47 UTC)
