
Project information
org.apache.camel:camel-bundle (379127)	xerces:xercesImpl (375340)	Package Manager: Maven
RepoID: null
Tag information:

Project A:
ProjectVersionFixed(version=1.4.0, dependency=2.8.1, time=2008-07-22 13:21:06 UTC),	Latest, "null"

ProjectVersionFixed(version=1.5.0, dependency=2.8.1, time=2008-10-31 14:40:02 UTC),	Latest, "DependencyVersion(version=2.9.1, time=2008-10-01 22:19:23 UTC)"

ProjectVersionFixed(version=1.6.0, dependency=2.8.1, time=2009-02-17 10:22:50 UTC),	Latest, "DependencyVersion(version=2.9.1, time=2008-10-01 22:19:23 UTC)"

ProjectVersionFixed(version=1.6.1, dependency=2.6.2, time=2009-05-14 13:13:35 UTC),	Latest, "DependencyVersion(version=2.9.1, time=2008-10-01 22:19:23 UTC)"

ProjectVersionFixed(version=2.0-M1, dependency=2.6.2, time=2009-03-16 13:21:16 UTC),	Latest, "DependencyVersion(version=2.9.1, time=2008-10-01 22:19:23 UTC)"

ProjectVersionFixed(version=2.0-M2, dependency=2.8.0, time=2009-06-12 10:01:15 UTC),	Latest, "DependencyVersion(version=2.9.1, time=2008-10-01 22:19:23 UTC)"

ProjectVersionFixed(version=2.0-M3, dependency=2.8.0, time=2009-07-20 02:31:42 UTC),	Latest, "DependencyVersion(version=2.9.1, time=2008-10-01 22:19:23 UTC)"


Project B:
DependencyVersion(version=2.0.0, time=2005-11-22 18:28:27 UTC)
DependencyVersion(version=2.0.2, time=2005-11-22 18:28:28 UTC)
DependencyVersion(version=2.10.0, time=2011-08-15 22:32:38 UTC)
DependencyVersion(version=2.11.0, time=2013-02-20 20:20:05 UTC)
DependencyVersion(version=2.11.0-atlassian-01, time=2015-08-14 15:18:30 UTC)
DependencyVersion(version=2.11.0.SP1, time=2014-10-21 09:37:10 UTC)
DependencyVersion(version=2.11.0.SP3, time=2015-02-27 14:56:06 UTC)
DependencyVersion(version=2.11.0.SP4, time=2015-08-31 19:26:14 UTC)
DependencyVersion(version=2.11.0.SP5, time=2016-09-14 14:21:35 UTC)
DependencyVersion(version=2.12.0, time=2018-06-22 18:27:27 UTC)
DependencyVersion(version=2.2.1, time=2005-12-27 15:54:20 UTC)
DependencyVersion(version=2.3.0, time=2005-11-22 18:28:28 UTC)
DependencyVersion(version=2.4.0, time=2006-10-19 19:23:10 UTC)
DependencyVersion(version=2.5.0, time=2005-11-22 18:28:28 UTC)
DependencyVersion(version=2.6.0, time=2005-11-22 18:28:29 UTC)
DependencyVersion(version=2.6.1, time=2005-11-23 21:44:55 UTC)
DependencyVersion(version=2.6.2, time=2005-11-22 18:28:31 UTC)
DependencyVersion(version=2.6.2-jaxb-1.0.6, time=2010-05-20 08:54:56 UTC)
DependencyVersion(version=2.7.1, time=2005-11-22 18:28:32 UTC)
DependencyVersion(version=2.8.0, time=2006-05-12 20:32:29 UTC)
DependencyVersion(version=2.8.1, time=2006-10-07 12:02:32 UTC)
DependencyVersion(version=2.9.0, time=2008-10-01 22:19:00 UTC)
DependencyVersion(version=2.9.1, time=2008-10-01 22:19:23 UTC)
DependencyVersion(version=2.9.1-jbossas-1, time=2011-07-09 05:33:17 UTC)
DependencyVersion(version=2.9.1-jbossas-2, time=2012-05-09 03:27:22 UTC)
