
Project information
net.box:boxjavalibv2 (396700)	org.apache.httpcomponents:httpcore (374139)	Package Manager: Maven
RepoID: 532753
Tag information:

Project A:
ProjectVersionFixed(version=2.1.18, dependency=4.2.5, time=2014-01-16 17:04:31 UTC),	Latest, "DependencyVersion(version=4.3.1, time=2013-12-18 14:06:46 UTC)"

ProjectVersionFixed(version=2.1.19, dependency=4.2.5, time=2014-01-16 17:38:35 UTC),	Latest, "DependencyVersion(version=4.3.1, time=2013-12-18 14:06:46 UTC)"

ProjectVersionFixed(version=2.1.20, dependency=4.2.5, time=2014-01-23 21:32:43 UTC),	Latest, "DependencyVersion(version=4.3.1, time=2013-12-18 14:06:46 UTC)"

ProjectVersionFixed(version=2.2.0, dependency=4.2.5, time=2014-01-24 18:23:55 UTC),	Latest, "DependencyVersion(version=4.3.1, time=2013-12-18 14:06:46 UTC)"

ProjectVersionFixed(version=2.2.2, dependency=4.2.5, time=2014-02-12 23:39:07 UTC),	Latest, "DependencyVersion(version=4.3.2, time=2014-02-12 20:44:06 UTC)"

ProjectVersionFixed(version=3.0.0, dependency=4.2.5, time=2014-03-17 18:02:22 UTC),	Latest, "DependencyVersion(version=4.3.2, time=2014-02-12 20:44:06 UTC)"

ProjectVersionFixed(version=3.0.1, dependency=4.2.5, time=2014-04-11 22:17:03 UTC),	Latest, "DependencyVersion(version=4.3.2, time=2014-02-12 20:44:06 UTC)"

ProjectVersionFixed(version=3.0.3, dependency=4.2.5, time=2014-04-15 17:57:32 UTC),	Latest, "DependencyVersion(version=4.3.2, time=2014-02-12 20:44:06 UTC)"

ProjectVersionFixed(version=3.0.4, dependency=4.2.5, time=2014-04-28 17:53:40 UTC),	Latest, "DependencyVersion(version=4.3.2, time=2014-02-12 20:44:06 UTC)"

ProjectVersionFixed(version=3.0.5, dependency=4.2.5, time=2014-05-01 20:18:13 UTC),	Latest, "DependencyVersion(version=4.3.2, time=2014-02-12 20:44:06 UTC)"

ProjectVersionFixed(version=3.0.6, dependency=4.2.5, time=2014-05-22 20:36:47 UTC),	Latest, "DependencyVersion(version=4.3.2, time=2014-02-12 20:44:06 UTC)"

ProjectVersionFixed(version=3.0.7, dependency=4.2.5, time=2014-05-23 22:12:38 UTC),	Latest, "DependencyVersion(version=4.3.2, time=2014-02-12 20:44:06 UTC)"

ProjectVersionFixed(version=3.0.8, dependency=4.2.5, time=2014-05-29 20:51:51 UTC),	Latest, "DependencyVersion(version=4.3.2, time=2014-02-12 20:44:06 UTC)"

ProjectVersionFixed(version=3.0.9, dependency=4.2.5, time=2014-05-30 18:18:26 UTC),	Latest, "DependencyVersion(version=4.3.2, time=2014-02-12 20:44:06 UTC)"

ProjectVersionFixed(version=v3.0.10, dependency=4.2.5, time=2014-06-23 17:39:15 UTC),	Latest, "DependencyVersion(version=4.4-alpha1, time=2014-06-11 14:10:00 UTC)"

ProjectVersionFixed(version=3.0.12, dependency=4.2.4, time=2014-08-18 21:28:31 UTC),	Latest, "DependencyVersion(version=4.4-alpha1, time=2014-06-11 14:10:00 UTC)"

ProjectVersionFixed(version=3.0.13, dependency=4.2.4, time=2014-08-22 20:23:56 UTC),	Latest, "DependencyVersion(version=4.4-alpha1, time=2014-06-11 14:10:00 UTC)"

ProjectVersionFixed(version=3.0.14, dependency=4.2.4, time=2014-09-02 19:24:07 UTC),	Latest, "DependencyVersion(version=4.4-alpha1, time=2014-06-11 14:10:00 UTC)"

ProjectVersionFixed(version=3.1.0, dependency=4.2.4, time=2014-09-15 23:01:39 UTC),	Latest, "DependencyVersion(version=4.4-alpha1, time=2014-06-11 14:10:00 UTC)"

ProjectVersionFixed(version=3.1.7, dependency=4.2.4, time=2014-10-13 19:20:15 UTC),	Latest, "DependencyVersion(version=4.4-beta1, time=2014-09-18 08:38:13 UTC)"

ProjectVersionFixed(version=3.2.0, dependency=4.2.4, time=2014-12-29 18:23:20 UTC),	Latest, "DependencyVersion(version=4.4, time=2014-12-14 12:30:50 UTC)"

ProjectVersionFixed(version=3.2.1, dependency=4.2.4, time=2014-12-29 19:01:32 UTC),	Latest, "DependencyVersion(version=4.4, time=2014-12-14 12:30:50 UTC)"


Project B:
DependencyVersion(version=4.0, time=2009-02-24 18:39:58 UTC)
DependencyVersion(version=4.0.1, time=2009-06-21 11:09:22 UTC)
DependencyVersion(version=4.0-alpha3, time=2006-12-06 23:06:56 UTC)
DependencyVersion(version=4.0-alpha4, time=2007-03-27 16:36:55 UTC)
DependencyVersion(version=4.0-alpha5, time=2007-07-02 14:25:34 UTC)
DependencyVersion(version=4.0-alpha6, time=2007-10-08 10:57:08 UTC)
DependencyVersion(version=4.0-beta1, time=2008-01-23 10:46:58 UTC)
DependencyVersion(version=4.0-beta2, time=2008-06-20 17:53:43 UTC)
DependencyVersion(version=4.0-beta3, time=2008-10-18 10:45:50 UTC)
DependencyVersion(version=4.1, time=2010-11-13 19:11:35 UTC)
DependencyVersion(version=4.1.1, time=2011-05-13 11:52:37 UTC)
DependencyVersion(version=4.1.2, time=2011-07-10 11:03:27 UTC)
DependencyVersion(version=4.1.3, time=2011-07-27 18:08:27 UTC)
DependencyVersion(version=4.1.4, time=2011-12-18 16:37:44 UTC)
DependencyVersion(version=4.1-alpha1, time=2009-09-10 17:45:52 UTC)
DependencyVersion(version=4.1-beta1, time=2010-04-01 18:35:12 UTC)
DependencyVersion(version=4.1-beta2, time=2010-08-24 19:45:45 UTC)
DependencyVersion(version=4.2, time=2012-05-01 12:21:36 UTC)
DependencyVersion(version=4.2.1, time=2012-06-10 15:13:26 UTC)
DependencyVersion(version=4.2.2, time=2012-09-18 19:48:05 UTC)
DependencyVersion(version=4.2.3, time=2012-11-23 21:24:57 UTC)
DependencyVersion(version=4.2.4, time=2013-03-20 16:12:19 UTC)
DependencyVersion(version=4.2.5, time=2013-07-29 15:14:22 UTC)
DependencyVersion(version=4.2-alpha1, time=2011-08-14 19:20:34 UTC)
DependencyVersion(version=4.2-alpha2, time=2011-09-18 15:13:00 UTC)
DependencyVersion(version=4.2-beta1, time=2012-01-24 20:43:49 UTC)
DependencyVersion(version=4.3, time=2013-07-29 15:06:21 UTC)
DependencyVersion(version=4.3.1, time=2013-12-18 14:06:46 UTC)
DependencyVersion(version=4.3.2, time=2014-02-12 20:44:06 UTC)
DependencyVersion(version=4.3.3, time=2014-10-18 11:51:00 UTC)
DependencyVersion(version=4.3-alpha1, time=2012-11-23 21:11:57 UTC)
DependencyVersion(version=4.3-beta1, time=2013-03-20 16:09:31 UTC)
DependencyVersion(version=4.3-beta2, time=2013-05-04 11:45:25 UTC)
DependencyVersion(version=4.4, time=2014-12-14 12:30:50 UTC)
DependencyVersion(version=4.4.1, time=2015-03-14 16:29:00 UTC)
DependencyVersion(version=4.4.10, time=2018-06-26 18:37:21 UTC)
DependencyVersion(version=4.4.2, time=2015-09-04 15:11:27 UTC)
DependencyVersion(version=4.4.3, time=2015-09-09 11:44:51 UTC)
DependencyVersion(version=4.4.4, time=2015-10-26 17:18:12 UTC)
DependencyVersion(version=4.4.5, time=2016-06-08 16:39:33 UTC)
DependencyVersion(version=4.4.6, time=2017-01-07 13:50:06 UTC)
DependencyVersion(version=4.4.7, time=2017-09-10 10:22:10 UTC)
DependencyVersion(version=4.4.8, time=2017-09-29 14:23:07 UTC)
DependencyVersion(version=4.4.9, time=2018-01-12 03:42:23 UTC)
DependencyVersion(version=4.4-alpha1, time=2014-06-11 14:10:00 UTC)
DependencyVersion(version=4.4-beta1, time=2014-09-18 08:38:13 UTC)
