
Project information
com.github.xuwei-k:iarray_2.10 (417204)	org.scalaz:scalaz-scalacheck-binding_2.10 (360392)	Package Manager: Maven
RepoID: 165111
Tag information:
CommitInfo{repo='GitHub', hash='3ecdfba662c36e30fad167748ca98bbedfd248e1', version='v0.1'}
CommitInfo{repo='GitHub', hash='bd134f5dd279ebbecfff8e4f9236b43e2a7fb478', version='v0.2'}
CommitInfo{repo='GitHub', hash='ab0923e9c91567580d0c1a3cd87fa6920db9fe16', version='v0.2.1'}
CommitInfo{repo='GitHub', hash='4dd8c0cc165aa29c6c297d00a3fea090e6e68256', version='v0.2.10'}
CommitInfo{repo='GitHub', hash='ebe28a599c382dac31adccbdf082cd1868c9e33b', version='v0.2.11'}
CommitInfo{repo='GitHub', hash='3bbf4e9d56e7abdabe8fc9d5e37319d886a5800d', version='v0.2.13'}
CommitInfo{repo='GitHub', hash='174c84766868409e1d2cbc30eee0a1ff85c8779a', version='v0.2.2'}
CommitInfo{repo='GitHub', hash='030be8fbd1046da17cfff02f0119ee26d48a00f9', version='v0.2.3'}
CommitInfo{repo='GitHub', hash='0b8881b8801dba991abee62f0236e430f107a5f5', version='v0.2.4'}
CommitInfo{repo='GitHub', hash='9fbae03b6f27e43ca7bf4ee43b9a46a1c6bdc39b', version='v0.2.5'}
CommitInfo{repo='GitHub', hash='ced98ac05da14b6c10e9ef364e2b143bd7b07150', version='v0.2.6'}
CommitInfo{repo='GitHub', hash='fc02c35b8a6f77660058979918300f803e19d86a', version='v0.2.6-2.10'}
CommitInfo{repo='GitHub', hash='16eaa4b1c12feec5565811c6b5eb20132ac98464', version='v0.2.7'}
CommitInfo{repo='GitHub', hash='142f8ce049f7596f6ec7fb5964b1cd09c1f0c969', version='v0.2.7-scalaz70'}
CommitInfo{repo='GitHub', hash='8adc25627ea7778d8c509b8828f89967183b6b43', version='v0.2.8'}
CommitInfo{repo='GitHub', hash='d45dc8ab1378292de2788ee1c698cc86b00594b4', version='v0.2.9'}
CommitInfo{repo='GitHub', hash='d00e6d40e30287b3d4778010f05fa573692a382f', version='v0.3.0'}
CommitInfo{repo='GitHub', hash='fa73b88d4f0a8a834f9e5e13436ccbfab44c5ab8', version='v0.3.1'}

Project A:
ProjectVersionFixed(version=0.2.6, dependency=7.1.0-M5, time=2014-02-16 13:05:46 UTC),	Latest, "null"

ProjectVersionFixed(version=0.2.7, dependency=7.1.0-M6, time=2014-03-10 00:22:21 UTC),	Latest, "null"

ProjectVersionFixed(version=0.2.7-scalaz70, dependency=7.0.6, time=2014-04-20 08:20:29 UTC),	Latest, "DependencyVersion(version=7.1.0-M6, time=2014-03-09 18:44:20 UTC)"

ProjectVersionFixed(version=0.2.8, dependency=null, time=2014-05-16 23:26:17 UTC)
ProjectVersionFixed(version=0.2.9, dependency=null, time=2014-06-30 04:46:08 UTC)
ProjectVersionFixed(version=0.2.10, dependency=null, time=2014-08-01 18:19:02 UTC)
ProjectVersionFixed(version=0.2.11, dependency=null, time=2015-03-15 11:51:34 UTC)
ProjectVersionFixed(version=0.2.12, dependency=null, time=2015-05-23 06:40:19 UTC)
ProjectVersionFixed(version=0.2.13, dependency=null, time=2015-05-23 06:48:08 UTC)
ProjectVersionFixed(version=0.3.0, dependency=null, time=2015-12-05 07:58:10 UTC)
ProjectVersionFixed(version=0.3.1, dependency=null, time=2016-09-26 14:12:08 UTC)

Project B:
DependencyVersion(version=6.0.3, time=2013-01-02 09:32:04 UTC)
DependencyVersion(version=6.0.4, time=2013-01-02 09:05:11 UTC)
DependencyVersion(version=7.0.0, time=2013-04-21 15:50:44 UTC)
DependencyVersion(version=7.0.0-M7, time=2012-12-22 22:59:27 UTC)
DependencyVersion(version=7.0.0-M8, time=2013-02-18 13:01:13 UTC)
DependencyVersion(version=7.0.0-M9, time=2013-03-17 19:56:22 UTC)
DependencyVersion(version=7.0.0-RC1, time=2013-04-02 19:20:26 UTC)
DependencyVersion(version=7.0.0-RC2, time=2013-04-09 19:52:08 UTC)
DependencyVersion(version=7.0.1, time=2013-06-30 15:00:27 UTC)
DependencyVersion(version=7.0.2, time=2013-07-07 12:31:22 UTC)
DependencyVersion(version=7.0.3, time=2013-08-12 18:10:47 UTC)
DependencyVersion(version=7.0.4, time=2013-10-09 06:23:55 UTC)
DependencyVersion(version=7.0.5, time=2013-11-24 17:01:54 UTC)
DependencyVersion(version=7.0.6, time=2014-03-05 06:24:50 UTC)
DependencyVersion(version=7.0.7, time=2015-02-16 11:45:54 UTC)
DependencyVersion(version=7.0.8, time=2015-07-16 23:48:56 UTC)
DependencyVersion(version=7.0.9, time=2016-04-09 03:02:49 UTC)
DependencyVersion(version=7.1.0, time=2014-08-01 16:14:06 UTC)
DependencyVersion(version=7.1.0-M1, time=2013-07-15 08:17:48 UTC)
DependencyVersion(version=7.1.0-M2, time=2013-07-31 16:13:24 UTC)
DependencyVersion(version=7.1.0-M3, time=2013-09-21 22:40:34 UTC)
DependencyVersion(version=7.1.0-M4, time=2013-11-24 14:04:29 UTC)
DependencyVersion(version=7.1.0-M5, time=2014-02-06 20:03:35 UTC)
DependencyVersion(version=7.1.0-M6, time=2014-03-09 18:44:20 UTC)
DependencyVersion(version=7.1.0-M7, time=2014-05-16 20:16:32 UTC)
DependencyVersion(version=7.1.0-RC1, time=2014-06-28 16:15:17 UTC)
DependencyVersion(version=7.1.0-RC2, time=2014-07-26 19:43:32 UTC)
DependencyVersion(version=7.1.1, time=2015-02-06 14:30:04 UTC)
DependencyVersion(version=7.1.10, time=2016-09-08 01:53:21 UTC)
DependencyVersion(version=7.1.11, time=2016-10-27 15:13:00 UTC)
DependencyVersion(version=7.1.12, time=2017-03-19 03:28:41 UTC)
DependencyVersion(version=7.1.13, time=2017-04-18 13:52:53 UTC)
DependencyVersion(version=7.1.14, time=2017-07-07 23:48:16 UTC)
DependencyVersion(version=7.1.15, time=2017-08-20 11:25:37 UTC)
DependencyVersion(version=7.1.16, time=2017-12-17 05:11:33 UTC)
DependencyVersion(version=7.1.17, time=2018-02-03 12:01:46 UTC)
DependencyVersion(version=7.1.2, time=2015-05-01 20:58:31 UTC)
DependencyVersion(version=7.1.3, time=2015-06-19 15:58:11 UTC)
DependencyVersion(version=7.1.4, time=2015-09-18 15:55:21 UTC)
DependencyVersion(version=7.1.5, time=2015-11-04 23:53:32 UTC)
DependencyVersion(version=7.1.6, time=2015-12-14 16:01:25 UTC)
DependencyVersion(version=7.1.7, time=2016-02-06 17:30:12 UTC)
DependencyVersion(version=7.1.8, time=2016-04-24 11:41:16 UTC)
DependencyVersion(version=7.1.9, time=2016-07-08 22:58:41 UTC)
DependencyVersion(version=7.2.0, time=2015-12-04 18:58:03 UTC)
DependencyVersion(version=7.2.0-M1, time=2015-04-27 22:14:34 UTC)
DependencyVersion(version=7.2.0-M2, time=2015-06-27 18:33:04 UTC)
DependencyVersion(version=7.2.0-M3, time=2015-09-04 15:36:05 UTC)
DependencyVersion(version=7.2.0-M4, time=2015-10-24 06:21:39 UTC)
DependencyVersion(version=7.2.0-M5, time=2015-11-11 15:24:31 UTC)
DependencyVersion(version=7.2.0-RC1, time=2015-11-28 02:59:07 UTC)
DependencyVersion(version=7.2.1, time=2016-03-02 11:59:24 UTC)
DependencyVersion(version=7.2.10, time=2017-03-16 13:31:01 UTC)
DependencyVersion(version=7.2.10-scalacheck-1.13, time=2017-03-16 13:30:44 UTC)
DependencyVersion(version=7.2.11, time=2017-04-14 07:28:38 UTC)
DependencyVersion(version=7.2.11-scalacheck-1.13, time=2017-04-14 07:28:13 UTC)
DependencyVersion(version=7.2.12, time=2017-04-27 12:38:44 UTC)
DependencyVersion(version=7.2.12-scalacheck-1.13, time=2017-04-27 12:36:41 UTC)
DependencyVersion(version=7.2.13, time=2017-05-25 15:15:36 UTC)
DependencyVersion(version=7.2.13-scalacheck-1.13, time=2017-05-25 15:15:29 UTC)
DependencyVersion(version=7.2.14, time=2017-06-25 07:15:01 UTC)
DependencyVersion(version=7.2.14-scalacheck-1.13, time=2017-06-25 07:14:55 UTC)
DependencyVersion(version=7.2.15, time=2017-08-13 04:02:47 UTC)
DependencyVersion(version=7.2.15-scalacheck-1.13, time=2017-08-13 04:02:39 UTC)
DependencyVersion(version=7.2.16, time=2017-10-14 10:26:35 UTC)
DependencyVersion(version=7.2.16-scalacheck-1.13, time=2017-10-14 10:26:23 UTC)
DependencyVersion(version=7.2.17, time=2017-11-25 08:58:20 UTC)
DependencyVersion(version=7.2.17-scalacheck-1.13, time=2017-11-25 08:58:27 UTC)
DependencyVersion(version=7.2.18, time=2017-12-20 13:55:16 UTC)
DependencyVersion(version=7.2.18-scalacheck-1.13, time=2017-12-20 13:55:24 UTC)
DependencyVersion(version=7.2.19, time=2018-02-01 22:08:02 UTC)
DependencyVersion(version=7.2.19-scalacheck-1.13, time=2018-02-01 22:08:25 UTC)
DependencyVersion(version=7.2.2, time=2016-04-01 16:03:49 UTC)
DependencyVersion(version=7.2.20, time=2018-02-25 09:23:22 UTC)
DependencyVersion(version=7.2.20-scalacheck-1.13, time=2018-02-25 09:22:43 UTC)
DependencyVersion(version=7.2.21, time=2018-04-05 23:53:15 UTC)
DependencyVersion(version=7.2.21-scalacheck-1.13, time=2018-04-05 23:52:28 UTC)
DependencyVersion(version=7.2.22-scalacheck-1.13, time=2018-04-23 14:22:06 UTC)
DependencyVersion(version=7.2.22-scalacheck-1.14, time=2018-04-23 14:23:34 UTC)
DependencyVersion(version=7.2.23-scalacheck-1.13, time=2018-05-15 13:34:13 UTC)
DependencyVersion(version=7.2.23-scalacheck-1.14, time=2018-05-15 13:34:20 UTC)
DependencyVersion(version=7.2.24-scalacheck-1.13, time=2018-06-03 02:50:19 UTC)
DependencyVersion(version=7.2.24-scalacheck-1.14, time=2018-06-03 02:50:27 UTC)
DependencyVersion(version=7.2.25-scalacheck-1.13, time=2018-06-25 07:22:46 UTC)
DependencyVersion(version=7.2.25-scalacheck-1.14, time=2018-06-25 07:23:32 UTC)
DependencyVersion(version=7.2.3, time=2016-05-21 08:10:55 UTC)
DependencyVersion(version=7.2.4, time=2016-06-14 18:50:55 UTC)
DependencyVersion(version=7.2.5, time=2016-08-14 11:33:36 UTC)
DependencyVersion(version=7.2.6, time=2016-09-08 02:23:50 UTC)
DependencyVersion(version=7.2.7, time=2016-10-27 01:12:04 UTC)
DependencyVersion(version=7.2.7-scalacheck-1.13, time=2016-10-27 01:11:58 UTC)
DependencyVersion(version=7.2.8, time=2016-12-03 12:50:08 UTC)
DependencyVersion(version=7.2.8-scalacheck-1.13, time=2016-12-03 12:50:03 UTC)
DependencyVersion(version=7.2.9, time=2017-02-23 01:39:29 UTC)
DependencyVersion(version=7.2.9-scalacheck-1.13, time=2017-02-23 01:39:20 UTC)
DependencyVersion(version=7.3.0-M1, time=2016-03-12 04:48:53 UTC)
DependencyVersion(version=7.3.0-M10, time=2017-03-04 01:26:30 UTC)
DependencyVersion(version=7.3.0-M11, time=2017-04-09 07:59:38 UTC)
DependencyVersion(version=7.3.0-M2, time=2016-04-28 17:56:36 UTC)
DependencyVersion(version=7.3.0-M3, time=2016-06-04 02:52:35 UTC)
DependencyVersion(version=7.3.0-M4, time=2016-07-11 12:56:26 UTC)
DependencyVersion(version=7.3.0-M5, time=2016-09-09 15:02:31 UTC)
DependencyVersion(version=7.3.0-M6, time=2016-10-24 22:54:33 UTC)
DependencyVersion(version=7.3.0-M7, time=2016-11-23 00:22:48 UTC)
DependencyVersion(version=7.3.0-M8, time=2016-12-29 03:01:03 UTC)
DependencyVersion(version=7.3.0-M9, time=2017-02-17 00:47:31 UTC)
