
Project information
com.madgag:toy-ssh-agent (422149)	net.schmizz:sshj (637055)	Package Manager: Maven
RepoID: 170312
Repo Owner/Name: rtyley/toy-android-ssh-agent
Repository type: GitHub

 https://github.com/rtyley/toy-android-ssh-agent/commit/

Tag information:
CommitInfo{repo='GitHub', hash='7fd70471156aabdd3d72ff943efef4ded6f48d88', version='toy-ssh-agent-1.1'} 	https://github.com/rtyley/toy-android-ssh-agent/commit/7fd70471156aabdd3d72ff943efef4ded6f48d88
CommitInfo{repo='GitHub', hash='04d2da9a282518d968ec41156695c14a9f413ca0', version='toy-ssh-agent-1.2'} 	https://github.com/rtyley/toy-android-ssh-agent/commit/04d2da9a282518d968ec41156695c14a9f413ca0
CommitInfo{repo='GitHub', hash='9bceb41138fac5d79125ae0c994b40545241825e', version='toy-ssh-agent-1.3'} 	https://github.com/rtyley/toy-android-ssh-agent/commit/9bceb41138fac5d79125ae0c994b40545241825e
CommitInfo{repo='GitHub', hash='520ee1199777a01e13c64a5a9e02d7c10aa08878', version='toy-ssh-agent-1.4'} 	https://github.com/rtyley/toy-android-ssh-agent/commit/520ee1199777a01e13c64a5a9e02d7c10aa08878
CommitInfo{repo='GitHub', hash='f1e487f3e1116597ce02a746631c61f590d817d1', version='toy-ssh-agent-1.5'} 	https://github.com/rtyley/toy-android-ssh-agent/commit/f1e487f3e1116597ce02a746631c61f590d817d1
CommitInfo{repo='GitHub', hash='06f8c9c59f903e48a85b501dcc616aab2d675c84', version='toy-ssh-agent-1.6'} 	https://github.com/rtyley/toy-android-ssh-agent/commit/06f8c9c59f903e48a85b501dcc616aab2d675c84
CommitInfo{repo='GitHub', hash='bbea67d4d24e8825ef26ab698ab10e602dad7b3b', version='toy-ssh-agent-1.7'} 	https://github.com/rtyley/toy-android-ssh-agent/commit/bbea67d4d24e8825ef26ab698ab10e602dad7b3b
CommitInfo{repo='GitHub', hash='7df166e55d694d993cd08cb7be8ad1ff63de4fe2', version='toy-ssh-agent-1.8'} 	https://github.com/rtyley/toy-android-ssh-agent/commit/7df166e55d694d993cd08cb7be8ad1ff63de4fe2

Project A:
ProjectVersionFixed(version=1.1, dependency=0.3.0, time=2011-03-13 16:38:36 UTC),	Latest, "DependencyVersion(version=0.3.1, time=2011-03-02 21:13:02 UTC)"

ProjectVersionFixed(version=1.2, dependency=0.3.0, time=2011-03-29 14:04:30 UTC),	Latest, "DependencyVersion(version=0.3.1, time=2011-03-02 21:13:02 UTC)"

ProjectVersionFixed(version=1.3, dependency=0.3.1, time=2011-04-19 22:37:41 UTC),	Latest, "null"

ProjectVersionFixed(version=1.4, dependency=0.3.1, time=2011-05-12 15:27:53 UTC),	Latest, "null"

ProjectVersionFixed(version=1.5, dependency=0.7.0, time=2012-03-14 12:04:19 UTC),	Latest, "null"

ProjectVersionFixed(version=1.6, dependency=0.3.1, time=2012-05-03 16:44:13 UTC),	Latest, "DependencyVersion(version=0.7.0, time=2012-01-08 09:33:49 UTC)"

ProjectVersionFixed(version=1.8, dependency=0.3.1, time=2014-12-05 21:08:29 UTC),	Latest, "DependencyVersion(version=0.10.0, time=2014-07-02 06:13:00 UTC)"


Project B:
DependencyVersion(version=0.1.0, time=2010-03-11 23:31:15 UTC)
DependencyVersion(version=0.10.0, time=2014-07-02 06:13:00 UTC)
DependencyVersion(version=0.10.0-maven2, time=2014-12-10 13:24:32 UTC)
DependencyVersion(version=0.10.0-maven2-1, time=2014-12-16 09:29:54 UTC)
DependencyVersion(version=0.10.0-maven2-2, time=2014-12-16 13:10:47 UTC)
DependencyVersion(version=0.10.0-maven2-3, time=2014-12-16 14:02:05 UTC)
DependencyVersion(version=0.1.1, time=2010-03-12 16:49:39 UTC)
DependencyVersion(version=0.2.0, time=2010-05-31 22:42:38 UTC)
DependencyVersion(version=0.2.3, time=2010-06-13 13:30:33 UTC)
DependencyVersion(version=0.3.0, time=2010-08-15 19:34:13 UTC)
DependencyVersion(version=0.3.1, time=2011-03-02 21:13:02 UTC)
DependencyVersion(version=0.4.0, time=2011-06-06 19:53:09 UTC)
DependencyVersion(version=0.4.1, time=2011-06-19 17:33:32 UTC)
DependencyVersion(version=0.5.0, time=2011-07-27 18:35:10 UTC)
DependencyVersion(version=0.6.0, time=2011-09-26 12:16:54 UTC)
DependencyVersion(version=0.6.1, time=2011-10-02 21:19:33 UTC)
DependencyVersion(version=0.7.0, time=2012-01-08 09:33:49 UTC)
DependencyVersion(version=0.8.0, time=2012-05-12 20:51:17 UTC)
DependencyVersion(version=0.8.1, time=2012-07-08 13:58:18 UTC)
DependencyVersion(version=0.9.0, time=2013-08-12 02:32:12 UTC)
