
Project information
fr.inria.gforge.spoon:spoon-maven-plugin (650731)	org.apache.maven:maven-core (393502)	Package Manager: Maven
RepoID: 277866
Repo Owner/Name: SpoonLabs/spoon-maven-plugin
Repository type: GitHub

 https://github.com/SpoonLabs/spoon-maven-plugin/commit/

Tag information:
CommitInfo{repo='GitHub', hash='c0fa83346b480c7e0fb85c33d492dacdaf15fbb6', version='spoon-maven-plugin-1.0'} 	https://github.com/SpoonLabs/spoon-maven-plugin/commit/c0fa83346b480c7e0fb85c33d492dacdaf15fbb6
CommitInfo{repo='GitHub', hash='b7c435dbde617cb634efb02e0efdfbb650c65b90', version='spoon-maven-plugin-1.1'} 	https://github.com/SpoonLabs/spoon-maven-plugin/commit/b7c435dbde617cb634efb02e0efdfbb650c65b90
CommitInfo{repo='GitHub', hash='c01e2c5f4e93c4c0195bdb6d697c36b9f37af97e', version='spoon-maven-plugin-2.0'} 	https://github.com/SpoonLabs/spoon-maven-plugin/commit/c01e2c5f4e93c4c0195bdb6d697c36b9f37af97e
CommitInfo{repo='GitHub', hash='5b316f53e0c1a7d6a78062aed64f1821ed427baa', version='spoon-maven-plugin-2.1'} 	https://github.com/SpoonLabs/spoon-maven-plugin/commit/5b316f53e0c1a7d6a78062aed64f1821ed427baa
CommitInfo{repo='GitHub', hash='e4320658c6f8460c6cdcce41351a4c90bbee265a', version='spoon-maven-plugin-2.2'} 	https://github.com/SpoonLabs/spoon-maven-plugin/commit/e4320658c6f8460c6cdcce41351a4c90bbee265a
CommitInfo{repo='GitHub', hash='f0418e16baac14550ae6205c188b2c78ebe4b587', version='spoon-maven-plugin-2.3'} 	https://github.com/SpoonLabs/spoon-maven-plugin/commit/f0418e16baac14550ae6205c188b2c78ebe4b587
CommitInfo{repo='GitHub', hash='4574ca73a10af0e9bf3155a0fa1c90c0e2efc646', version='spoon-maven-plugin-2.4'} 	https://github.com/SpoonLabs/spoon-maven-plugin/commit/4574ca73a10af0e9bf3155a0fa1c90c0e2efc646
CommitInfo{repo='GitHub', hash='7cc222310cee40325f8dc8d1649a465438ebda4b', version='spoon-maven-plugin-2.4.1'} 	https://github.com/SpoonLabs/spoon-maven-plugin/commit/7cc222310cee40325f8dc8d1649a465438ebda4b
CommitInfo{repo='GitHub', hash='59abb5ac4660b6d984a228ea95e98b768f52ba3f', version='spoon-maven-plugin-2.5'} 	https://github.com/SpoonLabs/spoon-maven-plugin/commit/59abb5ac4660b6d984a228ea95e98b768f52ba3f
CommitInfo{repo='GitHub', hash='6c4b0308d897bb3b8d2abf9df412e9940ab299cd', version='spoon-maven-plugin-2.7'} 	https://github.com/SpoonLabs/spoon-maven-plugin/commit/6c4b0308d897bb3b8d2abf9df412e9940ab299cd
CommitInfo{repo='GitHub', hash='3bc8a0cb039663a42bde7781efa8783627569b43', version='spoon-maven-plugin-2.8'} 	https://github.com/SpoonLabs/spoon-maven-plugin/commit/3bc8a0cb039663a42bde7781efa8783627569b43
CommitInfo{repo='GitHub', hash='be199728258de5ce68f38d091c8602a0d85be348', version='spoon-maven-plugin-3.0'} 	https://github.com/SpoonLabs/spoon-maven-plugin/commit/be199728258de5ce68f38d091c8602a0d85be348

Project A:
ProjectVersionFixed(version=2.0, dependency=null, time=2014-11-25 15:00:35 UTC)
ProjectVersionFixed(version=2.1, dependency=3.2.2, time=2015-06-08 14:16:48 UTC),	Latest, "DependencyVersion(version=3.3.3, time=2015-04-22 11:58:30 UTC)"

ProjectVersionFixed(version=2.2, dependency=3.2.2, time=2015-10-13 08:39:41 UTC),	Latest, "DependencyVersion(version=3.3.3, time=2015-04-22 11:58:30 UTC)"

ProjectVersionFixed(version=2.3, dependency=3.2.2, time=2016-10-25 13:48:02 UTC),	Latest, "DependencyVersion(version=3.3.9, time=2015-11-10 16:42:16 UTC)"

ProjectVersionFixed(version=2.4, dependency=3.2.2, time=2016-11-04 10:38:16 UTC),	Latest, "DependencyVersion(version=3.3.9, time=2015-11-10 16:42:16 UTC)"

ProjectVersionFixed(version=2.4.1, dependency=3.2.2, time=2017-02-07 09:11:42 UTC),	Latest, "DependencyVersion(version=3.3.9, time=2015-11-10 16:42:16 UTC)"

ProjectVersionFixed(version=2.5, dependency=3.2.2, time=2017-04-04 08:22:26 UTC),	Latest, "DependencyVersion(version=3.5.0, time=2017-04-03 19:39:42 UTC)"

ProjectVersionFixed(version=2.7, dependency=3.5.2, time=2017-11-17 16:08:25 UTC),	Latest, "null"

ProjectVersionFixed(version=2.8, dependency=3.3.9, time=2018-01-23 11:40:06 UTC),	Latest, "DependencyVersion(version=3.5.2, time=2017-10-18 07:58:34 UTC)"

ProjectVersionFixed(version=3.0, dependency=3.3.9, time=2018-03-19 15:47:25 UTC),	Latest, "DependencyVersion(version=3.5.3, time=2018-02-24 19:49:39 UTC)"


Project B:
DependencyVersion(version=2.0, time=2006-05-07 22:31:29 UTC)
DependencyVersion(version=2.0.1, time=2006-05-07 22:31:31 UTC)
DependencyVersion(version=2.0.10, time=2009-02-10 02:57:07 UTC)
DependencyVersion(version=2.0.11, time=2010-02-12 05:56:07 UTC)
DependencyVersion(version=2.0.2, time=2006-05-07 22:31:31 UTC)
DependencyVersion(version=2.0.3, time=2006-05-07 22:31:31 UTC)
DependencyVersion(version=2.0.4, time=2006-05-07 22:31:31 UTC)
DependencyVersion(version=2.0.5, time=2007-02-14 17:12:03 UTC)
DependencyVersion(version=2.0.6, time=2007-04-01 04:54:06 UTC)
DependencyVersion(version=2.0.7, time=2007-06-21 05:30:30 UTC)
DependencyVersion(version=2.0.8, time=2007-11-26 21:58:20 UTC)
DependencyVersion(version=2.0.9, time=2008-04-10 00:16:46 UTC)
DependencyVersion(version=2.0-alpha-1, time=2006-05-07 22:31:30 UTC)
DependencyVersion(version=2.0-alpha-2, time=2006-05-07 22:31:30 UTC)
DependencyVersion(version=2.0-alpha-3, time=2006-05-07 22:31:30 UTC)
DependencyVersion(version=2.0-beta-1, time=2006-05-07 22:31:31 UTC)
DependencyVersion(version=2.0-beta-2, time=2006-05-07 22:31:31 UTC)
DependencyVersion(version=2.0-beta-3, time=2006-05-07 22:31:31 UTC)
DependencyVersion(version=2.1.0, time=2009-03-18 19:10:49 UTC)
DependencyVersion(version=2.1.0-M1, time=2009-01-08 22:40:31 UTC)
DependencyVersion(version=2.1-SONATYPE-653485, time=2008-05-15 00:32:24 UTC)
DependencyVersion(version=2.1-SONATYPE-r667207, time=2008-06-12 22:51:02 UTC)
DependencyVersion(version=2.2.0, time=2009-06-26 13:04:47 UTC)
DependencyVersion(version=2.2.1, time=2009-08-06 19:16:27 UTC)
DependencyVersion(version=3.0, time=2010-10-04 11:51:55 UTC)
DependencyVersion(version=3.0.1, time=2010-11-23 10:59:02 UTC)
DependencyVersion(version=3.0.2, time=2011-01-09 00:58:48 UTC)
DependencyVersion(version=3.0.3, time=2011-02-28 17:31:44 UTC)
DependencyVersion(version=3.0.4, time=2012-01-17 08:45:51 UTC)
DependencyVersion(version=3.0.5, time=2013-02-19 13:52:00 UTC)
DependencyVersion(version=3.0-alpha-1, time=2009-01-07 22:46:52 UTC)
DependencyVersion(version=3.0-alpha-2, time=2009-02-05 06:21:14 UTC)
DependencyVersion(version=3.0-alpha-3, time=2009-11-09 16:05:39 UTC)
DependencyVersion(version=3.0-alpha-4, time=2009-11-13 18:07:36 UTC)
DependencyVersion(version=3.0-alpha-5, time=2009-11-23 15:55:10 UTC)
DependencyVersion(version=3.0-alpha-6, time=2010-01-06 11:03:14 UTC)
DependencyVersion(version=3.0-alpha-7, time=2010-03-09 22:31:34 UTC)
DependencyVersion(version=3.0-beta-1, time=2010-04-19 17:01:01 UTC)
DependencyVersion(version=3.0-beta-2, time=2010-08-07 11:01:10 UTC)
DependencyVersion(version=3.0-beta-3, time=2010-08-30 12:44:35 UTC)
DependencyVersion(version=3.0-SONATYPE-688946, time=2008-08-27 15:31:09 UTC)
DependencyVersion(version=3.0-TYCHO-695720, time=2008-09-16 04:01:33 UTC)
DependencyVersion(version=3.0-TYCHO-698080, time=2008-09-23 04:08:30 UTC)
DependencyVersion(version=3.0-TYCHO-733848, time=2009-01-12 18:16:24 UTC)
DependencyVersion(version=3.0-TYCHO-790714, time=2009-07-06 15:34:27 UTC)
DependencyVersion(version=3.0-TYCHO-795913, time=2009-07-20 18:34:02 UTC)
DependencyVersion(version=3.0-TYCHO-796914, time=2009-07-23 02:33:07 UTC)
DependencyVersion(version=3.0-TYCHO-797695, time=2009-07-25 02:43:40 UTC)
DependencyVersion(version=3.0-TYCHO-806336, time=2009-08-21 04:59:33 UTC)
DependencyVersion(version=3.0-TYCHO-807761, time=2009-08-26 02:39:45 UTC)
DependencyVersion(version=3.0-TYCHO-816755, time=2009-09-19 03:40:31 UTC)
DependencyVersion(version=3.0-TYCHO-818442, time=2009-09-24 21:00:38 UTC)
DependencyVersion(version=3.1.0, time=2013-06-28 02:16:08 UTC)
DependencyVersion(version=3.1.0-alpha-1, time=2013-06-01 13:04:14 UTC)
DependencyVersion(version=3.1.1, time=2013-09-17 15:22:53 UTC)
DependencyVersion(version=3.2.1, time=2014-02-14 17:38:49 UTC)
DependencyVersion(version=3.2.2, time=2014-06-17 13:52:12 UTC)
DependencyVersion(version=3.2.3, time=2014-08-11 20:58:41 UTC)
DependencyVersion(version=3.2.5, time=2014-12-14 17:29:54 UTC)
DependencyVersion(version=3.3.1, time=2015-03-13 20:10:00 UTC)
DependencyVersion(version=3.3.3, time=2015-04-22 11:58:30 UTC)
DependencyVersion(version=3.3.9, time=2015-11-10 16:42:16 UTC)
DependencyVersion(version=3.5.0, time=2017-04-03 19:39:42 UTC)
DependencyVersion(version=3.5.0-alpha-1, time=2017-02-23 15:05:17 UTC)
