
Project information
org.scalaz.stream:scalaz-stream_2.11 (966457)	org.scalaz:scalaz-concurrent_2.11 (356705)	Package Manager: Maven
RepoID: 7418811
Tag information:
CommitInfo{repo='GitHub', hash='ea0ef62661dc72ba4232942fba4b17c5a86d1268', version='release/0.2a'}
CommitInfo{repo='GitHub', hash='e2e94c74ab8c2c746e8b18d3e36d70bd0a34c27a', version='release/0.3'}
CommitInfo{repo='GitHub', hash='c81fc4611d70fbfd745ab8e120d56d775fa2ac20', version='release/0.3.1'}
CommitInfo{repo='GitHub', hash='291c836807297844d391e5bed61f89185d609c6c', version='release/0.4'}
CommitInfo{repo='GitHub', hash='dcdf762eddf4a519d67f01b9b9742ceba1b110a1', version='release/0.4.1'}
CommitInfo{repo='GitHub', hash='032e08a54893616f16a30ce0fa2f98b9312f90d7', version='release/0.4.1a'}
CommitInfo{repo='GitHub', hash='29400c632a61dbf0a07b6f32d6b7b00580be565d', version='release/0.4a'}
CommitInfo{repo='GitHub', hash='3537556760b67b9429993b99b766a88cf95b537e', version='release/0.5'}
CommitInfo{repo='GitHub', hash='b8032de7148e65be47f0c99cbed7effea4ae2ab1', version='release/0.5a'}
CommitInfo{repo='GitHub', hash='c8b7c8eb662021e02723f4a3e0956648fad41177', version='release/0.6'}
CommitInfo{repo='GitHub', hash='3fa9b2f3152cfcc5546180ef8a9b3f9324293a92', version='release/0.6a'}
CommitInfo{repo='GitHub', hash='51349a998f96d1c534a87245c73fdaa873ddc341', version='release/0.7'}
CommitInfo{repo='GitHub', hash='2aa97a835d46cc3c3c01e5b8d45d636815267ff5', version='release/0.7.1'}
CommitInfo{repo='GitHub', hash='335542342c33710552e9dc9f641c88ea55b36a40', version='release/0.7.1a'}
CommitInfo{repo='GitHub', hash='90e2b361de349c9067ed6cc6c9f83c78ede74646', version='release/0.7.2'}
CommitInfo{repo='GitHub', hash='96fcd1899806cc1b1dc63e6bc523a8f85497a604', version='release/0.7.2a'}
CommitInfo{repo='GitHub', hash='003bd00ec06b3cdd64799a3f50e7b806b1199017', version='release/0.7.3'}
CommitInfo{repo='GitHub', hash='f53acfa57348fefc3b1d966a9e26a2ecb34a3fe3', version='release/0.7.3a'}
CommitInfo{repo='GitHub', hash='fb198496cb3a2cbe2323b4ab004e7847be91a21b', version='release/0.7a'}
CommitInfo{repo='GitHub', hash='5322f157d8e92b5979c448353eb6275355e6bcfa', version='release/0.8'}
CommitInfo{repo='GitHub', hash='586c12bd20231c495636da6fda5d7102568349b4', version='release/0.8.4'}
CommitInfo{repo='GitHub', hash='4ed45f38a6d081dc07ce1d56ab592451210837e7', version='release/0.8.4a'}
CommitInfo{repo='GitHub', hash='c48a25e0399c41b4079db53255b9ce1974f70d93', version='release/0.8.5'}
CommitInfo{repo='GitHub', hash='e59c31791f9e3e0dba97921cd80bcfed8d80102a', version='release/0.8.5a'}
CommitInfo{repo='GitHub', hash='99d645b9b3a5e28132130e729d865172fff5a6a3', version='release/0.8a'}
CommitInfo{repo='GitHub', hash='3e637cbd6fc982b01aa66d0d0e8ce49aa1aae020', version='v0.1'}

Project A:
ProjectVersionFixed(version=0.7.2, dependency=7.0.7, time=2015-07-23 06:29:21 UTC),	Latest, "DependencyVersion(version=7.2.0-M2, time=2015-06-27 18:35:38 UTC)"

ProjectVersionFixed(version=0.7.2a, dependency=7.1.2, time=2015-07-23 06:58:24 UTC),	Latest, "DependencyVersion(version=7.2.0-M2, time=2015-06-27 18:35:38 UTC)"

ProjectVersionFixed(version=0.7.3, dependency=7.0.8, time=2015-08-11 11:59:29 UTC),	Latest, "DependencyVersion(version=7.2.0-M2, time=2015-06-27 18:35:38 UTC)"

ProjectVersionFixed(version=0.7.3a, dependency=7.1.3, time=2015-08-11 11:37:00 UTC),	Latest, "DependencyVersion(version=7.2.0-M2, time=2015-06-27 18:35:38 UTC)"

ProjectVersionFixed(version=0.8, dependency=7.1.4, time=2015-10-06 19:27:57 UTC),	Latest, "DependencyVersion(version=7.2.0-M3, time=2015-09-04 15:38:59 UTC)"

ProjectVersionFixed(version=0.8a, dependency=7.2.0, time=2016-02-05 17:51:04 UTC),	Latest, "DependencyVersion(version=7.2.0-RC1, time=2015-11-28 03:02:14 UTC)"

ProjectVersionFixed(version=0.8.1, dependency=7.1.7, time=2016-04-13 22:08:33 UTC),	Latest, "DependencyVersion(version=7.3.0-M1, time=2016-03-12 04:52:05 UTC)"

ProjectVersionFixed(version=0.8.1a, dependency=7.2.2, time=2016-04-13 22:32:32 UTC),	Latest, "DependencyVersion(version=7.3.0-M1, time=2016-03-12 04:52:05 UTC)"

ProjectVersionFixed(version=0.8.2, dependency=7.1.7, time=2016-06-10 01:56:17 UTC),	Latest, "DependencyVersion(version=7.3.0-M3, time=2016-06-04 02:56:06 UTC)"

ProjectVersionFixed(version=0.8.2a, dependency=7.2.2, time=2016-06-10 02:01:23 UTC),	Latest, "DependencyVersion(version=7.3.0-M3, time=2016-06-04 02:56:06 UTC)"

ProjectVersionFixed(version=0.8.3, dependency=7.1.8, time=2016-07-05 20:39:24 UTC),	Latest, "DependencyVersion(version=7.3.0-M3, time=2016-06-04 02:56:06 UTC)"

ProjectVersionFixed(version=0.8.3a, dependency=7.2.4, time=2016-07-05 20:59:40 UTC),	Latest, "DependencyVersion(version=7.3.0-M3, time=2016-06-04 02:56:06 UTC)"

ProjectVersionFixed(version=0.8.4, dependency=7.1.9, time=2016-08-23 12:34:07 UTC),	Latest, "DependencyVersion(version=7.3.0-M4, time=2016-07-11 13:00:06 UTC)"

ProjectVersionFixed(version=0.8.4a, dependency=7.2.5, time=2016-08-23 12:42:51 UTC),	Latest, "DependencyVersion(version=7.3.0-M4, time=2016-07-11 13:00:06 UTC)"

ProjectVersionFixed(version=0.8.5, dependency=7.1.10, time=2016-10-23 20:02:08 UTC),	Latest, "DependencyVersion(version=7.3.0-M5, time=2016-09-09 15:06:35 UTC)"

ProjectVersionFixed(version=0.8.5a, dependency=7.2.6, time=2016-10-23 20:14:02 UTC),	Latest, "DependencyVersion(version=7.3.0-M5, time=2016-09-09 15:06:35 UTC)"

ProjectVersionFixed(version=0.8.6, dependency=7.1.11, time=2016-11-02 14:24:50 UTC),	Latest, "DependencyVersion(version=7.3.0-M6, time=2016-10-24 22:58:00 UTC)"

ProjectVersionFixed(version=0.8.6a, dependency=7.2.7, time=2016-11-02 14:34:26 UTC),	Latest, "DependencyVersion(version=7.3.0-M6, time=2016-10-24 22:58:00 UTC)"


Project B:
DependencyVersion(version=7.0.6, time=2014-04-17 15:12:30 UTC)
DependencyVersion(version=7.0.7, time=2015-02-16 11:47:47 UTC)
DependencyVersion(version=7.0.8, time=2015-07-16 23:51:54 UTC)
DependencyVersion(version=7.0.9, time=2016-04-09 03:05:25 UTC)
DependencyVersion(version=7.1.0, time=2014-08-01 16:15:33 UTC)
DependencyVersion(version=7.1.0-M7, time=2014-05-16 20:19:33 UTC)
DependencyVersion(version=7.1.0-RC1, time=2014-06-28 16:18:03 UTC)
DependencyVersion(version=7.1.0-RC2, time=2014-07-26 19:47:40 UTC)
DependencyVersion(version=7.1.1, time=2015-02-06 14:32:02 UTC)
DependencyVersion(version=7.1.10, time=2016-09-08 01:56:31 UTC)
DependencyVersion(version=7.1.11, time=2016-10-27 15:44:51 UTC)
DependencyVersion(version=7.1.12, time=2017-03-19 03:31:38 UTC)
DependencyVersion(version=7.1.13, time=2017-04-18 14:32:01 UTC)
DependencyVersion(version=7.1.14, time=2017-07-07 23:50:58 UTC)
DependencyVersion(version=7.1.15, time=2017-08-20 11:49:39 UTC)
DependencyVersion(version=7.1.16, time=2017-12-17 05:46:58 UTC)
DependencyVersion(version=7.1.17, time=2018-02-03 12:29:56 UTC)
DependencyVersion(version=7.1.2, time=2015-05-01 20:59:22 UTC)
DependencyVersion(version=7.1.3, time=2015-06-19 15:59:11 UTC)
DependencyVersion(version=7.1.4, time=2015-09-18 15:58:37 UTC)
DependencyVersion(version=7.1.5, time=2015-11-04 23:56:42 UTC)
DependencyVersion(version=7.1.6, time=2015-12-14 16:05:46 UTC)
DependencyVersion(version=7.1.7, time=2016-02-06 17:40:09 UTC)
DependencyVersion(version=7.1.8, time=2016-04-24 11:44:31 UTC)
DependencyVersion(version=7.1.9, time=2016-07-08 23:01:54 UTC)
DependencyVersion(version=7.2.0, time=2015-12-04 19:01:16 UTC)
DependencyVersion(version=7.2.0-M1, time=2015-04-27 22:15:14 UTC)
DependencyVersion(version=7.2.0-M2, time=2015-06-27 18:35:38 UTC)
DependencyVersion(version=7.2.0-M3, time=2015-09-04 15:38:59 UTC)
DependencyVersion(version=7.2.0-M4, time=2015-10-24 06:23:58 UTC)
DependencyVersion(version=7.2.0-M5, time=2015-11-11 15:27:32 UTC)
DependencyVersion(version=7.2.0-RC1, time=2015-11-28 03:02:14 UTC)
DependencyVersion(version=7.2.1, time=2016-03-02 12:02:56 UTC)
DependencyVersion(version=7.2.10, time=2017-03-16 13:33:45 UTC)
DependencyVersion(version=7.2.11, time=2017-04-14 07:31:07 UTC)
DependencyVersion(version=7.2.12, time=2017-04-27 12:48:09 UTC)
DependencyVersion(version=7.2.13, time=2017-05-25 15:18:48 UTC)
DependencyVersion(version=7.2.14, time=2017-06-25 07:18:21 UTC)
DependencyVersion(version=7.2.15, time=2017-08-13 04:06:07 UTC)
DependencyVersion(version=7.2.16, time=2017-10-14 10:31:11 UTC)
DependencyVersion(version=7.2.17, time=2017-11-25 09:01:43 UTC)
DependencyVersion(version=7.2.18, time=2017-12-20 14:00:46 UTC)
DependencyVersion(version=7.2.19, time=2018-02-01 22:12:42 UTC)
DependencyVersion(version=7.2.2, time=2016-04-01 16:07:26 UTC)
DependencyVersion(version=7.2.20, time=2018-02-25 09:31:35 UTC)
DependencyVersion(version=7.2.21, time=2018-04-05 23:58:09 UTC)
DependencyVersion(version=7.2.22, time=2018-04-23 14:34:46 UTC)
DependencyVersion(version=7.2.23, time=2018-05-15 13:40:35 UTC)
DependencyVersion(version=7.2.24, time=2018-06-03 02:55:53 UTC)
DependencyVersion(version=7.2.25, time=2018-06-25 07:30:31 UTC)
DependencyVersion(version=7.2.3, time=2016-05-21 08:14:24 UTC)
DependencyVersion(version=7.2.4, time=2016-06-14 18:54:03 UTC)
DependencyVersion(version=7.2.5, time=2016-08-14 11:37:26 UTC)
DependencyVersion(version=7.2.6, time=2016-09-08 02:28:16 UTC)
DependencyVersion(version=7.2.7, time=2016-10-27 01:16:12 UTC)
DependencyVersion(version=7.2.8, time=2016-12-03 12:54:29 UTC)
DependencyVersion(version=7.2.9, time=2017-02-23 01:43:09 UTC)
DependencyVersion(version=7.3.0-M1, time=2016-03-12 04:52:05 UTC)
DependencyVersion(version=7.3.0-M10, time=2017-03-04 01:28:57 UTC)
DependencyVersion(version=7.3.0-M11, time=2017-04-09 08:01:49 UTC)
DependencyVersion(version=7.3.0-M12, time=2017-05-01 12:11:21 UTC)
DependencyVersion(version=7.3.0-M13, time=2017-05-21 08:13:55 UTC)
DependencyVersion(version=7.3.0-M14, time=2017-06-23 00:38:33 UTC)
DependencyVersion(version=7.3.0-M15, time=2017-08-12 01:51:45 UTC)
DependencyVersion(version=7.3.0-M16, time=2017-09-10 01:33:29 UTC)
DependencyVersion(version=7.3.0-M17, time=2017-10-12 03:36:59 UTC)
DependencyVersion(version=7.3.0-M18, time=2017-11-01 00:54:47 UTC)
DependencyVersion(version=7.3.0-M19, time=2018-01-07 09:20:26 UTC)
DependencyVersion(version=7.3.0-M2, time=2016-04-28 17:59:38 UTC)
DependencyVersion(version=7.3.0-M20, time=2018-02-08 13:21:23 UTC)
DependencyVersion(version=7.3.0-M21, time=2018-03-29 00:58:03 UTC)
DependencyVersion(version=7.3.0-M22, time=2018-04-22 06:47:46 UTC)
DependencyVersion(version=7.3.0-M23, time=2018-05-20 03:50:11 UTC)
DependencyVersion(version=7.3.0-M24, time=2018-06-04 03:54:23 UTC)
DependencyVersion(version=7.3.0-M3, time=2016-06-04 02:56:06 UTC)
DependencyVersion(version=7.3.0-M4, time=2016-07-11 13:00:06 UTC)
DependencyVersion(version=7.3.0-M5, time=2016-09-09 15:06:35 UTC)
DependencyVersion(version=7.3.0-M6, time=2016-10-24 22:58:00 UTC)
DependencyVersion(version=7.3.0-M7, time=2016-11-23 00:26:35 UTC)
DependencyVersion(version=7.3.0-M8, time=2016-12-29 03:04:44 UTC)
DependencyVersion(version=7.3.0-M9, time=2017-02-17 00:50:43 UTC)
