
Project information
brunch-less-typescript-stack (1199330)	buffer (133354)	Package Manager: NPM
RepoID: 5146844
Repo Owner/Name: null
Repository type: null

 

Tag information:

Project A:
ProjectVersionFixed(version=1.0.0, dependency=null, time=2016-02-15 20:03:25 UTC)
ProjectVersionFixed(version=1.1.0, dependency=null, time=2016-02-15 20:21:05 UTC)
ProjectVersionFixed(version=1.2.0, dependency=null, time=2016-02-16 16:53:49 UTC)
ProjectVersionFixed(version=1.3.0, dependency=4.5.0, time=2016-02-16 19:03:51 UTC),	Latest, "null"

ProjectVersionFixed(version=1.3.1, dependency=4.3.1, time=2016-02-16 19:09:01 UTC),	Latest, "DependencyVersion(version=4.5.0, time=2016-02-16 07:39:49 UTC)"


Project B:
DependencyVersion(version=2.1.1, time=2014-02-07 03:37:21 UTC)
DependencyVersion(version=2.1.10, time=2014-04-08 09:03:19 UTC)
DependencyVersion(version=2.1.11, time=2014-04-10 03:58:22 UTC)
DependencyVersion(version=2.1.12, time=2014-04-10 09:29:30 UTC)
DependencyVersion(version=2.1.13, time=2014-04-18 04:28:13 UTC)
DependencyVersion(version=2.1.2, time=2014-02-07 05:28:27 UTC)
DependencyVersion(version=2.1.3, time=2014-02-07 05:55:42 UTC)
DependencyVersion(version=2.1.4, time=2014-02-16 02:56:20 UTC)
DependencyVersion(version=2.1.5, time=2014-03-07 06:11:30 UTC)
DependencyVersion(version=2.1.6, time=2014-04-05 18:54:07 UTC)
DependencyVersion(version=2.1.7, time=2014-04-05 18:55:05 UTC)
DependencyVersion(version=2.1.8, time=2014-04-08 07:38:41 UTC)
DependencyVersion(version=2.1.9, time=2014-04-08 08:00:27 UTC)
DependencyVersion(version=2.2.0, time=2014-05-08 00:07:26 UTC)
DependencyVersion(version=2.3.0, time=2014-05-08 00:24:52 UTC)
DependencyVersion(version=2.3.1, time=2014-05-27 01:45:04 UTC)
DependencyVersion(version=2.3.2, time=2014-05-30 18:43:18 UTC)
DependencyVersion(version=2.3.3, time=2014-06-30 06:42:56 UTC)
DependencyVersion(version=2.3.4, time=2014-07-17 05:25:21 UTC)
DependencyVersion(version=2.4.0, time=2014-07-17 06:03:58 UTC)
DependencyVersion(version=2.5.0, time=2014-07-22 08:47:44 UTC)
DependencyVersion(version=2.5.1, time=2014-09-11 19:46:34 UTC)
DependencyVersion(version=2.6.0, time=2014-09-12 00:16:46 UTC)
DependencyVersion(version=2.6.1, time=2014-09-12 00:37:03 UTC)
DependencyVersion(version=2.6.2, time=2014-09-12 00:51:56 UTC)
DependencyVersion(version=2.7.0, time=2014-09-12 11:16:57 UTC)
DependencyVersion(version=2.8.0, time=2014-10-29 04:44:59 UTC)
DependencyVersion(version=2.8.1, time=2014-10-31 03:43:56 UTC)
DependencyVersion(version=2.8.2, time=2014-12-07 20:18:22 UTC)
DependencyVersion(version=3.0.0, time=2014-12-24 10:27:31 UTC)
DependencyVersion(version=3.0.1, time=2014-12-31 06:46:01 UTC)
DependencyVersion(version=3.0.2, time=2015-02-11 23:03:49 UTC)
DependencyVersion(version=3.0.3, time=2015-02-19 03:13:37 UTC)
DependencyVersion(version=3.1.0, time=2015-03-09 22:40:27 UTC)
DependencyVersion(version=3.1.1, time=2015-03-11 23:57:28 UTC)
DependencyVersion(version=3.1.2, time=2015-03-20 23:34:08 UTC)
DependencyVersion(version=3.2.0, time=2015-04-21 10:37:25 UTC)
DependencyVersion(version=3.2.1, time=2015-04-23 00:08:55 UTC)
DependencyVersion(version=3.2.2, time=2015-05-05 02:09:44 UTC)
DependencyVersion(version=3.3.0, time=2015-06-30 23:36:17 UTC)
DependencyVersion(version=3.3.1, time=2015-07-07 19:58:25 UTC)
DependencyVersion(version=3.3.2, time=2015-08-04 13:59:16 UTC)
DependencyVersion(version=3.4.0, time=2015-08-05 12:49:17 UTC)
DependencyVersion(version=3.4.1, time=2015-08-06 12:26:28 UTC)
DependencyVersion(version=3.4.2, time=2015-08-13 11:17:25 UTC)
DependencyVersion(version=3.4.3, time=2015-08-22 13:07:55 UTC)
DependencyVersion(version=3.5.0, time=2015-09-16 06:31:16 UTC)
DependencyVersion(version=3.5.1, time=2015-10-07 02:30:54 UTC)
DependencyVersion(version=3.5.2, time=2015-11-14 07:13:16 UTC)
DependencyVersion(version=3.5.3, time=2015-12-01 00:43:07 UTC)
DependencyVersion(version=3.5.4, time=2015-12-06 03:01:41 UTC)
DependencyVersion(version=3.5.5, time=2015-12-11 11:22:05 UTC)
DependencyVersion(version=3.6.0, time=2015-12-25 06:38:12 UTC)
DependencyVersion(version=4.0.0, time=2016-01-02 23:19:46 UTC)
DependencyVersion(version=4.1.0, time=2016-01-09 17:25:14 UTC)
DependencyVersion(version=4.2.0, time=2016-01-11 15:02:21 UTC)
DependencyVersion(version=4.3.0, time=2016-01-12 22:59:30 UTC)
DependencyVersion(version=4.3.1, time=2016-01-27 14:41:44 UTC)
DependencyVersion(version=4.4.0, time=2016-01-28 22:34:04 UTC)
DependencyVersion(version=4.5.0, time=2016-02-16 07:39:49 UTC)
DependencyVersion(version=4.5.1, time=2016-03-24 03:01:38 UTC)
DependencyVersion(version=4.6.0, time=2016-04-20 06:36:41 UTC)
DependencyVersion(version=4.7.0, time=2016-06-24 01:35:17 UTC)
DependencyVersion(version=4.7.1, time=2016-07-15 07:06:11 UTC)
DependencyVersion(version=4.8.0, time=2016-08-08 08:28:59 UTC)
DependencyVersion(version=4.9.0, time=2016-08-08 09:01:53 UTC)
DependencyVersion(version=4.9.1, time=2016-08-18 03:46:39 UTC)
DependencyVersion(version=5.0.0, time=2016-09-27 02:38:39 UTC)
DependencyVersion(version=5.0.1, time=2016-11-07 08:14:03 UTC)
DependencyVersion(version=5.0.2, time=2016-12-02 23:10:11 UTC)
DependencyVersion(version=5.0.3, time=2017-02-02 21:41:03 UTC)
DependencyVersion(version=5.0.4, time=2017-02-09 05:14:13 UTC)
DependencyVersion(version=5.0.5, time=2017-02-09 22:11:39 UTC)
DependencyVersion(version=5.0.6, time=2017-04-05 19:05:26 UTC)
DependencyVersion(version=5.0.7, time=2017-08-05 01:45:34 UTC)
DependencyVersion(version=5.0.8, time=2017-09-29 23:48:48 UTC)
DependencyVersion(version=5.1.0, time=2018-02-16 07:16:40 UTC)
DependencyVersion(version=5.2.0, time=2018-07-27 07:16:54 UTC)
DependencyVersion(version=5.2.1, time=2018-08-30 21:45:22 UTC)
