
Project information
bbop-widget-set (1270340)	jquery (291322)	Package Manager: NPM
RepoID: null
Tag information:

Project A:
ProjectVersionFixed(version=0.0.2, dependency=1.9.1, time=2016-03-19 01:40:10 UTC),	Latest, "DependencyVersion(version=3.0.0-beta1, time=2016-01-14 23:09:43 UTC)"

ProjectVersionFixed(version=0.0.3, dependency=1.9.1, time=2016-03-19 01:47:27 UTC),	Latest, "DependencyVersion(version=3.0.0-beta1, time=2016-01-14 23:09:43 UTC)"

ProjectVersionFixed(version=0.0.4, dependency=1.9.1, time=2016-03-19 01:51:37 UTC),	Latest, "DependencyVersion(version=3.0.0-beta1, time=2016-01-14 23:09:43 UTC)"

ProjectVersionFixed(version=0.0.5, dependency=2.2.2, time=2016-03-19 02:03:45 UTC),	Latest, "DependencyVersion(version=3.0.0-beta1, time=2016-01-14 23:09:43 UTC)"

ProjectVersionFixed(version=0.0.6, dependency=1.9.1, time=2016-03-19 02:12:17 UTC),	Latest, "DependencyVersion(version=3.0.0-beta1, time=2016-01-14 23:09:43 UTC)"

ProjectVersionFixed(version=0.0.7, dependency=1.9.1, time=2016-03-19 02:15:09 UTC),	Latest, "DependencyVersion(version=3.0.0-beta1, time=2016-01-14 23:09:43 UTC)"

ProjectVersionFixed(version=0.0.8, dependency=1.9.1, time=2016-03-19 02:15:47 UTC),	Latest, "DependencyVersion(version=3.0.0-beta1, time=2016-01-14 23:09:43 UTC)"

ProjectVersionFixed(version=0.0.9, dependency=2.2.2, time=2016-03-19 05:56:47 UTC),	Latest, "DependencyVersion(version=3.0.0-beta1, time=2016-01-14 23:09:43 UTC)"

ProjectVersionFixed(version=0.0.10, dependency=2.2.2, time=2016-03-19 06:34:21 UTC),	Latest, "DependencyVersion(version=3.0.0-beta1, time=2016-01-14 23:09:43 UTC)"

ProjectVersionFixed(version=0.0.11, dependency=2.2.2, time=2016-03-19 22:56:27 UTC),	Latest, "DependencyVersion(version=3.0.0-beta1, time=2016-01-14 23:09:43 UTC)"

ProjectVersionFixed(version=0.0.12, dependency=null, time=2016-03-21 04:04:49 UTC)
ProjectVersionFixed(version=0.0.13, dependency=1.9.1, time=2016-03-21 04:59:49 UTC),	Latest, "DependencyVersion(version=3.0.0-beta1, time=2016-01-14 23:09:43 UTC)"

ProjectVersionFixed(version=0.0.14, dependency=1.9.1, time=2016-03-21 05:04:40 UTC),	Latest, "DependencyVersion(version=3.0.0-beta1, time=2016-01-14 23:09:43 UTC)"

ProjectVersionFixed(version=0.0.15, dependency=1.9.1, time=2016-03-21 05:18:40 UTC),	Latest, "DependencyVersion(version=3.0.0-beta1, time=2016-01-14 23:09:43 UTC)"

ProjectVersionFixed(version=0.0.16, dependency=1.9.1, time=2016-03-21 17:22:46 UTC),	Latest, "DependencyVersion(version=3.0.0-beta1, time=2016-01-14 23:09:43 UTC)"

ProjectVersionFixed(version=2.4.15, dependency=1.9.1, time=2016-04-12 15:09:55 UTC),	Latest, "DependencyVersion(version=3.0.0-beta1, time=2016-01-14 23:09:43 UTC)"

ProjectVersionFixed(version=2.4.26, dependency=1.9.1, time=2016-09-07 21:56:59 UTC),	Latest, "DependencyVersion(version=3.1.0, time=2016-07-07 21:46:05 UTC)"

ProjectVersionFixed(version=2.5.2, dependency=1.9.1, time=2016-09-07 21:47:32 UTC),	Latest, "DependencyVersion(version=3.1.0, time=2016-07-07 21:46:05 UTC)"

ProjectVersionFixed(version=2.5.3, dependency=1.9.1, time=2016-09-07 22:00:36 UTC),	Latest, "DependencyVersion(version=3.1.0, time=2016-07-07 21:46:05 UTC)"

ProjectVersionFixed(version=2.5.4, dependency=1.9.1, time=2016-10-26 00:37:03 UTC),	Latest, "DependencyVersion(version=3.1.1, time=2016-09-22 22:32:49 UTC)"

ProjectVersionFixed(version=2.5.8, dependency=1.9.1, time=2017-08-26 08:51:11 UTC),	Latest, "DependencyVersion(version=3.2.1, time=2017-03-20 19:02:13 UTC)"

ProjectVersionFixed(version=2.5.11, dependency=3.3.1, time=2018-04-18 00:38:20 UTC),	Latest, "null"

ProjectVersionFixed(version=2.5.12, dependency=3.3.1, time=2018-04-24 21:49:08 UTC),	Latest, "null"


Project B:
DependencyVersion(version=1.11.0, time=2014-01-23 21:07:07 UTC)
DependencyVersion(version=1.11.0-beta3, time=2014-01-06 19:57:22 UTC)
DependencyVersion(version=1.11.0-pre, time=2014-01-16 20:38:42 UTC)
DependencyVersion(version=1.11.0-rc1, time=2014-01-16 21:08:36 UTC)
DependencyVersion(version=1.11.1, time=2014-05-01 18:05:32 UTC)
DependencyVersion(version=1.11.1-beta1, time=2014-03-24 17:25:14 UTC)
DependencyVersion(version=1.11.1-rc1, time=2014-04-18 15:40:23 UTC)
DependencyVersion(version=1.11.1-rc2, time=2014-04-21 21:12:52 UTC)
DependencyVersion(version=1.11.2, time=2014-12-17 16:07:07 UTC)
DependencyVersion(version=1.11.3, time=2015-04-28 16:22:06 UTC)
DependencyVersion(version=1.12.0, time=2016-01-08 19:58:05 UTC)
DependencyVersion(version=1.12.1, time=2016-02-22 19:08:05 UTC)
DependencyVersion(version=1.12.2, time=2016-03-17 17:45:59 UTC)
DependencyVersion(version=1.12.3, time=2016-04-05 19:21:37 UTC)
DependencyVersion(version=1.12.4, time=2016-05-20 17:19:07 UTC)
DependencyVersion(version=1.5.1, time=2011-03-19 07:19:56 UTC)
DependencyVersion(version=1.6.2, time=2011-07-06 16:13:21 UTC)
DependencyVersion(version=1.6.3, time=2011-09-12 19:05:34 UTC)
DependencyVersion(version=1.7.2, time=2012-05-01 11:14:09 UTC)
DependencyVersion(version=1.7.3, time=2012-07-01 16:11:53 UTC)
DependencyVersion(version=1.8.2, time=2012-11-11 22:43:58 UTC)
DependencyVersion(version=1.8.3, time=2012-12-01 00:03:02 UTC)
DependencyVersion(version=1.9.1, time=2014-07-17 22:01:17 UTC)
DependencyVersion(version=2.1.0, time=2014-01-23 21:12:47 UTC)
DependencyVersion(version=2.1.0-beta2, time=2013-11-15 16:34:48 UTC)
DependencyVersion(version=2.1.0-beta3, time=2013-12-20 22:53:28 UTC)
DependencyVersion(version=2.1.0-rc1, time=2014-01-17 22:47:16 UTC)
DependencyVersion(version=2.1.1, time=2014-05-01 17:15:20 UTC)
DependencyVersion(version=2.1.1-beta1, time=2014-03-24 17:05:07 UTC)
DependencyVersion(version=2.1.1-rc1, time=2014-04-18 15:29:41 UTC)
DependencyVersion(version=2.1.1-rc2, time=2014-04-21 20:52:06 UTC)
DependencyVersion(version=2.1.2, time=2014-12-17 14:14:28 UTC)
DependencyVersion(version=2.1.3, time=2014-12-18 15:18:38 UTC)
DependencyVersion(version=2.1.4, time=2015-04-28 16:17:13 UTC)
DependencyVersion(version=2.2.0, time=2016-01-08 20:03:43 UTC)
DependencyVersion(version=2.2.1, time=2016-02-22 19:12:09 UTC)
DependencyVersion(version=2.2.2, time=2016-03-17 17:52:26 UTC)
DependencyVersion(version=2.2.3, time=2016-04-05 19:27:17 UTC)
DependencyVersion(version=2.2.4, time=2016-05-20 17:26:07 UTC)
DependencyVersion(version=3.0.0, time=2016-06-09 18:33:13 UTC)
DependencyVersion(version=3.0.0-alpha1, time=2015-07-13 19:26:37 UTC)
DependencyVersion(version=3.0.0-beta1, time=2016-01-14 23:09:43 UTC)
DependencyVersion(version=3.0.0-rc1, time=2016-05-20 19:13:48 UTC)
DependencyVersion(version=3.1.0, time=2016-07-07 21:46:05 UTC)
DependencyVersion(version=3.1.1, time=2016-09-22 22:32:49 UTC)
DependencyVersion(version=3.2.0, time=2017-03-16 21:30:56 UTC)
DependencyVersion(version=3.2.1, time=2017-03-20 19:02:13 UTC)
DependencyVersion(version=3.3.0, time=2018-01-19 19:03:52 UTC)
DependencyVersion(version=3.3.1, time=2018-01-20 17:27:11 UTC)
