
Project information
electron-react-devtools (1500072)	classnames (135853)	Package Manager: NPM
RepoID: 10335032
Tag information:
CommitInfo{repo='GitHub', hash='2194ee370743b9966af3cdaec59b935281a3d3a3', version='0.1.0'}
CommitInfo{repo='GitHub', hash='a23acb5aa4111133c4a40850a84dfbc43d196992', version='0.1.1'}
CommitInfo{repo='GitHub', hash='0c84140df226094e06f0e286de183f1ee91ec957', version='0.1.2'}
CommitInfo{repo='GitHub', hash='7324ce06268935ded7d4cfdc2b0d8c5c4b87eb7c', version='0.1.3'}
CommitInfo{repo='GitHub', hash='b031e3c104914b20ac2823e1faa3db6faf65cdb6', version='0.1.4'}
CommitInfo{repo='GitHub', hash='767b5d4ffe95c5eb80b72a0eb08588fbd41c9fce', version='0.1.5'}
CommitInfo{repo='GitHub', hash='19833d360c592a80ee24c8a541bfcfbabf12ea7d', version='0.2.0'}
CommitInfo{repo='GitHub', hash='100b846d901475232961c8964c6c09179eddd113', version='0.2.1'}
CommitInfo{repo='GitHub', hash='323e68dbe687f9ceaf7ebe7edcd5c8105b94acbc', version='0.2.2'}
CommitInfo{repo='GitHub', hash='c9db64d0ffbcd159ca5c74d16bc68fd6d7d7ae8b', version='0.2.3'}
CommitInfo{repo='GitHub', hash='9c535fee492699530d901247a9bef346a3b5c72f', version='0.3.0'}
CommitInfo{repo='GitHub', hash='f5023575be16467a101858ae5d6e8c29c829dae7', version='0.3.1'}
CommitInfo{repo='GitHub', hash='89fbfbb28eae9819ee462fce4de35e4e7057e89f', version='0.4.0'}
CommitInfo{repo='GitHub', hash='4b59c11e835e1e27dec435400dd96130644f03cc', version='0.5.0'}

Project A:
ProjectVersionFixed(version=0.1.0, dependency=2.2.5, time=2016-05-24 05:51:43 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.1, dependency=2.2.5, time=2016-05-24 06:56:01 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.2, dependency=2.2.5, time=2016-05-24 10:22:01 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.3, dependency=2.2.5, time=2016-05-24 10:33:01 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.4, dependency=2.2.5, time=2016-05-24 11:11:38 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.5, dependency=2.2.5, time=2016-05-26 07:04:05 UTC),	Latest, "null"

ProjectVersionFixed(version=0.2.0, dependency=2.2.5, time=2016-05-26 07:22:26 UTC),	Latest, "null"

ProjectVersionFixed(version=0.2.1, dependency=2.2.5, time=2016-05-26 09:12:55 UTC),	Latest, "null"

ProjectVersionFixed(version=0.2.2, dependency=2.2.5, time=2016-05-26 11:07:19 UTC),	Latest, "null"

ProjectVersionFixed(version=0.2.3, dependency=2.2.5, time=2016-05-26 11:24:03 UTC),	Latest, "null"

ProjectVersionFixed(version=0.3.0, dependency=2.2.5, time=2016-06-01 11:47:46 UTC),	Latest, "null"

ProjectVersionFixed(version=0.3.1, dependency=2.2.5, time=2016-06-03 07:31:39 UTC),	Latest, "null"

ProjectVersionFixed(version=0.4.0, dependency=2.2.1, time=2016-08-16 03:36:29 UTC),	Latest, "DependencyVersion(version=2.2.5, time=2016-05-02 13:23:56 UTC)"

ProjectVersionFixed(version=0.5.0, dependency=2.2.1, time=2017-11-13 14:28:27 UTC),	Latest, "DependencyVersion(version=2.2.5, time=2016-05-02 13:23:56 UTC)"

ProjectVersionFixed(version=0.5.1, dependency=2.2.1, time=2017-11-20 06:54:52 UTC),	Latest, "DependencyVersion(version=2.2.5, time=2016-05-02 13:23:56 UTC)"

ProjectVersionFixed(version=0.5.2, dependency=2.2.1, time=2017-11-20 06:57:08 UTC),	Latest, "DependencyVersion(version=2.2.5, time=2016-05-02 13:23:56 UTC)"

ProjectVersionFixed(version=0.5.3, dependency=null, time=2018-01-10 07:13:46 UTC)

Project B:
DependencyVersion(version=1.0.0, time=2014-11-05 01:18:18 UTC)
DependencyVersion(version=1.1.0, time=2015-02-02 06:33:49 UTC)
DependencyVersion(version=1.1.1, time=2015-02-08 07:52:59 UTC)
DependencyVersion(version=1.1.2, time=2015-02-14 02:50:52 UTC)
DependencyVersion(version=1.1.3, time=2015-02-15 11:43:02 UTC)
DependencyVersion(version=1.1.4, time=2015-02-17 12:54:34 UTC)
DependencyVersion(version=1.2.0, time=2015-03-17 14:09:49 UTC)
DependencyVersion(version=1.2.1, time=2015-04-22 13:35:26 UTC)
DependencyVersion(version=1.2.2, time=2015-04-28 04:46:54 UTC)
DependencyVersion(version=2.0.0, time=2015-05-03 07:39:34 UTC)
DependencyVersion(version=2.1.0, time=2015-05-05 10:57:55 UTC)
DependencyVersion(version=2.1.1, time=2015-05-06 13:27:28 UTC)
DependencyVersion(version=2.1.2, time=2015-05-28 09:42:07 UTC)
DependencyVersion(version=2.1.3, time=2015-07-02 17:44:58 UTC)
DependencyVersion(version=2.1.4, time=2015-09-30 06:54:43 UTC)
DependencyVersion(version=2.1.5, time=2015-09-30 13:25:54 UTC)
DependencyVersion(version=2.2.0, time=2015-10-18 12:10:23 UTC)
DependencyVersion(version=2.2.1, time=2015-11-26 00:36:19 UTC)
DependencyVersion(version=2.2.2, time=2016-01-04 08:48:50 UTC)
DependencyVersion(version=2.2.3, time=2016-01-05 10:26:13 UTC)
DependencyVersion(version=2.2.4, time=2016-04-25 13:18:08 UTC)
DependencyVersion(version=2.2.5, time=2016-05-02 13:23:56 UTC)
DependencyVersion(version=2.2.6, time=2018-06-08 08:09:46 UTC)
