
Project information
react-native-transformable-image (1538612)	react-native-view-transformer (1370677)	Package Manager: NPM
RepoID: 10992763
Tag information:
CommitInfo{repo='GitHub', hash='6c82084efd2a99cd17ddea13fa12f9c0e5e7486d', version='v0.0.10'}
CommitInfo{repo='GitHub', hash='c536fc71aa982ee0a6bc52914990d8dca2e757ca', version='v0.0.11'}
CommitInfo{repo='GitHub', hash='40256b41588b7661f0cbdea8a542f787444973cf', version='v0.0.12'}
CommitInfo{repo='GitHub', hash='3e5053df39d3ee584acb375ed455497d4a9c4c43', version='v0.0.13'}
CommitInfo{repo='GitHub', hash='81edffc0b8fec33f70344d267a8ec84917984d80', version='v0.0.14'}
CommitInfo{repo='GitHub', hash='f332729c683be551344ba0936d75f521fffbbb16', version='v0.0.15'}
CommitInfo{repo='GitHub', hash='490287594fa35d7e8c292ad23ae61b7cae83bfde', version='v0.0.16'}
CommitInfo{repo='GitHub', hash='adba50e4329e663b4f35739d2a7cf96110590efc', version='v0.0.17'}
CommitInfo{repo='GitHub', hash='66599074d38f3330e32644df4a70077f748ced65', version='v0.0.18'}
CommitInfo{repo='GitHub', hash='6605bb33f1ba44c81fd84bb648cb382cbfd6540a', version='v0.0.2'}
CommitInfo{repo='GitHub', hash='088fefcaf7f88b994b421122db3bb2df61013981', version='v0.0.3'}
CommitInfo{repo='GitHub', hash='13b7dfc7d8c3edf9ac01f29bf1458538d6f6b18f', version='v0.0.4'}
CommitInfo{repo='GitHub', hash='7ab44cd62a00e2af21319feeddd43aea3c90f8c5', version='v0.0.5'}
CommitInfo{repo='GitHub', hash='0e31292b268f2309aa958718e191a80e170d8d7a', version='v0.0.6'}
CommitInfo{repo='GitHub', hash='d759388269225f54d8fb53c7856a0932d2025568', version='v0.0.7'}
CommitInfo{repo='GitHub', hash='5b9d69325347611e367535db8edd95f19a0b5bbc', version='v0.0.8'}
CommitInfo{repo='GitHub', hash='a4e7060de7b8a9a7522bfb1eab6951a783d86dba', version='v0.0.9'}

Project A:
ProjectVersionFixed(version=0.0.1, dependency=null, time=2016-06-15 08:22:44 UTC)
ProjectVersionFixed(version=0.0.2, dependency=0.0.9, time=2016-06-15 11:50:12 UTC),	Latest, "null"

ProjectVersionFixed(version=0.0.3, dependency=0.0.13, time=2016-06-27 14:52:50 UTC),	Latest, "null"

ProjectVersionFixed(version=0.0.4, dependency=0.0.14, time=2016-06-27 15:24:24 UTC),	Latest, "null"

ProjectVersionFixed(version=0.0.5, dependency=0.0.15, time=2016-06-28 02:13:54 UTC),	Latest, "null"

ProjectVersionFixed(version=0.0.6, dependency=0.0.16, time=2016-06-28 09:43:46 UTC),	Latest, "null"

ProjectVersionFixed(version=0.0.7, dependency=0.0.18, time=2016-06-28 10:23:47 UTC),	Latest, "null"

ProjectVersionFixed(version=0.0.8, dependency=0.0.19, time=2016-06-28 10:29:47 UTC),	Latest, "null"

ProjectVersionFixed(version=0.0.9, dependency=0.0.20, time=2016-06-28 11:49:37 UTC),	Latest, "null"

ProjectVersionFixed(version=0.0.10, dependency=0.0.20, time=2016-06-28 12:36:11 UTC),	Latest, "null"

ProjectVersionFixed(version=0.0.11, dependency=0.0.23, time=2016-06-30 06:18:17 UTC),	Latest, "null"

ProjectVersionFixed(version=0.0.12, dependency=0.0.24, time=2016-06-30 07:17:06 UTC),	Latest, "null"

ProjectVersionFixed(version=0.0.13, dependency=0.0.26, time=2016-07-02 02:46:50 UTC),	Latest, "null"

ProjectVersionFixed(version=0.0.14, dependency=0.0.27, time=2016-07-02 06:01:35 UTC),	Latest, "null"

ProjectVersionFixed(version=0.0.15, dependency=0.0.27, time=2016-07-04 08:50:45 UTC),	Latest, "null"

ProjectVersionFixed(version=0.0.16, dependency=0.0.29, time=2016-07-21 09:10:45 UTC),	Latest, "null"

ProjectVersionFixed(version=0.0.17, dependency=0.0.28, time=2016-07-21 09:13:45 UTC),	Latest, "null"

ProjectVersionFixed(version=0.0.18, dependency=0.0.28, time=2016-07-21 10:36:46 UTC),	Latest, "null"


Project B:
DependencyVersion(version=0.0.1, time=2016-04-15 03:34:41 UTC)
DependencyVersion(version=0.0.10, time=2016-06-26 09:21:34 UTC)
DependencyVersion(version=0.0.12, time=2016-06-27 06:44:11 UTC)
DependencyVersion(version=0.0.13, time=2016-06-27 14:47:41 UTC)
DependencyVersion(version=0.0.14, time=2016-06-27 15:15:55 UTC)
DependencyVersion(version=0.0.15, time=2016-06-28 02:07:25 UTC)
DependencyVersion(version=0.0.16, time=2016-06-28 09:25:49 UTC)
DependencyVersion(version=0.0.18, time=2016-06-28 10:15:01 UTC)
DependencyVersion(version=0.0.19, time=2016-06-28 10:28:29 UTC)
DependencyVersion(version=0.0.2, time=2016-05-17 09:24:52 UTC)
DependencyVersion(version=0.0.20, time=2016-06-28 11:48:41 UTC)
DependencyVersion(version=0.0.21, time=2016-06-30 04:46:20 UTC)
DependencyVersion(version=0.0.22, time=2016-06-30 05:11:14 UTC)
DependencyVersion(version=0.0.23, time=2016-06-30 05:12:33 UTC)
DependencyVersion(version=0.0.24, time=2016-06-30 07:15:33 UTC)
DependencyVersion(version=0.0.26, time=2016-07-02 02:44:20 UTC)
DependencyVersion(version=0.0.27, time=2016-07-02 05:58:56 UTC)
DependencyVersion(version=0.0.28, time=2016-07-21 09:02:04 UTC)
DependencyVersion(version=0.0.3, time=2016-05-17 11:23:02 UTC)
DependencyVersion(version=0.0.4, time=2016-05-18 07:11:40 UTC)
DependencyVersion(version=0.0.6, time=2016-05-18 10:39:55 UTC)
DependencyVersion(version=0.0.7, time=2016-05-18 11:00:44 UTC)
DependencyVersion(version=0.0.8, time=2016-06-15 08:00:53 UTC)
DependencyVersion(version=0.0.9, time=2016-06-15 08:06:35 UTC)
