
Project information
mdeva (1560421)	nodejs-server (176551)	Package Manager: NPM
RepoID: null
Repo Owner/Name: null
Repository type: null

 

Tag information:

Project A:
ProjectVersionFixed(version=1.0.0, dependency=0.0.4, time=2016-06-30 15:27:45 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.1, dependency=0.0.2, time=2016-06-30 15:41:23 UTC),	Latest, "DependencyVersion(version=0.0.4, time=2015-02-03 09:28:28 UTC)"


Project B:
DependencyVersion(version=0.0.1, time=2014-01-15 06:27:38 UTC)
DependencyVersion(version=0.0.10, time=2016-12-16 12:51:17 UTC)
DependencyVersion(version=0.0.11, time=2017-01-16 03:56:49 UTC)
DependencyVersion(version=0.0.12, time=2017-01-17 02:56:36 UTC)
DependencyVersion(version=0.0.13, time=2017-12-26 06:04:07 UTC)
DependencyVersion(version=0.0.14, time=2017-12-28 06:45:51 UTC)
DependencyVersion(version=0.0.2, time=2014-01-15 13:03:11 UTC)
DependencyVersion(version=0.0.3, time=2015-02-03 07:42:11 UTC)
DependencyVersion(version=0.0.4, time=2015-02-03 09:28:28 UTC)
DependencyVersion(version=0.0.5, time=2016-08-01 08:48:29 UTC)
DependencyVersion(version=0.0.6, time=2016-10-27 11:49:45 UTC)
DependencyVersion(version=0.0.7, time=2016-10-27 11:59:07 UTC)
DependencyVersion(version=0.0.8, time=2016-12-14 14:18:37 UTC)
DependencyVersion(version=0.0.9, time=2016-12-14 14:58:46 UTC)
DependencyVersion(version=1.0.14, time=2017-12-28 06:55:33 UTC)
DependencyVersion(version=1.0.15, time=2018-01-12 03:40:57 UTC)
DependencyVersion(version=1.0.16, time=2018-01-12 06:34:08 UTC)
