
Project information
prisme-flow (2324958)	clone (136147)	Package Manager: NPM
RepoID: null
Repo Owner/Name: null
Repository type: null

 

Tag information:

Project A:
ProjectVersionFixed(version=1.0.0, dependency=null, time=2017-06-10 19:00:36 UTC)
ProjectVersionFixed(version=1.0.1, dependency=2.1.0, time=2017-06-10 20:56:09 UTC),	Latest, "DependencyVersion(version=2.1.1, time=2017-03-09 19:23:55 UTC)"

ProjectVersionFixed(version=1.0.2, dependency=2.1.0, time=2017-06-11 11:23:34 UTC),	Latest, "DependencyVersion(version=2.1.1, time=2017-03-09 19:23:55 UTC)"

ProjectVersionFixed(version=1.0.3, dependency=2.1.0, time=2017-06-11 14:03:43 UTC),	Latest, "DependencyVersion(version=2.1.1, time=2017-03-09 19:23:55 UTC)"

ProjectVersionFixed(version=1.0.4, dependency=2.1.0, time=2017-06-11 14:10:47 UTC),	Latest, "DependencyVersion(version=2.1.1, time=2017-03-09 19:23:55 UTC)"

ProjectVersionFixed(version=1.0.5, dependency=2.1.0, time=2017-06-11 14:21:39 UTC),	Latest, "DependencyVersion(version=2.1.1, time=2017-03-09 19:23:55 UTC)"

ProjectVersionFixed(version=1.0.6, dependency=2.1.0, time=2017-06-12 08:12:21 UTC),	Latest, "DependencyVersion(version=2.1.1, time=2017-03-09 19:23:55 UTC)"

ProjectVersionFixed(version=1.0.7, dependency=2.1.0, time=2017-06-12 08:26:07 UTC),	Latest, "DependencyVersion(version=2.1.1, time=2017-03-09 19:23:55 UTC)"

ProjectVersionFixed(version=1.0.8, dependency=2.1.0, time=2017-06-12 08:34:01 UTC),	Latest, "DependencyVersion(version=2.1.1, time=2017-03-09 19:23:55 UTC)"

ProjectVersionFixed(version=1.0.9, dependency=2.1.0, time=2017-06-12 08:49:17 UTC),	Latest, "DependencyVersion(version=2.1.1, time=2017-03-09 19:23:55 UTC)"

ProjectVersionFixed(version=1.0.10, dependency=2.1.0, time=2017-06-12 16:04:20 UTC),	Latest, "DependencyVersion(version=2.1.1, time=2017-03-09 19:23:55 UTC)"

ProjectVersionFixed(version=1.0.11, dependency=0.1.11, time=2017-06-14 20:11:52 UTC),	Latest, "DependencyVersion(version=2.1.1, time=2017-03-09 19:23:55 UTC)"

ProjectVersionFixed(version=1.0.12, dependency=0.1.11, time=2017-06-14 20:34:36 UTC),	Latest, "DependencyVersion(version=2.1.1, time=2017-03-09 19:23:55 UTC)"

ProjectVersionFixed(version=1.0.13, dependency=2.1.0, time=2017-06-14 21:02:41 UTC),	Latest, "DependencyVersion(version=2.1.1, time=2017-03-09 19:23:55 UTC)"

ProjectVersionFixed(version=1.0.14, dependency=2.1.0, time=2017-06-14 21:15:20 UTC),	Latest, "DependencyVersion(version=2.1.1, time=2017-03-09 19:23:55 UTC)"

ProjectVersionFixed(version=1.0.15, dependency=2.1.0, time=2017-06-15 09:31:06 UTC),	Latest, "DependencyVersion(version=2.1.1, time=2017-03-09 19:23:55 UTC)"

ProjectVersionFixed(version=1.0.16, dependency=2.1.0, time=2017-06-15 11:07:38 UTC),	Latest, "DependencyVersion(version=2.1.1, time=2017-03-09 19:23:55 UTC)"

ProjectVersionFixed(version=1.0.17, dependency=2.1.0, time=2017-06-26 13:28:11 UTC),	Latest, "DependencyVersion(version=2.1.1, time=2017-03-09 19:23:55 UTC)"


Project B:
DependencyVersion(version=0.0.0, time=2011-09-03 01:49:51 UTC)
DependencyVersion(version=0.0.1, time=2011-09-03 02:19:26 UTC)
DependencyVersion(version=0.0.2, time=2011-09-18 00:16:03 UTC)
DependencyVersion(version=0.0.3, time=2011-10-06 18:21:26 UTC)
DependencyVersion(version=0.0.4, time=2011-12-06 08:27:23 UTC)
DependencyVersion(version=0.0.5, time=2012-02-24 09:28:45 UTC)
DependencyVersion(version=0.0.6, time=2012-02-28 23:15:38 UTC)
DependencyVersion(version=0.0.7, time=2012-04-19 19:17:02 UTC)
DependencyVersion(version=0.1.0, time=2012-08-07 23:56:46 UTC)
DependencyVersion(version=0.1.1, time=2012-09-04 01:13:40 UTC)
DependencyVersion(version=0.1.10, time=2013-08-16 12:32:59 UTC)
DependencyVersion(version=0.1.11, time=2013-10-16 15:38:22 UTC)
DependencyVersion(version=0.1.12, time=2014-04-29 08:53:28 UTC)
DependencyVersion(version=0.1.13, time=2014-04-29 12:00:12 UTC)
DependencyVersion(version=0.1.14, time=2014-04-29 18:29:06 UTC)
DependencyVersion(version=0.1.15, time=2014-04-29 23:28:14 UTC)
DependencyVersion(version=0.1.16, time=2014-06-02 13:43:44 UTC)
DependencyVersion(version=0.1.17, time=2014-06-29 10:50:11 UTC)
DependencyVersion(version=0.1.18, time=2014-08-17 21:02:44 UTC)
DependencyVersion(version=0.1.19, time=2014-12-03 10:08:55 UTC)
DependencyVersion(version=0.1.2, time=2012-11-25 12:28:16 UTC)
DependencyVersion(version=0.1.3, time=2012-11-26 19:52:26 UTC)
DependencyVersion(version=0.1.4, time=2012-11-27 10:55:27 UTC)
DependencyVersion(version=0.1.5, time=2013-02-06 00:07:28 UTC)
DependencyVersion(version=0.1.6, time=2013-03-02 17:03:13 UTC)
DependencyVersion(version=0.1.7, time=2013-05-12 18:29:09 UTC)
DependencyVersion(version=0.1.8, time=2013-05-22 21:40:03 UTC)
DependencyVersion(version=0.1.9, time=2013-05-23 22:41:52 UTC)
DependencyVersion(version=0.2.0, time=2014-11-26 22:53:39 UTC)
DependencyVersion(version=1.0.0, time=2015-02-10 11:39:07 UTC)
DependencyVersion(version=1.0.1, time=2015-03-04 20:03:55 UTC)
DependencyVersion(version=1.0.2, time=2015-03-25 23:37:30 UTC)
DependencyVersion(version=1.0.3, time=2017-11-08 21:05:47 UTC)
DependencyVersion(version=1.0.4, time=2018-03-21 21:21:25 UTC)
DependencyVersion(version=2.0.0, time=2016-09-28 19:26:06 UTC)
DependencyVersion(version=2.1.0, time=2016-11-22 22:35:42 UTC)
DependencyVersion(version=2.1.1, time=2017-03-09 19:23:55 UTC)
DependencyVersion(version=2.1.2, time=2018-03-21 21:07:10 UTC)
