
Project information
webpack-typescript-builder (2382521)	tslint-loader (796099)	Package Manager: NPM
RepoID: 27735724
Tag information:

Project A:
ProjectVersionFixed(version=1.0.0-rc1, dependency=null, time=2017-08-01 03:05:55 UTC)
ProjectVersionFixed(version=1.0.0-rc2, dependency=null, time=2017-08-01 03:14:35 UTC)
ProjectVersionFixed(version=1.0.0-rc3, dependency=null, time=2017-08-01 03:22:35 UTC)
ProjectVersionFixed(version=1.0.0-rc4, dependency=null, time=2017-08-01 03:26:48 UTC)
ProjectVersionFixed(version=1.0.0-rc5, dependency=null, time=2017-08-01 03:34:00 UTC)
ProjectVersionFixed(version=1.0.0-rc6, dependency=null, time=2017-08-01 04:07:27 UTC)
ProjectVersionFixed(version=1.0.0, dependency=null, time=2017-08-04 04:16:20 UTC)
ProjectVersionFixed(version=1.0.1, dependency=null, time=2017-08-04 04:20:06 UTC)
ProjectVersionFixed(version=1.0.2, dependency=null, time=2017-08-04 04:26:59 UTC)
ProjectVersionFixed(version=1.0.3, dependency=null, time=2017-08-24 01:35:04 UTC)
ProjectVersionFixed(version=1.0.4, dependency=null, time=2017-08-24 01:35:45 UTC)
ProjectVersionFixed(version=1.0.5, dependency=null, time=2017-08-27 03:46:31 UTC)
ProjectVersionFixed(version=1.0.6, dependency=null, time=2017-08-27 20:44:37 UTC)
ProjectVersionFixed(version=1.0.7, dependency=null, time=2017-10-01 04:03:23 UTC)
ProjectVersionFixed(version=1.0.8, dependency=null, time=2017-10-01 04:05:47 UTC)
ProjectVersionFixed(version=1.0.9, dependency=null, time=2017-10-01 04:18:25 UTC)
ProjectVersionFixed(version=1.0.10, dependency=3.5.3, time=2017-10-01 05:24:53 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.11, dependency=3.5.3, time=2017-10-01 05:29:53 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.12, dependency=3.5.3, time=2017-10-13 17:10:50 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.13, dependency=3.5.3, time=2017-11-03 00:50:55 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.14, dependency=null, time=2017-11-03 00:51:25 UTC)
ProjectVersionFixed(version=1.0.15, dependency=3.5.3, time=2017-11-03 00:57:08 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0, dependency=null, time=2017-08-19 13:58:42 UTC)
ProjectVersionFixed(version=1.1.0-ts-loader, dependency=null, time=2017-11-03 01:16:23 UTC)
ProjectVersionFixed(version=1.1.0-ts-loader1, dependency=3.5.3, time=2017-11-03 01:17:31 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-ts-loader2, dependency=3.5.3, time=2017-11-03 01:36:05 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-ts-loader3, dependency=3.5.3, time=2017-11-03 01:59:03 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-ts-loader4, dependency=3.5.3, time=2017-11-03 02:11:53 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-ts-loader5, dependency=3.5.3, time=2017-11-03 02:13:08 UTC),	Latest, "null"

ProjectVersionFixed(version=1.2.0, dependency=3.5.3, time=2017-11-03 02:26:07 UTC),	Latest, "null"

ProjectVersionFixed(version=1.2.1, dependency=3.5.3, time=2017-11-28 00:30:09 UTC),	Latest, "null"

ProjectVersionFixed(version=1.2.2, dependency=3.5.3, time=2017-11-28 00:36:58 UTC),	Latest, "null"

ProjectVersionFixed(version=1.2.3, dependency=3.5.3, time=2017-11-28 00:42:04 UTC),	Latest, "null"

ProjectVersionFixed(version=1.2.4, dependency=3.5.3, time=2017-11-28 00:50:22 UTC),	Latest, "null"

ProjectVersionFixed(version=1.2.5, dependency=3.5.3, time=2017-11-28 01:14:03 UTC),	Latest, "null"

ProjectVersionFixed(version=1.2.5-beta, dependency=3.5.3, time=2017-11-28 00:51:50 UTC),	Latest, "null"

ProjectVersionFixed(version=1.2.5-beta2, dependency=3.5.3, time=2017-11-28 01:08:41 UTC),	Latest, "null"

ProjectVersionFixed(version=2.0.0, dependency=3.6.0, time=2018-03-22 21:48:35 UTC),	Latest, "null"

ProjectVersionFixed(version=2.0.1, dependency=3.6.0, time=2018-05-05 20:43:08 UTC),	Latest, "null"

ProjectVersionFixed(version=2.0.2, dependency=3.6.0, time=2018-07-09 00:59:06 UTC),	Latest, "null"

ProjectVersionFixed(version=2.0.3, dependency=3.6.0, time=2018-07-14 18:01:17 UTC),	Latest, "null"

ProjectVersionFixed(version=2.0.4, dependency=3.5.4, time=2018-11-14 22:34:24 UTC),	Latest, "DependencyVersion(version=3.6.0, time=2018-03-01 10:14:48 UTC)"

ProjectVersionFixed(version=2.0.5, dependency=3.5.4, time=2018-11-27 05:28:10 UTC),	Latest, "DependencyVersion(version=3.6.0, time=2018-03-01 10:14:48 UTC)"

ProjectVersionFixed(version=3.0.0, dependency=3.5.4, time=2018-12-18 04:03:06 UTC),	Latest, "DependencyVersion(version=3.6.0, time=2018-03-01 10:14:48 UTC)"

ProjectVersionFixed(version=3.0.0-beta, dependency=3.5.4, time=2018-12-18 02:11:34 UTC),	Latest, "DependencyVersion(version=3.6.0, time=2018-03-01 10:14:48 UTC)"


Project B:
DependencyVersion(version=0.0.1, time=2015-05-21 15:46:58 UTC)
DependencyVersion(version=0.9.0, time=2015-05-22 13:43:48 UTC)
DependencyVersion(version=0.9.1, time=2015-06-25 19:56:07 UTC)
DependencyVersion(version=1.0.0, time=2015-06-30 19:42:25 UTC)
DependencyVersion(version=1.0.1, time=2015-07-09 13:27:16 UTC)
DependencyVersion(version=1.0.2, time=2015-09-14 14:50:23 UTC)
DependencyVersion(version=2.0.0, time=2015-11-24 01:38:00 UTC)
DependencyVersion(version=2.1.0, time=2015-11-25 00:23:53 UTC)
DependencyVersion(version=2.1.1, time=2016-03-03 19:11:52 UTC)
DependencyVersion(version=2.1.2, time=2016-04-24 17:39:41 UTC)
DependencyVersion(version=2.1.3, time=2016-03-06 15:36:17 UTC)
DependencyVersion(version=2.1.4, time=2016-04-24 17:49:16 UTC)
DependencyVersion(version=2.1.5, time=2016-06-20 15:45:50 UTC)
DependencyVersion(version=3.0.0, time=2016-11-22 09:15:07 UTC)
DependencyVersion(version=3.1.0, time=2016-11-22 18:55:13 UTC)
DependencyVersion(version=3.2.0, time=2016-11-22 20:22:03 UTC)
DependencyVersion(version=3.2.1, time=2016-11-30 21:01:04 UTC)
DependencyVersion(version=3.3.0, time=2016-12-04 11:00:14 UTC)
DependencyVersion(version=3.4.0, time=2017-02-12 14:18:37 UTC)
DependencyVersion(version=3.4.1, time=2017-02-12 15:40:56 UTC)
DependencyVersion(version=3.4.2, time=2017-02-12 20:12:19 UTC)
DependencyVersion(version=3.4.3, time=2017-03-02 08:22:16 UTC)
DependencyVersion(version=3.5.1, time=2017-04-06 17:04:12 UTC)
DependencyVersion(version=3.5.2, time=2017-04-08 10:17:50 UTC)
DependencyVersion(version=3.5.3, time=2017-04-22 08:32:49 UTC)
DependencyVersion(version=3.5.4, time=2018-10-09 14:52:46 UTC)
DependencyVersion(version=3.6.0, time=2018-03-01 10:14:48 UTC)
