
Project information
koa-ring (2388930)	eslint_d (983964)	Package Manager: NPM
RepoID: null
Repo Owner/Name: null
Repository type: null

 

Tag information:

Project A:
ProjectVersionFixed(version=0.0.1, dependency=5.0.0, time=2017-08-06 21:27:38 UTC),	Latest, "null"

ProjectVersionFixed(version=0.0.2, dependency=null, time=2017-08-21 13:57:43 UTC)
ProjectVersionFixed(version=0.0.3, dependency=5.0.0, time=2017-08-23 20:48:08 UTC),	Latest, "DependencyVersion(version=5.1.0, time=2017-08-08 12:07:53 UTC)"

ProjectVersionFixed(version=0.0.4, dependency=5.0.0, time=2017-08-23 20:51:26 UTC),	Latest, "DependencyVersion(version=5.1.0, time=2017-08-08 12:07:53 UTC)"

ProjectVersionFixed(version=0.0.5, dependency=5.0.0, time=2017-08-23 22:08:23 UTC),	Latest, "DependencyVersion(version=5.1.0, time=2017-08-08 12:07:53 UTC)"

ProjectVersionFixed(version=0.0.7, dependency=5.0.0, time=2017-09-05 13:08:47 UTC),	Latest, "DependencyVersion(version=5.1.0, time=2017-08-08 12:07:53 UTC)"

ProjectVersionFixed(version=0.1.0, dependency=4.2.5, time=2017-12-06 14:18:25 UTC),	Latest, "DependencyVersion(version=5.2.0, time=2017-11-25 18:18:04 UTC)"


Project B:
DependencyVersion(version=1.0.0, time=2015-09-18 21:04:28 UTC)
DependencyVersion(version=2.0.0, time=2015-09-19 22:49:01 UTC)
DependencyVersion(version=2.1.0, time=2015-09-20 16:35:35 UTC)
DependencyVersion(version=2.1.1, time=2015-09-30 08:05:00 UTC)
DependencyVersion(version=2.1.2, time=2015-10-02 15:49:27 UTC)
DependencyVersion(version=2.2.0, time=2015-11-05 18:45:01 UTC)
DependencyVersion(version=2.3.0, time=2015-11-08 20:06:42 UTC)
DependencyVersion(version=2.3.1, time=2015-11-09 20:33:11 UTC)
DependencyVersion(version=2.3.2, time=2015-11-20 07:36:39 UTC)
DependencyVersion(version=2.4.0, time=2015-12-08 10:34:01 UTC)
DependencyVersion(version=2.5.0, time=2016-02-20 10:42:14 UTC)
DependencyVersion(version=2.5.1, time=2016-02-24 14:48:56 UTC)
DependencyVersion(version=3.0.0, time=2016-02-25 20:12:19 UTC)
DependencyVersion(version=3.0.1, time=2016-02-28 19:12:56 UTC)
DependencyVersion(version=3.1.0, time=2016-03-03 22:13:14 UTC)
DependencyVersion(version=3.1.1, time=2016-06-07 18:10:20 UTC)
DependencyVersion(version=3.1.2, time=2016-07-25 19:59:44 UTC)
DependencyVersion(version=4.0.0, time=2016-07-07 18:30:59 UTC)
DependencyVersion(version=4.0.1, time=2016-07-25 19:23:51 UTC)
DependencyVersion(version=4.1.0, time=2016-09-29 19:51:29 UTC)
DependencyVersion(version=4.2.0, time=2016-10-16 17:29:16 UTC)
DependencyVersion(version=4.2.1, time=2016-12-06 22:21:43 UTC)
DependencyVersion(version=4.2.2, time=2017-03-04 06:52:05 UTC)
DependencyVersion(version=4.2.3, time=2017-03-13 15:19:02 UTC)
DependencyVersion(version=4.2.4, time=2017-03-13 15:24:13 UTC)
DependencyVersion(version=4.2.5, time=2017-03-28 12:59:30 UTC)
DependencyVersion(version=5.0.0, time=2017-06-26 10:38:18 UTC)
DependencyVersion(version=5.1.0, time=2017-08-08 12:07:53 UTC)
DependencyVersion(version=5.2.0, time=2017-11-25 18:18:04 UTC)
DependencyVersion(version=5.2.1, time=2017-12-11 10:08:31 UTC)
DependencyVersion(version=5.2.2, time=2018-01-08 19:17:47 UTC)
DependencyVersion(version=5.3.0, time=2018-04-07 16:06:05 UTC)
DependencyVersion(version=5.3.1, time=2018-05-10 18:14:22 UTC)
DependencyVersion(version=6.0.0, time=2018-06-29 15:00:47 UTC)
DependencyVersion(version=6.0.1, time=2018-07-13 06:17:19 UTC)
DependencyVersion(version=7.0.0, time=2018-08-21 16:30:35 UTC)
DependencyVersion(version=7.1.0, time=2018-08-24 06:37:41 UTC)
DependencyVersion(version=7.1.1, time=2018-09-18 20:37:51 UTC)
DependencyVersion(version=7.2.0, time=2018-12-04 13:10:38 UTC)
