
Project information
react-styled-box (2399996)	enzyme (1111695)	Package Manager: NPM
RepoID: 27467459
Tag information:
CommitInfo{repo='GitHub', hash='a71285c37da67c89133a2cf72b2b248e90fda8d5', version='v0.0.4'}
CommitInfo{repo='GitHub', hash='cb0a4072a290f2b78e351290107a2373954395bd', version='v0.0.5'}
CommitInfo{repo='GitHub', hash='28b5d8258ae3c613152e4fb04690eb7a9485e0a8', version='v1.0.0'}
CommitInfo{repo='GitHub', hash='5768ce5db7e9e063410ce71a758f283ec42119cc', version='v1.0.1'}
CommitInfo{repo='GitHub', hash='d7ed9e442e0db14c7bffbfde2fea1fbd750c649f', version='v1.0.2'}
CommitInfo{repo='GitHub', hash='8603fad95d26a98335d43ea936a10c552f3966f3', version='v1.1.0'}
CommitInfo{repo='GitHub', hash='9802ef4ffdb38bb33bcb845bb1950efdb74de02f', version='v1.2.0'}
CommitInfo{repo='GitHub', hash='2492a8e9f90614e31c027502ebe0face75555ba5', version='v1.2.1'}
CommitInfo{repo='GitHub', hash='99a4af7c78c6bd9f3b8d099bdbeef062a00f3190', version='v1.2.2'}
CommitInfo{repo='GitHub', hash='c8d9408365386038c84e70f62100eb4edc8026b0', version='v1.3.0'}

Project A:
ProjectVersionFixed(version=0.0.1, dependency=null, time=2017-08-17 08:39:24 UTC)
ProjectVersionFixed(version=0.0.2, dependency=null, time=2017-08-17 09:19:22 UTC)
ProjectVersionFixed(version=0.0.3, dependency=null, time=2017-08-17 09:28:53 UTC)
ProjectVersionFixed(version=0.0.4, dependency=null, time=2017-09-01 18:34:50 UTC)
ProjectVersionFixed(version=0.0.5, dependency=null, time=2017-09-01 18:39:47 UTC)
ProjectVersionFixed(version=0.0.6, dependency=2.9.1, time=2017-09-27 14:28:36 UTC),	Latest, "DependencyVersion(version=3.0.0-beta.7, time=2017-09-25 19:13:05 UTC)"

ProjectVersionFixed(version=1.0.0, dependency=2.9.1, time=2017-10-09 15:28:54 UTC),	Latest, "DependencyVersion(version=3.1.0, time=2017-10-03 05:41:42 UTC)"

ProjectVersionFixed(version=1.0.1, dependency=2.9.1, time=2017-10-09 16:18:02 UTC),	Latest, "DependencyVersion(version=3.1.0, time=2017-10-03 05:41:42 UTC)"

ProjectVersionFixed(version=1.0.2, dependency=2.9.1, time=2017-10-13 15:31:43 UTC),	Latest, "DependencyVersion(version=3.1.0, time=2017-10-03 05:41:42 UTC)"

ProjectVersionFixed(version=1.1.0, dependency=2.9.1, time=2017-10-19 21:22:07 UTC),	Latest, "DependencyVersion(version=3.1.0, time=2017-10-03 05:41:42 UTC)"

ProjectVersionFixed(version=1.2.0, dependency=3.1.1, time=2017-11-13 08:40:10 UTC),	Latest, "null"

ProjectVersionFixed(version=1.2.1, dependency=2.9.1, time=2017-11-13 09:02:17 UTC),	Latest, "DependencyVersion(version=3.1.1, time=2017-11-05 07:27:06 UTC)"

ProjectVersionFixed(version=1.2.2, dependency=3.3.0, time=2018-05-21 11:00:06 UTC),	Latest, "null"

ProjectVersionFixed(version=1.3.0, dependency=3.7.0, time=2018-11-18 15:13:19 UTC),	Latest, "null"


Project B:
DependencyVersion(version=1.0.0, time=2015-12-06 20:54:10 UTC)
DependencyVersion(version=1.1.0, time=2015-12-07 23:55:56 UTC)
DependencyVersion(version=1.2.0, time=2015-12-10 19:09:29 UTC)
DependencyVersion(version=1.3.0, time=2016-01-14 02:26:53 UTC)
DependencyVersion(version=1.3.1, time=2016-01-15 17:25:32 UTC)
DependencyVersion(version=1.4.0, time=2016-01-21 17:10:47 UTC)
DependencyVersion(version=1.4.1, time=2016-01-24 18:45:14 UTC)
DependencyVersion(version=1.5.0, time=2016-02-02 22:11:29 UTC)
DependencyVersion(version=1.6.0, time=2016-02-10 23:53:07 UTC)
DependencyVersion(version=2.0.0, time=2016-02-11 00:53:29 UTC)
DependencyVersion(version=2.0.0-rc1, time=2016-01-19 02:06:25 UTC)
DependencyVersion(version=2.1.0, time=2016-03-09 20:37:43 UTC)
DependencyVersion(version=2.2.0, time=2016-03-21 17:26:32 UTC)
DependencyVersion(version=2.3.0, time=2016-05-10 01:27:17 UTC)
DependencyVersion(version=2.4.0, time=2016-07-08 05:28:12 UTC)
DependencyVersion(version=2.4.1, time=2016-07-08 17:54:10 UTC)
DependencyVersion(version=2.4.2, time=2016-11-10 02:59:41 UTC)
DependencyVersion(version=2.5.0, time=2016-10-17 16:09:01 UTC)
DependencyVersion(version=2.5.1, time=2016-10-17 19:19:42 UTC)
DependencyVersion(version=2.5.2, time=2016-11-10 03:00:08 UTC)
DependencyVersion(version=2.6.0, time=2016-11-10 03:01:06 UTC)
DependencyVersion(version=2.7.0, time=2016-12-22 07:58:44 UTC)
DependencyVersion(version=2.7.1, time=2017-01-22 22:50:49 UTC)
DependencyVersion(version=2.8.0, time=2017-03-25 00:22:30 UTC)
DependencyVersion(version=2.8.1, time=2017-04-12 16:48:59 UTC)
DependencyVersion(version=2.8.2, time=2017-04-14 01:39:15 UTC)
DependencyVersion(version=2.9.0, time=2017-06-22 08:31:29 UTC)
DependencyVersion(version=2.9.1, time=2017-06-24 06:48:05 UTC)
DependencyVersion(version=3.0.0, time=2017-09-26 07:20:30 UTC)
DependencyVersion(version=3.0.0-alpha.1, time=2017-07-16 20:27:51 UTC)
DependencyVersion(version=3.0.0-beta.1, time=2017-09-16 17:04:49 UTC)
DependencyVersion(version=3.0.0-beta.2, time=2017-09-16 17:16:03 UTC)
DependencyVersion(version=3.0.0-beta.3, time=2017-09-16 19:39:51 UTC)
DependencyVersion(version=3.0.0-beta.4, time=2017-09-17 17:26:49 UTC)
DependencyVersion(version=3.0.0-beta.5, time=2017-09-18 00:39:27 UTC)
DependencyVersion(version=3.0.0-beta.6, time=2017-09-19 18:33:39 UTC)
DependencyVersion(version=3.0.0-beta.7, time=2017-09-25 19:13:05 UTC)
DependencyVersion(version=3.1.0, time=2017-10-03 05:41:42 UTC)
DependencyVersion(version=3.1.1, time=2017-11-05 07:27:06 UTC)
DependencyVersion(version=3.2.0, time=2017-11-15 08:20:46 UTC)
DependencyVersion(version=3.3.0, time=2017-12-28 22:43:04 UTC)
DependencyVersion(version=3.4.0, time=2018-08-08 05:41:36 UTC)
DependencyVersion(version=3.4.1, time=2018-08-08 23:59:25 UTC)
DependencyVersion(version=3.4.2, time=2018-08-16 05:17:32 UTC)
