
Project information
ers (2405794)	eslint-loader (145395)	Package Manager: NPM
RepoID: null
Repo Owner/Name: null
Repository type: null

 

Tag information:

Project A:
ProjectVersionFixed(version=0.1.1, dependency=null, time=2017-08-21 07:53:41 UTC)
ProjectVersionFixed(version=0.1.2, dependency=1.9.0, time=2017-08-21 08:11:43 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.3, dependency=1.9.0, time=2017-08-21 08:18:14 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.5, dependency=1.9.0, time=2017-08-21 08:42:37 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.6, dependency=1.9.0, time=2017-08-22 03:23:11 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.7, dependency=1.9.0, time=2017-08-22 06:48:46 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.8, dependency=1.9.0, time=2017-08-24 12:47:54 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.9, dependency=1.9.0, time=2017-08-30 13:00:36 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.10, dependency=1.9.0, time=2017-09-14 02:56:45 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.11, dependency=1.9.0, time=2017-09-14 03:49:36 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.12, dependency=1.9.0, time=2017-09-14 06:46:53 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.14, dependency=1.9.0, time=2017-09-14 06:51:57 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.15, dependency=1.9.0, time=2017-09-14 06:54:39 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.16, dependency=1.9.0, time=2017-09-14 13:21:16 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.17, dependency=1.9.0, time=2017-09-20 06:24:29 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.18, dependency=1.9.0, time=2017-09-26 03:46:52 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.19, dependency=1.9.0, time=2017-09-26 04:00:10 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.20, dependency=1.9.0, time=2017-09-27 10:32:26 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.21, dependency=1.9.0, time=2017-09-28 08:11:00 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.22, dependency=1.9.0, time=2017-09-28 08:22:22 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.23, dependency=1.9.0, time=2017-09-28 09:31:45 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.24, dependency=1.9.0, time=2017-09-28 12:38:19 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.25, dependency=1.9.0, time=2017-09-28 12:49:13 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.26, dependency=1.9.0, time=2017-09-28 13:10:59 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.27, dependency=1.9.0, time=2017-09-28 13:17:37 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.28, dependency=1.9.0, time=2017-09-28 13:30:44 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.29, dependency=1.9.0, time=2017-09-29 02:55:45 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.30, dependency=1.9.0, time=2017-09-29 03:47:33 UTC),	Latest, "null"

ProjectVersionFixed(version=0.2.1, dependency=1.9.0, time=2017-09-29 13:28:44 UTC),	Latest, "null"

ProjectVersionFixed(version=0.2.2, dependency=1.9.0, time=2017-09-30 05:20:56 UTC),	Latest, "null"

ProjectVersionFixed(version=0.2.3, dependency=1.9.0, time=2017-10-23 05:39:13 UTC),	Latest, "null"

ProjectVersionFixed(version=0.2.4, dependency=1.9.0, time=2017-10-23 06:53:47 UTC),	Latest, "null"

ProjectVersionFixed(version=0.2.5, dependency=1.9.0, time=2017-10-23 12:31:42 UTC),	Latest, "null"

ProjectVersionFixed(version=0.2.6, dependency=1.9.0, time=2017-10-27 07:22:37 UTC),	Latest, "null"

ProjectVersionFixed(version=0.2.7, dependency=1.9.0, time=2017-12-18 03:15:37 UTC),	Latest, "null"

ProjectVersionFixed(version=0.3.0, dependency=2.1.1, time=2018-09-27 07:59:46 UTC),	Latest, "null"

ProjectVersionFixed(version=0.3.1, dependency=2.1.1, time=2018-09-27 08:52:04 UTC),	Latest, "null"

ProjectVersionFixed(version=0.3.8, dependency=1.9.0, time=2018-10-10 10:11:47 UTC),	Latest, "DependencyVersion(version=2.1.1, time=2018-09-19 20:27:48 UTC)"

ProjectVersionFixed(version=0.3.9, dependency=1.9.0, time=2018-10-11 02:33:21 UTC),	Latest, "DependencyVersion(version=2.1.1, time=2018-09-19 20:27:48 UTC)"

ProjectVersionFixed(version=0.5.0, dependency=2.1.1, time=2018-10-01 15:11:44 UTC),	Latest, "null"

ProjectVersionFixed(version=0.6.0, dependency=null, time=2018-10-08 09:19:02 UTC)
ProjectVersionFixed(version=1.0.0, dependency=null, time=2018-10-08 11:06:34 UTC)
ProjectVersionFixed(version=1.0.2, dependency=null, time=2018-10-11 02:32:20 UTC)
ProjectVersionFixed(version=1.0.3, dependency=null, time=2018-10-15 12:24:41 UTC)
ProjectVersionFixed(version=1.0.4, dependency=null, time=2018-10-15 12:55:50 UTC)
ProjectVersionFixed(version=1.0.5, dependency=null, time=2018-10-31 02:33:37 UTC)

Project B:
DependencyVersion(version=0.1.0, time=2014-12-05 08:03:50 UTC)
DependencyVersion(version=0.10.0, time=2015-04-13 05:28:26 UTC)
DependencyVersion(version=0.11.0, time=2015-04-27 04:06:03 UTC)
DependencyVersion(version=0.11.1, time=2015-04-27 07:50:07 UTC)
DependencyVersion(version=0.11.2, time=2015-05-11 08:21:31 UTC)
DependencyVersion(version=0.12.0, time=2015-06-04 05:55:02 UTC)
DependencyVersion(version=0.13.0, time=2015-06-14 20:40:04 UTC)
DependencyVersion(version=0.14.0, time=2015-06-15 21:17:40 UTC)
DependencyVersion(version=0.14.1, time=2015-06-29 05:36:21 UTC)
DependencyVersion(version=0.14.2, time=2015-07-18 05:37:27 UTC)
DependencyVersion(version=0.2.0, time=2015-01-23 16:01:16 UTC)
DependencyVersion(version=0.2.1, time=2015-01-27 08:32:47 UTC)
DependencyVersion(version=0.3.0, time=2015-02-10 07:51:38 UTC)
DependencyVersion(version=0.4.0, time=2015-02-23 18:45:25 UTC)
DependencyVersion(version=0.5.0, time=2015-03-11 07:00:07 UTC)
DependencyVersion(version=0.6.0, time=2015-03-11 07:37:59 UTC)
DependencyVersion(version=0.7.0, time=2015-03-15 19:35:34 UTC)
DependencyVersion(version=0.8.0, time=2015-03-27 08:04:52 UTC)
DependencyVersion(version=0.9.0, time=2015-03-29 05:58:03 UTC)
DependencyVersion(version=1.0.0, time=2015-08-08 20:18:36 UTC)
DependencyVersion(version=1.1.0, time=2015-10-08 14:12:55 UTC)
DependencyVersion(version=1.1.1, time=2015-11-01 17:57:21 UTC)
DependencyVersion(version=1.2.0, time=2016-01-02 21:45:41 UTC)
DependencyVersion(version=1.2.1, time=2016-01-26 20:12:04 UTC)
DependencyVersion(version=1.3.0, time=2016-02-17 06:23:57 UTC)
DependencyVersion(version=1.4.0, time=2016-07-02 03:42:59 UTC)
DependencyVersion(version=1.4.1, time=2016-07-07 03:53:24 UTC)
DependencyVersion(version=1.5.0, time=2016-07-28 06:10:38 UTC)
DependencyVersion(version=1.6.0, time=2016-10-17 06:47:09 UTC)
DependencyVersion(version=1.6.1, time=2016-11-02 08:54:06 UTC)
DependencyVersion(version=1.6.2, time=2017-02-22 08:30:25 UTC)
DependencyVersion(version=1.6.3, time=2017-02-22 11:07:48 UTC)
DependencyVersion(version=1.7.0, time=2017-03-23 06:39:31 UTC)
DependencyVersion(version=1.7.1, time=2017-03-31 05:29:21 UTC)
DependencyVersion(version=1.8.0, time=2017-06-15 07:54:33 UTC)
DependencyVersion(version=1.9.0, time=2017-07-06 06:31:56 UTC)
DependencyVersion(version=2.0.0, time=2018-02-26 09:54:50 UTC)
DependencyVersion(version=2.1.0, time=2018-07-19 15:01:29 UTC)
DependencyVersion(version=2.1.1, time=2018-09-19 20:27:48 UTC)
