
Project information
fis3-parser-precss (2423127)	postcss-calc (182014)	Package Manager: NPM
RepoID: 28261920
Repo Owner/Name: null
Repository type: null

 

Tag information:

Project A:
ProjectVersionFixed(version=1.0.0, dependency=null, time=2017-09-06 08:40:22 UTC)
ProjectVersionFixed(version=1.0.1, dependency=null, time=2017-09-07 06:57:26 UTC)
ProjectVersionFixed(version=1.0.2, dependency=6.0.0, time=2017-09-07 08:47:19 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.4, dependency=5.3.1, time=2017-09-07 09:05:01 UTC),	Latest, "DependencyVersion(version=6.0.0, time=2017-05-08 20:29:37 UTC)"

ProjectVersionFixed(version=1.0.5, dependency=5.3.1, time=2017-09-12 17:08:25 UTC),	Latest, "DependencyVersion(version=6.0.0, time=2017-05-08 20:29:37 UTC)"

ProjectVersionFixed(version=1.0.6, dependency=5.3.1, time=2017-09-13 02:08:52 UTC),	Latest, "DependencyVersion(version=6.0.0, time=2017-05-08 20:29:37 UTC)"

ProjectVersionFixed(version=1.0.7, dependency=5.3.1, time=2017-09-20 09:50:05 UTC),	Latest, "DependencyVersion(version=6.0.0, time=2017-05-08 20:29:37 UTC)"

ProjectVersionFixed(version=1.0.8, dependency=5.3.1, time=2017-09-20 10:50:28 UTC),	Latest, "DependencyVersion(version=6.0.0, time=2017-05-08 20:29:37 UTC)"

ProjectVersionFixed(version=1.0.9, dependency=5.3.1, time=2017-09-20 11:25:50 UTC),	Latest, "DependencyVersion(version=6.0.0, time=2017-05-08 20:29:37 UTC)"

ProjectVersionFixed(version=1.1.0, dependency=5.3.1, time=2017-09-20 14:12:16 UTC),	Latest, "DependencyVersion(version=6.0.0, time=2017-05-08 20:29:37 UTC)"

ProjectVersionFixed(version=1.1.1, dependency=5.3.1, time=2017-09-20 14:39:33 UTC),	Latest, "DependencyVersion(version=6.0.0, time=2017-05-08 20:29:37 UTC)"

ProjectVersionFixed(version=1.1.2, dependency=5.3.1, time=2017-10-26 09:30:55 UTC),	Latest, "DependencyVersion(version=6.0.1, time=2017-10-10 09:46:10 UTC)"


Project B:
DependencyVersion(version=1.0.0, time=2014-08-04 10:19:24 UTC)
DependencyVersion(version=2.0.0, time=2014-08-06 07:11:47 UTC)
DependencyVersion(version=2.0.1, time=2014-08-10 18:57:42 UTC)
DependencyVersion(version=2.1.0, time=2014-10-15 08:23:49 UTC)
DependencyVersion(version=3.0.0, time=2014-11-25 06:41:49 UTC)
DependencyVersion(version=4.0.0, time=2015-01-26 21:10:16 UTC)
DependencyVersion(version=4.0.1, time=2015-04-09 05:17:51 UTC)
DependencyVersion(version=4.1.0, time=2015-06-03 12:23:32 UTC)
DependencyVersion(version=5.0.0, time=2015-08-25 05:41:33 UTC)
DependencyVersion(version=5.1.0, time=2016-01-07 08:10:27 UTC)
DependencyVersion(version=5.2.0, time=2016-01-08 09:20:46 UTC)
DependencyVersion(version=5.2.1, time=2016-04-10 20:24:43 UTC)
DependencyVersion(version=5.3.0, time=2016-07-11 04:54:51 UTC)
DependencyVersion(version=5.3.1, time=2016-08-22 08:59:36 UTC)
DependencyVersion(version=6.0.0, time=2017-05-08 20:29:37 UTC)
DependencyVersion(version=6.0.1, time=2017-10-10 09:46:10 UTC)
DependencyVersion(version=6.0.2, time=2018-09-25 22:03:27 UTC)
DependencyVersion(version=7.0.0, time=2018-10-15 16:23:16 UTC)
DependencyVersion(version=7.0.1, time=2018-10-25 03:47:19 UTC)
