
Project information
ember-currencies-and-format-money (2479300)	ember-cli-htmlbars-inline-precompile (779944)	Package Manager: NPM
RepoID: 29137446
Tag information:
CommitInfo{repo='GitHub', hash='ee57bb237494f33dc0832064a842b683acf32f29', version='0.2.0'}
CommitInfo{repo='GitHub', hash='a0f24466be311f4f484483de08228f5060a5adb7', version='0.3.0'}
CommitInfo{repo='GitHub', hash='53d67b1cd92bbaa4296fc740c3ec3f0d3d670e90', version='1.0.0'}
CommitInfo{repo='GitHub', hash='26787e2a0a2621e5e7310c5178a1296f7d07990d', version='1.0.1'}
CommitInfo{repo='GitHub', hash='33c4a38ec6b8b34cc7f776e662f4906ad89f4177', version='1.0.2'}
CommitInfo{repo='GitHub', hash='bac751e5b1724ee4a700d61a0ea18b08c15b26c9', version='2.0.0'}
CommitInfo{repo='GitHub', hash='46b57f547a41496e8dfea38b3c60759ea3ebf3e1', version='3.0.0'}
CommitInfo{repo='GitHub', hash='46b57f547a41496e8dfea38b3c60759ea3ebf3e1', version='3.0.0'}
CommitInfo{repo='GitHub', hash='353b0f3943f95a30ff33564eeaf0a0a1e16affe1', version='3.0.2'}
CommitInfo{repo='GitHub', hash='8ff32b1d9c15ae80271b23e43e1e760f60b734b6', version='3.1.0'}
CommitInfo{repo='GitHub', hash='98fa7f0e6bb965eed13e5af253e5cfb2fb7a0327', version='3.1.1'}

Project A:
ProjectVersionFixed(version=0.1.0, dependency=1.0.0, time=2017-10-05 08:42:04 UTC),	Latest, "DependencyVersion(version=1.0.2, time=2017-08-09 12:55:50 UTC)"

ProjectVersionFixed(version=0.2.0, dependency=1.0.0, time=2017-10-05 09:05:23 UTC),	Latest, "DependencyVersion(version=1.0.2, time=2017-08-09 12:55:50 UTC)"

ProjectVersionFixed(version=0.3.0, dependency=1.0.0, time=2017-10-05 09:21:00 UTC),	Latest, "DependencyVersion(version=1.0.2, time=2017-08-09 12:55:50 UTC)"

ProjectVersionFixed(version=1.0.0, dependency=1.0.2, time=2017-10-05 11:07:04 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.1, dependency=1.0.2, time=2017-10-05 11:35:39 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.2, dependency=1.0.2, time=2017-11-03 14:34:41 UTC),	Latest, "null"

ProjectVersionFixed(version=2.0.0, dependency=1.0.0, time=2018-01-30 08:19:59 UTC),	Latest, "DependencyVersion(version=1.0.2, time=2017-08-09 12:55:50 UTC)"

ProjectVersionFixed(version=3.0.0, dependency=null, time=2018-04-17 08:20:17 UTC)
ProjectVersionFixed(version=3.0.1, dependency=null, time=2018-04-17 12:43:24 UTC)
ProjectVersionFixed(version=3.0.2, dependency=null, time=2018-04-19 08:48:05 UTC)
ProjectVersionFixed(version=3.1.0, dependency=null, time=2018-10-16 12:51:44 UTC)
ProjectVersionFixed(version=3.1.1, dependency=null, time=2018-10-16 13:07:56 UTC)

Project B:
DependencyVersion(version=0.0.1, time=2015-05-05 19:43:56 UTC)
DependencyVersion(version=0.1.0, time=2015-05-06 10:08:44 UTC)
DependencyVersion(version=0.1.1, time=2015-06-13 13:45:43 UTC)
DependencyVersion(version=0.1.2, time=2015-06-26 21:31:15 UTC)
DependencyVersion(version=0.1.3, time=2015-06-30 20:07:42 UTC)
DependencyVersion(version=0.2.0, time=2015-07-10 22:19:24 UTC)
DependencyVersion(version=0.3.0, time=2015-08-31 15:58:07 UTC)
DependencyVersion(version=0.3.1, time=2015-09-12 07:56:02 UTC)
DependencyVersion(version=0.3.10, time=2017-05-08 21:49:39 UTC)
DependencyVersion(version=0.3.11, time=2017-05-08 23:41:37 UTC)
DependencyVersion(version=0.3.12, time=2017-07-29 22:34:39 UTC)
DependencyVersion(version=0.3.13, time=2017-08-01 20:50:34 UTC)
DependencyVersion(version=0.3.2, time=2016-05-22 21:47:23 UTC)
DependencyVersion(version=0.3.3, time=2016-07-28 06:46:51 UTC)
DependencyVersion(version=0.3.4, time=2016-08-10 16:33:12 UTC)
DependencyVersion(version=0.3.5, time=2016-08-11 21:20:50 UTC)
DependencyVersion(version=0.3.6, time=2016-11-04 13:06:24 UTC)
DependencyVersion(version=0.3.7, time=2017-05-02 14:29:10 UTC)
DependencyVersion(version=0.3.8, time=2017-05-02 14:47:04 UTC)
DependencyVersion(version=0.3.9, time=2017-05-03 11:38:54 UTC)
DependencyVersion(version=0.4.0, time=2017-04-22 12:28:28 UTC)
DependencyVersion(version=0.4.0-beta.1, time=2017-03-12 02:52:16 UTC)
DependencyVersion(version=0.4.0-beta.2, time=2017-03-13 14:59:00 UTC)
DependencyVersion(version=0.4.1, time=2017-05-02 14:55:14 UTC)
DependencyVersion(version=0.4.2, time=2017-05-03 11:35:07 UTC)
DependencyVersion(version=0.4.3, time=2017-05-10 12:37:34 UTC)
DependencyVersion(version=0.4.4, time=2017-07-29 22:35:34 UTC)
DependencyVersion(version=1.0.0, time=2017-08-01 20:47:53 UTC)
DependencyVersion(version=1.0.1, time=2017-08-06 02:53:31 UTC)
DependencyVersion(version=1.0.2, time=2017-08-09 12:55:50 UTC)
DependencyVersion(version=1.0.3, time=2018-06-02 18:42:13 UTC)
DependencyVersion(version=1.0.4, time=2018-10-04 05:45:07 UTC)
DependencyVersion(version=1.0.5, time=2018-10-12 13:05:19 UTC)
DependencyVersion(version=2.0.0, time=2018-11-07 14:25:41 UTC)
DependencyVersion(version=2.1.0, time=2018-12-13 15:13:40 UTC)
