
Project information
@risingstack/opentracing-metrics-tracer (2500840)	eslint-config-airbnb-base (1390825)	Package Manager: NPM
RepoID: 28098574
Repo Owner/Name: RisingStack/opentracing-metrics-tracer
Repository type: GitHub

 https://github.com/RisingStack/opentracing-metrics-tracer/commit/

Tag information:
CommitInfo{repo='GitHub', hash='af0789963a4f8d437fd52383cfff24e2e49d845c', version='v1.0.0'} 	https://github.com/RisingStack/opentracing-metrics-tracer/commit/af0789963a4f8d437fd52383cfff24e2e49d845c
CommitInfo{repo='GitHub', hash='a57262104106dc89df660351160f83c99d9926a1', version='v1.1.0'} 	https://github.com/RisingStack/opentracing-metrics-tracer/commit/a57262104106dc89df660351160f83c99d9926a1
CommitInfo{repo='GitHub', hash='585b06f03fc85c61943a059a518327a6e935c4c6', version='v1.2.0'} 	https://github.com/RisingStack/opentracing-metrics-tracer/commit/585b06f03fc85c61943a059a518327a6e935c4c6
CommitInfo{repo='GitHub', hash='78a8ba8c3194e11ddc279f9d5c1af8dbed001bf4', version='v1.3.0'} 	https://github.com/RisingStack/opentracing-metrics-tracer/commit/78a8ba8c3194e11ddc279f9d5c1af8dbed001bf4
CommitInfo{repo='GitHub', hash='4a5bb72aba2c6e71e23a9bc0f7f9c6bb776c5f2f', version='v2.0.0'} 	https://github.com/RisingStack/opentracing-metrics-tracer/commit/4a5bb72aba2c6e71e23a9bc0f7f9c6bb776c5f2f

Project A:
ProjectVersionFixed(version=1.0.0, dependency=11.3.2, time=2017-09-02 17:12:25 UTC),	Latest, "DependencyVersion(version=12.0.0, time=2017-09-02 17:07:00 UTC)"

ProjectVersionFixed(version=1.1.0, dependency=11.0.0, time=2017-09-03 08:35:12 UTC),	Latest, "DependencyVersion(version=12.0.0, time=2017-09-02 17:07:00 UTC)"

ProjectVersionFixed(version=1.1.1, dependency=11.0.0, time=2017-09-03 08:39:08 UTC),	Latest, "DependencyVersion(version=12.0.0, time=2017-09-02 17:07:00 UTC)"

ProjectVersionFixed(version=1.2.0, dependency=11.0.0, time=2017-09-03 09:10:43 UTC),	Latest, "DependencyVersion(version=12.0.0, time=2017-09-02 17:07:00 UTC)"

ProjectVersionFixed(version=1.3.0, dependency=11.0.0, time=2017-09-04 10:28:02 UTC),	Latest, "DependencyVersion(version=12.0.0, time=2017-09-02 17:07:00 UTC)"

ProjectVersionFixed(version=2.0.0, dependency=11.0.0, time=2017-09-04 10:41:37 UTC),	Latest, "DependencyVersion(version=12.0.0, time=2017-09-02 17:07:00 UTC)"

ProjectVersionFixed(version=2.0.1, dependency=11.0.0, time=2017-09-04 12:19:02 UTC),	Latest, "DependencyVersion(version=12.0.0, time=2017-09-02 17:07:00 UTC)"

ProjectVersionFixed(version=2.1.0, dependency=null, time=2017-09-29 11:40:25 UTC)

Project B:
DependencyVersion(version=1.0.0, time=2016-04-19 22:09:16 UTC)
DependencyVersion(version=10.0.0, time=2016-11-06 23:36:50 UTC)
DependencyVersion(version=10.0.1, time=2016-11-07 08:55:37 UTC)
DependencyVersion(version=1.0.1, time=2016-04-20 05:21:52 UTC)
DependencyVersion(version=1.0.2, time=2016-04-20 18:20:29 UTC)
DependencyVersion(version=1.0.3, time=2016-04-22 06:42:49 UTC)
DependencyVersion(version=1.0.4, time=2016-04-26 09:11:59 UTC)
DependencyVersion(version=11.0.0, time=2016-12-12 07:15:16 UTC)
DependencyVersion(version=11.0.1, time=2017-01-08 23:04:58 UTC)
DependencyVersion(version=11.1.0, time=2017-02-05 18:40:43 UTC)
DependencyVersion(version=11.1.1, time=2017-03-03 22:12:25 UTC)
DependencyVersion(version=11.1.2, time=2017-03-26 02:20:17 UTC)
DependencyVersion(version=11.1.3, time=2017-04-03 23:06:17 UTC)
DependencyVersion(version=11.2.0, time=2017-05-14 23:57:51 UTC)
DependencyVersion(version=11.3.0, time=2017-07-24 04:51:09 UTC)
DependencyVersion(version=11.3.1, time=2017-07-24 19:14:32 UTC)
DependencyVersion(version=11.3.2, time=2017-08-22 23:00:14 UTC)
DependencyVersion(version=12.0.0, time=2017-09-02 17:07:00 UTC)
DependencyVersion(version=12.0.1, time=2017-09-27 20:53:05 UTC)
DependencyVersion(version=12.0.2, time=2017-10-05 07:22:17 UTC)
DependencyVersion(version=12.1.0, time=2017-10-16 18:57:50 UTC)
DependencyVersion(version=13.0.0, time=2018-06-21 22:16:05 UTC)
DependencyVersion(version=13.1.0, time=2018-08-13 08:03:49 UTC)
DependencyVersion(version=2.0.0, time=2016-04-30 07:04:58 UTC)
DependencyVersion(version=3.0.0, time=2016-05-07 18:05:14 UTC)
DependencyVersion(version=3.0.1, time=2016-05-08 21:58:17 UTC)
DependencyVersion(version=4.0.0, time=2016-07-05 20:03:18 UTC)
DependencyVersion(version=4.0.1, time=2016-07-15 04:37:48 UTC)
DependencyVersion(version=4.0.2, time=2016-07-15 05:38:44 UTC)
DependencyVersion(version=5.0.0, time=2016-07-24 17:30:24 UTC)
DependencyVersion(version=5.0.1, time=2016-07-30 00:36:08 UTC)
DependencyVersion(version=5.0.2, time=2016-08-12 22:46:55 UTC)
DependencyVersion(version=5.0.3, time=2016-08-22 06:31:44 UTC)
DependencyVersion(version=6.0.0, time=2016-09-06 18:06:54 UTC)
DependencyVersion(version=7.0.0, time=2016-09-06 22:35:06 UTC)
DependencyVersion(version=7.0.1, time=2016-09-10 21:45:43 UTC)
DependencyVersion(version=7.1.0, time=2016-09-11 21:12:39 UTC)
DependencyVersion(version=7.2.0, time=2016-09-24 05:34:35 UTC)
DependencyVersion(version=8.0.0, time=2016-09-24 21:30:00 UTC)
DependencyVersion(version=9.0.0, time=2016-10-17 06:57:25 UTC)
