
Project information
kujsnewsuperpackagebrowser (2539015)	hark (156464)	Package Manager: NPM
RepoID: null
Tag information:

Project A:
ProjectVersionFixed(version=1.0.2, dependency=1.1.6, time=2017-11-13 12:29:12 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.3, dependency=1.1.6, time=2017-11-13 12:29:43 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.4, dependency=1.1.6, time=2017-11-13 12:30:30 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.5, dependency=1.1.6, time=2017-11-14 11:04:31 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.11, dependency=1.1.6, time=2017-11-13 12:01:36 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.44, dependency=1.1.6, time=2017-11-14 10:22:43 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.55, dependency=1.1.3, time=2017-11-14 11:27:24 UTC),	Latest, "DependencyVersion(version=1.1.6, time=2017-09-26 15:56:06 UTC)"

ProjectVersionFixed(version=1.0.444, dependency=1.1.6, time=2017-11-14 10:29:41 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.555, dependency=1.1.3, time=2017-11-14 11:48:12 UTC),	Latest, "DependencyVersion(version=1.1.6, time=2017-09-26 15:56:06 UTC)"

ProjectVersionFixed(version=1.0.556, dependency=1.1.3, time=2017-11-14 11:54:21 UTC),	Latest, "DependencyVersion(version=1.1.6, time=2017-09-26 15:56:06 UTC)"


Project B:
DependencyVersion(version=0.0.1, time=2013-06-29 09:24:44 UTC)
DependencyVersion(version=0.1.0, time=2013-06-29 16:13:08 UTC)
DependencyVersion(version=0.1.1, time=2013-07-01 20:10:20 UTC)
DependencyVersion(version=0.1.2, time=2014-01-27 20:51:03 UTC)
DependencyVersion(version=0.1.3, time=2014-01-27 20:59:41 UTC)
DependencyVersion(version=0.2.0, time=2014-03-06 13:45:20 UTC)
DependencyVersion(version=0.2.1, time=2014-05-22 19:51:54 UTC)
DependencyVersion(version=1.0.0, time=2014-06-05 15:56:44 UTC)
DependencyVersion(version=1.1.0, time=2014-06-10 08:45:48 UTC)
DependencyVersion(version=1.1.1, time=2014-06-10 08:51:11 UTC)
DependencyVersion(version=1.1.2, time=2015-02-17 14:53:16 UTC)
DependencyVersion(version=1.1.3, time=2015-11-20 20:02:11 UTC)
DependencyVersion(version=1.1.5, time=2017-02-06 16:19:21 UTC)
DependencyVersion(version=1.1.6, time=2017-09-26 15:56:06 UTC)
DependencyVersion(version=1.2.0, time=2018-03-15 17:23:01 UTC)
DependencyVersion(version=1.2.1, time=2018-07-16 13:28:43 UTC)
DependencyVersion(version=1.2.2, time=2018-07-16 13:30:20 UTC)
DependencyVersion(version=1.2.3, time=2018-08-25 04:17:35 UTC)
