
Project information
@laurentgoudet/ngx-cookie (2581369)	jasmine-core (161117)	Package Manager: NPM
RepoID: 21294457
Repo Owner/Name: salemdar/ngx-cookie
Repository type: GitHub

 https://github.com/salemdar/ngx-cookie/commit/

Tag information:
CommitInfo{repo='GitHub', hash='2b5a7e51dbea9b07949dd850c3784a946f1dfc6c', version='v1.0.0'} 	https://github.com/salemdar/ngx-cookie/commit/2b5a7e51dbea9b07949dd850c3784a946f1dfc6c
CommitInfo{repo='GitHub', hash='230b6640b9589b4fe030d7fb526dd0840aeea80b', version='v1.0.1'} 	https://github.com/salemdar/ngx-cookie/commit/230b6640b9589b4fe030d7fb526dd0840aeea80b
CommitInfo{repo='GitHub', hash='7fcf0014e6a2f5c07965994eafce078535e4da09', version='v2.0.1'} 	https://github.com/salemdar/ngx-cookie/commit/7fcf0014e6a2f5c07965994eafce078535e4da09
CommitInfo{repo='GitHub', hash='99fc6a0776ffab7a4dc6fc30aaac33668b43c447', version='v3.0.0'} 	https://github.com/salemdar/ngx-cookie/commit/99fc6a0776ffab7a4dc6fc30aaac33668b43c447
CommitInfo{repo='GitHub', hash='95d09944a565854aa2624c87e6495e4c090c0e41', version='v3.0.1'} 	https://github.com/salemdar/ngx-cookie/commit/95d09944a565854aa2624c87e6495e4c090c0e41
CommitInfo{repo='GitHub', hash='119c41f400eccd4dffa648c3c6c67fcab61dba8a', version='v4.0.0'} 	https://github.com/salemdar/ngx-cookie/commit/119c41f400eccd4dffa648c3c6c67fcab61dba8a
CommitInfo{repo='GitHub', hash='d6df5517a84a930288af15dc2f616b8c60600e04', version='v4.0.1'} 	https://github.com/salemdar/ngx-cookie/commit/d6df5517a84a930288af15dc2f616b8c60600e04
CommitInfo{repo='GitHub', hash='aa545384d865487f75f827fec9657db21d74b740', version='v4.1.0'} 	https://github.com/salemdar/ngx-cookie/commit/aa545384d865487f75f827fec9657db21d74b740
CommitInfo{repo='GitHub', hash='aa545384d865487f75f827fec9657db21d74b740', version='v4.1.0'} 	https://github.com/salemdar/ngx-cookie/commit/aa545384d865487f75f827fec9657db21d74b740
CommitInfo{repo='GitHub', hash='7c105df18e520f0e61cf2f5f6775d44f61749ffc', version='v4.1.1'} 	https://github.com/salemdar/ngx-cookie/commit/7c105df18e520f0e61cf2f5f6775d44f61749ffc
CommitInfo{repo='GitHub', hash='7c97205c4be1eeb8f23f663675c240d22f9b5a74', version='v4.1.2'} 	https://github.com/salemdar/ngx-cookie/commit/7c97205c4be1eeb8f23f663675c240d22f9b5a74

Project A:
ProjectVersionFixed(version=2.0.1-fesm, dependency=2.8.0, time=2017-12-05 12:56:51 UTC),	Latest, "null"

ProjectVersionFixed(version=2.0.1-fesm-2, dependency=2.5.2, time=2017-12-05 13:48:35 UTC),	Latest, "DependencyVersion(version=2.8.0, time=2017-08-24 18:54:43 UTC)"

ProjectVersionFixed(version=2.0.1-fesm-3, dependency=2.8.0, time=2017-12-05 14:21:28 UTC),	Latest, "null"

ProjectVersionFixed(version=2.0.1-fesm-4, dependency=2.8.0, time=2017-12-05 14:23:40 UTC),	Latest, "null"

ProjectVersionFixed(version=2.0.1-fesm-5, dependency=2.8.0, time=2017-12-05 14:31:47 UTC),	Latest, "null"

ProjectVersionFixed(version=2.0.1-fesm-6, dependency=2.8.0, time=2017-12-05 14:44:01 UTC),	Latest, "null"

ProjectVersionFixed(version=2.0.1-fesm-7, dependency=2.8.0, time=2017-12-05 14:56:46 UTC),	Latest, "null"

ProjectVersionFixed(version=2.0.1-fesm-8, dependency=2.8.0, time=2017-12-08 13:39:55 UTC),	Latest, "null"


Project B:
DependencyVersion(version=2.0.0, time=2014-01-24 06:35:23 UTC)
DependencyVersion(version=2.0.1, time=2014-07-21 20:53:18 UTC)
DependencyVersion(version=2.0.2, time=2014-08-23 05:28:40 UTC)
DependencyVersion(version=2.0.3, time=2014-08-23 05:49:49 UTC)
DependencyVersion(version=2.0.4, time=2014-08-25 04:15:49 UTC)
DependencyVersion(version=2.1.0, time=2014-11-14 20:59:21 UTC)
DependencyVersion(version=2.1.1, time=2014-11-15 02:46:30 UTC)
DependencyVersion(version=2.1.2, time=2014-11-16 23:07:19 UTC)
DependencyVersion(version=2.1.3, time=2014-12-01 20:48:43 UTC)
DependencyVersion(version=2.2.0, time=2015-02-02 19:40:07 UTC)
DependencyVersion(version=2.3.0, time=2015-04-28 20:39:13 UTC)
DependencyVersion(version=2.3.2, time=2015-05-07 21:02:49 UTC)
DependencyVersion(version=2.3.3, time=2015-05-11 17:57:05 UTC)
DependencyVersion(version=2.3.4, time=2015-05-13 22:03:55 UTC)
DependencyVersion(version=2.4.0, time=2015-12-03 06:23:44 UTC)
DependencyVersion(version=2.4.1, time=2015-12-04 00:08:38 UTC)
DependencyVersion(version=2.5.0, time=2016-08-31 04:51:35 UTC)
DependencyVersion(version=2.5.1, time=2016-09-07 21:56:39 UTC)
DependencyVersion(version=2.5.2, time=2016-09-17 00:24:41 UTC)
DependencyVersion(version=2.6.0, time=2017-04-24 20:42:36 UTC)
DependencyVersion(version=2.6.1, time=2017-04-26 21:32:04 UTC)
DependencyVersion(version=2.6.2, time=2017-05-18 00:30:32 UTC)
DependencyVersion(version=2.6.3, time=2017-06-07 21:00:47 UTC)
DependencyVersion(version=2.6.4, time=2017-06-16 20:43:37 UTC)
DependencyVersion(version=2.7.0, time=2017-07-28 16:28:02 UTC)
DependencyVersion(version=2.8.0, time=2017-08-24 18:54:43 UTC)
DependencyVersion(version=2.9.0, time=2018-01-18 01:32:55 UTC)
DependencyVersion(version=2.9.1, time=2018-01-20 01:54:32 UTC)
DependencyVersion(version=2.99.0, time=2018-02-06 18:39:45 UTC)
DependencyVersion(version=2.99.1, time=2018-02-07 23:09:14 UTC)
DependencyVersion(version=3.0.0, time=2018-02-06 19:48:33 UTC)
DependencyVersion(version=3.1.0, time=2018-02-27 22:15:20 UTC)
DependencyVersion(version=3.2.0, time=2018-08-09 00:48:15 UTC)
DependencyVersion(version=3.2.1, time=2018-08-15 00:26:32 UTC)
DependencyVersion(version=3.3.0, time=2018-10-25 16:58:34 UTC)
