
Project information
@laurentgoudet/ngx-cookie (2581369)	tslint-loader (796099)	Package Manager: NPM
RepoID: 21294457
Repo Owner/Name: salemdar/ngx-cookie
Repository type: GitHub

 https://github.com/salemdar/ngx-cookie/commit/

Tag information:
CommitInfo{repo='GitHub', hash='2b5a7e51dbea9b07949dd850c3784a946f1dfc6c', version='v1.0.0'} 	https://github.com/salemdar/ngx-cookie/commit/2b5a7e51dbea9b07949dd850c3784a946f1dfc6c
CommitInfo{repo='GitHub', hash='230b6640b9589b4fe030d7fb526dd0840aeea80b', version='v1.0.1'} 	https://github.com/salemdar/ngx-cookie/commit/230b6640b9589b4fe030d7fb526dd0840aeea80b
CommitInfo{repo='GitHub', hash='7fcf0014e6a2f5c07965994eafce078535e4da09', version='v2.0.1'} 	https://github.com/salemdar/ngx-cookie/commit/7fcf0014e6a2f5c07965994eafce078535e4da09
CommitInfo{repo='GitHub', hash='99fc6a0776ffab7a4dc6fc30aaac33668b43c447', version='v3.0.0'} 	https://github.com/salemdar/ngx-cookie/commit/99fc6a0776ffab7a4dc6fc30aaac33668b43c447
CommitInfo{repo='GitHub', hash='95d09944a565854aa2624c87e6495e4c090c0e41', version='v3.0.1'} 	https://github.com/salemdar/ngx-cookie/commit/95d09944a565854aa2624c87e6495e4c090c0e41
CommitInfo{repo='GitHub', hash='119c41f400eccd4dffa648c3c6c67fcab61dba8a', version='v4.0.0'} 	https://github.com/salemdar/ngx-cookie/commit/119c41f400eccd4dffa648c3c6c67fcab61dba8a
CommitInfo{repo='GitHub', hash='d6df5517a84a930288af15dc2f616b8c60600e04', version='v4.0.1'} 	https://github.com/salemdar/ngx-cookie/commit/d6df5517a84a930288af15dc2f616b8c60600e04
CommitInfo{repo='GitHub', hash='aa545384d865487f75f827fec9657db21d74b740', version='v4.1.0'} 	https://github.com/salemdar/ngx-cookie/commit/aa545384d865487f75f827fec9657db21d74b740
CommitInfo{repo='GitHub', hash='aa545384d865487f75f827fec9657db21d74b740', version='v4.1.0'} 	https://github.com/salemdar/ngx-cookie/commit/aa545384d865487f75f827fec9657db21d74b740
CommitInfo{repo='GitHub', hash='7c105df18e520f0e61cf2f5f6775d44f61749ffc', version='v4.1.1'} 	https://github.com/salemdar/ngx-cookie/commit/7c105df18e520f0e61cf2f5f6775d44f61749ffc
CommitInfo{repo='GitHub', hash='7c97205c4be1eeb8f23f663675c240d22f9b5a74', version='v4.1.2'} 	https://github.com/salemdar/ngx-cookie/commit/7c97205c4be1eeb8f23f663675c240d22f9b5a74

Project A:
ProjectVersionFixed(version=2.0.1-fesm, dependency=3.5.3, time=2017-12-05 12:56:51 UTC),	Latest, "null"

ProjectVersionFixed(version=2.0.1-fesm-2, dependency=3.4.3, time=2017-12-05 13:48:35 UTC),	Latest, "DependencyVersion(version=3.5.3, time=2017-04-22 08:32:49 UTC)"

ProjectVersionFixed(version=2.0.1-fesm-3, dependency=3.5.3, time=2017-12-05 14:21:28 UTC),	Latest, "null"

ProjectVersionFixed(version=2.0.1-fesm-4, dependency=3.5.3, time=2017-12-05 14:23:40 UTC),	Latest, "null"

ProjectVersionFixed(version=2.0.1-fesm-5, dependency=3.5.3, time=2017-12-05 14:31:47 UTC),	Latest, "null"

ProjectVersionFixed(version=2.0.1-fesm-6, dependency=3.5.3, time=2017-12-05 14:44:01 UTC),	Latest, "null"

ProjectVersionFixed(version=2.0.1-fesm-7, dependency=3.5.3, time=2017-12-05 14:56:46 UTC),	Latest, "null"

ProjectVersionFixed(version=2.0.1-fesm-8, dependency=3.5.3, time=2017-12-08 13:39:55 UTC),	Latest, "null"


Project B:
DependencyVersion(version=0.0.1, time=2015-05-21 15:46:58 UTC)
DependencyVersion(version=0.9.0, time=2015-05-22 13:43:48 UTC)
DependencyVersion(version=0.9.1, time=2015-06-25 19:56:07 UTC)
DependencyVersion(version=1.0.0, time=2015-06-30 19:42:25 UTC)
DependencyVersion(version=1.0.1, time=2015-07-09 13:27:16 UTC)
DependencyVersion(version=1.0.2, time=2015-09-14 14:50:23 UTC)
DependencyVersion(version=2.0.0, time=2015-11-24 01:38:00 UTC)
DependencyVersion(version=2.1.0, time=2015-11-25 00:23:53 UTC)
DependencyVersion(version=2.1.1, time=2016-03-03 19:11:52 UTC)
DependencyVersion(version=2.1.2, time=2016-04-24 17:39:41 UTC)
DependencyVersion(version=2.1.3, time=2016-03-06 15:36:17 UTC)
DependencyVersion(version=2.1.4, time=2016-04-24 17:49:16 UTC)
DependencyVersion(version=2.1.5, time=2016-06-20 15:45:50 UTC)
DependencyVersion(version=3.0.0, time=2016-11-22 09:15:07 UTC)
DependencyVersion(version=3.1.0, time=2016-11-22 18:55:13 UTC)
DependencyVersion(version=3.2.0, time=2016-11-22 20:22:03 UTC)
DependencyVersion(version=3.2.1, time=2016-11-30 21:01:04 UTC)
DependencyVersion(version=3.3.0, time=2016-12-04 11:00:14 UTC)
DependencyVersion(version=3.4.0, time=2017-02-12 14:18:37 UTC)
DependencyVersion(version=3.4.1, time=2017-02-12 15:40:56 UTC)
DependencyVersion(version=3.4.2, time=2017-02-12 20:12:19 UTC)
DependencyVersion(version=3.4.3, time=2017-03-02 08:22:16 UTC)
DependencyVersion(version=3.5.1, time=2017-04-06 17:04:12 UTC)
DependencyVersion(version=3.5.2, time=2017-04-08 10:17:50 UTC)
DependencyVersion(version=3.5.3, time=2017-04-22 08:32:49 UTC)
DependencyVersion(version=3.5.4, time=2018-10-09 14:52:46 UTC)
DependencyVersion(version=3.6.0, time=2018-03-01 10:14:48 UTC)
