
Project information
ace (260289)	babel-plugin-transform-async-to-generator (1064332)	Package Manager: NPM
RepoID: 123470
Tag information:

Project A:
ProjectVersionFixed(version=0.0.1, dependency=null, time=2011-08-03 15:18:35 UTC)
ProjectVersionFixed(version=0.0.2, dependency=null, time=2012-02-26 18:40:47 UTC)
ProjectVersionFixed(version=0.1.0, dependency=6.7.0, time=2016-04-21 22:11:16 UTC),	Latest, "DependencyVersion(version=6.7.4, time=2016-03-23 03:37:49 UTC)"

ProjectVersionFixed(version=0.1.1, dependency=6.7.0, time=2016-04-21 22:40:59 UTC),	Latest, "DependencyVersion(version=6.7.4, time=2016-03-23 03:37:49 UTC)"

ProjectVersionFixed(version=0.1.2, dependency=6.7.0, time=2016-04-21 22:43:50 UTC),	Latest, "DependencyVersion(version=6.7.4, time=2016-03-23 03:37:49 UTC)"

ProjectVersionFixed(version=0.1.3, dependency=6.7.0, time=2016-04-21 23:00:36 UTC),	Latest, "DependencyVersion(version=6.7.4, time=2016-03-23 03:37:49 UTC)"

ProjectVersionFixed(version=0.1.4, dependency=6.7.0, time=2016-04-21 23:24:03 UTC),	Latest, "DependencyVersion(version=6.7.4, time=2016-03-23 03:37:49 UTC)"

ProjectVersionFixed(version=0.2.0, dependency=6.7.0, time=2016-04-23 18:50:15 UTC),	Latest, "DependencyVersion(version=6.7.4, time=2016-03-23 03:37:49 UTC)"

ProjectVersionFixed(version=0.3.0, dependency=6.7.0, time=2016-04-24 02:44:20 UTC),	Latest, "DependencyVersion(version=6.7.4, time=2016-03-23 03:37:49 UTC)"

ProjectVersionFixed(version=0.3.1, dependency=6.7.0, time=2016-04-24 18:22:34 UTC),	Latest, "DependencyVersion(version=6.7.4, time=2016-03-23 03:37:49 UTC)"

ProjectVersionFixed(version=0.3.2, dependency=6.7.0, time=2016-04-25 20:55:12 UTC),	Latest, "DependencyVersion(version=6.7.4, time=2016-03-23 03:37:49 UTC)"

ProjectVersionFixed(version=0.3.3, dependency=6.7.0, time=2016-04-29 18:30:43 UTC),	Latest, "DependencyVersion(version=6.7.4, time=2016-03-23 03:37:49 UTC)"

ProjectVersionFixed(version=1.0.0, dependency=6.8.0, time=2016-05-15 18:21:04 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.1, dependency=6.8.0, time=2016-05-15 20:30:45 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.2, dependency=6.7.0, time=2016-05-15 20:50:03 UTC),	Latest, "DependencyVersion(version=6.8.0, time=2016-05-02 23:44:29 UTC)"

ProjectVersionFixed(version=1.0.3, dependency=6.7.0, time=2016-06-03 20:22:50 UTC),	Latest, "DependencyVersion(version=6.8.0, time=2016-05-02 23:44:29 UTC)"

ProjectVersionFixed(version=1.1.0, dependency=6.7.0, time=2016-06-17 22:06:12 UTC),	Latest, "DependencyVersion(version=6.8.0, time=2016-05-02 23:44:29 UTC)"

ProjectVersionFixed(version=1.2.0, dependency=6.7.0, time=2016-06-25 21:12:14 UTC),	Latest, "DependencyVersion(version=6.8.0, time=2016-05-02 23:44:29 UTC)"

ProjectVersionFixed(version=1.3.0, dependency=6.7.0, time=2016-07-18 21:36:49 UTC),	Latest, "DependencyVersion(version=6.8.0, time=2016-05-02 23:44:29 UTC)"


Project B:
DependencyVersion(version=6.0.14, time=2015-10-30 23:35:53 UTC)
DependencyVersion(version=6.0.2, time=2015-10-29 18:12:14 UTC)
DependencyVersion(version=6.1.10, time=2015-11-12 07:54:36 UTC)
DependencyVersion(version=6.1.13, time=2015-11-12 19:59:16 UTC)
DependencyVersion(version=6.1.17, time=2015-11-12 21:41:46 UTC)
DependencyVersion(version=6.1.18, time=2015-11-12 21:49:01 UTC)
DependencyVersion(version=6.1.4, time=2015-11-11 10:14:31 UTC)
DependencyVersion(version=6.1.5, time=2015-11-12 06:54:51 UTC)
DependencyVersion(version=6.16.0, time=2016-09-28 19:38:54 UTC)
DependencyVersion(version=6.22.0, time=2017-01-20 00:33:46 UTC)
DependencyVersion(version=6.2.4, time=2015-11-25 03:14:00 UTC)
DependencyVersion(version=6.24.1, time=2017-04-07 15:19:37 UTC)
DependencyVersion(version=6.3.0, time=2015-11-30 22:58:50 UTC)
DependencyVersion(version=6.3.13, time=2015-12-04 11:58:39 UTC)
DependencyVersion(version=6.4.0, time=2016-01-06 20:34:29 UTC)
DependencyVersion(version=6.4.5, time=2016-01-19 23:02:51 UTC)
DependencyVersion(version=6.4.6, time=2016-01-20 08:59:01 UTC)
DependencyVersion(version=6.5.0, time=2016-02-07 00:07:25 UTC)
DependencyVersion(version=6.5.0-1, time=2016-02-07 02:40:16 UTC)
DependencyVersion(version=6.7.0, time=2016-03-09 00:52:56 UTC)
DependencyVersion(version=6.7.4, time=2016-03-23 03:37:49 UTC)
DependencyVersion(version=6.8.0, time=2016-05-02 23:44:29 UTC)
DependencyVersion(version=7.0.0-alpha.1, time=2017-03-02 21:06:00 UTC)
DependencyVersion(version=7.0.0-alpha.10, time=2017-05-25 19:17:54 UTC)
DependencyVersion(version=7.0.0-alpha.11, time=2017-05-31 20:44:01 UTC)
DependencyVersion(version=7.0.0-alpha.12, time=2017-05-31 21:12:16 UTC)
DependencyVersion(version=7.0.0-alpha.14, time=2017-07-12 02:54:30 UTC)
DependencyVersion(version=7.0.0-alpha.15, time=2017-07-12 03:36:47 UTC)
DependencyVersion(version=7.0.0-alpha.16, time=2017-07-25 21:36:29 UTC)
DependencyVersion(version=7.0.0-alpha.17, time=2017-07-26 12:40:18 UTC)
DependencyVersion(version=7.0.0-alpha.18, time=2017-08-03 22:21:45 UTC)
DependencyVersion(version=7.0.0-alpha.19, time=2017-08-07 22:22:29 UTC)
DependencyVersion(version=7.0.0-alpha.20, time=2017-08-30 19:05:03 UTC)
DependencyVersion(version=7.0.0-alpha.3, time=2017-03-23 19:49:57 UTC)
DependencyVersion(version=7.0.0-alpha.7, time=2017-04-05 21:14:33 UTC)
DependencyVersion(version=7.0.0-alpha.8, time=2017-04-17 19:13:24 UTC)
DependencyVersion(version=7.0.0-alpha.9, time=2017-04-18 14:42:33 UTC)
DependencyVersion(version=7.0.0-beta.0, time=2017-09-12 03:03:19 UTC)
DependencyVersion(version=7.0.0-beta.1, time=2017-09-19 20:25:02 UTC)
DependencyVersion(version=7.0.0-beta.2, time=2017-09-26 15:16:28 UTC)
DependencyVersion(version=7.0.0-beta.3, time=2017-10-15 13:12:49 UTC)
