
Project information
paginacao_ngx (2634735)	karma-jasmine (163505)	Package Manager: NPM
RepoID: null
Tag information:

Project A:
ProjectVersionFixed(version=1.0.0, dependency=1.1.0, time=2018-01-31 12:34:29 UTC),	Latest, "DependencyVersion(version=1.1.1, time=2017-12-01 05:12:13 UTC)"

ProjectVersionFixed(version=1.2.0, dependency=1.1.0, time=2018-01-31 15:27:55 UTC),	Latest, "DependencyVersion(version=1.1.1, time=2017-12-01 05:12:13 UTC)"

ProjectVersionFixed(version=2.0.2, dependency=1.0.2, time=2018-01-31 15:47:41 UTC),	Latest, "DependencyVersion(version=1.1.1, time=2017-12-01 05:12:13 UTC)"

ProjectVersionFixed(version=2.0.9, dependency=1.0.2, time=2018-01-31 15:48:51 UTC),	Latest, "DependencyVersion(version=1.1.1, time=2017-12-01 05:12:13 UTC)"


Project B:
DependencyVersion(version=0.0.1, time=2013-03-19 22:43:59 UTC)
DependencyVersion(version=0.0.2, time=2013-07-05 23:13:16 UTC)
DependencyVersion(version=0.0.3, time=2013-07-19 02:20:16 UTC)
DependencyVersion(version=0.1.0, time=2013-08-06 09:21:57 UTC)
DependencyVersion(version=0.1.1, time=2013-08-21 21:44:48 UTC)
DependencyVersion(version=0.1.2, time=2013-08-22 06:55:29 UTC)
DependencyVersion(version=0.1.3, time=2013-08-25 06:55:23 UTC)
DependencyVersion(version=0.1.4, time=2013-12-07 18:31:21 UTC)
DependencyVersion(version=0.1.5, time=2013-12-19 07:55:45 UTC)
DependencyVersion(version=0.1.6, time=2015-07-15 18:49:49 UTC)
DependencyVersion(version=0.2.0, time=2014-02-15 01:00:53 UTC)
DependencyVersion(version=0.2.1, time=2014-02-15 08:06:56 UTC)
DependencyVersion(version=0.2.2, time=2014-03-13 06:56:38 UTC)
DependencyVersion(version=0.2.3, time=2014-10-31 22:56:41 UTC)
DependencyVersion(version=0.3.0, time=2014-11-17 16:14:44 UTC)
DependencyVersion(version=0.3.1, time=2014-11-21 23:55:55 UTC)
DependencyVersion(version=0.3.2, time=2014-11-28 23:56:09 UTC)
DependencyVersion(version=0.3.3, time=2014-12-23 23:57:05 UTC)
DependencyVersion(version=0.3.4, time=2015-01-04 23:57:31 UTC)
DependencyVersion(version=0.3.5, time=2015-01-18 23:58:01 UTC)
DependencyVersion(version=0.3.6, time=2015-06-30 15:53:26 UTC)
DependencyVersion(version=0.3.7, time=2016-02-01 11:13:07 UTC)
DependencyVersion(version=0.3.8, time=2016-03-16 20:21:32 UTC)
DependencyVersion(version=1.0.0, time=2016-05-03 18:17:19 UTC)
DependencyVersion(version=1.0.2, time=2016-05-04 01:47:49 UTC)
DependencyVersion(version=1.1.0, time=2016-12-09 12:59:00 UTC)
DependencyVersion(version=1.1.1, time=2017-12-01 05:12:13 UTC)
DependencyVersion(version=1.1.2, time=2018-05-02 20:34:33 UTC)
DependencyVersion(version=2.0.0, time=2018-11-15 00:43:34 UTC)
DependencyVersion(version=2.0.1, time=2018-11-17 00:35:18 UTC)
