
Project information
angular-xxl (2637623)	stryker-babel-transpiler (2551626)	Package Manager: NPM
RepoID: 32774736
Tag information:
CommitInfo{repo='GitHub', hash='58e027e73eb3e49c22ef1bc839c0d1e38d580ef7', version='v1.0.2'}

Project A:
ProjectVersionFixed(version=1.0.0, dependency=null, time=2018-02-03 19:28:09 UTC)
ProjectVersionFixed(version=1.0.1, dependency=null, time=2018-02-03 19:32:08 UTC)
ProjectVersionFixed(version=1.0.2, dependency=0.7.10, time=2018-12-08 12:14:23 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.3, dependency=0.7.11, time=2018-12-18 12:40:12 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.4, dependency=0.7.10, time=2018-12-18 14:07:54 UTC),	Latest, "DependencyVersion(version=0.7.11, time=2018-12-12 16:03:03 UTC)"

ProjectVersionFixed(version=1.0.5, dependency=0.7.10, time=2018-12-18 14:19:50 UTC),	Latest, "DependencyVersion(version=0.7.11, time=2018-12-12 16:03:03 UTC)"

ProjectVersionFixed(version=1.0.7, dependency=0.7.11, time=2018-12-18 14:51:18 UTC),	Latest, "null"


Project B:
DependencyVersion(version=0.2.1, time=2017-12-01 15:49:05 UTC)
DependencyVersion(version=0.2.2, time=2017-12-05 18:16:42 UTC)
DependencyVersion(version=0.2.3, time=2017-12-21 14:08:04 UTC)
DependencyVersion(version=0.2.4, time=2018-01-15 14:01:29 UTC)
DependencyVersion(version=0.3.0, time=2018-02-07 08:27:11 UTC)
DependencyVersion(version=0.3.1, time=2018-02-07 11:29:05 UTC)
DependencyVersion(version=0.3.2, time=2018-03-21 06:45:29 UTC)
DependencyVersion(version=0.3.3, time=2018-03-22 06:48:38 UTC)
DependencyVersion(version=0.3.4, time=2018-03-22 07:24:33 UTC)
DependencyVersion(version=0.4.0, time=2018-04-04 12:21:07 UTC)
DependencyVersion(version=0.4.1, time=2018-04-11 13:19:31 UTC)
DependencyVersion(version=0.4.2, time=2018-04-20 12:02:55 UTC)
DependencyVersion(version=0.5.0, time=2018-04-30 14:46:16 UTC)
DependencyVersion(version=0.5.1, time=2018-05-21 09:02:49 UTC)
DependencyVersion(version=0.5.2, time=2018-05-31 11:14:35 UTC)
DependencyVersion(version=0.5.3, time=2018-07-04 06:43:22 UTC)
DependencyVersion(version=0.6.0, time=2018-07-20 08:28:17 UTC)
DependencyVersion(version=0.6.1, time=2018-08-03 13:15:16 UTC)
DependencyVersion(version=0.6.2, time=2018-08-17 11:04:25 UTC)
DependencyVersion(version=0.6.3, time=2018-08-17 12:02:27 UTC)
DependencyVersion(version=0.7.0, time=2018-08-19 19:29:13 UTC)
DependencyVersion(version=0.7.1, time=2018-08-21 22:11:59 UTC)
DependencyVersion(version=0.7.10, time=2018-11-29 16:25:46 UTC)
DependencyVersion(version=0.7.11, time=2018-12-12 16:03:03 UTC)
DependencyVersion(version=0.7.2, time=2018-09-14 09:54:03 UTC)
DependencyVersion(version=0.7.3, time=2018-09-30 17:37:23 UTC)
DependencyVersion(version=0.7.4, time=2018-10-03 08:05:20 UTC)
DependencyVersion(version=0.7.5, time=2018-10-15 08:52:25 UTC)
DependencyVersion(version=0.7.6, time=2018-10-15 09:40:28 UTC)
DependencyVersion(version=0.7.7, time=2018-11-07 07:49:15 UTC)
DependencyVersion(version=0.7.8, time=2018-11-13 21:14:23 UTC)
DependencyVersion(version=0.7.9, time=2018-11-29 15:47:13 UTC)
