
Project information
@bilue/react-scripts (2650679)	chalk (134974)	Package Manager: NPM
RepoID: null
Tag information:

Project A:
ProjectVersionFixed(version=0.8.0, dependency=2.3.0, time=2018-02-11 23:18:22 UTC),	Latest, "DependencyVersion(version=2.3.1, time=2018-02-11 13:18:28 UTC)"

ProjectVersionFixed(version=0.9.0, dependency=1.1.3, time=2018-02-12 05:45:13 UTC),	Latest, "DependencyVersion(version=2.3.1, time=2018-02-11 13:18:28 UTC)"

ProjectVersionFixed(version=0.10.0, dependency=1.1.3, time=2018-02-12 05:48:10 UTC),	Latest, "DependencyVersion(version=2.3.1, time=2018-02-11 13:18:28 UTC)"

ProjectVersionFixed(version=0.11.0, dependency=1.1.3, time=2018-02-12 06:03:59 UTC),	Latest, "DependencyVersion(version=2.3.1, time=2018-02-11 13:18:28 UTC)"


Project B:
DependencyVersion(version=0.1.0, time=2013-08-03 00:21:59 UTC)
DependencyVersion(version=0.1.1, time=2013-08-03 01:38:53 UTC)
DependencyVersion(version=0.2.0, time=2013-08-03 16:48:31 UTC)
DependencyVersion(version=0.2.1, time=2013-08-29 14:15:49 UTC)
DependencyVersion(version=0.3.0, time=2013-10-19 15:58:20 UTC)
DependencyVersion(version=0.4.0, time=2013-12-13 19:30:32 UTC)
DependencyVersion(version=0.5.0, time=2014-07-04 21:23:48 UTC)
DependencyVersion(version=0.5.1, time=2014-07-09 20:24:36 UTC)
DependencyVersion(version=1.0.0, time=2015-02-23 07:41:35 UTC)
DependencyVersion(version=1.1.0, time=2015-07-01 13:32:13 UTC)
DependencyVersion(version=1.1.1, time=2015-08-19 20:10:58 UTC)
DependencyVersion(version=1.1.2, time=2016-03-28 23:32:04 UTC)
DependencyVersion(version=1.1.3, time=2016-03-29 00:16:44 UTC)
DependencyVersion(version=2.0.0, time=2017-06-29 23:49:22 UTC)
DependencyVersion(version=2.0.1, time=2017-06-30 03:26:46 UTC)
DependencyVersion(version=2.1.0, time=2017-08-07 03:56:43 UTC)
DependencyVersion(version=2.2.0, time=2017-10-18 03:15:41 UTC)
DependencyVersion(version=2.2.2, time=2017-10-24 03:20:46 UTC)
DependencyVersion(version=2.3.0, time=2017-10-24 04:12:55 UTC)
DependencyVersion(version=2.3.1, time=2018-02-11 13:18:28 UTC)
DependencyVersion(version=2.3.2, time=2018-03-02 17:43:52 UTC)
DependencyVersion(version=2.4.0, time=2018-04-17 04:28:37 UTC)
DependencyVersion(version=2.4.1, time=2018-04-26 05:15:51 UTC)
