
Project information
git-ms (2689824)	babel-plugin-module-resolver (1608834)	Package Manager: NPM
RepoID: 33999521
Repo Owner/Name: null
Repository type: null

 

Tag information:

Project A:
ProjectVersionFixed(version=0.0.0, dependency=2.7.1, time=2018-03-12 21:14:55 UTC),	Latest, "DependencyVersion(version=3.1.0, time=2018-02-14 06:38:53 UTC)"

ProjectVersionFixed(version=1.0.0, dependency=null, time=2018-03-19 20:09:04 UTC)
ProjectVersionFixed(version=1.0.1, dependency=2.7.1, time=2018-06-11 07:33:05 UTC),	Latest, "DependencyVersion(version=3.1.1, time=2018-03-24 18:45:08 UTC)"

ProjectVersionFixed(version=1.0.2, dependency=3.1.1, time=2018-06-12 12:10:10 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.3, dependency=2.7.1, time=2018-06-12 12:50:57 UTC),	Latest, "DependencyVersion(version=3.1.1, time=2018-03-24 18:45:08 UTC)"

ProjectVersionFixed(version=1.0.4, dependency=2.7.1, time=2018-06-14 14:47:25 UTC),	Latest, "DependencyVersion(version=3.1.1, time=2018-03-24 18:45:08 UTC)"

ProjectVersionFixed(version=1.0.5, dependency=2.7.1, time=2018-06-14 14:50:51 UTC),	Latest, "DependencyVersion(version=3.1.1, time=2018-03-24 18:45:08 UTC)"

ProjectVersionFixed(version=1.0.6, dependency=2.7.1, time=2018-06-14 17:00:30 UTC),	Latest, "DependencyVersion(version=3.1.1, time=2018-03-24 18:45:08 UTC)"

ProjectVersionFixed(version=1.0.7, dependency=2.7.1, time=2018-06-22 08:10:31 UTC),	Latest, "DependencyVersion(version=3.1.1, time=2018-03-24 18:45:08 UTC)"

ProjectVersionFixed(version=1.1.7, dependency=2.7.1, time=2018-06-25 10:01:20 UTC),	Latest, "DependencyVersion(version=3.1.1, time=2018-03-24 18:45:08 UTC)"

ProjectVersionFixed(version=1.2.0, dependency=2.7.1, time=2018-06-25 11:54:08 UTC),	Latest, "DependencyVersion(version=3.1.1, time=2018-03-24 18:45:08 UTC)"

ProjectVersionFixed(version=1.2.1, dependency=2.7.1, time=2018-07-31 15:43:09 UTC),	Latest, "DependencyVersion(version=3.1.1, time=2018-03-24 18:45:08 UTC)"


Project B:
DependencyVersion(version=0.0.1, time=2016-08-14 17:32:28 UTC)
DependencyVersion(version=2.0.0, time=2016-08-14 18:00:13 UTC)
DependencyVersion(version=2.1.0, time=2016-08-19 02:17:34 UTC)
DependencyVersion(version=2.1.1, time=2016-08-22 22:20:02 UTC)
DependencyVersion(version=2.2.0, time=2016-08-27 20:06:27 UTC)
DependencyVersion(version=2.3.0, time=2016-11-06 22:34:45 UTC)
DependencyVersion(version=2.4.0, time=2016-11-30 11:27:19 UTC)
DependencyVersion(version=2.5.0, time=2017-02-05 17:22:00 UTC)
DependencyVersion(version=2.6.0, time=2017-03-29 04:37:40 UTC)
DependencyVersion(version=2.6.1, time=2017-03-29 19:33:09 UTC)
DependencyVersion(version=2.6.2, time=2017-03-30 23:15:04 UTC)
DependencyVersion(version=2.7.0, time=2017-03-30 23:40:56 UTC)
DependencyVersion(version=2.7.1, time=2017-05-16 22:22:14 UTC)
DependencyVersion(version=3.0.0, time=2017-11-08 06:09:22 UTC)
DependencyVersion(version=3.0.0-beta.0, time=2017-04-23 22:59:58 UTC)
DependencyVersion(version=3.0.0-beta.1, time=2016-10-10 20:32:29 UTC)
DependencyVersion(version=3.0.0-beta.2, time=2017-05-16 21:57:53 UTC)
DependencyVersion(version=3.0.0-beta.3, time=2017-05-16 22:09:37 UTC)
DependencyVersion(version=3.0.0-beta.4, time=2017-07-10 16:47:10 UTC)
DependencyVersion(version=3.0.0-beta.5, time=2017-08-17 05:03:16 UTC)
DependencyVersion(version=3.1.0, time=2018-02-14 06:38:53 UTC)
DependencyVersion(version=3.1.1, time=2018-03-24 18:45:08 UTC)
