
Project information
mobx-scripts (3056946)	sw-precache-webpack-plugin (1513686)	Package Manager: NPM
RepoID: 36225990
Tag information:

Project A:
ProjectVersionFixed(version=1.0.1, dependency=0.11.5, time=2018-06-25 16:46:00 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.2, dependency=0.11.5, time=2018-06-25 16:52:16 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.3, dependency=0.11.5, time=2018-06-25 16:58:24 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.4, dependency=0.11.5, time=2018-06-25 17:01:29 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.1, dependency=0.11.5, time=2018-06-26 07:51:31 UTC),	Latest, "null"

ProjectVersionFixed(version=1.2.1, dependency=0.11.5, time=2018-06-26 09:41:37 UTC),	Latest, "null"

ProjectVersionFixed(version=1.2.2, dependency=0.11.5, time=2018-06-26 09:49:09 UTC),	Latest, "null"

ProjectVersionFixed(version=1.2.3, dependency=0.11.4, time=2018-06-26 12:23:41 UTC),	Latest, "DependencyVersion(version=0.11.5, time=2018-03-08 22:53:44 UTC)"

ProjectVersionFixed(version=1.2.4, dependency=0.11.4, time=2018-06-26 12:26:55 UTC),	Latest, "DependencyVersion(version=0.11.5, time=2018-03-08 22:53:44 UTC)"

ProjectVersionFixed(version=1.2.5, dependency=0.11.4, time=2018-06-26 12:56:23 UTC),	Latest, "DependencyVersion(version=0.11.5, time=2018-03-08 22:53:44 UTC)"


Project B:
DependencyVersion(version=0.1.0, time=2016-05-29 04:56:12 UTC)
DependencyVersion(version=0.10.0, time=2017-04-26 18:33:06 UTC)
DependencyVersion(version=0.10.1, time=2017-04-26 18:48:36 UTC)
DependencyVersion(version=0.1.1, time=2016-05-29 05:33:59 UTC)
DependencyVersion(version=0.11.0, time=2017-05-02 21:27:02 UTC)
DependencyVersion(version=0.11.1, time=2017-05-31 17:13:14 UTC)
DependencyVersion(version=0.11.2, time=2017-05-31 18:24:46 UTC)
DependencyVersion(version=0.11.3, time=2017-06-02 16:21:26 UTC)
DependencyVersion(version=0.11.4, time=2017-07-06 16:04:24 UTC)
DependencyVersion(version=0.11.5, time=2018-03-08 22:53:44 UTC)
DependencyVersion(version=0.2.0, time=2016-05-29 21:31:55 UTC)
DependencyVersion(version=0.2.1, time=2016-05-29 21:38:09 UTC)
DependencyVersion(version=0.2.2, time=2016-05-31 17:36:37 UTC)
DependencyVersion(version=0.2.3, time=2016-06-01 20:25:48 UTC)
DependencyVersion(version=0.2.4, time=2016-06-17 03:00:04 UTC)
DependencyVersion(version=0.3.0, time=2016-06-17 16:14:26 UTC)
DependencyVersion(version=0.3.1, time=2016-06-25 23:43:40 UTC)
DependencyVersion(version=0.4.0, time=2016-08-23 00:14:54 UTC)
DependencyVersion(version=0.5.0, time=2016-09-13 03:59:29 UTC)
DependencyVersion(version=0.5.1, time=2016-09-25 00:40:30 UTC)
DependencyVersion(version=0.6.0, time=2016-11-15 19:04:08 UTC)
DependencyVersion(version=0.6.1, time=2016-11-18 05:00:46 UTC)
DependencyVersion(version=0.6.2, time=2016-11-20 20:30:19 UTC)
DependencyVersion(version=0.6.3, time=2016-11-22 22:03:39 UTC)
DependencyVersion(version=0.7.0, time=2016-12-07 04:45:27 UTC)
DependencyVersion(version=0.7.1, time=2016-12-29 17:34:14 UTC)
DependencyVersion(version=0.7.2, time=2017-01-18 18:18:44 UTC)
DependencyVersion(version=0.8.0, time=2017-01-25 18:22:19 UTC)
DependencyVersion(version=0.9.0, time=2017-02-06 17:36:24 UTC)
DependencyVersion(version=0.9.1, time=2017-03-10 01:31:16 UTC)
DependencyVersion(version=0.9.2, time=2017-05-19 19:34:33 UTC)
