
Project information
kai-react-scripts-next (3193837)	style-loader (319230)	Package Manager: NPM
RepoID: 36393610
Tag information:

Project A:
ProjectVersionFixed(version=1.0.0-r2, dependency=0.21.0, time=2018-07-31 19:13:56 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-r1, dependency=0.21.0, time=2018-07-31 18:46:23 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0--r1, dependency=0.21.0, time=2018-08-01 19:14:29 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0--r2.1, dependency=0.21.0, time=2018-08-01 19:25:04 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0--r2, dependency=0.21.0, time=2018-08-01 19:17:15 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0--r2.2, dependency=0.21.0, time=2018-08-01 19:27:35 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-r1.0, dependency=null, time=2018-07-31 21:20:45 UTC)
ProjectVersionFixed(version=1.1.0-r1.1, dependency=0.21.0, time=2018-07-31 21:24:06 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-r2.1, dependency=0.21.0, time=2018-07-31 21:42:48 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-r3.1, dependency=0.21.0, time=2018-07-31 22:08:06 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-r1.2, dependency=0.21.0, time=2018-07-31 21:26:01 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-r2, dependency=0.21.0, time=2018-07-31 21:41:12 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0--r2.3, dependency=0.21.0, time=2018-08-01 21:51:07 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-r2.2, dependency=0.21.0, time=2018-07-31 21:52:40 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0--r3, dependency=null, time=2018-08-02 17:55:59 UTC)
ProjectVersionFixed(version=1.1.0--r2.4, dependency=null, time=2018-08-01 21:54:10 UTC)
ProjectVersionFixed(version=1.1.0-r4.1, dependency=0.21.0, time=2018-08-01 00:04:30 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-r5.1, dependency=0.21.0, time=2018-08-01 18:56:22 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-r3.2, dependency=0.21.0, time=2018-07-31 22:10:52 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-r4.2, dependency=0.21.0, time=2018-08-01 18:48:39 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-r3, dependency=null, time=2018-07-31 22:03:19 UTC)
ProjectVersionFixed(version=1.1.0-r3.3, dependency=0.21.0, time=2018-07-31 23:05:43 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-r4.3, dependency=0.21.0, time=2018-08-01 18:50:00 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-r3.4, dependency=0.21.0, time=2018-07-31 23:06:36 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-r4, dependency=0.21.0, time=2018-08-01 00:01:59 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-r4.4, dependency=0.21.0, time=2018-08-01 18:51:35 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-r3.5, dependency=0.21.0, time=2018-07-31 23:28:25 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-r5, dependency=0.21.0, time=2018-08-01 18:52:05 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-r3.6, dependency=0.21.0, time=2018-07-31 23:35:44 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-r3.7, dependency=0.21.0, time=2018-07-31 23:45:16 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.0-r3.8, dependency=0.21.0, time=2018-07-31 23:55:06 UTC),	Latest, "null"

ProjectVersionFixed(version=1.1.4-r1.0, dependency=0.19.0, time=2018-07-31 21:32:01 UTC),	Latest, "DependencyVersion(version=0.21.0, time=2018-04-18 17:11:15 UTC)"

ProjectVersionFixed(version=1.1.4-r1.1, dependency=0.19.0, time=2018-07-31 21:34:26 UTC),	Latest, "DependencyVersion(version=0.21.0, time=2018-04-18 17:11:15 UTC)"


Project B:
DependencyVersion(version=0.1.0, time=2012-04-07 01:04:00 UTC)
DependencyVersion(version=0.10.0, time=2015-04-09 21:11:03 UTC)
DependencyVersion(version=0.10.1, time=2015-04-09 21:47:26 UTC)
DependencyVersion(version=0.10.2, time=2015-04-14 21:52:16 UTC)
DependencyVersion(version=0.1.1, time=2012-04-07 01:15:10 UTC)
DependencyVersion(version=0.11.0, time=2015-04-21 21:41:07 UTC)
DependencyVersion(version=0.1.2, time=2012-04-07 01:37:54 UTC)
DependencyVersion(version=0.12.0, time=2015-04-25 12:47:10 UTC)
DependencyVersion(version=0.12.1, time=2015-04-27 16:29:27 UTC)
DependencyVersion(version=0.12.2, time=2015-05-06 12:44:57 UTC)
DependencyVersion(version=0.12.3, time=2015-05-24 07:31:37 UTC)
DependencyVersion(version=0.12.4, time=2015-09-16 20:23:06 UTC)
DependencyVersion(version=0.1.3, time=2012-05-20 22:07:30 UTC)
DependencyVersion(version=0.13.0, time=2015-10-19 18:56:54 UTC)
DependencyVersion(version=0.13.1, time=2016-03-24 19:29:51 UTC)
DependencyVersion(version=0.13.2, time=2017-02-24 16:44:22 UTC)
DependencyVersion(version=0.14.0, time=2017-03-15 04:33:35 UTC)
DependencyVersion(version=0.14.1, time=2017-03-15 23:14:19 UTC)
DependencyVersion(version=0.15.0, time=2017-03-21 02:23:05 UTC)
DependencyVersion(version=0.16.0, time=2017-03-22 13:45:18 UTC)
DependencyVersion(version=0.16.1, time=2017-03-28 13:29:00 UTC)
DependencyVersion(version=0.17.0, time=2017-05-01 18:52:25 UTC)
DependencyVersion(version=0.18.0, time=2017-05-22 06:44:23 UTC)
DependencyVersion(version=0.18.1, time=2017-05-23 13:49:28 UTC)
DependencyVersion(version=0.18.2, time=2017-06-05 08:07:33 UTC)
DependencyVersion(version=0.19.0, time=2017-10-03 11:38:39 UTC)
DependencyVersion(version=0.19.1, time=2017-12-14 09:29:42 UTC)
DependencyVersion(version=0.2.0, time=2012-09-26 11:26:54 UTC)
DependencyVersion(version=0.20.0, time=2018-01-26 20:35:54 UTC)
DependencyVersion(version=0.20.1, time=2018-01-26 21:21:41 UTC)
DependencyVersion(version=0.20.2, time=2018-02-15 20:44:18 UTC)
DependencyVersion(version=0.20.3, time=2018-03-09 11:40:21 UTC)
DependencyVersion(version=0.2.1, time=2012-09-26 11:39:11 UTC)
DependencyVersion(version=0.21.0, time=2018-04-18 17:11:15 UTC)
DependencyVersion(version=0.22.0, time=2018-08-07 13:07:42 UTC)
DependencyVersion(version=0.22.1, time=2018-08-08 14:59:02 UTC)
DependencyVersion(version=0.23.0, time=2018-08-27 17:24:39 UTC)
DependencyVersion(version=0.23.1, time=2018-10-08 13:41:38 UTC)
DependencyVersion(version=0.5.0, time=2013-02-01 07:48:33 UTC)
DependencyVersion(version=0.5.1, time=2013-03-25 23:47:08 UTC)
DependencyVersion(version=0.5.2, time=2013-03-26 10:52:01 UTC)
DependencyVersion(version=0.6.0, time=2013-06-20 13:28:51 UTC)
DependencyVersion(version=0.6.1, time=2014-01-23 07:59:46 UTC)
DependencyVersion(version=0.6.2, time=2014-01-27 10:42:31 UTC)
DependencyVersion(version=0.6.3, time=2014-03-01 16:32:41 UTC)
DependencyVersion(version=0.6.4, time=2014-05-31 10:45:29 UTC)
DependencyVersion(version=0.6.5, time=2014-08-12 10:58:11 UTC)
DependencyVersion(version=0.7.0, time=2014-08-14 09:11:57 UTC)
DependencyVersion(version=0.7.1, time=2014-08-27 12:21:07 UTC)
DependencyVersion(version=0.8.0, time=2014-09-07 20:54:55 UTC)
DependencyVersion(version=0.8.1, time=2014-09-30 11:02:37 UTC)
DependencyVersion(version=0.8.2, time=2014-11-03 22:25:56 UTC)
DependencyVersion(version=0.8.3, time=2015-01-15 16:03:11 UTC)
DependencyVersion(version=0.9.0, time=2015-03-23 08:26:15 UTC)
