
Project information
nimbus-sass (3212926)	bootstrap (132279)	Package Manager: NPM
RepoID: null
Tag information:

Project A:
ProjectVersionFixed(version=1.1.1, dependency=v4.0.0-alpha.5, time=2018-08-14 21:00:31 UTC),	Latest, "DependencyVersion(version=4.1.3, time=2018-07-24 15:56:20 UTC)"

ProjectVersionFixed(version=1.1.2, dependency=4.1.3, time=2018-08-15 14:08:47 UTC),	Latest, "null"

ProjectVersionFixed(version=1.2.0, dependency=v4.0.0-alpha.5, time=2018-08-14 21:03:13 UTC),	Latest, "DependencyVersion(version=4.1.3, time=2018-07-24 15:56:20 UTC)"

ProjectVersionFixed(version=1.2.1, dependency=4.1.3, time=2018-08-15 14:19:43 UTC),	Latest, "null"

ProjectVersionFixed(version=1.2.2, dependency=4.1.3, time=2018-08-15 14:25:36 UTC),	Latest, "null"

ProjectVersionFixed(version=1.3.0, dependency=v4.0.0-alpha.5, time=2018-08-16 14:24:28 UTC),	Latest, "DependencyVersion(version=4.1.3, time=2018-07-24 15:56:20 UTC)"

ProjectVersionFixed(version=1.4.0, dependency=v4.0.0-alpha.5, time=2018-08-16 14:27:21 UTC),	Latest, "DependencyVersion(version=4.1.3, time=2018-07-24 15:56:20 UTC)"

ProjectVersionFixed(version=1.5.0, dependency=v4.0.0-alpha.5, time=2018-08-16 14:30:30 UTC),	Latest, "DependencyVersion(version=4.1.3, time=2018-07-24 15:56:20 UTC)"

ProjectVersionFixed(version=1.6.0, dependency=v4.0.0-alpha.5, time=2018-08-16 14:34:47 UTC),	Latest, "DependencyVersion(version=4.1.3, time=2018-07-24 15:56:20 UTC)"

ProjectVersionFixed(version=1.7.0, dependency=v4.0.0-alpha.5, time=2018-08-16 14:36:25 UTC),	Latest, "DependencyVersion(version=4.1.3, time=2018-07-24 15:56:20 UTC)"

ProjectVersionFixed(version=1.8.0, dependency=v4.0.0-alpha.5, time=2018-08-16 15:01:42 UTC),	Latest, "DependencyVersion(version=4.1.3, time=2018-07-24 15:56:20 UTC)"

ProjectVersionFixed(version=1.8.1, dependency=4.1.3, time=2018-08-16 15:22:56 UTC),	Latest, "null"

ProjectVersionFixed(version=1.8.2, dependency=4.1.3, time=2018-08-16 15:35:41 UTC),	Latest, "null"

ProjectVersionFixed(version=1.8.3, dependency=4.1.3, time=2018-08-16 18:13:57 UTC),	Latest, "null"


Project B:
DependencyVersion(version=0.0.1, time=2011-08-28 02:47:44 UTC)
DependencyVersion(version=0.0.2, time=2011-08-28 02:52:22 UTC)
DependencyVersion(version=3.1.1, time=2014-06-09 23:41:50 UTC)
DependencyVersion(version=3.2.0, time=2014-06-26 16:44:01 UTC)
DependencyVersion(version=3.3.0, time=2014-10-29 19:20:49 UTC)
DependencyVersion(version=3.3.1, time=2014-11-12 17:12:59 UTC)
DependencyVersion(version=3.3.2, time=2015-01-19 17:18:50 UTC)
DependencyVersion(version=3.3.4, time=2015-03-16 15:51:12 UTC)
DependencyVersion(version=3.3.5, time=2015-06-16 16:23:51 UTC)
DependencyVersion(version=3.3.6, time=2015-11-24 19:51:58 UTC)
DependencyVersion(version=3.3.7, time=2016-07-25 16:09:42 UTC)
DependencyVersion(version=3.4.0, time=2018-12-13 23:50:14 UTC)
DependencyVersion(version=4.0.0, time=2018-01-18 18:34:21 UTC)
DependencyVersion(version=4.0.0-alpha.2, time=2015-12-09 02:58:44 UTC)
DependencyVersion(version=4.0.0-alpha.3, time=2016-07-27 16:53:52 UTC)
DependencyVersion(version=4.0.0-alpha.4, time=2016-09-05 20:05:51 UTC)
DependencyVersion(version=4.0.0-alpha.5, time=2016-10-19 15:39:06 UTC)
DependencyVersion(version=4.0.0-alpha.6, time=2017-01-06 17:27:03 UTC)
DependencyVersion(version=4.0.0-beta, time=2017-08-11 06:20:21 UTC)
DependencyVersion(version=4.0.0-beta.2, time=2017-10-19 19:27:11 UTC)
DependencyVersion(version=4.0.0-beta.3, time=2017-12-28 17:53:16 UTC)
DependencyVersion(version=4.1.0, time=2018-04-09 16:02:32 UTC)
DependencyVersion(version=4.1.1, time=2018-04-30 16:07:21 UTC)
DependencyVersion(version=4.1.2, time=2018-07-12 16:38:44 UTC)
DependencyVersion(version=4.1.3, time=2018-07-24 15:56:20 UTC)
DependencyVersion(version=4.2.0, time=2018-12-21 17:09:56 UTC)
