
Project information
glsp-theia-extension (3224117)	theia-glsp (3224719)	Package Manager: NPM
RepoID: null
Tag information:

Project A:
ProjectVersionFixed(version=0.0.0, dependency=null, time=2018-08-22 19:48:13 UTC)
ProjectVersionFixed(version=0.0.1, dependency=null, time=2018-08-22 22:01:01 UTC)
ProjectVersionFixed(version=0.1.0, dependency=0.1.0, time=2018-08-23 10:37:08 UTC),	Latest, "null"

ProjectVersionFixed(version=0.1.0-next.4d32143d, dependency=0.1.0-next.4d32143d, time=2018-10-04 13:56:56 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.0-next.70671aad, dependency=0.1.0-next.70671aad, time=2018-10-05 10:28:37 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.0-next.b78fb9ba, dependency=0.1.0-next.b78fb9ba, time=2018-10-05 10:06:35 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.0-next.c09cfe77, dependency=0.1.0-next.c09cfe77, time=2018-10-04 14:34:17 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.0-next.0dac4cff, dependency=null, time=2018-10-10 10:05:39 UTC)
ProjectVersionFixed(version=0.1.0-next.e6d56fd9, dependency=0.1.0-next.e6d56fd9, time=2018-10-10 08:06:49 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.0-next.81f26f4c, dependency=0.1.0-next.81f26f4c, time=2018-10-11 15:13:48 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.0-next.5cfb6668, dependency=0.1.0-next.5cfb6668, time=2018-10-24 10:01:53 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.0-next.09e57fbc, dependency=0.1.0-next.09e57fbc, time=2018-11-14 17:13:52 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.0-next.6ed5753d, dependency=0.1.0-next.6ed5753d, time=2018-11-15 13:48:42 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.0-next.926b17d9, dependency=0.1.0-next.926b17d9, time=2018-11-27 11:16:48 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.0-next.42f40182, dependency=0.1.22, time=2018-11-27 12:39:49 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.0-next.8f55d9d9, dependency=0.1.0-next.8f55d9d9, time=2018-11-29 12:46:58 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.0-next.3206658b, dependency=0.1.0-next.3206658b, time=2018-11-30 16:56:53 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.0-next.a46d5461, dependency=0.1.0-next.a46d5461, time=2018-12-05 18:07:01 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.0-next.b27c6838, dependency=0.1.0-next.b27c6838, time=2018-12-05 18:09:00 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.0-next.0c247345, dependency=0.1.0-next.0c247345, time=2018-12-13 17:08:49 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.0-next.11af896d, dependency=0.1.0-next.11af896d, time=2018-12-17 14:06:10 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.0-next.47647d72, dependency=0.1.0-next.47647d72, time=2018-12-17 17:45:24 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.0-next.7ff5c626, dependency=0.1.0-next.7ff5c626, time=2018-12-17 10:03:52 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.0-next.80a7b18b, dependency=0.1.0-next.80a7b18b, time=2018-12-17 15:51:26 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.0-next.b2fb68fe, dependency=0.1.0-next.b2fb68fe, time=2018-12-18 10:29:28 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.5, dependency=0.1.21, time=2018-09-19 09:43:43 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.1.6, dependency=null, time=2018-09-19 10:09:05 UTC)
ProjectVersionFixed(version=0.1.7, dependency=0.1.22, time=2018-09-28 12:37:20 UTC),	Latest, "DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)"

ProjectVersionFixed(version=0.2.0, dependency=0.1.0, time=2018-08-30 14:58:03 UTC),	Latest, "DependencyVersion(version=0.2.0, time=2018-08-30 14:55:46 UTC)"

ProjectVersionFixed(version=0.3.0, dependency=0.3.0, time=2018-08-30 15:07:05 UTC),	Latest, "null"

ProjectVersionFixed(version=0.4.0, dependency=0.4.0, time=2018-08-31 07:20:01 UTC),	Latest, "null"


Project B:
DependencyVersion(version=0.0.1, time=2018-10-04 13:54:15 UTC)
DependencyVersion(version=0.1.0, time=2018-08-23 10:37:30 UTC)
DependencyVersion(version=0.1.0-next.09e57fbc, time=2018-11-14 17:13:42 UTC)
DependencyVersion(version=0.1.0-next.0c247345, time=2018-12-13 17:08:30 UTC)
DependencyVersion(version=0.1.0-next.0dac4cff, time=2018-10-10 10:05:29 UTC)
DependencyVersion(version=0.1.0-next.11af896d, time=2018-12-17 14:05:50 UTC)
DependencyVersion(version=0.1.0-next.3206658b, time=2018-11-30 16:56:31 UTC)
DependencyVersion(version=0.1.0-next.42f40182, time=2018-11-27 12:39:33 UTC)
DependencyVersion(version=0.1.0-next.47647d72, time=2018-12-17 17:45:02 UTC)
DependencyVersion(version=0.1.0-next.4d32143d, time=2018-10-04 13:56:46 UTC)
DependencyVersion(version=0.1.0-next.5cfb6668, time=2018-10-24 10:01:35 UTC)
DependencyVersion(version=0.1.0-next.6ed5753d, time=2018-11-15 13:48:29 UTC)
DependencyVersion(version=0.1.0-next.70671aad, time=2018-10-05 10:28:26 UTC)
DependencyVersion(version=0.1.0-next.7ff5c626, time=2018-12-17 10:03:31 UTC)
DependencyVersion(version=0.1.0-next.80a7b18b, time=2018-12-17 15:51:05 UTC)
DependencyVersion(version=0.1.0-next.81f26f4c, time=2018-10-11 15:13:39 UTC)
DependencyVersion(version=0.1.0-next.8f55d9d9, time=2018-11-29 12:46:40 UTC)
DependencyVersion(version=0.1.0-next.926b17d9, time=2018-11-27 11:15:19 UTC)
DependencyVersion(version=0.1.0-next.a46d5461, time=2018-12-05 18:06:41 UTC)
DependencyVersion(version=0.1.0-next.b27c6838, time=2018-12-05 18:08:41 UTC)
DependencyVersion(version=0.1.0-next.b2fb68fe, time=2018-12-18 10:29:08 UTC)
DependencyVersion(version=0.1.0-next.b78fb9ba, time=2018-10-05 10:06:20 UTC)
DependencyVersion(version=0.1.0-next.c09cfe77, time=2018-10-04 14:34:05 UTC)
DependencyVersion(version=0.1.0-next.e6d56fd9, time=2018-10-10 08:06:38 UTC)
DependencyVersion(version=0.1.21, time=2018-09-19 09:40:49 UTC)
DependencyVersion(version=0.1.22, time=2018-09-28 12:37:35 UTC)
DependencyVersion(version=0.2.0, time=2018-08-30 14:55:46 UTC)
DependencyVersion(version=0.3.0, time=2018-08-30 15:08:02 UTC)
DependencyVersion(version=0.4.0, time=2018-08-31 07:19:30 UTC)
