
Project information
eslint-plugin-caleb (3246921)	typescript-eslint-parser (1110060)	Package Manager: NPM
RepoID: 36578751
Repo Owner/Name: null
Repository type: null

 

Tag information:

Project A:
ProjectVersionFixed(version=1.0.0, dependency=null, time=2018-09-09 02:36:24 UTC)
ProjectVersionFixed(version=1.0.1, dependency=18.0.0, time=2018-09-09 02:44:36 UTC),	Latest, "null"

ProjectVersionFixed(version=1.2.0, dependency=18.0.0, time=2018-09-09 04:29:07 UTC),	Latest, "null"

ProjectVersionFixed(version=1.2.1, dependency=18.0.0, time=2018-09-12 04:54:50 UTC),	Latest, "null"

ProjectVersionFixed(version=1.3.0, dependency=18.0.0, time=2018-09-15 22:24:10 UTC),	Latest, "null"

ProjectVersionFixed(version=1.4.0, dependency=null, time=2018-09-16 02:41:14 UTC)
ProjectVersionFixed(version=1.5.0, dependency=18.0.0, time=2018-09-22 20:39:08 UTC),	Latest, "null"

ProjectVersionFixed(version=1.6.0, dependency=18.0.0, time=2018-09-23 20:55:07 UTC),	Latest, "null"

ProjectVersionFixed(version=1.7.0, dependency=19.0.1, time=2018-09-29 18:34:15 UTC),	Latest, "null"

ProjectVersionFixed(version=1.8.0, dependency=19.0.1, time=2018-09-30 00:28:30 UTC),	Latest, "null"

ProjectVersionFixed(version=1.9.0, dependency=20.0.0, time=2018-10-09 20:01:23 UTC),	Latest, "null"

ProjectVersionFixed(version=1.10.0, dependency=20.0.0, time=2018-10-20 04:03:58 UTC),	Latest, "null"

ProjectVersionFixed(version=1.11.0, dependency=20.0.0, time=2018-10-27 16:47:48 UTC),	Latest, "null"

ProjectVersionFixed(version=1.11.1, dependency=20.1.1, time=2018-11-10 04:15:55 UTC),	Latest, "null"

ProjectVersionFixed(version=1.11.2, dependency=20.0.0, time=2018-11-10 04:42:17 UTC),	Latest, "DependencyVersion(version=20.1.1, time=2018-10-31 18:02:18 UTC)"

ProjectVersionFixed(version=1.12.0, dependency=20.0.0, time=2018-11-11 02:10:07 UTC),	Latest, "DependencyVersion(version=20.1.1, time=2018-10-31 18:02:18 UTC)"

ProjectVersionFixed(version=1.13.0, dependency=21.0.1, time=2018-11-18 16:24:17 UTC),	Latest, "null"

ProjectVersionFixed(version=1.15.0, dependency=21.0.2, time=2018-12-09 05:22:21 UTC),	Latest, "null"


Project B:
DependencyVersion(version=0.1.0, time=2016-08-09 17:45:53 UTC)
DependencyVersion(version=0.1.0-alpha.0, time=2016-03-04 20:09:29 UTC)
DependencyVersion(version=0.1.0-alpha-1, time=2015-12-04 23:37:21 UTC)
DependencyVersion(version=0.1.0-alpha.1, time=2016-03-18 17:32:12 UTC)
DependencyVersion(version=0.1.1, time=2016-08-10 17:26:15 UTC)
DependencyVersion(version=0.1.2, time=2016-08-21 16:34:27 UTC)
DependencyVersion(version=0.1.3, time=2016-08-22 23:40:59 UTC)
DependencyVersion(version=0.2.0, time=2016-08-29 19:13:41 UTC)
DependencyVersion(version=0.3.0, time=2016-09-13 18:16:15 UTC)
DependencyVersion(version=0.3.1, time=2016-09-22 17:50:17 UTC)
DependencyVersion(version=0.4.0, time=2016-09-23 18:27:15 UTC)
DependencyVersion(version=1.0.0, time=2016-11-11 20:07:55 UTC)
DependencyVersion(version=10.0.0, time=2017-12-11 18:37:40 UTC)
DependencyVersion(version=1.0.1, time=2017-01-04 23:40:50 UTC)
DependencyVersion(version=1.0.2, time=2017-01-12 15:01:30 UTC)
DependencyVersion(version=1.0.3, time=2017-02-10 19:32:26 UTC)
DependencyVersion(version=11.0.0, time=2017-12-13 11:32:11 UTC)
DependencyVersion(version=12.0.0, time=2018-01-16 06:14:00 UTC)
DependencyVersion(version=13.0.0, time=2018-02-09 15:23:51 UTC)
DependencyVersion(version=14.0.0, time=2018-02-21 13:23:30 UTC)
DependencyVersion(version=15.0.0, time=2018-04-17 17:24:35 UTC)
DependencyVersion(version=15.0.1, time=2018-06-04 01:44:03 UTC)
DependencyVersion(version=16.0.0, time=2018-06-04 02:29:24 UTC)
DependencyVersion(version=16.0.1, time=2018-06-27 13:48:30 UTC)
DependencyVersion(version=17.0.0, time=2018-07-26 13:35:48 UTC)
DependencyVersion(version=17.0.1, time=2018-07-26 22:44:28 UTC)
DependencyVersion(version=18.0.0, time=2018-08-06 19:51:23 UTC)
DependencyVersion(version=19.0.1, time=2018-09-25 15:13:56 UTC)
DependencyVersion(version=19.0.2, time=2018-09-30 03:03:04 UTC)
DependencyVersion(version=2.0.0, time=2017-02-24 14:41:29 UTC)
DependencyVersion(version=20.0.0, time=2018-10-08 17:13:38 UTC)
DependencyVersion(version=20.1.0, time=2018-10-31 01:06:19 UTC)
DependencyVersion(version=20.1.1, time=2018-10-31 18:02:18 UTC)
DependencyVersion(version=2.1.0, time=2017-04-05 00:39:27 UTC)
DependencyVersion(version=21.0.0, time=2018-11-13 21:20:06 UTC)
DependencyVersion(version=21.0.1, time=2018-11-15 16:42:43 UTC)
DependencyVersion(version=21.0.2, time=2018-12-03 18:12:42 UTC)
DependencyVersion(version=3.0.0, time=2017-05-17 19:53:04 UTC)
DependencyVersion(version=4.0.0, time=2017-07-10 18:47:27 UTC)
DependencyVersion(version=5.0.0, time=2017-08-06 14:08:17 UTC)
DependencyVersion(version=5.0.1, time=2017-08-09 12:09:04 UTC)
DependencyVersion(version=6.0.0, time=2017-08-19 15:41:32 UTC)
DependencyVersion(version=6.0.1, time=2017-08-19 17:24:10 UTC)
DependencyVersion(version=7.0.0, time=2017-08-22 11:28:07 UTC)
DependencyVersion(version=8.0.0, time=2017-09-05 16:48:55 UTC)
DependencyVersion(version=8.0.1, time=2017-10-22 16:17:16 UTC)
DependencyVersion(version=9.0.0, time=2017-11-10 19:25:58 UTC)
DependencyVersion(version=9.0.1, time=2017-11-29 21:18:48 UTC)
