
Project information
@skyeer/babel-preset-skyeer-app (3306610)	babel-plugin-transform-react-remove-prop-types (1134320)	Package Manager: NPM
RepoID: null
Repo Owner/Name: null
Repository type: null

 

Tag information:

Project A:
ProjectVersionFixed(version=1.0.0, dependency=0.4.15, time=2018-09-02 12:25:06 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.1, dependency=0.4.15, time=2018-09-02 13:52:40 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.2, dependency=0.4.15, time=2018-09-02 14:11:37 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.3, dependency=0.4.13, time=2018-09-02 14:24:08 UTC),	Latest, "DependencyVersion(version=0.4.15, time=2018-08-22 20:59:48 UTC)"

ProjectVersionFixed(version=1.0.4, dependency=0.4.13, time=2018-09-02 14:27:37 UTC),	Latest, "DependencyVersion(version=0.4.15, time=2018-08-22 20:59:48 UTC)"

ProjectVersionFixed(version=1.0.5, dependency=0.4.13, time=2018-09-02 14:31:39 UTC),	Latest, "DependencyVersion(version=0.4.15, time=2018-08-22 20:59:48 UTC)"

ProjectVersionFixed(version=1.0.6, dependency=0.4.15, time=2018-09-02 14:34:46 UTC),	Latest, "null"


Project B:
DependencyVersion(version=0.1.0, time=2015-12-28 14:02:54 UTC)
DependencyVersion(version=0.2.0, time=2016-01-29 18:24:23 UTC)
DependencyVersion(version=0.2.1, time=2016-01-29 18:40:28 UTC)
DependencyVersion(version=0.2.10, time=2016-10-15 18:06:30 UTC)
DependencyVersion(version=0.2.11, time=2016-11-19 11:15:00 UTC)
DependencyVersion(version=0.2.12, time=2017-02-03 09:46:38 UTC)
DependencyVersion(version=0.2.2, time=2016-02-12 19:48:04 UTC)
DependencyVersion(version=0.2.3, time=2016-03-03 12:14:52 UTC)
DependencyVersion(version=0.2.4, time=2016-03-26 20:35:17 UTC)
DependencyVersion(version=0.2.5, time=2016-04-09 10:38:23 UTC)
DependencyVersion(version=0.2.6, time=2016-04-25 18:57:39 UTC)
DependencyVersion(version=0.2.7, time=2016-05-19 06:56:01 UTC)
DependencyVersion(version=0.2.8, time=2016-07-28 20:47:32 UTC)
DependencyVersion(version=0.2.9, time=2016-07-30 10:31:22 UTC)
DependencyVersion(version=0.3.0, time=2017-02-05 10:34:54 UTC)
DependencyVersion(version=0.3.1, time=2017-02-06 19:41:42 UTC)
DependencyVersion(version=0.3.2, time=2017-02-09 22:42:34 UTC)
DependencyVersion(version=0.3.3, time=2017-04-06 22:05:07 UTC)
DependencyVersion(version=0.4.0, time=2017-04-13 20:52:22 UTC)
DependencyVersion(version=0.4.1, time=2017-04-16 09:53:48 UTC)
DependencyVersion(version=0.4.10, time=2017-10-12 20:40:34 UTC)
DependencyVersion(version=0.4.11, time=2017-12-17 10:11:04 UTC)
DependencyVersion(version=0.4.12, time=2017-12-17 11:19:03 UTC)
DependencyVersion(version=0.4.13, time=2018-02-07 21:55:18 UTC)
DependencyVersion(version=0.4.14, time=2018-07-29 13:20:53 UTC)
DependencyVersion(version=0.4.15, time=2018-08-22 20:59:48 UTC)
DependencyVersion(version=0.4.16, time=2018-09-20 16:48:18 UTC)
DependencyVersion(version=0.4.17, time=2018-09-20 22:04:18 UTC)
DependencyVersion(version=0.4.18, time=2018-09-20 22:37:02 UTC)
DependencyVersion(version=0.4.19, time=2018-10-15 12:52:28 UTC)
DependencyVersion(version=0.4.2, time=2017-04-26 11:53:55 UTC)
DependencyVersion(version=0.4.20, time=2018-11-06 20:25:57 UTC)
DependencyVersion(version=0.4.21, time=2018-12-03 19:43:13 UTC)
DependencyVersion(version=0.4.3, time=2017-04-27 17:12:36 UTC)
DependencyVersion(version=0.4.4, time=2017-05-01 21:35:27 UTC)
DependencyVersion(version=0.4.5, time=2017-05-09 07:54:48 UTC)
DependencyVersion(version=0.4.6, time=2017-06-12 10:10:09 UTC)
DependencyVersion(version=0.4.7, time=2017-08-02 21:49:54 UTC)
DependencyVersion(version=0.4.8, time=2017-08-03 19:10:29 UTC)
DependencyVersion(version=0.4.9, time=2017-09-30 13:39:39 UTC)
