
Project information
@skyeer/babel-preset-skyeer-app (3306610)	babel-plugin-macros (788753)	Package Manager: NPM
RepoID: null
Tag information:

Project A:
ProjectVersionFixed(version=1.0.0, dependency=2.4.0, time=2018-09-02 12:25:06 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.1, dependency=2.4.0, time=2018-09-02 13:52:40 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.2, dependency=2.4.0, time=2018-09-02 14:11:37 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.3, dependency=2.2.1, time=2018-09-02 14:24:08 UTC),	Latest, "DependencyVersion(version=2.4.0, time=2018-08-05 15:54:59 UTC)"

ProjectVersionFixed(version=1.0.4, dependency=2.2.1, time=2018-09-02 14:27:37 UTC),	Latest, "DependencyVersion(version=2.4.0, time=2018-08-05 15:54:59 UTC)"

ProjectVersionFixed(version=1.0.5, dependency=2.2.1, time=2018-09-02 14:31:39 UTC),	Latest, "DependencyVersion(version=2.4.0, time=2018-08-05 15:54:59 UTC)"

ProjectVersionFixed(version=1.0.6, dependency=2.4.0, time=2018-09-02 14:34:46 UTC),	Latest, "null"


Project B:
DependencyVersion(version=0.0.1, time=2015-05-14 11:47:30 UTC)
DependencyVersion(version=1.0.0, time=2016-01-20 23:24:07 UTC)
DependencyVersion(version=1.0.1, time=2016-01-21 01:39:47 UTC)
DependencyVersion(version=1.0.11, time=2016-01-29 21:21:24 UTC)
DependencyVersion(version=1.0.12, time=2016-02-10 19:53:59 UTC)
DependencyVersion(version=1.0.13, time=2016-02-10 23:35:51 UTC)
DependencyVersion(version=1.0.14, time=2016-02-18 18:52:25 UTC)
DependencyVersion(version=1.0.15, time=2016-02-21 23:34:50 UTC)
DependencyVersion(version=1.0.4, time=2016-01-24 21:40:11 UTC)
DependencyVersion(version=1.0.5, time=2016-01-24 21:47:24 UTC)
DependencyVersion(version=1.0.6, time=2016-01-25 20:56:41 UTC)
DependencyVersion(version=1.0.7, time=2016-01-25 23:00:23 UTC)
DependencyVersion(version=1.0.8, time=2016-01-28 18:03:57 UTC)
DependencyVersion(version=2.0.0, time=2017-12-10 02:00:44 UTC)
DependencyVersion(version=2.0.1, time=2018-01-27 05:15:14 UTC)
DependencyVersion(version=2.1.0, time=2018-01-27 15:39:07 UTC)
DependencyVersion(version=2.2.0, time=2018-03-02 23:27:22 UTC)
DependencyVersion(version=2.2.1, time=2018-05-09 23:06:58 UTC)
DependencyVersion(version=2.2.2, time=2018-06-04 19:17:32 UTC)
DependencyVersion(version=2.3.0, time=2018-07-13 21:43:22 UTC)
DependencyVersion(version=2.4.0, time=2018-08-05 15:54:59 UTC)
DependencyVersion(version=2.4.1, time=2018-09-19 06:08:37 UTC)
DependencyVersion(version=2.4.2, time=2018-09-21 20:35:47 UTC)
