
Project information
status-check (770502)	csv-array (766700)	Package Manager: NPM
RepoID: 391045
Repo Owner/Name: null
Repository type: null

 

Tag information:

Project A:
ProjectVersionFixed(version=0.0.1, dependency=0.0.19, time=2015-04-26 11:26:44 UTC),	Latest, "null"

ProjectVersionFixed(version=0.0.11, dependency=0.0.19, time=2015-04-27 07:07:50 UTC),	Latest, "null"

ProjectVersionFixed(version=0.0.12, dependency=0.0.2, time=2015-04-27 12:50:18 UTC),	Latest, "DependencyVersion(version=0.0.19, time=2015-04-24 15:54:56 UTC)"

ProjectVersionFixed(version=0.0.13, dependency=0.0.2, time=2015-04-28 15:01:45 UTC),	Latest, "DependencyVersion(version=0.0.19, time=2015-04-24 15:54:56 UTC)"

ProjectVersionFixed(version=0.0.14, dependency=0.0.2, time=2015-04-29 07:13:08 UTC),	Latest, "DependencyVersion(version=0.0.19, time=2015-04-24 15:54:56 UTC)"

ProjectVersionFixed(version=0.0.15, dependency=0.0.2, time=2015-05-13 13:05:15 UTC),	Latest, "DependencyVersion(version=0.0.19, time=2015-04-24 15:54:56 UTC)"

ProjectVersionFixed(version=0.0.16, dependency=0.0.2, time=2015-10-19 06:35:48 UTC),	Latest, "DependencyVersion(version=0.0.22, time=2015-06-30 08:22:59 UTC)"

ProjectVersionFixed(version=0.0.17, dependency=0.0.2, time=2015-10-19 06:38:32 UTC),	Latest, "DependencyVersion(version=0.0.22, time=2015-06-30 08:22:59 UTC)"


Project B:
DependencyVersion(version=0.0.1, time=2015-04-21 09:26:58 UTC)
DependencyVersion(version=0.0.11, time=2015-04-21 11:05:15 UTC)
DependencyVersion(version=0.0.12, time=2015-04-21 11:43:06 UTC)
DependencyVersion(version=0.0.13, time=2015-04-22 11:23:50 UTC)
DependencyVersion(version=0.0.14, time=2015-04-22 14:24:12 UTC)
DependencyVersion(version=0.0.15, time=2015-04-23 18:31:58 UTC)
DependencyVersion(version=0.0.16, time=2015-04-23 18:35:25 UTC)
DependencyVersion(version=0.0.17, time=2015-04-23 18:49:33 UTC)
DependencyVersion(version=0.0.18, time=2015-04-24 05:20:54 UTC)
DependencyVersion(version=0.0.19, time=2015-04-24 15:54:56 UTC)
DependencyVersion(version=0.0.2, time=2015-04-27 12:26:24 UTC)
DependencyVersion(version=0.0.22, time=2015-06-30 08:22:59 UTC)
