
Project information
fghostpig (786280)	fis-parser-sass (281336)	Package Manager: NPM
RepoID: null
Tag information:

Project A:
ProjectVersionFixed(version=1.0.0, dependency=0.3.6, time=2015-05-12 14:57:00 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.1, dependency=0.3.6, time=2015-05-12 15:00:50 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.2, dependency=0.3.6, time=2015-05-12 15:01:43 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.3, dependency=0.3.6, time=2015-06-01 14:55:19 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.4, dependency=0.3.6, time=2015-08-09 11:20:49 UTC),	Latest, "DependencyVersion(version=0.3.9, time=2015-07-21 02:08:07 UTC)"

ProjectVersionFixed(version=1.0.5, dependency=0.3.9, time=2015-08-09 11:30:37 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.6, dependency=0.3.6, time=2015-08-09 13:21:49 UTC),	Latest, "DependencyVersion(version=0.3.9, time=2015-07-21 02:08:07 UTC)"

ProjectVersionFixed(version=1.0.7, dependency=0.3.6, time=2015-08-09 13:31:35 UTC),	Latest, "DependencyVersion(version=0.3.9, time=2015-07-21 02:08:07 UTC)"

ProjectVersionFixed(version=1.0.8, dependency=0.3.6, time=2015-08-16 15:58:35 UTC),	Latest, "DependencyVersion(version=0.3.9, time=2015-07-21 02:08:07 UTC)"

ProjectVersionFixed(version=1.0.9, dependency=0.3.6, time=2015-08-16 16:14:32 UTC),	Latest, "DependencyVersion(version=0.3.9, time=2015-07-21 02:08:07 UTC)"

ProjectVersionFixed(version=1.1.0, dependency=0.3.6, time=2015-09-20 16:28:53 UTC),	Latest, "DependencyVersion(version=0.3.9, time=2015-07-21 02:08:07 UTC)"

ProjectVersionFixed(version=1.1.1, dependency=null, time=2016-11-08 04:04:04 UTC)
ProjectVersionFixed(version=1.1.2, dependency=null, time=2016-11-11 01:51:02 UTC)

Project B:
DependencyVersion(version=0.0.1, time=2013-06-29 15:33:08 UTC)
DependencyVersion(version=0.0.10, time=2014-04-15 02:26:19 UTC)
DependencyVersion(version=0.0.11, time=2014-04-16 05:35:47 UTC)
DependencyVersion(version=0.0.12, time=2014-04-16 10:00:54 UTC)
DependencyVersion(version=0.0.2, time=2013-10-31 03:38:10 UTC)
DependencyVersion(version=0.0.4, time=2014-02-26 12:32:42 UTC)
DependencyVersion(version=0.0.5, time=2014-02-27 01:55:02 UTC)
DependencyVersion(version=0.0.6, time=2014-02-27 08:08:10 UTC)
DependencyVersion(version=0.0.7, time=2014-03-03 06:15:30 UTC)
DependencyVersion(version=0.0.8, time=2014-03-07 13:57:57 UTC)
DependencyVersion(version=0.0.9, time=2014-03-10 07:17:51 UTC)
DependencyVersion(version=0.1.0, time=2014-04-16 11:49:03 UTC)
DependencyVersion(version=0.1.1, time=2014-05-06 09:41:58 UTC)
DependencyVersion(version=0.1.2, time=2014-06-05 16:07:14 UTC)
DependencyVersion(version=0.1.3, time=2014-06-09 15:22:57 UTC)
DependencyVersion(version=0.1.4, time=2014-06-27 05:46:38 UTC)
DependencyVersion(version=0.1.5, time=2014-06-27 06:48:23 UTC)
DependencyVersion(version=0.2.0, time=2014-10-28 08:01:09 UTC)
DependencyVersion(version=0.2.0-beta, time=2014-10-28 07:58:41 UTC)
DependencyVersion(version=0.2.1, time=2014-11-04 03:09:11 UTC)
DependencyVersion(version=0.2.2, time=2014-12-12 17:22:11 UTC)
DependencyVersion(version=0.2.3, time=2014-12-13 02:30:07 UTC)
DependencyVersion(version=0.2.4, time=2015-01-19 14:51:25 UTC)
DependencyVersion(version=0.2.5, time=2015-01-19 14:54:29 UTC)
DependencyVersion(version=0.3.0, time=2015-01-28 02:37:02 UTC)
DependencyVersion(version=0.3.1, time=2015-01-28 03:08:52 UTC)
DependencyVersion(version=0.3.10, time=2015-11-03 11:25:35 UTC)
DependencyVersion(version=0.3.11, time=2015-11-22 16:04:41 UTC)
DependencyVersion(version=0.3.12, time=2015-12-02 06:20:55 UTC)
DependencyVersion(version=0.3.14, time=2015-12-02 08:00:48 UTC)
DependencyVersion(version=0.3.15, time=2015-12-02 11:24:39 UTC)
DependencyVersion(version=0.3.16, time=2016-01-19 02:41:34 UTC)
DependencyVersion(version=0.3.2, time=2015-01-29 08:32:26 UTC)
DependencyVersion(version=0.3.3, time=2015-02-05 06:13:56 UTC)
DependencyVersion(version=0.3.4, time=2015-03-02 02:05:03 UTC)
DependencyVersion(version=0.3.5, time=2015-03-26 02:37:16 UTC)
DependencyVersion(version=0.3.6, time=2015-04-23 11:48:40 UTC)
DependencyVersion(version=0.3.7, time=2015-06-10 03:16:46 UTC)
DependencyVersion(version=0.3.8, time=2015-07-07 01:55:14 UTC)
DependencyVersion(version=0.3.9, time=2015-07-21 02:08:07 UTC)
