
Project information
ClassicForms (3476361)	Bridge.Core (1432382)	Package Manager: NuGet
RepoID: 31970956
Repo Owner/Name: null
Repository type: null

 

Tag information:

Project A:
ProjectVersionFixed(version=0.0.1, dependency== 16.8.2, time=2018-03-20 02:50:25 UTC),	Latest, "null"

ProjectVersionFixed(version=0.5.0, dependency== 17.0.0, time=2018-05-12 22:18:25 UTC),	Latest, "DependencyVersion(version=17.0.0-beta, time=2018-04-15 22:51:57 UTC)"

ProjectVersionFixed(version=0.7.0, dependency== 17.1.1, time=1900-01-01 00:00:00 UTC),	Latest, "null"

ProjectVersionFixed(version=0.65.0, dependency== 17.0.0, time=2018-05-23 06:22:34 UTC),	Latest, "DependencyVersion(version=17.0.0-beta, time=2018-04-15 22:51:57 UTC)"

ProjectVersionFixed(version=0.70.0, dependency== 17.1.1, time=2018-07-07 05:32:53 UTC),	Latest, "null"

ProjectVersionFixed(version=0.72.0, dependency== 17.1.1, time=2018-07-07 06:49:36 UTC),	Latest, "null"


Project B:
DependencyVersion(version=1.13.0, time=2016-05-03 16:52:04 UTC)
DependencyVersion(version=1.14.0, time=2016-06-08 16:32:26 UTC)
DependencyVersion(version=15.0.0, time=2016-09-12 18:16:39 UTC)
DependencyVersion(version=15.0.1, time=2016-09-14 06:23:52 UTC)
DependencyVersion(version=15.0.2, time=2016-09-16 05:37:49 UTC)
DependencyVersion(version=15.1.0, time=2016-09-19 19:19:33 UTC)
DependencyVersion(version=15.2.0, time=2016-10-05 03:47:50 UTC)
DependencyVersion(version=15.3.0, time=2016-10-18 02:17:49 UTC)
DependencyVersion(version=15.4.0, time=2016-11-09 03:39:36 UTC)
DependencyVersion(version=15.5.0, time=2016-12-06 05:05:10 UTC)
DependencyVersion(version=15.6.0, time=2016-12-13 03:58:25 UTC)
DependencyVersion(version=15.7.0, time=2017-01-17 02:27:11 UTC)
DependencyVersion(version=16.0.0, time=2017-08-01 04:42:32 UTC)
DependencyVersion(version=16.0.0-beta, time=2017-05-02 03:11:47 UTC)
DependencyVersion(version=16.0.0-beta2, time=2017-06-07 14:41:24 UTC)
DependencyVersion(version=16.0.0-beta3, time=2017-06-20 04:02:55 UTC)
DependencyVersion(version=16.0.0-beta4, time=2017-06-28 02:13:37 UTC)
DependencyVersion(version=16.0.0-beta5, time=2017-07-19 22:50:23 UTC)
DependencyVersion(version=16.0.0-rc, time=2017-07-26 02:01:43 UTC)
DependencyVersion(version=16.0.1, time=2017-08-07 22:25:30 UTC)
DependencyVersion(version=16.1.0, time=2017-08-16 07:14:23 UTC)
DependencyVersion(version=16.2.0, time=2017-08-23 06:37:42 UTC)
DependencyVersion(version=16.2.1, time=2017-08-24 18:22:22 UTC)
DependencyVersion(version=16.3.0, time=2017-09-13 06:00:11 UTC)
DependencyVersion(version=16.3.1, time=2017-09-19 02:45:04 UTC)
DependencyVersion(version=16.3.2, time=2017-09-26 04:44:03 UTC)
DependencyVersion(version=16.4.0, time=2017-10-18 05:11:40 UTC)
DependencyVersion(version=16.4.1, time=2017-10-20 08:14:41 UTC)
DependencyVersion(version=16.5.0, time=2017-11-08 01:04:02 UTC)
DependencyVersion(version=16.6.0, time=2017-12-22 23:25:32 UTC)
DependencyVersion(version=16.6.1, time=2018-01-06 23:30:03 UTC)
DependencyVersion(version=16.7.0, time=2018-01-22 05:13:36 UTC)
DependencyVersion(version=16.7.1, time=2018-02-05 14:17:26 UTC)
DependencyVersion(version=16.8.0, time=2018-02-19 00:57:32 UTC)
DependencyVersion(version=16.8.1, time=2018-02-20 20:01:52 UTC)
DependencyVersion(version=16.8.2, time=2018-03-04 23:55:57 UTC)
DependencyVersion(version=17.0.0, time=2018-04-21 02:46:38 UTC)
DependencyVersion(version=17.0.0-beta, time=2018-04-15 22:51:57 UTC)
DependencyVersion(version=17.1.0, time=2018-06-01 17:14:06 UTC)
DependencyVersion(version=17.1.1, time=2018-06-12 19:41:47 UTC)
DependencyVersion(version=17.2.0, time=2018-07-12 01:17:17 UTC)
DependencyVersion(version=17.3.0, time=2018-08-29 15:44:43 UTC)
DependencyVersion(version=17.4.0, time=2018-10-08 03:02:44 UTC)
DependencyVersion(version=17.5.0, time=2018-11-26 06:52:13 UTC)
