numVersA,numVersB,numDistinctDepDecs,avgMajorVersBehind,avgMinorVersBehind,avgMicroVersBehind,numMajorDecChanges,numMinorDecChanges,numMicroDecChanges,numBackwardsDecChanges,
com.hazelcast:hazelcast-wm::org.springframework:spring-core,89,83,1,1,0,13,0,0,0,0
com.gu:facia-json_2.11::com.amazonaws:aws-java-sdk,98,160,1,0,1.222222,4.177778,0,0,0,0
com.mozu:mozu-api-core::com.fasterxml.jackson.datatype:jackson-datatype-joda,57,89,1,0,4.122807,1,0,0,0,0
org.rundeck:rundeck-storage-conf::org.codehaus.groovy:groovy-all,59,150,2,0.220339,2.559322,2.779661,0,17,0,9
org.springframework.integration:spring-integration-mongodb::org.springframework:spring-tx,85,84,10,0.5,0.333333,0.444444,14,0,3,8
org.apereo.cas:cas-server-support-throttle::com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,57,88,9,0,0.324324,1.702703,0,15,8,13
au.com.dius:pact-jvm-provider-gradle_2.11::org.scala-lang:scala-compiler,113,76,2,0,1.229508,0.836066,0,0,8,4
de.otto.edison:edison-jobs::org.mockito:mockito-core,120,258,1,1,0,0,0,0,0,0
org.springframework.integration:spring-integration-feed::org.springframework:spring-context,74,74,10,0.5,0.333333,0.444444,14,0,3,8
org.jboss.remoting:jboss-remoting::org.wildfly.security:wildfly-elytron,75,107,1,0,0.181818,0.787879,0,0,0,0
com.sun.jersey.samples:jersey-ejb::org.glassfish:javax.ejb,89,141,2,1,0.921348,0.988764,0,35,0,17
org.apereo.cas:cas-server-core-api-events::org.javers:javers-core,55,178,1,0,1,1,0,0,0,0
com.datastax.cassandra:cassandra-driver-parent::org.apache.cassandra:cassandra-all,71,186,7,0.684211,0,1.315789,0,0,12,4
io.fabric8.jube.images.fabric8:api-registry::org.eclipse.jetty:jetty-servlet,68,235,2,0,1.720588,0.602941,0,29,0,14
org.apereo.cas:cas-server-core-util::org.mockito:mockito-core,55,258,9,0.382979,1.574468,0.021277,22,14,0,17
net.serenity-bdd:serenity-test-utils::com.sun.xml.bind:jaxb-impl,246,51,1,0,0,0,0,0,0,0
com.ning.billing:killbill-server::com.sun.jersey.contribs:jersey-guice,85,58,1,0,3.30303,0,0,0,0,0
org.apereo.cas:cas-server-core-api-webflow::org.springframework.data:spring-data-commons,54,69,7,0.52,0.2,3.88,0,20,20,20
