Project, Dependency, ProjName, DepName
2572329,2572269,Zavolokas.ImageProcessing.Parallel,Zavolokas.ImageProcessing.PatchMatch
622727,618708,Crasop.Net.SpringAop,Crasop.Net.Core
2654358,2126590,Transformalize.Transform.Jint.Autofac,Transformalize.Transform.Jint
2682131,3362749,Genesys.Framework.Web.Core,Genesys.Framework.Interop.Standard
1028249,630608,xunit.vsix,xunit.abstractions
1011839,615030,OneSql.Client.AdoNet,OneSql.Client
3362830,611422,Mongo.CRUD,MongoDB.Driver
1007596,2319549,QuantApp,QuantApp.Kernel
1007596,2319552,QuantApp,QuantApp.Kernel.Adapters
1016005,1010104,Microsoft.VisualStudio.Shell.Interop.12.1.DesignTime,Microsoft.VisualStudio.Shell.Interop.11.0
2392102,2392158,ZuriGroup.Zurtility.Loader.Scripts,ZuriGroup.Zurtility.Common
1011810,615843,JetBrains.DotCover.Core,JetBrains.Annotations
1582848,3361360,NengLong.CMP.Material,NengLong.CMP.Polly
609748,1021081,VSSDK.Text.10,VSSDK.Text
2329174,1721268,cloudscribe.Core.IdentityServerIntegration.Mvc,cloudscribe.IDS4Fork
1369442,1063945,LT2Group.Autofac.Webapi,LT2Group.Utility
2349928,2126679,Chuma.AlphaMS.MicroService.Client,Chuma.AlphaMS.Common
1058602,1787048,Catel.Extensions.Prism6,Catel.MVVM
1007596,2319683,QuantApp,QuantApp.Derivatives
1079422,617361,WebSharper.Forms,WebSharper
2392100,2392095,SquishIt.AspNet,SquishIt.Framework
2563575,3368207,Syncfusion.Xamarin.SfRadialMenu.IOS,Syncfusion.Licensing
2163393,2142161,SyncSoft.App.JsonNet,SyncSoft.App
2563574,3368207,Syncfusion.Xamarin.SfPdfViewer,Syncfusion.Licensing
1475965,1432007,SimpleDataGenerator.Json,SimpleDataGenerator.Core
1007596,2319787,QuantApp,QuantApp.SDK.Strategies
2563573,3368207,Syncfusion.Xamarin.SfNumericTextBox.Android,Syncfusion.Licensing
2588393,1025865,JeremyAnsel.Xwa.Snm,JeremyAnsel.Xwa.Imc
2588816,2585656,Cosella.Framework.Extensions.ApplicationHost,Cosella.Framework.Core
1011451,626725,AutoFixtureMoq,AutoFixture.AutoMoq
1079427,617361,WebSharper.Forms.Bootstrap,WebSharper
3391469,3393885,Framework.Data.Repository,Framework.Domain.Base
2563572,3368207,Syncfusion.Xamarin.SfNumericTextBox.IOS,Syncfusion.Licensing
622983,610549,Komon.Web,Komon.PlatformService.NET45
2682128,3362749,Genesys.Framework.Models.Standard,Genesys.Framework.Interop.Standard
2588814,2585670,Cosella.Framework.Extensions.ServiceFabric,Cosella.Framework.Client
2563571,3368207,Syncfusion.Xamarin.SfNavigationDrawer.IOS,Syncfusion.Licensing
2588814,2585656,Cosella.Framework.Extensions.ServiceFabric,Cosella.Framework.Core
2563570,3368207,Syncfusion.Xamarin.SfPdfViewer.IOS,Syncfusion.Licensing
2682130,3362749,Genesys.Framework.DataAccess.Core,Genesys.Framework.Interop.Standard
1062826,1132134,BuildIt.Lifecycle.UWP,BuildIt.States
2563583,3368207,Syncfusion.Xamarin.SfRadialMenu,Syncfusion.Licensing
1605748,1602296,NequeoWebMvc,NequeoThreading
2115193,2587997,FatturaElettronica,FatturaElettronica.Core
1605750,1602240,NequeoWeb,NequeoCollections
2563582,3368207,Syncfusion.Xamarin.SfMaps.Android,Syncfusion.Licensing
622350,630886,Devshed.Mvc,Devshed.Web
2113586,2113555,CSF.Data.Entities,CSF.Data
1573418,1031613,Microsoft.VisualStudio.Shell.15.0-pre,Microsoft.VisualStudio.Shell.Immutable.10.0
2109850,1705099,ErrorUnit.Injector_Mvc,ErrorUnit
1605750,1602268,NequeoWeb,NequeoModel
2155431,2389222,AspectCore.Extensions.DependencyInjection,AspectCore.Extensions.Reflection
2563581,3368207,Syncfusion.Xamarin.SfPdfViewer.Android,Syncfusion.Licensing
2375734,2375736,DigitalParadox.Plugins.Loader,DigitalParadox.Plugins
1605750,1602296,NequeoWeb,NequeoThreading
1605750,1602298,NequeoWeb,NequeoComponentModel
622770,617952,EnterpriseLibrary.Logging.DynamicsCrm2011,EnterpriseLibrary.Logging
1336880,1024263,Prism.Unity.Forms,Prism.Forms
2563580,3368207,Syncfusion.Xamarin.SfKanban.Android,Syncfusion.Licensing
1489728,1528831,YsotekFramework.Security.MVC4,YsotekFramework.Caching
2555953,2556056,Jagerts.Arie.Windows.Classic.Controls,Jagerts.Arie.Standard.Mvvm
2109852,1705099,ErrorUnit.Injector_WebApi,ErrorUnit
622951,612298,netfx-Patterns.EventSourcing.SampleFileSystem,netfx-Patterns.EventSourcing
2228543,2219922,Lierda.IPlug,Lierda.PlugerBase
1605748,1602392,NequeoWebMvc,NequeoPrimitive
1605748,1602393,NequeoWebMvc,NequeoReflection
1409030,1409042,Shuttle.Core.Log4Net,Shuttle.Core.Infrastructure
2563579,3368207,Syncfusion.Xamarin.SfNavigationDrawer.Android,Syncfusion.Licensing
3424289,3424285,SiteTriks.ForumModule,SiteTriks
1015747,1018573,BBTeam.PCWebSolution,BBTeam.func
3424289,3424278,SiteTriks.ForumModule,SiteTriks.Infrastructure
2176807,2251005,bysun.webapi,bysun.common
2563578,3368207,Syncfusion.Xamarin.SfPicker,Syncfusion.Licensing
1605750,1602392,NequeoWeb,NequeoPrimitive
1605750,1602393,NequeoWeb,NequeoReflection
2282161,2655081,Avalonia.LinuxFramebuffer,Avalonia.Skia
1228807,1228812,UpperSetting.OpenServer.Protocols.DatabaseAuth.Server,UpperSetting.OpenServer.Protocols.DatabaseAuth.Shared
3424291,3424285,SiteTriks.ErrorPagesModule,SiteTriks
1606154,1589901,FluentHub.Validation,FluentHub
3424291,3424287,SiteTriks.ErrorPagesModule,SiteTriks.Services
623035,609866,VSSDK.Shell.Interop.12,VSSDK.Shell.Interop
2563576,3368207,Syncfusion.Xamarin.SfPicker.Android,Syncfusion.Licensing
1573418,1031421,Microsoft.VisualStudio.Shell.15.0-pre,Microsoft.VisualStudio.TextManager.Interop
2436613,1012704,WebSharper.Community.Dashboard,WebSharper.Data
3424292,3424286,SiteTriks.Dynamic,SiteTriks.Configuration
1803657,1758700,Taitans.AopSdk.Core,Taitans.AopSdk
1049364,1024397,Microsoft.AspNet.Proxy,Microsoft.AspNet.Http.Abstractions
3424292,3424278,SiteTriks.Dynamic,SiteTriks.Infrastructure
3424292,3424282,SiteTriks.Dynamic,SiteTriks.DatabaseApi
3424292,3424283,SiteTriks.Dynamic,SiteTriks.Data
1032818,1013547,paper-elements,paper-toast
1573424,1031723,Microsoft.VisualStudio.Shell.Framework-pre,Microsoft.VisualStudio.Utilities
1813794,1968460,Carbon.Platform.Services,Carbon.Data.Sql
2563591,3368207,Syncfusion.Xamarin.SfNavigationDrawer,Syncfusion.Licensing
