dA\dB,FORWARDS_MAJOR,FORWARDS_MINOR,FORWARDS_MICRO,NO_CHANGE,BACKWARD_MAJOR,BACKWARD_MINOR,BACKWARD_MICRO
FORWARDS_MAJOR,0,0,0,0,0,0,0,
FORWARDS_MINOR,0,0,0,0,0,0,0,
FORWARDS_MICRO,0,0,0,0,0,0,0,
NO_CHANGE,0,0,0,0,0,0,0,
BACKWARD_MAJOR,0,0,0,0,0,0,0,
BACKWARD_MINOR,0,0,0,0,0,0,0,
BACKWARD_MICRO,0,0,0,0,0,0,0,

Lag (Vers Behind), Major, Minor, Micro
,0,0,0

Project information
newbee (1109682)	react-router (305310)	Package Manager: NPM

Project A:
ProjectVersion(version=0.1.1, dependency=1.0.0-rc3, time=2015-12-04 13:00:51 UTC),	Latest, DependencyVersion(version=1.0.0-beta4, time=2015-08-31 06:19:59 UTC)

Project B:
DependencyVersion(version=0.0.0, time=2014-02-02 07:42:52 UTC)
DependencyVersion(version=0.0.1, time=2014-07-15 22:10:13 UTC)
DependencyVersion(version=0.10.0, time=2014-10-30 05:11:07 UTC)
DependencyVersion(version=0.10.1, time=2014-10-31 15:47:46 UTC)
DependencyVersion(version=0.10.2, time=2014-10-31 16:24:52 UTC)
DependencyVersion(version=0.11.0, time=2014-11-22 06:04:01 UTC)
DependencyVersion(version=0.11.1, time=2014-11-22 15:01:24 UTC)
DependencyVersion(version=0.11.2, time=2014-11-24 16:57:37 UTC)
DependencyVersion(version=0.11.3, time=2014-11-27 05:30:40 UTC)
DependencyVersion(version=0.11.4, time=2014-11-28 16:11:01 UTC)
DependencyVersion(version=0.11.5, time=2014-12-15 22:34:10 UTC)
DependencyVersion(version=0.11.6, time=2014-12-17 19:31:33 UTC)
DependencyVersion(version=0.12.0, time=2015-02-10 20:16:18 UTC)
DependencyVersion(version=0.12.1, time=2015-02-24 00:06:31 UTC)
DependencyVersion(version=0.12.2, time=2015-02-24 00:34:28 UTC)
DependencyVersion(version=0.12.3, time=2015-02-24 21:38:03 UTC)
DependencyVersion(version=0.12.4, time=2015-02-24 21:53:15 UTC)
DependencyVersion(version=0.13.0, time=2015-03-20 21:25:52 UTC)
DependencyVersion(version=0.13.1, time=2015-03-20 22:22:12 UTC)
DependencyVersion(version=0.13.2, time=2015-03-24 14:22:30 UTC)
DependencyVersion(version=0.13.3, time=2015-04-29 01:47:21 UTC)
DependencyVersion(version=0.13.4, time=2015-10-06 13:13:35 UTC)
DependencyVersion(version=0.13.5, time=2015-11-03 06:15:55 UTC)
DependencyVersion(version=0.13.6, time=2016-07-18 20:00:32 UTC)
DependencyVersion(version=0.4.0, time=2014-07-24 19:40:13 UTC)
DependencyVersion(version=0.4.1, time=2014-07-24 21:34:16 UTC)
DependencyVersion(version=0.4.2, time=2014-07-26 18:22:48 UTC)
DependencyVersion(version=0.5.0, time=2014-07-26 22:37:43 UTC)
DependencyVersion(version=0.5.1, time=2014-08-04 22:15:34 UTC)
DependencyVersion(version=0.5.2, time=2014-08-07 18:24:38 UTC)
DependencyVersion(version=0.5.3, time=2014-08-26 03:35:12 UTC)
DependencyVersion(version=0.6.0, time=2014-08-29 20:57:01 UTC)
DependencyVersion(version=0.6.1, time=2014-08-31 03:19:45 UTC)
DependencyVersion(version=0.6.2, time=2014-09-02 16:29:26 UTC)
DependencyVersion(version=0.7.0, time=2014-09-02 16:40:49 UTC)
DependencyVersion(version=0.8.0, time=2014-10-04 05:39:28 UTC)
DependencyVersion(version=0.9.0, time=2014-10-06 19:37:57 UTC)
DependencyVersion(version=0.9.1, time=2014-10-06 20:56:02 UTC)
DependencyVersion(version=0.9.2, time=2014-10-08 05:34:04 UTC)
DependencyVersion(version=0.9.3, time=2014-10-08 14:45:26 UTC)
DependencyVersion(version=0.9.4, time=2014-10-13 19:53:57 UTC)
DependencyVersion(version=0.9.5, time=2014-10-30 04:51:31 UTC)
DependencyVersion(version=1.0.0, time=2015-11-09 21:53:15 UTC)
DependencyVersion(version=1.0.0-alpha1, time=2015-06-12 06:26:30 UTC)
DependencyVersion(version=1.0.0-alpha2, time=2015-06-12 14:18:19 UTC)
DependencyVersion(version=1.0.0-beta1, time=2015-06-15 02:24:17 UTC)
DependencyVersion(version=1.0.0-beta2, time=2015-06-17 13:46:21 UTC)
DependencyVersion(version=1.0.0-beta3, time=2015-07-01 12:30:11 UTC)
DependencyVersion(version=1.0.0-beta4, time=2015-08-31 06:19:59 UTC)
DependencyVersion(version=1.0.0-rc1, time=2015-09-11 21:35:38 UTC)
DependencyVersion(version=1.0.0-rc2, time=2015-10-08 05:06:25 UTC)
DependencyVersion(version=1.0.0-rc3, time=2015-10-08 18:07:28 UTC)
DependencyVersion(version=1.0.0-rc4, time=2015-11-03 06:35:08 UTC)
DependencyVersion(version=1.0.1, time=2015-12-05 19:53:41 UTC)
DependencyVersion(version=1.0.2, time=2015-12-08 20:36:03 UTC)
DependencyVersion(version=1.0.3, time=2015-12-23 18:51:27 UTC)
DependencyVersion(version=2.0.0, time=2016-02-10 05:29:17 UTC)
DependencyVersion(version=2.0.0-rc1, time=2015-12-30 16:41:35 UTC)
DependencyVersion(version=2.0.0-rc2, time=2015-12-30 19:41:30 UTC)
DependencyVersion(version=2.0.0-rc3, time=2015-12-30 23:04:12 UTC)
DependencyVersion(version=2.0.0-rc4, time=2015-12-30 23:40:47 UTC)
DependencyVersion(version=2.0.0-rc5, time=2016-01-14 19:42:27 UTC)
DependencyVersion(version=2.0.0-rc6, time=2016-02-05 15:32:41 UTC)
DependencyVersion(version=2.0.1, time=2016-03-10 00:19:35 UTC)
DependencyVersion(version=2.0.9-rc4, time=2015-12-30 23:30:55 UTC)
DependencyVersion(version=2.1.0, time=2016-04-11 17:26:24 UTC)
DependencyVersion(version=2.1.1, time=2016-04-11 21:01:44 UTC)
DependencyVersion(version=2.2.0, time=2016-04-13 23:40:00 UTC)
DependencyVersion(version=2.2.1, time=2016-04-14 05:38:11 UTC)
DependencyVersion(version=2.2.2, time=2016-04-14 16:43:03 UTC)
DependencyVersion(version=2.2.3, time=2016-04-15 20:18:23 UTC)
DependencyVersion(version=2.2.4, time=2016-04-15 21:08:34 UTC)
DependencyVersion(version=2.3.0, time=2016-04-18 21:47:44 UTC)
DependencyVersion(version=2.4.0, time=2016-04-28 17:11:27 UTC)
DependencyVersion(version=2.4.1, time=2016-05-19 22:41:24 UTC)
DependencyVersion(version=2.5.0, time=2016-06-23 02:43:25 UTC)
DependencyVersion(version=2.5.1, time=2016-06-24 03:59:32 UTC)
DependencyVersion(version=2.5.2, time=2016-07-01 18:53:12 UTC)
DependencyVersion(version=2.6.0, time=2016-07-18 20:04:38 UTC)
DependencyVersion(version=2.6.1, time=2016-07-29 23:52:37 UTC)
DependencyVersion(version=2.7.0, time=2016-08-20 20:17:58 UTC)
DependencyVersion(version=2.8.0, time=2016-09-09 22:47:22 UTC)
DependencyVersion(version=2.8.1, time=2016-09-13 16:32:33 UTC)
DependencyVersion(version=3.0.0, time=2016-10-25 00:37:58 UTC)
DependencyVersion(version=3.0.0-alpha.1, time=2016-05-19 22:54:53 UTC)
DependencyVersion(version=3.0.0-alpha.2, time=2016-07-19 16:11:09 UTC)
DependencyVersion(version=3.0.0-alpha.3, time=2016-08-02 18:05:50 UTC)
DependencyVersion(version=3.0.0-beta.1, time=2016-09-16 17:40:50 UTC)
DependencyVersion(version=3.0.1, time=2017-01-12 14:34:05 UTC)
DependencyVersion(version=3.0.2, time=2017-01-18 17:43:40 UTC)
DependencyVersion(version=3.0.3, time=2017-03-28 16:06:16 UTC)
DependencyVersion(version=3.0.4, time=2017-04-09 19:16:41 UTC)
DependencyVersion(version=3.0.5, time=2017-04-11 00:30:38 UTC)
DependencyVersion(version=3.0.6-pre.0, time=2017-06-15 11:54:05 UTC)
