dA\dB,FORWARDS_MAJOR,FORWARDS_MINOR,FORWARDS_MICRO,NO_CHANGE,BACKWARD_MAJOR,BACKWARD_MINOR,BACKWARD_MICRO
FORWARDS_MAJOR,0,0,0,0,0,0,0,
FORWARDS_MINOR,0,0,0,0,0,0,0,
FORWARDS_MICRO,0,0,0,0,0,0,0,
NO_CHANGE,0,0,0,0,0,0,0,
BACKWARD_MAJOR,0,0,0,0,0,0,0,
BACKWARD_MINOR,0,0,0,0,0,0,0,
BACKWARD_MICRO,0,0,0,0,0,0,0,

Lag (Vers Behind), Major, Minor, Micro
,0,0,0

Project information
sails-hook-rewire (1148186)	supertest (319854)	Package Manager: NPM

Project A:
ProjectVersion(version=1.0.0, dependency=1.1.0, time=2016-01-12 03:17:48 UTC),	Latest, null

Project B:
DependencyVersion(version=0.0.1, time=2012-06-26 22:11:12 UTC)
DependencyVersion(version=0.1.0, time=2012-07-02 18:31:20 UTC)
DependencyVersion(version=0.10.0, time=2014-03-21 05:10:05 UTC)
DependencyVersion(version=0.1.1, time=2012-07-03 23:42:11 UTC)
DependencyVersion(version=0.11.0, time=2014-04-14 13:02:22 UTC)
DependencyVersion(version=0.1.2, time=2012-07-15 18:43:39 UTC)
DependencyVersion(version=0.12.0, time=2014-04-30 14:35:01 UTC)
DependencyVersion(version=0.12.1, time=2014-05-09 12:12:02 UTC)
DependencyVersion(version=0.13.0, time=2014-05-23 07:08:00 UTC)
DependencyVersion(version=0.14.0, time=2014-09-29 15:07:05 UTC)
DependencyVersion(version=0.15.0, time=2014-11-11 16:58:46 UTC)
DependencyVersion(version=0.2.0, time=2012-08-29 21:31:33 UTC)
DependencyVersion(version=0.3.0, time=2012-09-24 15:55:06 UTC)
DependencyVersion(version=0.3.1, time=2012-10-01 20:48:23 UTC)
DependencyVersion(version=0.4.0, time=2012-10-18 22:12:22 UTC)
DependencyVersion(version=0.4.1, time=2012-11-14 22:49:47 UTC)
DependencyVersion(version=0.4.2, time=2012-11-17 19:40:44 UTC)
DependencyVersion(version=0.5.0, time=2012-11-28 22:19:33 UTC)
DependencyVersion(version=0.5.1, time=2012-12-07 15:46:27 UTC)
DependencyVersion(version=0.6.0, time=2013-04-15 16:05:04 UTC)
DependencyVersion(version=0.6.1, time=2013-06-02 23:17:12 UTC)
DependencyVersion(version=0.7.0, time=2013-06-04 19:29:20 UTC)
DependencyVersion(version=0.7.1, time=2013-07-02 22:43:38 UTC)
DependencyVersion(version=0.8.0, time=2013-09-16 00:41:41 UTC)
DependencyVersion(version=0.8.1, time=2013-10-28 22:19:40 UTC)
DependencyVersion(version=0.8.2, time=2013-11-27 05:07:20 UTC)
DependencyVersion(version=0.8.3, time=2014-01-08 05:10:15 UTC)
DependencyVersion(version=0.9.0, time=2014-01-17 22:08:23 UTC)
DependencyVersion(version=0.9.1, time=2014-03-17 18:07:48 UTC)
DependencyVersion(version=0.9.2, time=2014-03-17 21:34:13 UTC)
DependencyVersion(version=1.0.0, time=2015-05-12 21:23:05 UTC)
DependencyVersion(version=1.0.1, time=2015-05-13 15:56:09 UTC)
DependencyVersion(version=1.1.0, time=2015-08-26 15:14:39 UTC)
DependencyVersion(version=1.2.0, time=2016-02-11 15:29:12 UTC)
DependencyVersion(version=2.0.0, time=2016-07-29 14:31:58 UTC)
DependencyVersion(version=2.0.1, time=2016-10-19 15:35:23 UTC)
DependencyVersion(version=3.0.0, time=2017-01-30 00:22:45 UTC)
DependencyVersion(version=3.1.0, time=2018-05-13 13:17:40 UTC)
DependencyVersion(version=3.2.0, time=2018-09-05 11:38:28 UTC)
DependencyVersion(version=3.3.0, time=2018-09-06 20:25:40 UTC)
