dA\dB,FORWARDS_MAJOR,FORWARDS_MINOR,FORWARDS_MICRO,NO_CHANGE,BACKWARD_MAJOR,BACKWARD_MINOR,BACKWARD_MICRO
FORWARDS_MAJOR,0,0,0,0,0,0,0,
FORWARDS_MINOR,0,0,0,0,0,0,0,
FORWARDS_MICRO,0,0,0,0,0,0,0,
NO_CHANGE,0,0,0,0,0,0,0,
BACKWARD_MAJOR,0,0,0,0,0,0,0,
BACKWARD_MINOR,0,0,0,0,0,0,0,
BACKWARD_MICRO,0,0,0,0,0,0,0,

Lag (Vers Behind), Major, Minor, Micro
,0,0,1

Project information
@carnesen/fs (1681128)	cross-env (997297)	Package Manager: NPM

Project A:
ProjectVersion(version=0.0.1, dependency=2.0.0, time=2016-09-17 23:11:25 UTC),	Latest, DependencyVersion(version=2.0.1, time=2016-08-29 15:53:22 UTC)

Project B:
DependencyVersion(version=1.0.0, time=2015-10-01 23:19:27 UTC)
DependencyVersion(version=1.0.1, time=2015-10-01 23:21:22 UTC)
DependencyVersion(version=1.0.2, time=2015-11-11 17:59:13 UTC)
DependencyVersion(version=1.0.3, time=2015-11-11 18:06:27 UTC)
DependencyVersion(version=1.0.4, time=2015-11-12 04:43:44 UTC)
DependencyVersion(version=1.0.5, time=2015-11-28 00:08:43 UTC)
DependencyVersion(version=1.0.6, time=2015-12-25 14:24:39 UTC)
DependencyVersion(version=1.0.7, time=2016-01-03 15:08:15 UTC)
DependencyVersion(version=1.0.8, time=2016-05-24 04:03:50 UTC)
DependencyVersion(version=2.0.0, time=2016-07-13 13:13:29 UTC)
DependencyVersion(version=2.0.1, time=2016-08-29 15:53:22 UTC)
DependencyVersion(version=3.0.0, time=2016-09-24 15:57:49 UTC)
DependencyVersion(version=3.1.0, time=2016-10-04 17:12:38 UTC)
DependencyVersion(version=3.1.1, time=2016-10-04 18:01:38 UTC)
DependencyVersion(version=3.1.2, time=2016-10-08 14:19:48 UTC)
DependencyVersion(version=3.1.3, time=2016-10-15 07:29:35 UTC)
DependencyVersion(version=3.1.4, time=2017-01-03 04:15:04 UTC)
DependencyVersion(version=3.2.0, time=2017-03-04 15:24:55 UTC)
DependencyVersion(version=3.2.1, time=2017-03-04 15:59:00 UTC)
DependencyVersion(version=3.2.2, time=2017-03-04 16:13:55 UTC)
DependencyVersion(version=3.2.3, time=2017-03-04 16:44:27 UTC)
DependencyVersion(version=3.2.4, time=2017-03-14 16:24:01 UTC)
DependencyVersion(version=4.0.0, time=2017-03-31 02:07:49 UTC)
DependencyVersion(version=4.0.0-beta.0, time=2017-03-27 01:51:04 UTC)
DependencyVersion(version=5.0.0, time=2017-05-11 17:11:57 UTC)
DependencyVersion(version=5.0.0-beta.0, time=2017-04-18 22:23:44 UTC)
DependencyVersion(version=5.0.1, time=2017-06-08 02:25:45 UTC)
DependencyVersion(version=5.0.2, time=2017-08-01 15:55:40 UTC)
DependencyVersion(version=5.0.3, time=2017-08-03 14:03:10 UTC)
DependencyVersion(version=5.0.4, time=2017-08-06 09:53:45 UTC)
DependencyVersion(version=5.0.5, time=2017-08-08 19:46:32 UTC)
DependencyVersion(version=5.1.0, time=2017-10-16 16:53:17 UTC)
DependencyVersion(version=5.1.1, time=2017-10-27 15:41:23 UTC)
DependencyVersion(version=5.1.2, time=2017-12-21 18:39:35 UTC)
DependencyVersion(version=5.1.3, time=2017-12-21 23:01:37 UTC)
DependencyVersion(version=5.1.4, time=2018-03-09 17:38:27 UTC)
DependencyVersion(version=5.1.5, time=2018-05-09 17:58:54 UTC)
DependencyVersion(version=5.1.6, time=2018-05-22 21:58:28 UTC)
DependencyVersion(version=5.2.0, time=2018-06-13 13:38:13 UTC)
