dA\dB,FORWARDS_MAJOR,FORWARDS_MINOR,FORWARDS_MICRO,NO_CHANGE,BACKWARD_MAJOR,BACKWARD_MINOR,BACKWARD_MICRO
FORWARDS_MAJOR,0,0,0,0,0,0,0,
FORWARDS_MINOR,0,0,0,0,0,0,0,
FORWARDS_MICRO,0,0,0,1,0,0,0,
NO_CHANGE,0,0,0,0,0,0,0,
BACKWARD_MAJOR,0,0,0,0,0,0,0,
BACKWARD_MINOR,0,0,0,0,0,0,0,
BACKWARD_MICRO,0,0,0,0,0,0,0,

Lag (Vers Behind), Major, Minor, Micro
,0,0,0
,0,0,0

Project information
@bkniffler/react-universally-dev (1777076)	webpack-node-externals (1165982)	Package Manager: NPM

Project A:
ProjectVersion(version=7.2.0, dependency=1.5.4, time=2016-10-27 13:54:12 UTC),	Latest, null
ProjectVersion(version=7.2.2, dependency=1.5.4, time=2016-10-27 14:03:44 UTC),	Latest, null

Project B:
DependencyVersion(version=0.1.0, time=2016-01-27 11:03:56 UTC)
DependencyVersion(version=0.2.0, time=2016-01-27 13:43:55 UTC)
DependencyVersion(version=0.3.0, time=2016-01-27 14:03:06 UTC)
DependencyVersion(version=0.4.0, time=2016-01-28 10:52:06 UTC)
DependencyVersion(version=0.4.1, time=2016-02-02 14:30:05 UTC)
DependencyVersion(version=1.0.0, time=2016-02-25 00:00:49 UTC)
DependencyVersion(version=1.1.0, time=2016-04-20 22:35:04 UTC)
DependencyVersion(version=1.2.0, time=2016-04-26 14:21:56 UTC)
DependencyVersion(version=1.3.0, time=2016-07-22 19:21:52 UTC)
DependencyVersion(version=1.3.1, time=2016-07-26 15:51:01 UTC)
DependencyVersion(version=1.3.2, time=2016-07-26 21:11:13 UTC)
DependencyVersion(version=1.3.3, time=2016-07-30 22:10:25 UTC)
DependencyVersion(version=1.4.3, time=2016-09-14 19:04:41 UTC)
DependencyVersion(version=1.4.4, time=2016-10-05 15:16:56 UTC)
DependencyVersion(version=1.5.4, time=2016-10-05 15:17:30 UTC)
DependencyVersion(version=1.6.0, time=2017-05-08 09:07:25 UTC)
DependencyVersion(version=1.7.0, time=2018-04-01 20:51:28 UTC)
DependencyVersion(version=1.7.1, time=2018-04-01 21:01:09 UTC)
DependencyVersion(version=1.7.2, time=2018-04-01 21:40:20 UTC)
